paper_id,title,abstract,year,venue,citation_count,doi,pmid,arxiv_id,publication_types,publication_date,url,fields_of_study,fields_of_study_provenance,authors,query_ids,query_axes,retrieval_channels,keep,scope_reasons,direct_scope_hits,resolution_hits,network_hits,qc_hits,infrastructure_hits,health_hits,people_development_hits,macroscale_hits,core_refs_cited,core_citers,core_direct_proximity,is_retained,is_core,bridge_origin,macroscale_flag,bridge_training_outreach,bridge_health,bridge_proofreading_annotation,bridge_infrastructure_methods,bridge_network_science,bridge_any,bridge_review_class
2734b3cd9e4529a594a2e1cb101c853b8163339a,"SynEM, automated synapse detection for connectomics","Nerve tissue contains a high density of chemical synapses, about 1 per µm3 in the mammalian cerebral cortex. Thus, even for small blocks of nerve tissue, dense connectomic mapping requires the identification of millions to billions of synapses. While the focus of connectomic data analysis has been on neurite reconstruction, synapse detection becomes limiting when datasets grow in size and dense mapping is required. Here, we report SynEM, a method for automated detection of synapses from conventionally en-bloc stained 3D electron microscopy image stacks. The approach is based on a segmentation of the image data and focuses on classifying borders between neuronal processes as synaptic or non-synaptic. SynEM yields 97% precision and recall in binary cortical connectomes with no user interaction. It scales to large volumes of cortical neuropil, plausibly even whole-brain datasets. SynEM removes the burden of manual synapse annotation for large densely mapped connectomes. DOI: http://dx.doi.org/10.7554/eLife.26414.001",2017.0,eLife,64,10.7554/elife.26414,28708060.0,,JournalArticle,2017-07-14,https://www.semanticscholar.org/paper/2734b3cd9e4529a594a2e1cb101c853b8163339a,Medicine;Computer Science;Biology,Medicine|external;Computer Science|external;Biology|s2-fos-model;Computer Science|s2-fos-model,B. Staffler; Manuel Berning; K. Boergens; Anjali Gour; Patrick van der Smagt; M. Helmstaedter,core_04;syn_01,direct_connectomics;synapse_inference,1hop_citations;1hop_references;lexical,True,direct_scope+resolution,connectom;dense connect,electron microscopy;synapse;synaptic,,annotation,annotation,,,,8,30,38,False,False,recovered_keep_false,False,False,False,False,True,False,True,role_bridge_review
293e98e1eb78383656a27d2774abb34130dba48b,CAVE: Connectome Annotation Versioning Engine,"Advances in Electron Microscopy, image segmentation and computational infrastructure have given rise to large-scale and richly annotated connectomic datasets which are increasingly shared across communities. To enable collaboration, users need to be able to concurrently create new annotations and correct errors in the automated segmentation by proofreading. In large datasets, every proofreading edit relabels cell identities of millions of voxels and thousands of annotations like synapses. For analysis, users require immediate and reproducible access to this constantly changing and expanding data landscape. Here, we present the Connectome Annotation Versioning Engine (CAVE), a computational infrastructure for immediate and reproducible connectome analysis in up-to petascale datasets (∼1mm3) while proofreading and annotating is ongoing. For segmentation, CAVE provides a distributed proofreading infrastructure for continuous versioning of large reconstructions. Annotations in CAVE are defined by locations such that they can be quickly assigned to the underlying segment which enables fast analysis queries of CAVE’s data for arbitrary time points. CAVE supports schematized, extensible annotations, so that researchers can readily design novel annotation types. CAVE is already used for many connectomics datasets, including the largest datasets available to date.",2023.0,bioRxiv,55,10.1101/2023.07.26.550598,37546753.0,,,2023-07-28,https://www.semanticscholar.org/paper/293e98e1eb78383656a27d2774abb34130dba48b,Biology;Medicine;Computer Science,Biology|external;Medicine|external;Computer Science|s2-fos-model;Biology|s2-fos-model,S. Dorkenwald; C. Schneider-Mizell; D. Brittain; Akhilesh Halageri; C. Jordan; N. Kemnitz; Manual A. Castro; W. Silversmith; Jeremy Maitin-Shephard; J. Troidl; H. Pfister; Valentin Gillet; Daniel Xenes; J. Bae; A. Bodor; J. Buchanan; D. Bumbarger; L. Elabbady; Z. Jia; D. Kapner; S. Kinn; Kisuk Lee; Kai Li; R. Lu; T. Macrina; G. Mahalingam; E. Mitchell; S. Mondal; S. Mu; Barak Nehoran; S. Popovych; Marc M. Takeno; R. Torres; N. Turner; W. Wong; Jingpeng Wu; W. Yin; Szi-chieh Yu; R. Reid; N. D. da Costa; H. Seung; F. Collman,core_04;inf_02;qc_01;qc_06,direct_connectomics;infrastructure;proofreading_qc,1hop_citations;1hop_references;lexical,True,direct_scope+resolution;proofreading_qc_scope;infrastructure_scope,connectom,electron microscopy;synapse,,annotation;proofread;versioning,annotation;distributed;petascale;version,,,,37,33,70,False,False,recovered_keep_false,False,False,False,True,False,False,True,role_bridge_review
11abd7de8f7117c2560b052e6d674cd76d9f19fc,mEMbrain: an interactive deep learning MATLAB tool for connectomic segmentation on commodity desktops,"Connectomics is fundamental in propelling our understanding of the nervous system’s organization, unearthing cells and wiring diagrams reconstructed from volume electron microscopy (EM) datasets. Such reconstructions, on the one hand, have benefited from ever more precise automatic segmentation methods, which leverage sophisticated deep learning architectures and advanced machine learning algorithms. On the other hand, the field of neuroscience at large, and of image processing in particular, has manifested a need for user-friendly and open source tools which enable the community to carry out advanced analyses. In line with this second vein, here we propose mEMbrain, an interactive MATLAB-based software which wraps algorithms and functions that enable labeling and segmentation of electron microscopy datasets in a user-friendly user interface compatible with Linux and Windows. Through its integration as an API to the volume annotation and segmentation tool VAST, mEMbrain encompasses functions for ground truth generation, image preprocessing, training of deep neural networks, and on-the-fly predictions for proofreading and evaluation. The final goals of our tool are to expedite manual labeling efforts and to harness MATLAB users with an array of semi-automatic approaches for instance segmentation. We tested our tool on a variety of datasets that span different species at various scales, regions of the nervous system and developmental stages. To further expedite research in connectomics, we provide an EM resource of ground truth annotation from 4 different animals and 5 datasets, amounting to around 180 hours of expert annotations, yielding more than 1.2 GB of annotated EM images. In addition, we provide a set of 4 pre-trained networks for said datasets. All tools are available from https://lichtman.rc.fas.harvard.edu/mEMbrain/. With our software, our hope is to provide a solution for lab-based neural reconstructions which does not require coding by the user, thus paving the way to affordable connectomics.",2023.0,bioRxiv,0,10.1101/2023.04.17.537196,37131600.0,,,2023-04-17,https://www.semanticscholar.org/paper/11abd7de8f7117c2560b052e6d674cd76d9f19fc,Biology;Medicine;Computer Science,Biology|external;Medicine|external;Computer Science|s2-fos-model;Biology|s2-fos-model,Elisa C. Pavarino; Emma Yang; N. Dhanyasi; Mona D. Wang; Flavie Bidel; Xiaotang Lu; Fuming Yang; C. Park; Mukesh Bangalore Renuka; Brandon Drescher; Aravinthan D. T. Samuel; B. Hochner; P. Katz; Mei Zhen; J. Lichtman; Y. Meirovitch,acq_01;qc_01;rec_05;train_06;train_07;train_14,acquisition_preparation;people_development;proofreading_qc;reconstruction,1hop_citations;lexical,True,direct_scope+resolution;proofreading_qc_scope;people_development_scope,connectom;wiring diagram,electron microscopy;volume electron,community,annotation;proofread,annotation,,training,,21,0,21,False,False,recovered_keep_false,False,False,False,False,True,False,True,role_bridge_review
5039626e449adb36e6c49e6a23c902302388e272,Mapping Alzheimer’s Molecular Pathologies in Large-Scale Connectomics Data: A Publicly Accessible Correlative Microscopy Resource,,2023.0,bioRxiv,4,10.1101/2023.10.24.563674,37961104.0,,,2023-11-01,https://www.semanticscholar.org/paper/5039626e449adb36e6c49e6a23c902302388e272,Biology;Medicine,Biology|external;Medicine|external;Medicine|s2-fos-model;Biology|s2-fos-model,Xiaomeng Han; Peter H. Li; Shuohong Wang; Tim Blakely; S. Aggarwal; Bhavika Gopalani; Morgan Sanchez; R. Schalek; Y. Meirovitch; Zudi Lin; Daniel R. Berger; Yuelong Wu; Fatima Aly; Sylvie Bay; Benoît Delatour; Pierre Lafaye; Hanspeter Pfister; D. Wei; Viren Jain; H. Ploegh; J. Lichtman,acq_01;health_01,acquisition_preparation;health_translation,1hop_citations;lexical,False,,connectom,,,,,alzheimer;patholog,,,9,0,9,False,False,recovered_keep_false,False,False,True,False,False,False,True,role_bridge_review
d1a1459219d94fc0c1fa3af2b98591f05e5aff14,Inferring Neuron-level Brain Circuit Connection via Graph Neural Network Amidst Small Established Connections,,2023.0,bioRxiv,0,10.1101/2023.06.29.547138,,,,2023-07-02,https://www.semanticscholar.org/paper/d1a1459219d94fc0c1fa3af2b98591f05e5aff14,Biology;Computer Science,Biology|external;Computer Science|s2-fos-model,Guojia Wan; Minghui Liao; Dong Zhao; Zengmao Wang; Shirui Pan; Bo Du,net_12,network_science,1hop_citations;lexical,False,,,,graph,,,,,,4,0,4,False,False,recovered_keep_false,False,False,False,False,False,True,True,role_bridge_review
f30abf3bd6ba26663ccf209be34e13c0e2a4d4c2,Automated Detection of Synapses in Serial Section Transmission Electron Microscopy Image Stacks,"We describe a method for fully automated detection of chemical synapses in serial electron microscopy images with highly anisotropic axial and lateral resolution, such as images taken on transmission electron microscopes. Our pipeline starts from classification of the pixels based on 3D pixel features, which is followed by segmentation with an Ising model MRF and another classification step, based on object-level features. Classifiers are learned on sparse user labels; a fully annotated data subvolume is not required for training. The algorithm was validated on a set of 238 synapses in 20 serial 7197×7351 pixel images (4.5×4.5×45 nm resolution) of mouse visual cortex, manually labeled by three independent human annotators and additionally re-verified by an expert neuroscientist. The error rate of the algorithm (12% false negative, 7% false positive detections) is better than state-of-the-art, even though, unlike the state-of-the-art method, our algorithm does not require a prior segmentation of the image volume into cells. The software is based on the ilastik learning and segmentation toolkit and the vigra image processing library and is freely available on our website, along with the test data and gold standard annotations (http://www.ilastik.org/synapse-detection/sstem).",2014.0,PLoS ONE,65,10.1371/journal.pone.0087351,24516550.0,,JournalArticle,2014-02-06,https://www.semanticscholar.org/paper/f30abf3bd6ba26663ccf209be34e13c0e2a4d4c2,Biology;Computer Science,Biology|s2-fos-model;Computer Science|s2-fos-model,A. Kreshuk; U. Köthe; Elizabeth Pax; D. Bock; F. Hamprecht,,,1hop_citations;1hop_references,False,,,electron microscopy;serial section;synapse,,annotation,annotation,,training,,2,9,11,False,False,recovered_keep_false,False,False,False,False,True,False,True,role_bridge_review
11473c935b2e09f8c209a9c95b227bdb81e59ccd,webKnossos: efficient online 3D data annotation for connectomics,,2017.0,Nature Methods,180,10.1038/nmeth.4331,28604722.0,,JournalArticle,2017-06-12,https://www.semanticscholar.org/paper/11473c935b2e09f8c209a9c95b227bdb81e59ccd,Computer Science;Biology,Computer Science|s2-fos-model;Biology|s2-fos-model,K. Boergens; Manuel Berning; Tom Bocklisch; Dominic Bräunlein; F. Drawitsch; Johannes Frohnhofen; Tom Herold; Philipp Otto; Norman Rzepka; Thomas Werkmeister; D. Werner; Georg Wiese; Heiko Wissler; M. Helmstaedter,,,1hop_citations;1hop_references,False,,connectom,,,annotation,annotation,,,,2,22,24,False,False,recovered_keep_false,False,False,False,True,False,False,True,role_bridge_review
b4f9fe7365d106c82f6333cc4c4f37722642f977,CATMAID: collaborative annotation toolkit for massive amounts of image data,"Summary: High-resolution, three-dimensional (3D) imaging of large biological specimens generates massive image datasets that are difficult to navigate, annotate and share effectively. Inspired by online mapping applications like GoogleMaps™, we developed a decentralized web interface that allows seamless navigation of arbitrarily large image stacks. Our interface provides means for online, collaborative annotation of the biological image data and seamless sharing of regions of interest by bookmarking. The CATMAID interface enables synchronized navigation through multiple registered datasets even at vastly different scales such as in comparisons between optical and electron microscopy. Availability: http://fly.mpi-cbg.de/catmaid Contact: tomancak@mpi-cbg.de",2009.0,Bioinform.,356,10.1093/bioinformatics/btp266,19376822.0,,JournalArticle,2009-04-17,https://www.semanticscholar.org/paper/b4f9fe7365d106c82f6333cc4c4f37722642f977,Computer Science;Biology,Computer Science|s2-fos-model;Biology|s2-fos-model,S. Saalfeld; Albert Cardona; V. Hartenstein; P. Tomančák,,,1hop_references,False,,,electron microscopy,,annotation,annotation,,,,0,49,49,False,False,recovered_keep_false,False,False,False,True,False,False,True,role_bridge_review
fbf309595262bdadfebab64a5b868811716814b2,VAST (Volume Annotation and Segmentation Tool): Efficient Manual and Semi-Automatic Labeling of Large 3D Image Stacks,"Recent developments in serial-section electron microscopy allow the efficient generation of very large image data sets but analyzing such data poses challenges for software tools. Here we introduce Volume Annotation and Segmentation Tool (VAST), a freely available utility program for generating and editing annotations and segmentations of large volumetric image (voxel) data sets. It provides a simple yet powerful user interface for real-time exploration and analysis of large data sets even in the Petabyte range.",2018.0,Front. Neural Circuits,201,10.3389/fncir.2018.00088,30386216.0,,JournalArticle,2018-10-16,https://www.semanticscholar.org/paper/fbf309595262bdadfebab64a5b868811716814b2,Computer Science,Computer Science|s2-fos-model,D. Berger; H. S. Seung; J. Lichtman,,,1hop_citations;1hop_references,False,,,electron microscopy,,annotation,annotation,,,,8,26,34,False,False,recovered_keep_false,False,False,False,True,True,False,True,role_bridge_review
0868b3db69c9867c3113434fc6627a94f19a4e07,Image Segmentation by Size-Dependent Single Linkage Clustering of a Watershed Basin Graph,"We present a method for hierarchical image segmentation that defines a disaffinity graph on the image, over-segments it into watershed basins, defines a new graph on the basins, and then merges basins with a modified, size-dependent version of single linkage clustering. The quasilinear runtime of the method makes it suitable for segmenting large images. We illustrate the method on the challenging problem of segmenting 3D electron microscopic brain images.",2015.0,arXiv.org,51,,,1505.00249,JournalArticle,2015-05-01,https://www.semanticscholar.org/paper/0868b3db69c9867c3113434fc6627a94f19a4e07,Computer Science,Computer Science|s2-fos-model,A. Zlateski; H. Seung,,network_science,1hop_references,False,,,,graph,,version,,,,0,12,12,False,False,recovered_keep_false,False,False,False,False,True,False,True,role_bridge_review
