paper_id,title,abstract,year,venue,citation_count,doi,pmid,arxiv_id,publication_types,publication_date,url,fields_of_study,fields_of_study_provenance,authors,query_ids,query_axes,retrieval_channels,keep,scope_reasons,direct_scope_hits,resolution_hits,network_hits,qc_hits,infrastructure_hits,health_hits,people_development_hits,macroscale_hits,core_refs_cited,core_citers,core_direct_proximity,is_retained,is_core,bridge_origin,macroscale_flag,bridge_training_outreach,bridge_health,bridge_proofreading_annotation,bridge_infrastructure_methods,bridge_network_science,bridge_any,bridge_review_class
63c851aa3d5f32663786d3f7d43ac2dd1bbc4b05,Compensatory functional connectome changes in a rat model of traumatic brain injury,"Penetrating cortical impact injuries alter neuronal communication beyond the injury epicenter, across regions involved in affective, sensorimotor, and cognitive processing. Understanding how traumatic brain injury (TBI) reorganizes local and brain wide nodal functional interactions may provide valuable quantitative parameters for monitoring pathological progression and functional recovery. To this end, we investigated spontaneous fluctuations in the functional magnetic resonance imaging (fMRI) signal obtained at 11.1 Tesla in rats sustaining controlled cortical impact (CCI) and imaged at 2- and 30-days post-injury. Graph theory-based calculations were applied to weighted undirected matrices constructed from 12,879 pairwise correlations between fMRI signals from 162 regions. Our data indicate that on days 2 and 30 post-CCI there is a significant increase in connectivity strength in nodes located in contralesional cortical, thalamic, and basal forebrain areas. Rats imaged on day 2 post-injury had significantly greater network modularity than controls, with influential nodes (with high eigenvector centrality) contained within the contralesional module and participating less in cross-modular interactions. By day 30, modularity and cross-modular interactions recover, although a cluster of nodes with low strength and low eigenvector centrality remain in the ipsilateral cortex. Our results suggest that changes in node strength, modularity, eigenvector centrality, and participation coefficient track early and late TBI effects on brain functional connectivity. We propose that the observed compensatory functional connectivity reorganization in response to CCI may be unfavorable to brain wide communication in the early post-injury period.",2021.0,bioRxiv,23,10.1093/braincomms/fcab244,34729482.0,,JournalArticle,2021-05-17,https://www.semanticscholar.org/paper/63c851aa3d5f32663786d3f7d43ac2dd1bbc4b05,Biology;Medicine,Biology|external;Medicine|external;Medicine|s2-fos-model,Zhihui Yang; T. Zhu; Marjory Pompilus; Yueqiang Fu; Jiepei Zhu; Kefren Arjona; Rawad Daniel Arja; Matteo M. Grudny; H. D. Plant; P. Bose; Kevin K. W. Wang; M. Febo,net_04;net_06,network_science,1hop_citations;1hop_references;lexical,True,network_science_scope,connectom,,centrality;graph;modular,,,patholog;traumatic brain injury,,functional connectome,2,0,2,True,False,retained_noncore,True,False,True,False,False,False,True,macroscale_role_bridge_review
6bbe04bb8593dacec340e908e32dd8e273b1e90b,Functional and structural connectome properties in the 5XFAD transgenic mouse model of Alzheimer’s disease,"Neurodegeneration in Alzheimer’s disease (AD) is associated with amyloid-beta peptide accumulation into insoluble amyloid plaques. The five-familial AD (5XFAD) transgenic mouse model exhibits accelerated amyloid-beta deposition, neuronal dysfunction, and cognitive impairment. We aimed to determine whether connectome properties of these mice parallel those observed in patients with AD. We obtained diffusion tensor imaging and resting-state functional magnetic resonance imaging data for four transgenic and four nontransgenic male mice. We constructed both structural and functional connectomes and measured their topological properties by applying graph theoretical analysis. We compared connectome properties between groups using both binarized and weighted networks. Transgenic mice showed higher characteristic path length in weighted structural connectomes and functional connectomes at minimum density. Normalized clustering and modularity were lower in transgenic mice across the upper densities of the structural connectome. Transgenic mice also showed lower small-worldness index in higher structural connectome densities and in weighted structural networks. Hyper-correlation of structural and functional connectivity was observed in transgenic mice compared with nontransgenic controls. These preliminary findings suggest that 5XFAD mouse connectomes may provide useful models for investigating the molecular mechanisms of AD pathogenesis and testing the effectiveness of potential treatments. Author Summary Many connectome properties have been shown to be preserved across species, providing potentially novel insights regarding the mechanisms of various disease processes. In this study, we measured functional and structural connectomes in a transgenic mouse model of Alzheimer’s disease using resting-state functional MRI and diffusion tensor imaging. We showed that connectome organization was significantly altered in transgenic mice compared with nontransgenic controls in ways that parallel what has been observed in human patients. These findings suggest that transgenic mouse connectomes may be useful for studying the etiology and treatment of Alzheimer’s disease.",2018.0,Network Neuroscience,32,10.1162/netn_a_00048,30215035.0,,JournalArticle,2018-06-01,https://www.semanticscholar.org/paper/6bbe04bb8593dacec340e908e32dd8e273b1e90b,Medicine;Biology,Medicine|external;Biology|external;Medicine|s2-fos-model,S. Kesler; P. Acton; V. Rao; W. Ray,net_04,network_science,1hop_citations;lexical,True,network_science_scope,connectom,,graph;modular;small-world,,,alzheimer;disease;neurodegener;patient,,functional connectome;resting-state,2,1,3,True,False,retained_noncore,True,False,True,False,False,False,True,macroscale_role_bridge_review
09ee6a64b5f105240c7b0fbc82294d6765eebd29,Eigenvector-based community detection for identifying information hubs in neuronal networks,"Eigenvectors of networked systems are known to reveal central, well-connected, network vertices. Here we expand upon the known applications of eigenvectors to define well-connected communities where each is associated with a prominent vertex. This form of community detection provides an analytical approach for analysing the dynamics of information flow in a network. When applied to the neuronal network of the nematode Caenorhabditis elegans, known circuitry can be identified as separate eigenvector-based communities. For the macaque’s neuronal network, community detection can expose the hippocampus as an information hub; this result contradicts current thinking that the analysis of static graphs cannot reveal such insights. The application of community detection on a large scale human connectome (~1.8 million vertices) reveals the most prominent information carrying pathways present during a magnetic resonance imaging scan. We demonstrate that these pathways can act as an effective unique identifier for a subject’s brain by assessing the number of matching pathways present in any two connectomes. Author summary The dynamic response of a network to stimulus can be understood by investigating that system’s eigenvectors. The eigenvectors highlight the most prominent nodes; those that are either a major source or destination for information in the network. Moreover by defining a coordinate system based on multiple eigenvectors, the most prominent communities can be detected with the most prominent node detected alongside those in the community that funnel information towards it. These methods are applied to a variety of brain networks to highlight the circuitry present in a flatworm (Caenorhabditis elegans), the macaque and human subjects. Static graphs representing the connectomes are analysed to provide insights that were previously believed to only be detectable by numerically modelling information flow. Finally, we discovered that brain networks created for human subjects at different times can be identified as belonging to the same subject by investigating the similarity of the prominent communities.",2018.0,bioRxiv,3,10.1101/457143,,,,2018-10-30,https://www.semanticscholar.org/paper/09ee6a64b5f105240c7b0fbc82294d6765eebd29,Computer Science;Biology,Computer Science|external;Biology|external;Computer Science|s2-fos-model;Biology|s2-fos-model,Ruaridh A. Clark; M. Macdonald,net_06,network_science,1hop_citations;lexical,True,network_science_scope,connectom,,community;graph,,,,,,2,0,2,True,False,retained_noncore,False,False,False,False,False,True,True,role_bridge_review
4c5f799ebd2a0074899e55e898240bc45a94c307,Experimental quality control induces changes in Allen mouse brain connectomes,"The Allen Mouse Brain Connectivity Atlas (AMBCA) is widely used to represent structural connectivity in the mouse brain. The AMBCA consists of tracer injection experiments where neuronal projections axonally connected to the initial injection site are labelled. The resulting whole-brain structural connectomes, derived from a subset of these experiments in C57BL/6 mice, have been used in several studies of connectomic architectures. However, through close inspection of n=437 distinct experiments used in a publicly-available connectome (Knox et al., 2018), we observed experiments with off-target injections, diffuse projections, unrealistically small injections and projections, and anatomical misalignments, affecting the accuracy and applicability of these connectivity experiments. We applied a combined automated and manual quality control (QC) and identified n=56 (∼13% of the original n=437) experiments representing a wide variety of injection and projection failures across the brain. Automated QC was used to detect extreme injection and projection sizes and misalignments, while manual QC was used to detect subtle off-target tracer spreading. Using the remaining n=381 experiments, we rebuilt two different connectomes using previously-published methods; specifically: the regionalized voxel model from Knox et al. (2018), and the homogeneous model from Oh et al. (2014). Our rebuilt connectomes show strong losses in connectivity between regions with limited evidence of structural connectivity by other methods (e.g. hippocampus-medulla, cerebellum-isocortex) and gains in connectivity between regions with strong connectivity evidence (hypothalamus-cerebellum, hypothalamus-isocortex). Finally, we analyzed the rich club and community organization to demonstrate the potential downstream impacts on the representation of the overall structural connectome architectures of our QC’d connectomes and observed subtle whole-brain organizational changes. We present our rebuilt connectomes, and particularly highlight the regionalized voxel model, as more accurate representations of structural connectivity derived from the AMBCA.",2026.0,bioRxiv,0,10.1162/imag.a.1310,42529501.0,,JournalArticle,2026-05-29,https://www.semanticscholar.org/paper/4c5f799ebd2a0074899e55e898240bc45a94c307,Biology,Biology|s2-fos-model,Vikram Nathan; Stephanie Tullo; Lizette Herrera-Portillo; Gabriel A. Devenyi; Yohan Yee; M. Chakravarty,,proofreading_qc,1hop_citations,True,proofreading_qc_scope,connectom,,community;rich club,quality control,,,,,2,0,2,True,False,retained_noncore,False,False,False,True,False,False,True,role_bridge_review
8293706181f8c5fea419c66d2277dfdfbef5603c,A cross-disorder connectome landscape of brain dysconnectivity,"Many human brain disorders are associated with characteristic alterations in the structural and functional connectivity of the brain. In this article, we explore how commonalities and differences in connectome alterations can reveal relationships across disorders. We survey recent literature on connectivity changes in neurological and psychiatric disorders in the context of key organizational principles of the human connectome and observe that several disturbances to network properties of the human brain have a common role in a wide range of brain disorders and point towards potentially shared network mechanisms underpinning disorders. We hypothesize that the distinct dimensions along which connectome networks are organized (for example, ‘modularity’ and ‘integration’) provide a general coordinate system that allows description and categorization of relationships between seemingly disparate disorders. We outline a cross-disorder ‘connectome landscape of dysconnectivity’ along these principal dimensions of network organization that may place shared connectome alterations between brain disorders in a common framework. In this Opinion article, Martijn van den Heuvel and Olaf Sporns examine alterations in structural and functional brain connectivity across brain disorders. They propose a common landscape for such alterations that is based on principles of network organization.",2019.0,Nature Reviews Neuroscience,432,10.1038/s41583-019-0177-6,31127193.0,,Review;JournalArticle,2019-05-24,https://www.semanticscholar.org/paper/8293706181f8c5fea419c66d2277dfdfbef5603c,Medicine,Medicine|s2-fos-model,M. P. van den heuvel; O. Sporns,,network_science,1hop_citations;1hop_references,True,network_science_scope;review_scope,connectom,,modular,,,disorder;human brain,,,1,2,3,True,False,retained_noncore,False,False,True,False,False,False,True,role_bridge_review
5fad1fb02775c85812db66c12d2804577161091d,Connectome-based prediction of functional impairment in experimental stroke models,"Experimental rat models of stroke and hemorrhage are important tools to investigate cerebrovascular disease pathophysiology mechanisms, yet how significant patterns of functional impairment induced in various models of stroke are related to changes in connectivity at the level of neuronal populations and mesoscopic parcellations of rat brains remain unresolved. To address this gap in knowledge, we employed two middle cerebral artery occlusion models and one intracerebral hemorrhage model with variant extent and location of neuronal dysfunction. Motor and spatial memory function was assessed and the level of hippocampal activation via Fos immunohistochemistry. Contribution of connectivity change to functional impairment was analyzed for connection similarities, graph distances and spatial distances as well as the importance of regions in terms of network architecture based on the neuroVIISAS rat connectome. We found that functional impairment correlated with not only the extent but also the locations of the injury among the models. In addition, via coactivation analysis in dynamic rat brain models, we found that lesioned regions led to stronger coactivations with motor function and spatial learning regions than with other unaffected regions of the connectome. Dynamic modeling with the weighted bilateral connectome detected changes in signal propagation in the remote hippocampus in all 3 stroke types, predicting the extent of hippocampal hypoactivation and impairment in spatial learning and memory function. Our study provides a comprehensive analytical framework in predictive identification of remote regions not directly altered by stroke events and their functional implication.",2024.0,PLoS ONE,3,10.1371/journal.pone.0310743,39700116.0,,JournalArticle,2024-12-19,https://www.semanticscholar.org/paper/5fad1fb02775c85812db66c12d2804577161091d,Medicine,Medicine|s2-fos-model,Oliver Schmitt; Peter Eipert; Yonggang Wang; Atsushi Kanoke; Gratianne Rabiller; Jialing Liu,,health_translation;network_science,1hop_citations;1hop_references,True,network_science_scope,connectom,,graph,,,disease,,,1,1,2,True,False,retained_noncore,False,False,True,False,False,False,True,role_bridge_review
0125ee366d4613fb71105624548ed0fb1d3eca6c,Connectome-based prediction of functional impairment in experimental stroke models,"Experimental rat models of stroke and hemorrhage are important tools to investigate cerebrovascular disease pathophysi- ology mechanisms, yet how significant patterns of functional impairment induced in various models of stroke are related to changes in connectivity at the level of neuronal populations and mesoscopic parcellations of rat brains remain unresolved. To address this gap in knowledge, we employed two middle cerebral artery occlusion models and one intracerebral hemorrhage model with variant extent and location of neuronal dysfunction. Motor and spatial memory function was assessed and the level of hippocampal activation via Fos immunohistochemistry. Contribution of connectivity change to functional impairment was analyzed for connection similarities, graph distances and spatial distances as well as the importance of regions in terms of network architecture based on the neuroVIISAS rat connectome. We found that functional impairment correlated with not only the extent but also the locations of the injury among the models. In addition, via coactivation analysis in dynamic rat brain models, we found that lesioned regions led to stronger coactivations with motor function and spatial learning regions than with other unaffected regions of the connectome. Dynamic modeling with the weighted bilateral connectome detected changes in signal propagation in the remote hippocampus in all 3 stroke types, predicting the extent of hippocampal hypoactivation and impairment in spatial learning and memory function. Our study provides a comprehensive analytical framework in predictive identification of remote regions not directly altered by stroke events and their functional implication.",2023.0,bioRxiv,1,10.1101/2023.05.05.539601,37205373.0,,,2023-05-05,https://www.semanticscholar.org/paper/0125ee366d4613fb71105624548ed0fb1d3eca6c,Medicine,Medicine|s2-fos-model,O. Schmitt; Peter Eipert; Yonggang Wang; Atsushi Kanoke; Gratianne Rabiller; Jialing Liu,,health_translation;network_science,1hop_citations;1hop_references,True,network_science_scope,connectom,,graph,,,disease,,,1,1,2,True,False,retained_noncore,False,False,True,False,False,False,True,role_bridge_review
873af2ddbd126938bb3eb9b01e8d5a13e052c8ac,Network centrality in the human functional connectome.,,2012.0,Cerebral Cortex,1160,10.1093/cercor/bhr269,21968567.0,,JournalArticle,2012-08-01,https://www.semanticscholar.org/paper/873af2ddbd126938bb3eb9b01e8d5a13e052c8ac,Psychology,Psychology|s2-fos-model,X. Zuo; Xi-Nian Zuo; Ross C Ehmke; M. Mennes; Davide Imperati; F. X. Castellanos; F. X. Castellanos; O. Sporns; M. Milham,,network_science,1hop_references,True,network_science_scope,connectom,,centrality,,,,,functional connectome,0,2,2,True,False,retained_noncore,True,False,False,False,False,True,True,macroscale_role_bridge_review
8e6d15e763d6b172d3ce8e73f66140096d27e7f0,A Hub-and-Spoke Circuit Drives Pheromone Attraction and Social Behavior in C. elegans,"Innate social behaviours emerge from neuronal circuits that interpret sensory information on the basis of an individual’s own genotype, sex and experience. The regulated aggregation behaviour of the nematode Caenorhabditis elegans, a simple animal with only 302 neurons, is an attractive system to analyse these circuits. Wild social strains of C. elegans aggregate in the presence of specific sensory cues, but solitary strains do not. Here we identify the RMG inter/motor neuron as the hub of a regulated circuit that controls aggregation and related behaviours. RMG is the central site of action of the neuropeptide receptor gene npr-1, which distinguishes solitary strains (high npr-1 activity) from wild social strains (low npr-1 activity); high RMG activity is essential for all aspects of social behaviour. Anatomical gap junctions connect RMG to several classes of sensory neurons known to promote aggregation, and to ASK sensory neurons, which are implicated in male attraction to hermaphrodite pheromones. We find that ASK neurons respond directly to pheromones, and that high RMG activity enhances ASK responses in social strains, causing hermaphrodite attraction to pheromones at concentrations that repel solitary hermaphrodites. The coordination of social behaviours by RMG suggests an anatomical hub-and-spoke model for sensory integration in aggregation, and points to functions for related circuit motifs in the C. elegans wiring diagram.",2009.0,Nature,353,10.1038/nature07886,19349961.0,,JournalArticle,2009-04-06,https://www.semanticscholar.org/paper/8e6d15e763d6b172d3ce8e73f66140096d27e7f0,Biology,Biology|s2-fos-model,Evan Z. Macosko; N. Pokala; Evan H. Feinberg; Sreekanth H. Chalasani; R. Butcher; J. Clardy; Cori Bargmann,,network_science,1hop_references,True,network_science_scope,wiring diagram,,motif,,,,,,0,3,3,True,False,retained_noncore,False,False,False,False,False,True,True,role_bridge_review
ca74e026cd6b830651dd47414ee6a4587195713f,neuroMAP — Interactive graph-visualization of the fruit fly's neural circuit,"Neuroscientists study the function of neural circuits in the brain of the common fruit fly Drosophila melanogaster to discover how complex behavior is generated. To establish models of neural information processing, knowledge about potential connections between individual neurons is required. Connections can occur when the arborizations of two neurons overlap. Judging connectivity by analyzing overlaps using traditional volumetric visualization is difficult since the examined objects occlude each other. A more abstract form of representation is therefore desirable. In collaboration with a group of neuroscientists, we designed and implemented neuroMap, an interactive two-dimensional graph that renders the brain and its interconnections in the form of a circuit-style wiring diagram. neuroMap provides a clearly structured overview of all possible connections between neurons and offers means for interactive exploration of the underlying neuronal database. In this paper, we discuss the design decisions that formed neuroMap and evaluate its application in discussions with the scientists.",2013.0,IEEE Symposium on Biological Data Visualization,35,10.1109/biovis.2013.6664349,,,JournalArticle;Review,2013-11-14,https://www.semanticscholar.org/paper/ca74e026cd6b830651dd47414ee6a4587195713f,Computer Science;Biology,Computer Science|s2-fos-model;Biology|s2-fos-model,J. Sorger; K. Bühler; F. Schulze; Tianxiao Liu; B. Dickson,,network_science,1hop_references,True,network_science_scope;review_scope,wiring diagram,,graph,,database;visualization,,,,0,2,2,True,False,retained_noncore,False,False,False,False,True,True,True,role_bridge_review
