author_a,author_b,shared_works,weight
person:hanspeter pfister,person:j lichtman,33,33
person:g jefferis,person:marta costa,31,31
person:sven dorkenwald,person:szi chieh yu,29,29
person:g jefferis,person:philipp schlegel,29,29
person:j lichtman,person:r schalek,28,28
person:a bates,person:g jefferis,26,26
person:marta costa,person:philipp schlegel,26,26
person:kea joo lee,person:rongwen lu,25,25
person:h sebastian seung,person:kea joo lee,25,25
person:h sebastian seung,person:rongwen lu,25,25
person:donglai wei,person:hanspeter pfister,25,25
person:kea joo lee,person:n kemnitz,23,23
person:n kemnitz,person:t macrina,22,22
person:kea joo lee,person:t macrina,22,22
person:rongwen lu,person:t macrina,22,22
person:f collman,person:sven dorkenwald,22,22
person:j lichtman,person:y meirovitch,22,22
person:j lichtman,person:yunming wu,22,22
person:a sterling,person:szi chieh yu,21,21
person:h sebastian seung,person:szi chieh yu,21,21
person:n kemnitz,person:rongwen lu,21,21
person:h sebastian seung,person:n kemnitz,21,21
person:f collman,person:rongwen lu,21,21
person:h sebastian seung,person:sven dorkenwald,21,21
person:c jordan,person:h sebastian seung,21,21
person:h sebastian seung,person:jingpeng wu,21,21
person:m murthy,person:szi chieh yu,20,20
person:akhilesh halageri,person:n kemnitz,20,20
person:akhilesh halageri,person:kea joo lee,20,20
person:akhilesh halageri,person:rongwen lu,20,20
person:akhilesh halageri,person:t macrina,20,20
person:sven dorkenwald,person:t macrina,20,20
person:f collman,person:h sebastian seung,20,20
person:h sebastian seung,person:t macrina,20,20
person:louis scheffer,person:shin ya takemura,20,20
person:cm schneider mizell,person:sven dorkenwald,20,20
person:cm schneider mizell,person:f collman,20,20
person:c jordan,person:n kemnitz,20,20
person:c jordan,person:kea joo lee,20,20
person:c jordan,person:rongwen lu,20,20
person:c jordan,person:f collman,20,20
person:h sebastian seung,person:w silversmith,20,20
person:a bates,person:philipp schlegel,20,20
person:a bates,person:marta costa,20,20
person:brock andrew wester,person:jordan matelsky,19,19
person:arie matsliah,person:szi chieh yu,19,19
person:n kemnitz,person:s popovych,19,19
person:s popovych,person:t macrina,19,19
person:n kemnitz,person:sven dorkenwald,19,19
person:f collman,person:n kemnitz,19,19
person:kea joo lee,person:sven dorkenwald,19,19
person:f collman,person:kea joo lee,19,19
person:rongwen lu,person:sven dorkenwald,19,19
person:f collman,person:t macrina,19,19
person:g jefferis,person:k eichler,19,19
person:cm schneider mizell,person:d brittain,19,19
person:c jordan,person:w silversmith,19,19
person:jingpeng wu,person:kea joo lee,19,19
person:r schalek,person:yunming wu,19,19
person:a bates,person:szi chieh yu,18,18
person:rongwen lu,person:szi chieh yu,18,18
person:f collman,person:szi chieh yu,18,18
person:g jefferis,person:szi chieh yu,18,18
person:kea joo lee,person:s popovych,18,18
person:rongwen lu,person:s popovych,18,18
person:j bae,person:n kemnitz,18,18
person:akhilesh halageri,person:sven dorkenwald,18,18
person:akhilesh halageri,person:f collman,18,18
person:j bae,person:t macrina,18,18
person:albert cardona,person:marta zlatic,18,18
person:shin ya takemura,person:stephen plaza,18,18
person:c jordan,person:cm schneider mizell,18,18
person:cm schneider mizell,person:n kemnitz,18,18
person:cm schneider mizell,person:kea joo lee,18,18
person:cm schneider mizell,person:rongwen lu,18,18
person:cm schneider mizell,person:t macrina,18,18
person:d brittain,person:sven dorkenwald,18,18
person:c jordan,person:d brittain,18,18
person:d brittain,person:n kemnitz,18,18
person:d brittain,person:kea joo lee,18,18
person:d brittain,person:rongwen lu,18,18
person:d brittain,person:t macrina,18,18
person:d brittain,person:f collman,18,18
person:m castro,person:n kemnitz,18,18
person:m castro,person:t macrina,18,18
person:c jordan,person:sven dorkenwald,18,18
person:c jordan,person:t macrina,18,18
person:n kemnitz,person:w silversmith,18,18
person:jingpeng wu,person:n kemnitz,18,18
person:jingpeng wu,person:w silversmith,18,18
person:micha januszewski,person:viren jain,18,18
person:k eichler,person:szi chieh yu,17,17
person:szi chieh yu,person:t macrina,17,17
person:akhilesh halageri,person:s popovych,17,17
person:j bae,person:s popovych,17,17
person:j bae,person:kea joo lee,17,17
person:j bae,person:rongwen lu,17,17
person:akhilesh halageri,person:h sebastian seung,17,17
person:donglai wei,person:j lichtman,17,17
person:louis scheffer,person:stephen plaza,17,17
person:bryan william jones,person:james anderson,17,17
person:shin ya takemura,person:zhiyuan lu,17,17
person:cm schneider mizell,person:m castro,17,17
person:akhilesh halageri,person:cm schneider mizell,17,17
person:cm schneider mizell,person:h sebastian seung,17,17
person:d brittain,person:m castro,17,17
person:akhilesh halageri,person:d brittain,17,17
person:d brittain,person:h sebastian seung,17,17
person:m castro,person:sven dorkenwald,17,17
person:c jordan,person:m castro,17,17
person:kea joo lee,person:m castro,17,17
person:m castro,person:rongwen lu,17,17
person:f collman,person:m castro,17,17
person:akhilesh halageri,person:c jordan,17,17
person:c jordan,person:jingpeng wu,17,17
person:c jordan,person:szi chieh yu,17,17
person:kea joo lee,person:w silversmith,17,17
person:rongwen lu,person:w silversmith,17,17
person:jingpeng wu,person:rongwen lu,17,17
person:szi chieh yu,person:w silversmith,17,17
person:f collman,person:w silversmith,17,17
person:jingpeng wu,person:n turner,17,17
person:h sebastian seung,person:n turner,17,17
person:philipp schlegel,person:szi chieh yu,17,17
person:claire mckellar,person:szi chieh yu,17,17
person:k eichler,person:marta costa,17,17
person:hanspeter pfister,person:zhi hang lin,17,17
person:donglai wei,person:zhi hang lin,17,17
person:s popovych,person:szi chieh yu,16,16
person:n kemnitz,person:szi chieh yu,16,16
person:kea joo lee,person:szi chieh yu,16,16
person:akhilesh halageri,person:szi chieh yu,16,16
person:j bae,person:szi chieh yu,16,16
person:s popovych,person:sven dorkenwald,16,16
person:f collman,person:s popovych,16,16
person:h sebastian seung,person:s popovych,16,16
person:akhilesh halageri,person:j bae,16,16
person:h sebastian seung,person:j bae,16,16
person:chuanyun xu,person:harald hess,16,16
person:p rivlin,person:shin ya takemura,16,16
person:g rubin,person:shin ya takemura,16,16
person:akhilesh halageri,person:m castro,16,16
person:h sebastian seung,person:m castro,16,16
person:kea joo lee,person:n turner,16,16
person:jingpeng wu,person:t macrina,16,16
person:harald hess,person:zhiyuan lu,16,16
person:marta costa,person:szi chieh yu,16,16
person:a sterling,person:arie matsliah,15,15
person:arie matsliah,person:m murthy,15,15
person:j bae,person:sven dorkenwald,15,15
person:m murthy,person:sven dorkenwald,15,15
person:albert cardona,person:r fetter,15,15
person:bryan william jones,person:r marc,15,15
person:shin ya takemura,person:w katz,15,15
person:cm schneider mizell,person:s popovych,15,15
person:cm schneider mizell,person:w silversmith,15,15
person:cm schneider mizell,person:jingpeng wu,15,15
person:cm schneider mizell,person:szi chieh yu,15,15
person:f collman,person:l elabbady,15,15
person:d brittain,person:s popovych,15,15
person:d brittain,person:w silversmith,15,15
person:d brittain,person:jingpeng wu,15,15
person:d brittain,person:szi chieh yu,15,15
person:d bumbarger,person:j buchanan,15,15
person:d bumbarger,person:marc takeno,15,15
person:d bumbarger,person:r torres,15,15
person:d bumbarger,person:r clay reid,15,15
person:j bae,person:jingpeng wu,15,15
person:m castro,person:s popovych,15,15
person:sven dorkenwald,person:w silversmith,15,15
person:jingpeng wu,person:sven dorkenwald,15,15
person:n kemnitz,person:zhi ming jia,15,15
person:t macrina,person:zhi ming jia,15,15
person:eric mitchell,person:zhi ming jia,15,15
person:shang mu,person:zhi ming jia,15,15
person:barak nehoran,person:zhi ming jia,15,15
person:s popovych,person:zhi ming jia,15,15
person:szi chieh yu,person:zhi ming jia,15,15
person:c jordan,person:s popovych,15,15
person:eric mitchell,person:n kemnitz,15,15
person:n kemnitz,person:shang mu,15,15
person:barak nehoran,person:n kemnitz,15,15
person:eric mitchell,person:t macrina,15,15
person:shang mu,person:t macrina,15,15
person:barak nehoran,person:t macrina,15,15
person:t macrina,person:w silversmith,15,15
person:eric mitchell,person:shang mu,15,15
person:barak nehoran,person:eric mitchell,15,15
person:eric mitchell,person:s popovych,15,15
person:eric mitchell,person:szi chieh yu,15,15
person:barak nehoran,person:shang mu,15,15
person:s popovych,person:shang mu,15,15
person:shang mu,person:szi chieh yu,15,15
person:barak nehoran,person:s popovych,15,15
person:barak nehoran,person:szi chieh yu,15,15
person:s popovych,person:w silversmith,15,15
person:jingpeng wu,person:s popovych,15,15
person:jingpeng wu,person:szi chieh yu,15,15
person:f collman,person:jingpeng wu,15,15
person:chuanyun xu,person:zhiyuan lu,15,15
person:gary huang,person:shin ya takemura,15,15
person:s berg,person:shin ya takemura,15,15
person:christopher ordish,person:shin ya takemura,15,15
person:k eichler,person:philipp schlegel,15,15
person:arie matsliah,person:sven dorkenwald,14,14
person:a sterling,person:sven dorkenwald,14,14
person:a sterling,person:g jefferis,14,14
