author_norm,person_id,display_name,works_in_corpus,weighted_degree,betweenness,community_id
person:j lichtman,person:j lichtman,J. Lichtman,76,803.0,0.000688,1
person:hanspeter pfister,person:hanspeter pfister,Hanspeter Pfister,55,634.0,0.004097,1
person:h sebastian seung,person:h sebastian seung,H. Sebastian Seung,44,1412.0,0.003495,3
person:g jefferis,person:g jefferis,G. Jefferis,43,1467.0,0.000474,3
person:kea joo lee,person:kea joo lee,Kea-Joo Lee,42,1459.0,0.00641,3
person:albert cardona,person:albert cardona,Albert Cardona,39,348.0,8.2e-05,2
person:sven dorkenwald,person:sven dorkenwald,Sven Dorkenwald,38,1510.0,0.000937,3
person:philipp schlegel,person:philipp schlegel,Philipp Schlegel,34,1283.0,1.4e-05,3
person:szi chieh yu,person:szi chieh yu,Szi-chieh Yu,33,1943.0,2.7e-05,3
person:jingpeng wu,person:jingpeng wu,Jingpeng Wu,31,1142.0,0.00524,3
person:stephen plaza,person:stephen plaza,Stephen M. Plaza,31,679.0,5.3e-05,1
person:rongwen lu,person:rongwen lu,Rongwen Lu,30,1289.0,0.001865,3
person:marta costa,person:marta costa,Marta Costa,30,1094.0,0.002247,3
person:shin ya takemura,person:shin ya takemura,Shin-ya Takemura,29,1317.0,0.000128,1
person:chuanyun xu,person:chuanyun xu,Chuanyun Xu,29,848.0,0.00967,1
person:donglai wei,person:donglai wei,Donglai Wei,29,426.0,0.000279,1
person:xiao jing wang,person:xiao jing wang,Xiao-jing Wang,29,326.0,0.000124,1
person:xiaoyin chen,person:xiaoyin chen,Xiaoyin Chen,29,280.0,0.0,0
person:f collman,person:f collman,F. Collman,28,1274.0,0.004435,3
person:louis scheffer,person:louis scheffer,Louis K. Scheffer,28,683.0,1.1e-05,1
person:viren jain,person:viren jain,Viren Jain,28,674.0,0.000898,1
person:r schalek,person:r schalek,R. Schalek,28,469.0,0.000269,1
person:yonggang wang,person:yonggang wang,Yonggang Wang,28,427.0,4.3e-05,0
person:cm schneider mizell,person:cm schneider mizell,CM Schneider-Mizell,27,1151.0,0.001919,3
person:r clay reid,person:r clay reid,R. Clay Reid,27,744.0,0.000432,3
person:y meirovitch,person:y meirovitch,Y. Meirovitch,27,297.0,0.0,1
person:j vogelstein,person:j vogelstein,J. Vogelstein,27,184.0,0.0,2
person:a bates,person:a bates,A. S. Bates,26,1333.0,0.000351,3
person:k eichler,person:k eichler,K. Eichler,26,1045.0,0.003954,3
person:micha januszewski,person:micha januszewski,Michał Januszewski,26,762.0,0.00017,1
person:yunming wu,person:yunming wu,Yunming Wu,26,404.0,0.000166,1
person:n kemnitz,person:n kemnitz,N. Kemnitz,25,1263.0,0.000656,3
person:t macrina,person:t macrina,T. Macrina,25,1234.0,0.000663,3
person:g rubin,person:g rubin,G. Rubin,24,816.0,0.000236,1
person:aljoscha nern,person:aljoscha nern,Aljoscha Nern,24,494.0,0.001178,1
person:yuanyuan li,person:yuanyuan li,Yuanyuan Li,24,417.0,0.001665,0
person:narayan kasthuri,person:narayan kasthuri,Narayan Kasthuri,24,228.0,0.0,1
person:mark ellisman,person:mark ellisman,Mark Ellisman,24,211.0,0.0,0
person:j bae,person:j bae,J. Bae,23,1062.0,0.00215,3
person:c jordan,person:c jordan,C. Jordan,22,1134.0,0.000529,3
person:jan funke,person:jan funke,Jan Funke,22,878.0,0.003663,3
person:harald hess,person:harald hess,Harald F. Hess,22,646.0,0.00027,1
person:s saalfeld,person:s saalfeld,S. Saalfeld,22,639.0,0.001325,1
person:junkyung kim,person:junkyung kim,Junkyung Kim,22,406.0,0.000513,3
person:brock andrew wester,person:brock andrew wester,Brock Andrew Wester,22,255.0,0.0,2
person:m helmstaedter,person:m helmstaedter,M. Helmstaedter,22,127.0,0.0,6
person:yi shiuan liu,person:yi shiuan liu,Yi-Shiuan Liu,21,282.0,0.0,0
person:jordan matelsky,person:jordan matelsky,Jordan K. Matelsky,21,196.0,0.0,2
person:william gray roncal,person:william gray roncal,William R. Gray-Roncal,21,193.0,0.0,2
person:oliver hobert,person:oliver hobert,Oliver Hobert,21,167.0,0.0,4
person:hongqing han,person:hongqing han,Hongqing Han,21,145.0,0.0,0
person:c priebe,person:c priebe,C. Priebe,21,122.0,0.0,2
person:akhilesh halageri,person:akhilesh halageri,Akhilesh Halageri,20,1162.0,0.000284,3
person:d brittain,person:d brittain,D. Brittain,20,1096.0,0.000537,3
person:w silversmith,person:w silversmith,W. Silversmith,20,1042.0,0.000538,3
person:fu ning li,person:fu ning li,Fu-Ning Li,20,948.0,0.000815,3
person:a sterling,person:a sterling,A. Sterling,20,870.0,0.006391,3
person:zhiyuan lu,person:zhiyuan lu,Zhiyuan Lu,20,748.0,0.000438,1
person:w lee,person:w lee,W. Lee,20,646.0,0.007164,3
person:james anderson,person:james anderson,James R. Anderson,20,181.0,0.0,8
person:yu xian zhang,person:yu xian zhang,Yu-Xian Zhang,20,179.0,0.0,0
person:bryan william jones,person:bryan william jones,Bryan William Jones,20,159.0,0.0,8
person:s popovych,person:s popovych,S. Popovych,19,1113.0,0.000786,3
person:m castro,person:m castro,M. C. Castro,19,1040.0,0.000563,3
person:i meinertzhagen,person:i meinertzhagen,I. Meinertzhagen,19,445.0,0.0,1
person:zhi hang lin,person:zhi hang lin,Zhi-Hang Lin,19,346.0,0.000229,1
person:d chklovskii,person:d chklovskii,D. Chklovskii,19,103.0,0.0,1
person:m murthy,person:m murthy,M. Murthy,18,768.0,0.000499,3
person:arie matsliah,person:arie matsliah,Arie Matsliah,18,746.0,0.000517,3
person:d bumbarger,person:d bumbarger,D. Bumbarger,18,655.0,8.9e-05,3
person:d bock,person:d bock,D. Bock,18,568.0,0.002561,3
person:tengda zhao,person:tengda zhao,Tengda Zhao,18,526.0,0.000598,1
person:marta zlatic,person:marta zlatic,Marta Zlatic,18,272.0,0.0,2
person:r fetter,person:r fetter,R. D. Fetter,18,227.0,0.0,2
person:yuh tarng chen,person:yuh tarng chen,Yuh-tarng Chen,18,189.0,0.0,0
person:s berg,person:s berg,S. Berg,17,675.0,0.000212,1
person:n turner,person:n turner,N. Turner,17,636.0,5.9e-05,3
person:n da costa,person:n da costa,N. D. da Costa,17,599.0,0.000302,3
person:n shavit,person:n shavit,N. Shavit,17,136.0,0.0,1
person:shang mu,person:shang mu,Shang Mu,16,981.0,0.00389,3
person:zhi ming jia,person:zhi ming jia,Zhi-Ming Jia,16,975.0,0.001631,3
person:r torres,person:r torres,R. Torres,16,640.0,8.5e-05,3
person:wenjie yin,person:wenjie yin,Wenjie Yin,16,640.0,0.000434,3
person:j buchanan,person:j buchanan,J. Buchanan,16,620.0,8.5e-05,3
person:marc takeno,person:marc takeno,Marc M. Takeno,16,575.0,1.9e-05,3
person:p rivlin,person:p rivlin,P. Rivlin,16,527.0,0.000137,1
person:hongkui zeng,person:hongkui zeng,Hongkui Zeng,16,356.0,0.0,0
person:john tuthill,person:john tuthill,John C. Tuthill,16,344.0,0.000405,3
person:ashok litwin kumar,person:ashok litwin kumar,Ashok Litwin-Kumar,16,135.0,0.0,2
person:jiazheng liu,person:jiazheng liu,Jiazheng Liu,16,127.0,0.0,0
person:eric mitchell,person:eric mitchell,Eric Mitchell,15,939.0,0.000595,3
person:barak nehoran,person:barak nehoran,Barak Nehoran,15,939.0,0.000595,3
person:l elabbady,person:l elabbady,L. Elabbady,15,645.0,1.6e-05,3
person:a bodor,person:a bodor,A. Bodor,15,608.0,0.000225,3
person:xiao ming li,person:xiao ming li,Xiao-Ming Li,15,300.0,0.0,1
person:d berger,person:d berger,D. Berger,15,202.0,0.0,1
person:r marc,person:r marc,R. E. Marc,15,125.0,0.0,8
person:gaspar jekely,person:gaspar jekely,Gáspár Jékely,15,99.0,0.0,2
person:olaf sporns,person:olaf sporns,Olaf Sporns,15,46.0,0.0,5
person:dodam ih,person:dodam ih,Dodam Ih,14,712.0,0.003942,3
person:claire mckellar,person:claire mckellar,Claire E. McKellar,14,704.0,0.004585,3
person:g mahalingam,person:g mahalingam,G. Mahalingam,14,611.0,8.5e-05,3
person:kai li,person:kai li,Kai Li,14,563.0,4.8e-05,3
person:g card,person:g card,G. Card,14,470.0,0.002068,3
person:jingjing zhang,person:jingjing zhang,Jingjing Zhang,14,234.0,0.0,0
person:aravinthan samuel,person:aravinthan samuel,Aravinthan D. T. Samuel,14,155.0,0.0,1
person:steven cook,person:steven cook,Steven J. Cook,14,129.0,0.0,4
person:johanna beyer,person:johanna beyer,Johanna Beyer,14,101.0,0.0,1
person:d kapner,person:d kapner,D. Kapner,13,580.0,5.6e-05,3
person:gary huang,person:gary huang,Gary B. Huang,13,553.0,1.7e-05,1
person:kenneth hayworth,person:kenneth hayworth,Kenneth Hayworth,13,525.0,1.7e-05,1
person:peter li,person:peter li,Peter H. Li,13,400.0,0.000231,1
person:hanchuan peng,person:hanchuan peng,Hanchuan Peng,13,133.0,0.0,0
person:t tasdizen,person:t tasdizen,T. Tasdizen,13,112.0,0.0,8
person:km harris,person:km harris,KM Harris,13,103.0,0.0,2
person:wr schafer,person:wr schafer,WR Schafer,13,60.0,0.0,4
person:scott emmons,person:scott emmons,Scott W. Emmons,13,40.0,0.0,4
person:a champion,person:a champion,A. Champion,12,677.0,0.006642,3
person:w wong,person:w wong,W. Wong,12,579.0,4.1e-05,3
person:j bogovic,person:j bogovic,J. Bogovic,12,577.0,6e-05,1
person:s kinn,person:s kinn,S. Kinn,12,561.0,5.3e-05,3
person:w katz,person:w katz,W. M. Katz,12,557.0,1.7e-05,1
person:mean hwan kim,person:mean hwan kim,Mean-Hwan Kim,12,528.0,5.3e-05,3
person:a tolias,person:a tolias,A. S. Tolias,12,432.0,2.4e-05,3
person:e marin,person:e marin,E. Marin,12,383.0,0.00225,3
person:yoshinori aso,person:yoshinori aso,Yoshinori Aso,12,239.0,0.0,1
person:jim truman,person:jim truman,Jim Truman,12,215.0,0.0,2
person:hsi ping wang,person:hsi ping wang,Hsi-Ping Wang,12,191.0,0.0,0
person:c sigulinsky,person:c sigulinsky,C. Sigulinsky,12,98.0,0.0,8
person:youngser park,person:youngser park,Youngser Park,12,97.0,0.0,2
person:henry markram,person:henry markram,Henry Markram,12,96.0,0.0,7
person:javier defelipe,person:javier defelipe,Javier DeFelipe,12,74.0,0.0,7
person:markus hadwiger,person:markus hadwiger,Markus Hadwiger,12,72.0,0.0,1
person:tomke sturner,person:tomke sturner,Tomke Stürner,11,1034.0,0.000195,3
person:jay gager,person:jay gager,Jay Gager,11,712.0,0.00596,3
person:aiqun li,person:aiqun li,Aiqun Li,11,631.0,0.00185,0
person:s mondal,person:s mondal,S. Mondal,11,540.0,1.7e-05,3
person:d olbris,person:d olbris,D. J. Olbris,11,501.0,0.000159,1
person:v hartenstein,person:v hartenstein,V. Hartenstein,11,428.0,0.001345,3
person:jinseop kim,person:jinseop kim,Jinseop S. Kim,11,413.0,0.000113,3
person:kazunori shinomiya,person:kazunori shinomiya,Kazunori Shinomiya,11,386.0,0.000133,1
person:hui gong,person:hui gong,Hui Gong,11,339.0,1.2e-05,0
person:qingyang wang,person:qingyang wang,Qingyang Wang,11,313.0,5e-05,0
person:daniel berger,person:daniel berger,Daniel R. Berger,11,251.0,0.0,1
person:aaron kuan,person:aaron kuan,Aaron T. Kuan,11,123.0,0.0,9
person:ed boyden,person:ed boyden,Ed Boyden,11,122.0,0.0,1
person:jia hui yang,person:jia hui yang,Jia-Hui Yang,11,115.0,0.0,8
person:michael reimann,person:michael reimann,Michael W. Reimann,11,102.0,0.0,7
person:zengmao wang,person:zengmao wang,Zengmao Wang,11,93.0,0.0,0
person:isabel beets,person:isabel beets,Isabel Beets,11,83.0,0.0,4
person:d hall,person:d hall,D. Hall,11,76.0,0.0,4
person:ann shyn chiang,person:ann shyn chiang,Ann-Shyn Chiang,11,67.0,0.0,8
person:r friedrich,person:r friedrich,R. Friedrich,11,30.0,0.0,6
person:marina gkantia,person:marina gkantia,Marina Gkantia,10,648.0,0.006334,3
person:l umayam,person:l umayam,L. Umayam,10,546.0,1.7e-05,1
person:jody clements,person:jody clements,Jody Clements,10,531.0,2.1e-05,1
person:m dreher,person:m dreher,M. Dreher,10,490.0,0.000111,1
person:kaiyu wang,person:kaiyu wang,Kaiyu Wang,10,485.0,0.00637,3
person:n eckstein,person:n eckstein,N. Eckstein,10,483.0,0.004253,3
person:stephan gerhard,person:stephan gerhard,Stephan Gerhard,10,482.0,0.000439,3
person:qingming luo,person:qingming luo,Qingming Luo,10,311.0,0.0,0
person:shuohong wang,person:shuohong wang,Shuohong Wang,10,259.0,0.0,1
person:andrew cook,person:andrew cook,Andrew P. Cook,10,216.0,0.0,3
