work_id,author_raw,author_norm,author_order,decision,source_group
work_0016f2020218fbe5,R. Fields,fields|r,1,adjacent_relevant,core_audit
work_0016f2020218fbe5,PhD R. Douglas Fields,fields|prd,2,adjacent_relevant,core_audit
work_001c0f01391e19c4,Andrea Santuy,santuy|a,1,core_relevant,role_bridge
work_001c0f01391e19c4,L. Tomas-Roca,tomas-roca|l,2,core_relevant,role_bridge
work_001c0f01391e19c4,José-Rodrigo Rodríguez,rodríguez|j,3,core_relevant,role_bridge
work_001c0f01391e19c4,J. González-Soriano,gonzález-soriano|j,4,core_relevant,role_bridge
work_001c0f01391e19c4,Fei Zhu,zhu|f,5,core_relevant,role_bridge
work_001c0f01391e19c4,Zhen Qiu,qiu|z,6,core_relevant,role_bridge
work_001c0f01391e19c4,S. Grant,grant|s,7,core_relevant,role_bridge
work_001c0f01391e19c4,J. DeFelipe,defelipe|j,8,core_relevant,role_bridge
work_001c0f01391e19c4,Á. Merchán-Pérez,merchán-pérez|á,9,core_relevant,role_bridge
work_00c9ebcec8853471,Jordan K. Matelsky,matelsky|jk,1,core_relevant,core_audit
work_00c9ebcec8853471,Hannah Martinez,martinez|h,2,core_relevant,core_audit
work_00c9ebcec8853471,Michael S. Robinette,robinette|ms,3,core_relevant,core_audit
work_00c9ebcec8853471,K. Merfeld,merfeld|k,4,core_relevant,core_audit
work_00c9ebcec8853471,Daniel Xenes,xenes|d,5,core_relevant,core_audit
work_00c9ebcec8853471,Cara J. Cavanaugh,cavanaugh|cj,6,core_relevant,core_audit
work_00c9ebcec8853471,Sarah E. Emerson,emerson|se,7,core_relevant,core_audit
work_00c9ebcec8853471,Dhananjay Bhaskar,bhaskar|d,8,core_relevant,core_audit
work_00c9ebcec8853471,Benjamin Clark,clark|b,9,core_relevant,core_audit
work_00c9ebcec8853471,Caitlyn Bishop,bishop|c,10,core_relevant,core_audit
work_00c9ebcec8853471,Konrad Paul Kording,kording|kp,11,core_relevant,core_audit
work_00c9ebcec8853471,Daniel A. Colón-Ramos,colón-ramos|da,12,core_relevant,core_audit
work_00c9ebcec8853471,Patricia K. Rivlin,rivlin|pk,13,core_relevant,core_audit
work_00c9ebcec8853471,Cody J. Smith,smith|cj,14,core_relevant,core_audit
work_00c9ebcec8853471,Brock Andrew Wester,wester|ba,15,core_relevant,core_audit
work_00d72fd3c4223cd5,A. S. Bates,bates|as,1,core_relevant,core_audit
work_00d72fd3c4223cd5,Jasper S. Phelps,phelps|js,2,core_relevant,core_audit
work_00d72fd3c4223cd5,Minsu Kim,kim|m,3,core_relevant,core_audit
work_00d72fd3c4223cd5,H. Yang,yang|h,4,core_relevant,core_audit
work_00d72fd3c4223cd5,Arie Matsliah,matsliah|a,5,core_relevant,core_audit
work_00d72fd3c4223cd5,Zaki Ajabi,ajabi|z,6,core_relevant,core_audit
work_00d72fd3c4223cd5,Eric Perlman,perlman|e,7,core_relevant,core_audit
work_00d72fd3c4223cd5,Kevin M. Delgado,delgado|km,8,core_relevant,core_audit
work_00d72fd3c4223cd5,Mohammed Abdal Monium Osman,osman|mam,9,core_relevant,core_audit
work_00d72fd3c4223cd5,Christopher K. Salmon,salmon|ck,10,core_relevant,core_audit
work_00d72fd3c4223cd5,Jay Gager,gager|j,11,core_relevant,core_audit
work_00d72fd3c4223cd5,B. Silverman,silverman|b,12,core_relevant,core_audit
work_00d72fd3c4223cd5,Sophia Renauld,renauld|s,13,core_relevant,core_audit
work_00d72fd3c4223cd5,Farzaan Salman,salman|f,14,core_relevant,core_audit
work_00d72fd3c4223cd5,Janki Patel,patel|j,15,core_relevant,core_audit
work_00d72fd3c4223cd5,Matt Collie,collie|m,16,core_relevant,core_audit
work_00d72fd3c4223cd5,Jingxuan Fan,fan|j,17,core_relevant,core_audit
work_00d72fd3c4223cd5,Diego A. Pacheco,pacheco|da,18,core_relevant,core_audit
work_00d72fd3c4223cd5,Yun Zhao,zhao|y,19,core_relevant,core_audit
work_00d72fd3c4223cd5,Wenyi Zhang,zhang|w,20,core_relevant,core_audit
work_00d72fd3c4223cd5,L. Capdevila,capdevila|l,21,core_relevant,core_audit
work_00d72fd3c4223cd5,Ruairí J. V. Roberts,roberts|rjv,22,core_relevant,core_audit
work_00d72fd3c4223cd5,E. Munnelly,munnelly|e,23,core_relevant,core_audit
work_00d72fd3c4223cd5,Nina Griggs,griggs|n,24,core_relevant,core_audit
work_00d72fd3c4223cd5,H. Langley,langley|h,25,core_relevant,core_audit
work_00d72fd3c4223cd5,Borja Moya-Llamas,moya-llamas|b,26,core_relevant,core_audit
work_00d72fd3c4223cd5,Zuoyu Zhang,zhang|z,27,core_relevant,core_audit
work_00d72fd3c4223cd5,Ryan T Maloney,maloney|rt,28,core_relevant,core_audit
work_00d72fd3c4223cd5,Szi-chieh Yu,yu|s,29,core_relevant,core_audit
work_00d72fd3c4223cd5,A. Sterling,sterling|a,30,core_relevant,core_audit
work_00d72fd3c4223cd5,Marissa Sorek,sorek|m,31,core_relevant,core_audit
work_00d72fd3c4223cd5,Krzysztof Kruk,kruk|k,32,core_relevant,core_audit
work_00d72fd3c4223cd5,Nikitas Serafetinidis,serafetinidis|n,33,core_relevant,core_audit
work_00d72fd3c4223cd5,Serene Dhawan,dhawan|s,34,core_relevant,core_audit
work_00d72fd3c4223cd5,Finja Klemm,klemm|f,35,core_relevant,core_audit
work_00d72fd3c4223cd5,Paul Brooks,brooks|p,36,core_relevant,core_audit
work_00d72fd3c4223cd5,Ellen Lesser,lesser|e,37,core_relevant,core_audit
work_00d72fd3c4223cd5,Jessica M Jones,jones|jm,38,core_relevant,core_audit
work_00d72fd3c4223cd5,Sara E Pierce-Lundgren,pierce-lundgren|se,39,core_relevant,core_audit
work_00d72fd3c4223cd5,Su-Yee J. Lee,lee|sj,40,core_relevant,core_audit
work_00d72fd3c4223cd5,Yichen Luo,luo|y,41,core_relevant,core_audit
work_00d72fd3c4223cd5,Andrew P Cook,cook|ap,42,core_relevant,core_audit
