work_id,author_raw,author_norm,author_order,decision,source_group,year,person_id,person_display_name
work_0016f2020218fbe5,R. Fields,fields|r,1,adjacent_relevant,core_audit,2025.0,person:r fields,R. Fields
work_0016f2020218fbe5,PhD R. Douglas Fields,fields|prd,2,adjacent_relevant,core_audit,2025.0,person:phd douglas fields,PhD R. Douglas Fields
work_001c0f01391e19c4,Andrea Santuy,santuy|a,1,core_relevant,role_bridge,2020.0,person:andrea santuy,Andrea Santuy
work_001c0f01391e19c4,L. Tomas-Roca,tomas-roca|l,2,core_relevant,role_bridge,2020.0,person:l tomas roca,L. Tomas-Roca
work_001c0f01391e19c4,José-Rodrigo Rodríguez,rodríguez|j,3,core_relevant,role_bridge,2020.0,person:jose rodrigo rodriguez,José-Rodrigo Rodríguez
work_001c0f01391e19c4,J. González-Soriano,gonzález-soriano|j,4,core_relevant,role_bridge,2020.0,person:j gonzalez soriano,J. González-Soriano
work_001c0f01391e19c4,Fei Zhu,zhu|f,5,core_relevant,role_bridge,2020.0,person:fei zhu,Fei Zhu
work_001c0f01391e19c4,Zhen Qiu,qiu|z,6,core_relevant,role_bridge,2020.0,person:zhen qiu,Zhen Qiu
work_001c0f01391e19c4,S. Grant,grant|s,7,core_relevant,role_bridge,2020.0,person:s grant,S. Grant
work_001c0f01391e19c4,J. DeFelipe,defelipe|j,8,core_relevant,role_bridge,2020.0,person:javier defelipe,Javier DeFelipe
work_001c0f01391e19c4,Á. Merchán-Pérez,merchán-pérez|á,9,core_relevant,role_bridge,2020.0,person:a merchan perez,Á. Merchán-Pérez
work_00c9ebcec8853471,Jordan K. Matelsky,matelsky|jk,1,core_relevant,core_audit,2026.0,person:jordan matelsky,Jordan K. Matelsky
work_00c9ebcec8853471,Hannah Martinez,martinez|h,2,core_relevant,core_audit,2026.0,person:hannah martinez,Hannah Martinez
work_00c9ebcec8853471,Michael S. Robinette,robinette|ms,3,core_relevant,core_audit,2026.0,person:michael robinette,Michael S. Robinette
work_00c9ebcec8853471,K. Merfeld,merfeld|k,4,core_relevant,core_audit,2026.0,person:k merfeld,K. Merfeld
work_00c9ebcec8853471,Daniel Xenes,xenes|d,5,core_relevant,core_audit,2026.0,person:daniel xenes,Daniel Xenes
work_00c9ebcec8853471,Cara J. Cavanaugh,cavanaugh|cj,6,core_relevant,core_audit,2026.0,person:cara cavanaugh,Cara J. Cavanaugh
work_00c9ebcec8853471,Sarah E. Emerson,emerson|se,7,core_relevant,core_audit,2026.0,person:sarah emerson,Sarah E. Emerson
work_00c9ebcec8853471,Dhananjay Bhaskar,bhaskar|d,8,core_relevant,core_audit,2026.0,person:dhananjay bhaskar,Dhananjay Bhaskar
work_00c9ebcec8853471,Benjamin Clark,clark|b,9,core_relevant,core_audit,2026.0,person:benjamin clark,Benjamin Clark
work_00c9ebcec8853471,Caitlyn Bishop,bishop|c,10,core_relevant,core_audit,2026.0,person:caitlyn bishop,Caitlyn Bishop
work_00c9ebcec8853471,Konrad Paul Kording,kording|kp,11,core_relevant,core_audit,2026.0,person:konrad paul kording,Konrad Paul Kording
work_00c9ebcec8853471,Daniel A. Colón-Ramos,colón-ramos|da,12,core_relevant,core_audit,2026.0,person:daniel colon ramos,Daniel A. Colón-Ramos
work_00c9ebcec8853471,Patricia K. Rivlin,rivlin|pk,13,core_relevant,core_audit,2026.0,person:patricia rivlin,Patricia K. Rivlin
work_00c9ebcec8853471,Cody J. Smith,smith|cj,14,core_relevant,core_audit,2026.0,person:cody smith,Cody J. Smith
work_00c9ebcec8853471,Brock Andrew Wester,wester|ba,15,core_relevant,core_audit,2026.0,person:brock andrew wester,Brock Andrew Wester
work_00d72fd3c4223cd5,A. S. Bates,bates|as,1,core_relevant,core_audit,2026.0,person:a bates,A. S. Bates
work_00d72fd3c4223cd5,Jasper S. Phelps,phelps|js,2,core_relevant,core_audit,2026.0,person:jasper phelps,Jasper S. Phelps
work_00d72fd3c4223cd5,Minsu Kim,kim|m,3,core_relevant,core_audit,2026.0,person:mean hwan kim,Mean-Hwan Kim
work_00d72fd3c4223cd5,H. Yang,yang|h,4,core_relevant,core_audit,2026.0,person:huei fang yang,Huei-Fang Yang
work_00d72fd3c4223cd5,Arie Matsliah,matsliah|a,5,core_relevant,core_audit,2026.0,person:arie matsliah,Arie Matsliah
work_00d72fd3c4223cd5,Zaki Ajabi,ajabi|z,6,core_relevant,core_audit,2026.0,person:zaki ajabi,Zaki Ajabi
work_00d72fd3c4223cd5,Eric Perlman,perlman|e,7,core_relevant,core_audit,2026.0,person:eric perlman,Eric Perlman
work_00d72fd3c4223cd5,Kevin M. Delgado,delgado|km,8,core_relevant,core_audit,2026.0,person:kevin delgado,Kevin M. Delgado
work_00d72fd3c4223cd5,Mohammed Abdal Monium Osman,osman|mam,9,core_relevant,core_audit,2026.0,person:mohammed abdal monium osman,Mohammed Abdal Monium Osman
work_00d72fd3c4223cd5,Christopher K. Salmon,salmon|ck,10,core_relevant,core_audit,2026.0,person:christopher salmon,Christopher K. Salmon
work_00d72fd3c4223cd5,Jay Gager,gager|j,11,core_relevant,core_audit,2026.0,person:jay gager,Jay Gager
work_00d72fd3c4223cd5,B. Silverman,silverman|b,12,core_relevant,core_audit,2026.0,person:b silverman,B. Silverman
work_00d72fd3c4223cd5,Sophia Renauld,renauld|s,13,core_relevant,core_audit,2026.0,person:sophia renauld,Sophia Renauld
work_00d72fd3c4223cd5,Farzaan Salman,salman|f,14,core_relevant,core_audit,2026.0,person:farzaan salman,Farzaan Salman
work_00d72fd3c4223cd5,Janki Patel,patel|j,15,core_relevant,core_audit,2026.0,person:janki patel,Janki Patel
work_00d72fd3c4223cd5,Matt Collie,collie|m,16,core_relevant,core_audit,2026.0,person:matt collie,Matt Collie
work_00d72fd3c4223cd5,Jingxuan Fan,fan|j,17,core_relevant,core_audit,2026.0,person:jingxuan fan,Jingxuan Fan
work_00d72fd3c4223cd5,Diego A. Pacheco,pacheco|da,18,core_relevant,core_audit,2026.0,person:diego pacheco,Diego A. Pacheco
work_00d72fd3c4223cd5,Yun Zhao,zhao|y,19,core_relevant,core_audit,2026.0,person:yongxin zhao,Yongxin Zhao
work_00d72fd3c4223cd5,Wenyi Zhang,zhang|w,20,core_relevant,core_audit,2026.0,person:william zhang,William Zhang
work_00d72fd3c4223cd5,L. Capdevila,capdevila|l,21,core_relevant,core_audit,2026.0,person:l capdevila,L. Capdevila
work_00d72fd3c4223cd5,Ruairí J. V. Roberts,roberts|rjv,22,core_relevant,core_audit,2026.0,person:ruairi roberts,Ruairí J. V. Roberts
work_00d72fd3c4223cd5,E. Munnelly,munnelly|e,23,core_relevant,core_audit,2026.0,person:e munnelly,E. Munnelly
work_00d72fd3c4223cd5,Nina Griggs,griggs|n,24,core_relevant,core_audit,2026.0,person:nina griggs,Nina Griggs
work_00d72fd3c4223cd5,H. Langley,langley|h,25,core_relevant,core_audit,2026.0,person:h langley,H. Langley
work_00d72fd3c4223cd5,Borja Moya-Llamas,moya-llamas|b,26,core_relevant,core_audit,2026.0,person:borja moya llamas,Borja Moya-Llamas
work_00d72fd3c4223cd5,Zuoyu Zhang,zhang|z,27,core_relevant,core_audit,2026.0,person:zhaoxiang zhang,Zhaoxiang Zhang
work_00d72fd3c4223cd5,Ryan T Maloney,maloney|rt,28,core_relevant,core_audit,2026.0,person:ryan maloney,Ryan T Maloney
work_00d72fd3c4223cd5,Szi-chieh Yu,yu|s,29,core_relevant,core_audit,2026.0,person:szi chieh yu,Szi-chieh Yu
work_00d72fd3c4223cd5,A. Sterling,sterling|a,30,core_relevant,core_audit,2026.0,person:a sterling,A. Sterling
work_00d72fd3c4223cd5,Marissa Sorek,sorek|m,31,core_relevant,core_audit,2026.0,person:marissa sorek,Marissa Sorek
work_00d72fd3c4223cd5,Krzysztof Kruk,kruk|k,32,core_relevant,core_audit,2026.0,person:krzysztof kruk,Krzysztof Kruk
work_00d72fd3c4223cd5,Nikitas Serafetinidis,serafetinidis|n,33,core_relevant,core_audit,2026.0,person:nikitas serafetinidis,Nikitas Serafetinidis
work_00d72fd3c4223cd5,Serene Dhawan,dhawan|s,34,core_relevant,core_audit,2026.0,person:serene dhawan,Serene Dhawan
work_00d72fd3c4223cd5,Finja Klemm,klemm|f,35,core_relevant,core_audit,2026.0,person:finja klemm,Finja Klemm
work_00d72fd3c4223cd5,Paul Brooks,brooks|p,36,core_relevant,core_audit,2026.0,person:paul brooks,Paul Brooks
work_00d72fd3c4223cd5,Ellen Lesser,lesser|e,37,core_relevant,core_audit,2026.0,person:ellen lesser,Ellen Lesser
work_00d72fd3c4223cd5,Jessica M Jones,jones|jm,38,core_relevant,core_audit,2026.0,person:jessica jones,Jessica M Jones
work_00d72fd3c4223cd5,Sara E Pierce-Lundgren,pierce-lundgren|se,39,core_relevant,core_audit,2026.0,person:sara pierce lundgren,Sara E Pierce-Lundgren
work_00d72fd3c4223cd5,Su-Yee J. Lee,lee|sj,40,core_relevant,core_audit,2026.0,person:su yee lee,Su-Yee J. Lee
work_00d72fd3c4223cd5,Yichen Luo,luo|y,41,core_relevant,core_audit,2026.0,person:yichen luo,Yichen Luo
work_00d72fd3c4223cd5,Andrew P Cook,cook|ap,42,core_relevant,core_audit,2026.0,person:andrew cook,Andrew P. Cook
work_00d72fd3c4223cd5,Theresa H. McKim,mckim|th,43,core_relevant,core_audit,2026.0,person:theresa mckim,Theresa H. McKim
work_00d72fd3c4223cd5,Dimitrios S. Giakoumas,giakoumas|ds,44,core_relevant,core_audit,2026.0,person:dimitrios giakoumas,Dimitrios S. Giakoumas
work_00d72fd3c4223cd5,Benjamin Gorko,gorko|b,45,core_relevant,core_audit,2026.0,person:benjamin gorko,Benjamin Gorko
work_00d72fd3c4223cd5,Justin Ellis-Joyce,ellis-joyce|j,46,core_relevant,core_audit,2026.0,person:justin ellis joyce,Justin Ellis-Joyce
work_00d72fd3c4223cd5,Jiayi Zhang,zhang|j,47,core_relevant,core_audit,2026.0,person:jingjing zhang,Jingjing Zhang
work_00d72fd3c4223cd5,Emily C Kophs,kophs|ec,48,core_relevant,core_audit,2026.0,person:emily kophs,Emily C Kophs
work_00d72fd3c4223cd5,Tjalda Falt,falt|t,49,core_relevant,core_audit,2026.0,person:tjalda falt,Tjalda Falt
work_00d72fd3c4223cd5,Alexa M Negron-Morales,negron-morales|am,50,core_relevant,core_audit,2026.0,person:alexa negron morales,Alexa M Negron-Morales
work_00d72fd3c4223cd5,Austin T Burke,burke|at,51,core_relevant,core_audit,2026.0,person:austin burke,Austin T Burke
work_00d72fd3c4223cd5,James Hebditch,hebditch|j,52,core_relevant,core_audit,2026.0,person:james hebditch,James Hebditch
work_00d72fd3c4223cd5,K. Willie,willie|k,53,core_relevant,core_audit,2026.0,person:k willie,K. Willie
work_00d72fd3c4223cd5,Ryan Willie,willie|r,54,core_relevant,core_audit,2026.0,person:ryan willie,Ryan Willie
work_00d72fd3c4223cd5,S. Popovych,popovych|s,55,core_relevant,core_audit,2026.0,person:s popovych,S. Popovych
work_00d72fd3c4223cd5,N. Kemnitz,kemnitz|n,56,core_relevant,core_audit,2026.0,person:n kemnitz,N. Kemnitz
