work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,12d4b5c64904b37b438fda33e419cc56df9ce2190c35a811e5d045969ded1c81,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.72,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Commentary linking EM synaptic connectivity findings to vertebrate cognition; related but not core pipeline work.,[],True,low_confidence,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,10.1177/10738584251337656,"Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex, raising the question of how information is transmitted by action potentials in these neural networks. Differences in field potential oscillations (brainwaves) and glia between vertebrates and invertebrates provide a possible answer that can also account for the incomparable increase in the cognitive ability of vertebrates.",JournalArticle,1,False,True,adjacent_relevant,adjacent,[],,0
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,1,8f5905570bdf6035df2344ecb4b3486088afbfaa,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c97ed81e35c26211b877990dc3a110443609f0eb1cd4cf7f9d77e241aed27bbd,batch_000,core_relevant,"['synapse_inference', 'acquisition_preparation']",0.93,"FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses",Volume EM synapse counting calibrated against genetic synaptic labels.,[],False,,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,10.1038/s41598-020-70859-5,"Determining the number of synapses that are present in different brain regions is crucial to understand brain connectivity as a whole. Membrane-associated guanylate kinases (MAGUKs) are a family of scaffolding proteins that are expressed in excitatory glutamatergic synapses. We used genetic labeling of two of these proteins (PSD95 and SAP102), and Spinning Disc confocal Microscopy (SDM), to estimate the number of fluorescent puncta in the CA1 area of the hippocampus. We also used FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses in the same area. We then estimated the ratio between the three-dimensional densities obtained with FIB-SEM (synapses/µm3) and the bi-dimensional densities obtained with SDM (puncta/100 µm2). Given that it is impractical to use FIB-SEM brain-wide, we used previously available SDM data from other brain regions and we applied this ratio as a conversion factor to estimate the minimum density of synapses in those regions. We found the highest densities of synapses in the isocortex, olfactory areas, hippocampal formation and cortical subplate. Low densities were found in the pallidum, hypothalamus, brainstem and cerebellum. Finally, the striatum and thalamus showed a wide range of synapse densities.",JournalArticle,53,True,False,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00c9ebcec8853471,b52e2799275380196737cada3c71960588a747ea,core_audit,1,b52e2799275380196737cada3c71960588a747ea,Physical contact reveals a hidden layer of cortical architecture,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b4c6195f1d23373d4dd14f768e3453c8df65359763de6fe4fa5678c96e8081c3,batch_000,core_relevant,"['reconstruction_segmentation', 'network_science', 'biological_application']",0.96,extract contactomes from two large mouse visual cortex volumes at nanoscale resolution; relationship between contact and synaptic connectivity,Nanoscale contactome analysis of EM cortex volumes beyond synaptic graphs.,[],False,,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,10.64898/2026.05.08.723866,"Neurons interact at synapses, but they also communicate through physical contact and proximity, including diffusion, glia-mediated interactions, and ephaptic coupling. Standard connectomes map synapses, but cannot capture the full set of cell-cell contacts that can support these pathways. Here we extract contactomes from two large mouse visual cortex volumes at nanoscale resolution and quantify every cell-cell contact, the shared surface area of each contact, and the relationship between contact and synaptic connectivity. We find that contactomes are 5 − 10× denser than synaptic graphs, revealing that neurons physically contact a much larger set of potential neighbors than they synaptically connect to. We further find that most nearby potential neighbors are already in physical contact, indicating that local structural change would add few new candidate synaptic partners. Finally, we find that astrocytes form a single large syncytium-like network that spans the tissue and directly contacts nearly all neurons, and that glial processes lie within a micron or two of almost every synapse, indicating that synapses reside within a pervasive glia-shaped microenvironment. Together, these results show that physical contact forms a distinct layer of brain architecture that extends far beyond the synaptic connectome.",JournalArticle,0,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00d72fd3c4223cd5,be364e55460008d9584e163bff599784f242e851,core_audit,1,be364e55460008d9584e163bff599784f242e851,Distributed control circuits across a brain-and-cord connectome.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,608d0764419b1c041fc943fa3a2d41fa81794a816c97673e1c3cb9c7b6b88793,batch_000,core_relevant,"['reconstruction_segmentation', 'biological_application', 'network_science']",0.97,first densely-reconstructed adult fly connectome that unites the brain and ventral nerve cord; maps of neurons and synapses,Dense reconstructed fly brain–cord synaptic connectome.,[],False,,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,10.1038/s41586-026-10735-w,"Just as genomes revolutionized molecular genetics, connectomes (maps of neurons and synapses) are transforming neuroscience. To date, the only organisms with complete connectomes are worms1-3, sea squirts4, and comb jellies5 (103-104 synapses). By contrast, the fruit fly is more complex (108 synaptic connections), with a brain that supports learning and spatial memory6,7 and an intricate ventral nerve cord analogous to the vertebrate spinal cord8-12. Here we report the first densely-reconstructed adult fly connectome that unites the brain and ventral nerve cord, and we leverage this resource to investigate principles of neural control. We show that effector neurons (motor neurons, endocrine cells, and efferent neurons targeting the viscera) are primarily influenced by sensory neurons in the same body part, forming local feedback loops. These local loops are linked by long-range circuits involving ascending and descending neurons organized into behavior-centric modules. Single ascending and descending neurons are often positioned to influence the voluntary movements of multiple body parts, together with the endocrine cells or visceral organs that support those movements. Brain regions involved in learning and navigation supervise these circuits. These results reveal an architecture that is distributed, parallelized, and embodied, reminiscent of distributed control architectures in engineered systems13,14.",JournalArticle,3,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00f9b510d0a91b47,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,core_audit,1,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c01b90fa89567cb7487f68eb589ee44dbfc170ab98f5552861fdfad89c8d812e,batch_000,core_relevant,"['synapse_inference', 'reconstruction_segmentation']",0.95,Synaptic connectivity detection ... neural reconstruction from Electron Microscopy (EM) data,EM synapse location/direction detection with deep nets.,[],False,,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,10.1007/978-3-030-11024-6_25,"Synaptic connectivity detection is a critical task for neural reconstruction from Electron Microscopy (EM) data. Most of the existing algorithms for synapse detection do not identify the cleft location and direction of connectivity simultaneously. The few methods that computes direction along with contact location have only been demonstrated to work on either dyadic (most common in vertebrate brain) or polyadic (found in fruit fly brain) synapses, but not on both types. In this paper, we present an algorithm to automatically predict the location as well as the direction of both dyadic and polyadic synapses. The proposed algorithm first generates candidate synaptic connections from voxelwise predictions of signed proximity generated by a 3D U-net. A second 3D CNN then prunes the set of candidates to produce the final detection of cleft and connectivity orientation. Experimental results demonstrate that the proposed method outperforms the existing methods for determining synapses in both rodent and fruit fly brain. (Code at: https://github.com/paragt/EMSynConn).",JournalArticle,14,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,1,529dced83d9366301577eec26503d894116c54f5,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4eec9a769f3666ca298c0497ebddc92911d1c85955a2cc0020642eb1245f2580,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,functional inhibitory connectome; synaptic conductance inference ... whole-cell recordings; synaptic interactions,"Electrophysiological synaptic circuit mapping in preBötC—synaptic-resolution physiology, not EM reconstruction.",[],True,low_confidence,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,10.64898/2026.05.23.727419,"The preBötzinger Complex (preBötC) within the medulla oblongata contains neuronal circuits critical for generating the mammalian respiratory rhythm, but the functional connectivity among its core excitatory and inhibitory populations remains debated. Defining this connectivity requires disentangling synaptic interactions of functionally identified excitatory and inhibitory preBötC neurons with various electrophysiological phenotypes. We applied a novel synaptic conductance inference method to whole-cell recordings from genetically specified VgluT2-expressing (excitatory) and VGAT-expressing (inhibitory) preBötC neurons active in the rhythmic medullary slice in vitro, which contains core inhibitory-excitatory circuitry with an excitatory rhythmogenic kernel. We found that this circuitry consists of a self-exciting inspiratory VgluT2 population coupled to inspiratory and expiratory VGAT populations that interact reciprocally through inhibition. The functional inhibitory connectome is more complex than previously understood. However, compared with functional synaptic interactions inferred from recordings in the preBötC in situ, the neuronal synaptic conductance profiles in the rhythmic slice reveal a functionally reduced inhibitory connectome, characterized by prominent tonic expiratory inhibition and phasic inspiratory inhibition, without the characteristic multiphasic structure in situ. These results indicate that the functional excitatory and inhibitory circuit interactions within the preBötC isolated in vitro, although reduced relative to more intact states in situ, are intrinsically designed to generate coordinated inspiratory and expiratory population activity. Tonic expiratory phase inhibition together with inspiratory phasic inhibition serves to regulate excitability and phase transitions of the excitatory rhythmogenic kernel.",JournalArticle,0,False,True,adjacent_relevant,adjacent,[],,0
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3ddafd2871b000296d7380b10d4afab09e8035b9f12f80969d0af2f80b91b7c9,batch_000,role_bridge,['infrastructure'],0.75,Brain Architecture Knowledge Management System (BAMS); constructing interrelated connectomes; large-scale connection matrices,"Neuroinformatics/annotation infrastructure for mammalian macroconnectomes—role bridge, not nanoscale core.",['mesoscale_only'],True,low_confidence,M. Bota; H. Dong; L. Swanson,2012.0,Front. Neuroinform.,10.3389/fninf.2012.00002,"Many different independently published neuroanatomical parcellation schemes (brain maps, nomenclatures, or atlases) can exist for a particular species, although one scheme (a standard scheme) is typically chosen for mapping neuroanatomical data in a particular study. This is problematic for building connection matrices (connectomes) because the terms used to name structures in different parcellation schemes differ widely and interrelationships are seldom defined. Therefore, data sets cannot be compared across studies that have been mapped on different neuroanatomical atlases without a reliable translation method. Because resliceable 3D brain models for relating systematically and topographically different parcellation schemes are still in the first phases of development, it is necessary to rely on qualitative comparisons between regions and tracts that are either inserted directly by neuroanatomists or trained annotators, or are extracted or inferred by collators from the available literature. To address these challenges, we developed a publicly available neuroinformatics system, the Brain Architecture Knowledge Management System (BAMS; http://brancusi.usc.edu/bkms). The structure and functionality of BAMS is briefly reviewed here, as an exemplar for constructing interrelated connectomes at different levels of the mammalian central nervous system organization. Next, the latest version of BAMS rat macroconnectome is presented because it is significantly more populated with the number of inserted connectivity reports exceeding a benchmark value (50,000), and because it is based on a different classification scheme. Finally, we discuss a general methodology and strategy for producing global connection matrices, starting with rigorous mapping of data, then inserting and annotating it, and ending with online generation of large-scale connection matrices.",JournalArticle;Review,46,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,05f01efad07a18fa192e9506d76c21ddebfcb5581b11424f00be7f6b27693af1,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality', 'infrastructure']",0.78,whole-brain connectome in consistent single-neuron resolution; optical imaging ... tracing and surveying,Optical brainsmatics for single-neuron-resolution whole-brain connectivity—adjacent modality to EM core.,[],True,low_confidence,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,10.3390/photonics6030098,"When neuroscience’s focus moves from molecular and cellular level to systems level, information technology mixes in and cultivates a new branch neuroinformatics. Especially under the investments of brain initiatives all around the world, brain atlases and connectomics are identified as the substructure to understand the brain. We think it is time to call for a potential interdisciplinary subject, brainsmatics, referring to brain-wide spatial informatics science and emphasizing on precise positioning information affiliated to brain-wide connectome, genome, proteome, transcriptome, metabolome, etc. Brainsmatics methodology includes tracing, surveying, visualizing, and analyzing brain-wide spatial information. Among all imaging techniques, optical imaging is the most appropriate solution to achieve whole-brain connectome in consistent single-neuron resolution. This review aims to introduce contributions of optical imaging to brainsmatics studies, especially the major strategies applied in tracing and surveying processes. After discussions on the state-of-the-art technology, the development objectives of optical imaging in brainsmatics field are suggested. We call for a global contribution to the brainsmatics field from all related communities such as neuroscientists, biologists, engineers, programmers, chemists, mathematicians, physicists, clinicians, pharmacists, etc. As the leading approach, optical imaging will, in turn, benefit from the prosperous development of brainsmatics.",Review,4,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_01c85c45ede98837,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,role_bridge,1,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,VICE: Visual Identification and Correction of Neural Circuit Errors,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5204060d9d7e0380ff1e70c46ea5472f0ec87e0ee3c97e14ec1c5a8f4f327251,batch_000,core_relevant,"['proofreading_qc', 'infrastructure']",0.94,electron microscopy (EM) datasets ... reconstructions of neurons possible at the nanometer scale; proofreading ... connectivity-related errors; synapse clustering,Interactive proofreading tool for EM neural circuit segmentation/connectivity errors.,[],False,,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),10.1111/cgf.14320,"A connectivity graph of neurons at the resolution of single synapses provides scientists with a tool for understanding the nervous system in health and disease. Recent advances in automatic image segmentation and synapse prediction in electron microscopy (EM) datasets of the brain have made reconstructions of neurons possible at the nanometer scale. However, automatic segmentation sometimes struggles to segment large neurons correctly, requiring human effort to proofread its output. General proofreading involves inspecting large volumes to correct segmentation errors at the pixel level, a visually intensive and time‐consuming process. This paper presents the design and implementation of an analytics framework that streamlines proofreading, focusing on connectivity‐related errors. We accomplish this with automated likely‐error detection and synapse clustering that drives the proofreading effort with highly interactive 3D visualizations. In particular, our strategy centers on proofreading the local circuit of a single cell to ensure a basic level of completeness. We demonstrate our framework's utility with a user study and report quantitative and subjective feedback from our users. Overall, users find the framework more efficient for proofreading, understanding evolving graphs, and sharing error correction strategies.",JournalArticle,14,True,False,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_01fc48c8442aa598,97bfc5a1af7a415bcce280e926eecdf6e6142e04,core_audit,1,97bfc5a1af7a415bcce280e926eecdf6e6142e04,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,34300dc1bda9b87ab29da079c9fc01f1d521855d002fcba3a34e12ac3bc1ff51,batch_000,core_relevant,"['biological_application', 'network_science']",0.9,entire brain connectome for eight Caenorhabditis elegans; synapse changes shape the connectome topology,Commentary on developmental EM C. elegans brain connectomes.,[],False,,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,10.1016/j.tics.2021.10.001,A recent study by Witvliet et al. reconstructed the entire brain connectome for eight Caenorhabditis elegans spanning from birth to adulthood and described how synapse changes shape the connectome topology during development. Their data suggest some convergent developmental principles in connectome maturation between C. elegans and humans.,JournalArticle,3,False,True,core_relevant,core_high_confidence,[],,0
