work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_02c7b46148a6c4a5,0a92fc355f87d3fc84f7cb40d3f1d0c621fab2cc,core_audit,1,0a92fc355f87d3fc84f7cb40d3f1d0c621fab2cc,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,af12af8f80ae849d61d956821e55cd70a1b1cd57f2f09e5f3e3a1847f971a968,batch_000,core_relevant,"['biological_application', 'synapse_inference']",0.93,"serial electron microscopy; postsynaptic densities (PSDs), vesicles; Synapses, defined by the colocalization of PSDs and vesicles",Serial EM ultrastructure of CA3→CA1 axons and synapses.,[],False,,G. Shepherd; K. Harris,1998.0,Journal of Neuroscience,10.1523/jneurosci.18-20-08300.1998,"Physiological studies of CA3→CA1 synaptic transmission and plasticity have revealed both pre- and postsynaptic effects. Understanding the extent to which individual presynaptic axonal boutons could provide local compartments for control of synaptic efficacy and microconnectivity requires knowledge of their three-dimensional morphology and composition. In hippocampal slices, serial electron microscopy was used to examine a nearly homogeneous population of CA3→CA1 axons in the middle of stratum radiatum of area CA1. The locations of postsynaptic densities (PSDs), vesicles, and mitochondria were determined along 75 axon segments (9.1 ± 2.0 μm in length). Synapses, defined by the colocalization of PSDs and vesicles, occurred on average at 2.7 μm intervals along the axons. Most varicosities (68%) had one PSD, 19% had 2–4 PSDs, and 13% had none. Synaptic vesicles occurred in 90% of the varicosities. One-half (53%) of the varicosities lacked mitochondria, raising questions about their regulation of ATP and Ca2+, and 8% of varicosities contained only mitochondria. Eleven axons were reconstructed fully. The varicosities were oblong and varied greatly in both length (1.1 ± 0.7 μm) and volume (0.13 ± 0.14 μm3), whereas the intervaricosity shafts were narrow, tubular, and similar in diameter (0.17 ± 0.04 μm) but variable in length (1.4 ± 1.2 μm). The narrow axonal shafts resemble dendritic spine necks and thus could promote biochemical compartmentalization of individual axonal varicosities. The findings raise the intriguing possibility of localized differences in metabolism and connectivity among different axons, varicosities, and synapses.",JournalArticle,515,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_047e0665d50b50ba,e07e61de05d30a348cb7b4cb38aede541f80941c,role_bridge,1,e07e61de05d30a348cb7b4cb38aede541f80941c,Crowdsourcing the creation of image segmentation algorithms for connectomics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,a7925f2725be7a560f6bb922187b713fdc803a7cb24b41c335b7a4fadf42ead5,batch_000,core_relevant,"['reconstruction_segmentation', 'infrastructure', 'training_outreach']",0.95,2D segmentation of electron microscopic (EM) images of the brain; reconstruction of neural circuits; challenge on connectomics,Crowdsourced EM segmentation challenge foundational for connectomics reconstruction.,[],False,,Ignacio Arganda-Carreras; Srinivas C. Turaga; D. Berger; D. Ciresan; A. Giusti; L. Gambardella; J. Schmidhuber; D. Laptev; Sarvesh Dwivedi; J. Buhmann; Ting Liu; Mojtaba Seyedhosseini; T. Tasdizen; L. Kamentsky; Radim Burget; Václav Uher; Xiao Tan; Changming Sun; T. Pham; Erhan Bas; M. Uzunbas; Albert Cardona; J. Schindelin; H. Seung,2015.0,Frontiers in Neuroanatomy,10.3389/fnana.2015.00142,"To stimulate progress in automating the reconstruction of neural circuits, we organized the first international challenge on 2D segmentation of electron microscopic (EM) images of the brain. Participants submitted boundary maps predicted for a test set of images, and were scored based on their agreement with a consensus of human expert annotations. The winning team had no prior experience with EM images, and employed a convolutional network. This “deep learning” approach has since become accepted as a standard for segmentation of EM images. The challenge has continued to accept submissions, and the best so far has resulted from cooperation between two teams. The challenge has probably saturated, as algorithms cannot progress beyond limits set by ambiguities inherent in 2D scoring and the size of the test dataset. Retrospective evaluation of the challenge scoring system reveals that it was not sufficiently robust to variations in the widths of neurite borders. We propose a solution to this problem, which should be useful for a future 3D segmentation challenge.",JournalArticle,370,True,False,core_relevant,core_high_confidence,"['field_defining', 'core_methods', 'key_for_students']",field_defining,3
work_0641fb974f5264cf,ae5b8952f36b33b8130f862101bdac62ca22d65f,core_audit,1,ae5b8952f36b33b8130f862101bdac62ca22d65f,mGRASP enables mapping mammalian synaptic connectivity with light microscopy,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bee8f798bf839f8fa184020a20378f33641ecb6ebd54fb0dda7d7ad76bf8a200,batch_001,core_relevant,"['synapse_inference', 'alternative_modality', 'biological_application']",0.94,mapping mammalian synaptic connectivity with light microscopy; mGRASP; detect the location of synapses,mGRASP light-microscopy method for mammalian synaptic connectivity mapping.,[],False,,Jinhyung Kim; Ting Zhao; R. Petralia; Yang Yu; Hanchuan Peng; E. Myers; J. Magee,2011.0,Nature Methods,10.1038/nmeth.1784,"The GFP reconstitution across synaptic partners (GRASP) technique, based on functional complementation between two nonfluorescent GFP fragments, can be used to detect the location of synapses quickly, accurately and with high spatial resolution. The method has been previously applied in the nematode and the fruit fly but requires substantial modification for use in the mammalian brain. We developed mammalian GRASP (mGRASP) by optimizing transmembrane split-GFP carriers for mammalian synapses. Using in silico protein design, we engineered chimeric synaptic mGRASP fragments that were efficiently delivered to synaptic locations and reconstituted GFP fluorescence in vivo. Furthermore, by integrating molecular and cellular approaches with a computational strategy for the three-dimensional reconstruction of neurons, we applied mGRASP to both long-range circuits and local microcircuits in the mouse hippocampus and thalamocortical regions, analyzing synaptic distribution in single neurons and in dendritic compartments.",JournalArticle,275,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_06a819921125fd5b,9e41cbe6ae16fc554f535fce713a76085ccfbdf5,core_audit,1,9e41cbe6ae16fc554f535fce713a76085ccfbdf5,The complete connectome of a learning and memory centre in an insect brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f3d3687f29544c8820194e4d1b48fc3a28da943bd6cd069d464e119e7581ddd1,batch_001,core_relevant,"['reconstruction_segmentation', 'biological_application', 'synapse_inference']",0.97,"reconstruct one such circuit at synaptic resolution, the Drosophila larval mushroom body; complete connectome of a learning and memory centre",Complete synaptic-resolution Drosophila larval mushroom body connectome.,[],False,,K. Eichler; K. Eichler; Feng Li; Ashok Litwin-Kumar; Youngser Park; Ingrid V. Andrade; Casey M. Schneider-Mizell; T. Saumweber; Annina Huser; Claire Eschbach; B. Gerber; R. Fetter; J. Truman; C. Priebe; L. Abbott; Andreas S. Thum; Marta Zlatic; Marta Zlatic; Albert Cardona; Albert Cardona,2017.0,Nature,10.1101/141762,"Associating stimuli with positive or negative reinforcement is essential for survival, but a complete wiring diagram of a higher-order circuit supporting associative memory has not been previously available. Here we reconstruct one such circuit at synaptic resolution, the Drosophila larval mushroom body. We find that most Kenyon cells integrate random combinations of inputs but that a subset receives stereotyped inputs from single projection neurons. This organization maximizes performance of a model output neuron on a stimulus discrimination task. We also report a novel canonical circuit in each mushroom body compartment with previously unidentified connections: reciprocal Kenyon cell to modulatory neuron connections, modulatory neuron to output neuron connections, and a surprisingly high number of recurrent connections between Kenyon cells. Stereotyped connections found between output neurons could enhance the selection of learned behaviours. The complete circuit map of the mushroom body should guide future functional studies of this learning and memory centre.",JournalArticle,480,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_087e18b9051261d3,421c04ed63e6deaadc4f5ae35eb1b64fdf005e5d,core_audit,1,421c04ed63e6deaadc4f5ae35eb1b64fdf005e5d,A visual motion detection circuit suggested by Drosophila connectomics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,be84055f6cb35f7f899e191bb9ecce8d7c02da5a6bec2a58efd39db81738fa88,batch_001,core_relevant,"['biological_application', 'reconstruction_segmentation', 'synapse_inference']",0.96,"Drosophila connectomics; detailed synaptic connection maps, or connectomes; local motion detection",Motion detection circuit analysis grounded in Drosophila EM connectome.,[],False,,Shin-ya Takemura; A. Bharioke; Zhiyuan Lu; Aljoscha Nern; S. Vitaladevuni; P. Rivlin; W. Katz; D. J. Olbris; Stephen M. Plaza; Philip Winston; Ting Zhao; J. Horne; R. Fetter; Satoko Takemura; Katerina Blazek; Lei-Ann Chang; Omotara Ogundeyi; M. Saunders; Victor L. Shapiro; Christopher Sigmund; G. Rubin; Louis K. Scheffer; I. Meinertzhagen; D. Chklovskii,2013.0,Nature,10.1038/nature12450,"Animal behaviour arises from computations in neuronal circuits, but our understanding of these computations has been frustrated by the lack of detailed synaptic connection maps, or connectomes. For example, despite intensive investigations over half a century, the neuronal implementation of local motion detection in the insect visual system remains elusive. Here we develop a semi-automated pipeline using electron microscopy to reconstruct a connectome, containing 379 neurons and 8,637 chemical synaptic contacts, within the Drosophila optic medulla. By matching reconstructed neurons to examples from light microscopy, we assigned neurons to cell types and assembled a connectome of the repeating module of the medulla. Within this module, we identified cell types constituting a motion detection circuit, and showed that the connections onto individual motion-sensitive neurons in this circuit were consistent with their direction selectivity. Our results identify cellular targets for future functional investigations, and demonstrate that connectomes can provide key insights into neuronal computations.",JournalArticle,695,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_0902ad628efcc7dd,8d0b6bdafd73a90dfc98a5598c7f43a52297e0ea,core_audit,1,8d0b6bdafd73a90dfc98a5598c7f43a52297e0ea,Cliques of Neurons Bound into Cavities Provide a Missing Link between Structure and Function,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,ac16bb42f71ae29f5434c47ff11afd53627ad1f5fe1f1349213a0bf7e9b60694,batch_001,core_relevant,"['structure_function_modeling', 'network_science', 'synapse_inference']",0.9,direction of synaptic transmission; graphs of a network; structure and function,Directed synaptic-graph clique/cavity analysis linking structure and function.,[],False,,Michael W. Reimann; Max Nolte; M. Scolamiero; Katharine Turner; R. Perin; G. Chindemi; Paweł Dłotko; R. Levi; K. Hess; H. Markram,2016.0,Frontiers in Computational Neuroscience,10.3389/fncom.2017.00048,"The lack of a formal link between neural network structure and its emergent function has hampered our understanding of how the brain processes information. We have now come closer to describing such a link by taking the direction of synaptic transmission into account, constructing graphs of a network that reflect the direction of information flow, and analyzing these directed graphs using algebraic topology. Applying this approach to a local network of neurons in the neocortex revealed a remarkably intricate and previously unseen topology of synaptic connectivity. The synaptic network contains an abundance of cliques of neurons bound into cavities that guide the emergence of correlated activity. In response to stimuli, correlated activity binds synaptically connected neurons into functional cliques and cavities that evolve in a stereotypical sequence toward peak complexity. We propose that the brain processes stimuli by forming increasingly complex functional cliques and cavities.",JournalArticle,423,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_0c32ed27e86551f0,135c13c542c4358a05caa5eccf4fdf23dcafcc77,core_audit,1,135c13c542c4358a05caa5eccf4fdf23dcafcc77,A Connectome of the Adult Drosophila Central Brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,744af3061138834f9bb5dbcbd252da45ea2c19578022d5975441acf05471683a,batch_001,core_relevant,"['reconstruction_segmentation', 'biological_application', 'network_science']",0.97,Connectome of the Adult Drosophila Central Brain; complete circuitry of a large fraction of an adult insect brain; FlyEM,Adult Drosophila central brain EM connectome (hemibrain).,[],False,,C. Xu; Michał Januszewski; Zhiyuan Lu; Shin-ya Takemura; K. Hayworth; Gary B. Huang; Kazunori Shinomiya; Jeremy B. Maitin-Shepard; David Ackerman; S. Berg; T. Blakely; J. Bogovic; Jody Clements; Tom Dolafi; Philip M. Hubbard; Dagmar Kainmueller; W. Katz; Takashi Kawase; K. Khairy; Laramie Leavitt; Peter H. Li; Larry F. Lindsey; Nicole L. Neubarth; D. J. Olbris; H. Otsuna; Eric T. Troutman; L. Umayam; Ting Zhao; Masayoshi Ito; Jens Goldammer; T. Wolff; Rob Svirskas; P. Schlegel; Erika Neace; Christopher Knecht; Chelsea X. Alvarado; Dennis Bailey; Samantha Ballinger; J. Borycz; Brandon S Canino; Natasha Cheatham; Michael Cook; M. Dreher; O. Duclos; Bryon Eubanks; K. Fairbanks; Samantha Finley; N. Forknall; Audrey Francis; G. Hopkins; Emily M Joyce; SungJin Kim; Nicole A Kirk; Julie Kovalyak; Shirley A Lauchie; Alanna Lohff; Charli A Maldonado; Emily A Manley; Sari McLin; Caroline Mooney; Miatta Ndama; Omotara Ogundeyi; Nneoma Okeoma; Christopher Ordish; Nicholas Padilla; Christopher Patrick; Tyler Paterson; Elliott Phillips; E. M. Phillips; Neha Rampally; C. Ribeiro; Madelaine K Robertson; J. Rymer; S. Ryan; Megan Sammons; A. K. Scott; Ashley L. Scott; A. Shinomiya; Claire Smith; Kelsey Smith; Natalie Smith; Margaret A. Sobeski; A. Suleiman; Jackie Swift; Satoko Takemura; Iris Talebi; Dorota Tarnogorska; Emily Tenshaw; Temour Tokhi; J. Walsh; Tansy Yang; J. Horne; Feng Li; Ruchi Parekh; P. Rivlin; V. Jayaraman; Kei Ito; S. Saalfeld; R. George; I. Meinertzhagen; G. Rubin; H. Hess; Louis K. Scheffer; Viren Jain; Stephen M. Plaza,2020.0,bioRxiv,10.1101/2020.01.21.911859,"The neural circuits responsible for behavior remain largely unknown. Previous efforts have reconstructed the complete circuits of small animals, with hundreds of neurons, and selected circuits for larger animals. Here we (the FlyEM project at Janelia and collaborators at Google) summarize new methods and present the complete circuitry of a large fraction of the brain of a much more complex animal, the fruit fly Drosophila melanogaster. Improved methods include new procedures to prepare, image, align, segment, find synapses, and proofread such large data sets; new methods that define cell types based on connectivity in addition to morphology; and new methods to simplify access to a large and evolving data set. From the resulting data we derive a better definition of computational compartments and their connections; an exhaustive atlas of cell examples and types, many of them novel; detailed circuits for most of the central brain; and exploration of the statistics and structure of different brain compartments, and the brain as a whole. We make the data public, with a web site and resources specifically designed to make it easy to explore, for all levels of expertise from the expert to the merely curious. The public availability of these data, and the simplified means to access it, dramatically reduces the effort needed to answer typical circuit questions, such as the identity of upstream and downstream neural partners, the circuitry of brain regions, and to link the neurons defined by our analysis with genetic reagents that can be used to study their functions. Note: In the next few weeks, we will release a series of papers with more involved discussions. One paper will detail the hemibrain reconstruction with more extensive analysis and interpretation made possible by this dense connectome. Another paper will explore the central complex, a brain region involved in navigation, motor control, and sleep. A final paper will present insights from the mushroom body, a center of multimodal associative learning in the fly brain.",,178,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
work_17f8a533cf7cabc4,6c2947d9695825e8668f8ae7836b027195c079e3,core_audit,1,6c2947d9695825e8668f8ae7836b027195c079e3,A Cellular-Resolution Atlas of the Larval Zebrafish Brain.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,dc35b513df53cb883e639b163c0169786ad6f691a84ee67b84b00bfb28462e90,batch_003,core_relevant,"['infrastructure', 'biological_application']",0.88,"cellular-resolution atlas... ground truth for synapse-scale, electron microscopic reconstructions",Zebrafish neuronal atlas supporting EM connectome reconstruction.,[],False,,Michael Kunst; Eva Laurell; Nouwar Mokayes; Anna Kramer; H. Baier,2019.0,Neuron,10.1016/j.neuron.2019.04.034,"Understanding brain-wide neuronal dynamics requires a detailed map of the underlying circuit architecture. We built an interactive cellular-resolution atlas of the zebrafish brain at 6 days post-fertilization (dpf) based on the reconstructions of over 2,000 individually GFP-labeled neurons. We clustered our dataset in ""morphotypes,"" establishing a unique database of quantitatively described neuronal morphologies together with their spatial coordinates in vivo. Over 100 transgene expression patterns were imaged separately and co-registered with the single-neuron atlas. By annotating 72 non-overlapping brain regions, we generated from our dataset an inter-areal wiring diagram of the larval brain, which serves as ground truth for synapse-scale, electron microscopic reconstructions. Interrogating our atlas by ""virtual tract tracing"" has already revealed previously unknown wiring principles in the tectum and the cerebellum. In conclusion, we present here an evolving computational resource and visualization tool, which will be essential to map function to structure in a vertebrate brain.",JournalArticle,239,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods', 'key_for_students']",field_defining,3
work_1d87c152cf48058c,0469e73159d9102c31036c1eb6a9b22ae2ed7021,core_audit,1,0469e73159d9102c31036c1eb6a9b22ae2ed7021,Enhanced FIB-SEM systems for large-volume 3D imaging,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,d77165c5ab22a26565930393c3e54eb666de3f4782205a0500f1436e403f4b97,batch_004,core_relevant,"['acquisition_preparation', 'infrastructure']",0.97,"volumes are large enough for connectomics, where the excellent z resolution can help in tracing of small neuronal processes",FIB-SEM systems enabling large-volume connectomics imaging.,[],False,,Shan Xu; K. Hayworth; Zhiyuan Lu; Patricia Grob; A. Hassan; José G García-Cerdán; Krishna K. Niyogi; E. Nogales; R. Weinberg; Harald F. Hess,2017.0,eLife,10.7554/elife.25916,"Focused Ion Beam Scanning Electron Microscopy (FIB-SEM) can automatically generate 3D images with superior z-axis resolution, yielding data that needs minimal image registration and related post-processing. Obstacles blocking wider adoption of FIB-SEM include slow imaging speed and lack of long-term system stability, which caps the maximum possible acquisition volume. Here, we present techniques that accelerate image acquisition while greatly improving FIB-SEM reliability, allowing the system to operate for months and generating continuously imaged volumes > 106 µm3. These volumes are large enough for connectomics, where the excellent z resolution can help in tracing of small neuronal processes and accelerate the tedious and time-consuming human proofreading effort. Even higher resolution can be achieved on smaller volumes. We present example data sets from mammalian neural tissue, Drosophila brain, and Chlamydomonas reinhardtii to illustrate the power of this novel high-resolution technique to address questions in both connectomics and cell biology. DOI: http://dx.doi.org/10.7554/eLife.25916.001",JournalArticle,364,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods', 'key_for_students']",field_defining,3
work_1f5bc11fd70f625f,9607425d85085511d5e7d081c81db113dc3dfed7,core_audit,1,9607425d85085511d5e7d081c81db113dc3dfed7,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bf179ac499d9a7e0f34dda1c8794bd88c513012d3f30963f43d8de5de18050ff,batch_005,core_relevant,"['reconstruction_segmentation', 'acquisition_preparation']",0.98,reconstruction of the ultrastructure of a cubic millimeter of human temporal cortex ... about 150 million synapses,Petavoxel human cortex EM connectome reconstruction.,[],False,,Alexander Shapson-Coe; M. Januszewski; Daniel R. Berger; Art Pope; Yuelong Wu; Tim Blakely; R. Schalek; Peter H. Li; Shuohong Wang; Jeremy B. Maitin-Shepard; N. Karlupia; S. Dorkenwald; Evelina Sjostedt; Laramie Leavitt; Dongil Lee; J. Troidl; F. Collman; Luke Bailey; A. Fitzmaurice; Rohin Kar; B. Field; Hank Wu; J. Wagner-Carena; David Aley; J. Lau; Zudi Lin; D. Wei; Hanspeter Pfister; A. Peleg; Viren Jain; J. Lichtman,2024.0,Science,10.1126/science.adk4858,"To fully understand how the human brain works, knowledge of its structure at high resolution is needed. Presented here is a computationally intensive reconstruction of the ultrastructure of a cubic millimeter of human temporal cortex that was surgically removed to gain access to an underlying epileptic focus. It contains about 57,000 cells, about 230 millimeters of blood vessels, and about 150 million synapses and comprises 1.4 petabytes. Our analysis showed that glia outnumber neurons 2:1, oligodendrocytes were the most common cell, deep layer excitatory neurons could be classified on the basis of dendritic orientation, and among thousands of weak connections to each neuron, there exist rare powerful axonal inputs of up to 50 synapses. Further studies using this resource may bring valuable insights into the mysteries of the human brain. Editor’s summary A complete understanding of the human brain begins with elucidation of its structural properties at a subcellular level. To provide a valuable resource for the scientific community and to better understand the structure of the human temporal cortex, Shapson-Coe et al. performed an electron microscopy reconstruction of a cubic millimeter of human temporal cortex. The authors produced 1.4 petabytes of electron microscopy data; classified and quantified cell types, vessels and synapses; and developed a freely available tool for analyzing these data. Their findings allowed the authors to identify previously unknown aspects of the human temporal cortex. —Mattia Maroso INTRODUCTION Although the functions performed by most of the vital organs in humans are not very different compared with other animals, those performed by the human brain clearly separate us from the rest of life on the planet. However, detailed knowledge concerning the synaptic circuitry underlying human brain function is lacking. Connectomic imaging approaches are now available to render neural circuits of sufficiently large volume and high enough resolution to study the connectivity at the level of individual neurons and their synaptic connections but over a scale comprising thousands of neurons. Generating such a dataset was the goal of this project. RATIONALE One critical barrier to obtaining human neural circuits has been the access to high-quality human brain tissue. Organ biopsies provide valuable information in many human organ systems, but biopsies are rarely done in the brain except to examine or excise neoplastic masses, so most of them are problematic for the investigation of normal human brain structure. One attempt has been to use brain organoids made from human cells, but at present, they do not approximate brain tissue architectonics (e.g., cortical layers are not present). A direct approach would be to map cells and circuits from human specimens made available from neurosurgical interventions for neurological conditions in which pieces of the cortex are discarded because they obstruct access to a pathological site. We posited that the human brain tissue that is a by-product of neurosurgical procedures could be leveraged to study normal—and ultimately disordered—human neural circuits. RESULTS Here, we describe such a sample of human temporal cortex, 1 mm3 in volume, which extends through all cortical layers. The sample was obtained during surgery to gain access to an underlying hippocampal lesion from a patient with epilepsy. We imaged this sample by high-throughput serial section electron microscopy, generating a petascale dataset that was analyzed with new tools and computationally intensive methods. We reconstructed thousands of neurons, more than a hundred million synaptic connections, and all of the other tissue elements that comprise human brain matter, including glial cells, the blood vasculature, and myelin. Because the dataset is large and incompletely scrutinized, we are sharing all of the data in an online resource (https://h01-release.storage.googleapis.com/landing.html) and also providing tools for analysis and proofreading. We found a previously unrecognized class of directionally oriented neurons in deep layers (see figure, panel J) and very powerful and rare multisynaptic connections between neurons throughout the sample (see figure, panel K). CONCLUSION This work provides evidence of the feasibility of human connectomic approaches to visualize and ultimately gain insight into the physical underpinnings of normal and disordered human brain function. It is hoped that this endeavor will be aided by providing free access to all of the data and relevant tools. The shared H01 dataset. A range of histological features in 1 mm3 of human brain were rendered, including neuropil (A) and its segmentation (B) at nanometer resolution, annotated synapses (C), excitatory neurons (D), inhibitory neurons (E), astrocytes (F), oligodendrocytes (G), myelin (H), and blood vessels (I). A previously unrecognized neuronal class (J) and multisynaptic connections (K) were also identified.",JournalArticle,295,False,True,core_relevant,core_high_confidence,"['field_defining', 'core_methods']",field_defining,2
