work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3ddafd2871b000296d7380b10d4afab09e8035b9f12f80969d0af2f80b91b7c9,batch_000,role_bridge,['infrastructure'],0.75,Brain Architecture Knowledge Management System (BAMS); constructing interrelated connectomes; large-scale connection matrices,"Neuroinformatics/annotation infrastructure for mammalian macroconnectomes—role bridge, not nanoscale core.",['mesoscale_only'],True,low_confidence,M. Bota; H. Dong; L. Swanson,2012.0,Front. Neuroinform.,10.3389/fninf.2012.00002,"Many different independently published neuroanatomical parcellation schemes (brain maps, nomenclatures, or atlases) can exist for a particular species, although one scheme (a standard scheme) is typically chosen for mapping neuroanatomical data in a particular study. This is problematic for building connection matrices (connectomes) because the terms used to name structures in different parcellation schemes differ widely and interrelationships are seldom defined. Therefore, data sets cannot be compared across studies that have been mapped on different neuroanatomical atlases without a reliable translation method. Because resliceable 3D brain models for relating systematically and topographically different parcellation schemes are still in the first phases of development, it is necessary to rely on qualitative comparisons between regions and tracts that are either inserted directly by neuroanatomists or trained annotators, or are extracted or inferred by collators from the available literature. To address these challenges, we developed a publicly available neuroinformatics system, the Brain Architecture Knowledge Management System (BAMS; http://brancusi.usc.edu/bkms). The structure and functionality of BAMS is briefly reviewed here, as an exemplar for constructing interrelated connectomes at different levels of the mammalian central nervous system organization. Next, the latest version of BAMS rat macroconnectome is presented because it is significantly more populated with the number of inserted connectivity reports exceeding a benchmark value (50,000), and because it is based on a different classification scheme. Finally, we discuss a general methodology and strategy for producing global connection matrices, starting with rigorous mapping of data, then inserting and annotating it, and ending with online generation of large-scale connection matrices.",JournalArticle;Review,46,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,05f01efad07a18fa192e9506d76c21ddebfcb5581b11424f00be7f6b27693af1,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality', 'infrastructure']",0.78,whole-brain connectome in consistent single-neuron resolution; optical imaging ... tracing and surveying,Optical brainsmatics for single-neuron-resolution whole-brain connectivity—adjacent modality to EM core.,[],True,low_confidence,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,10.3390/photonics6030098,"When neuroscience’s focus moves from molecular and cellular level to systems level, information technology mixes in and cultivates a new branch neuroinformatics. Especially under the investments of brain initiatives all around the world, brain atlases and connectomics are identified as the substructure to understand the brain. We think it is time to call for a potential interdisciplinary subject, brainsmatics, referring to brain-wide spatial informatics science and emphasizing on precise positioning information affiliated to brain-wide connectome, genome, proteome, transcriptome, metabolome, etc. Brainsmatics methodology includes tracing, surveying, visualizing, and analyzing brain-wide spatial information. Among all imaging techniques, optical imaging is the most appropriate solution to achieve whole-brain connectome in consistent single-neuron resolution. This review aims to introduce contributions of optical imaging to brainsmatics studies, especially the major strategies applied in tracing and surveying processes. After discussions on the state-of-the-art technology, the development objectives of optical imaging in brainsmatics field are suggested. We call for a global contribution to the brainsmatics field from all related communities such as neuroscientists, biologists, engineers, programmers, chemists, mathematicians, physicists, clinicians, pharmacists, etc. As the leading approach, optical imaging will, in turn, benefit from the prosperous development of brainsmatics.",Review,4,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_01c85c45ede98837,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,role_bridge,1,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,VICE: Visual Identification and Correction of Neural Circuit Errors,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5204060d9d7e0380ff1e70c46ea5472f0ec87e0ee3c97e14ec1c5a8f4f327251,batch_000,core_relevant,"['proofreading_qc', 'infrastructure']",0.94,electron microscopy (EM) datasets ... reconstructions of neurons possible at the nanometer scale; proofreading ... connectivity-related errors; synapse clustering,Interactive proofreading tool for EM neural circuit segmentation/connectivity errors.,[],False,,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),10.1111/cgf.14320,"A connectivity graph of neurons at the resolution of single synapses provides scientists with a tool for understanding the nervous system in health and disease. Recent advances in automatic image segmentation and synapse prediction in electron microscopy (EM) datasets of the brain have made reconstructions of neurons possible at the nanometer scale. However, automatic segmentation sometimes struggles to segment large neurons correctly, requiring human effort to proofread its output. General proofreading involves inspecting large volumes to correct segmentation errors at the pixel level, a visually intensive and time‐consuming process. This paper presents the design and implementation of an analytics framework that streamlines proofreading, focusing on connectivity‐related errors. We accomplish this with automated likely‐error detection and synapse clustering that drives the proofreading effort with highly interactive 3D visualizations. In particular, our strategy centers on proofreading the local circuit of a single cell to ensure a basic level of completeness. We demonstrate our framework's utility with a user study and report quantitative and subjective feedback from our users. Overall, users find the framework more efficient for proofreading, understanding evolving graphs, and sharing error correction strategies.",JournalArticle,14,True,False,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_020893805fee7188,37aaa75946613d5c6e0674c244566965315f19ca,core_audit,1,37aaa75946613d5c6e0674c244566965315f19ca,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,0290edd84135a82a3a8ccd62a1429470e1d00284c9bd65c258964d6d09743cd9,batch_000,core_relevant,"['biological_application', 'structure_function_modeling', 'synapse_inference']",0.92,dense electron-microscopy connectomes; EOS connectome and synaptome datasets,Review of Drosophila early olfactory EM connectome/synaptome functional logic.,[],False,,A. Lazar; Yiyin Zhou,2026.0,,,"In recent decades, the early olfactory system (EOS) of the fruit fly has become a leading model for studying olfactory processing and associative memory, owing in part to a well-characterized feedforward pathway that feeds the processes underlying associative memory and by examining the role played by a handful of neurons and synapses. The recent completion of dense electron-microscopy connectomes provides high quality visualizations of every cell type, neuron, and synapse along the early olfactory pathway. Yet a wiring diagram, however complete, does not by itself reveal the functional logic of a neural circuit. Reviewing the EOS connectome and synaptome datasets of the past fifteen years, we note that the feedforward pathway is embedded in dense local feedback circuits of large scale multi-input multi-output neurons. A systematic understanding of feedback loop abstractions, and their capacity to govern the input/output transformations at each neuropil stage, is the underlying foundation of the functional logic of the early olfactory circuits. In addition, we argue that a quantitative account of the functional logic requires an explicit model of the odorants present in the natural environment. Consisting of odorant objects, such a model defines the semantics and syntax of olfactory information processing, and calls for new distance measures for classifying the odorant semantics in support of associative memory operations. Furthermore, odor information processing must abide by causality, treating the circuit as a real-time, stage-by-stage cascade of giant local feedback loops.",Review,0,False,True,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_022f4537397531be,dbdd12988bc177a269e23265f3026c878f8bafbc,role_bridge,1,dbdd12988bc177a269e23265f3026c878f8bafbc,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,d705b320d4cfeab952f100abc5f9a9e3a9fdfda3c25914990929ac8e0576fbe3,batch_000,core_relevant,"['acquisition_preparation', 'infrastructure']",0.93,ultrathin sections onto silicon wafers; volumetric correlative light and electron microscopy; ultrastructural volumetric electron microscopy context,Magnetic collection of ultrathin sections enabling volumetric CLEM for EM connectomics workflows.,[],False,,Thomas Templier,2019.0,bioRxiv,10.7554/elife.45696,"The non-destructive collection of ultrathin sections onto silicon wafers for post-embedding staining and volumetric correlative light and electron microscopy traditionally requires exquisite manual skills and is tedious and unreliable. In MagC introduced here, sample blocks are augmented with a magnetic resin enabling remote actuation and collection of hundreds of sections on wafer. MagC allowed the correlative visualization of neuroanatomical tracers within their ultrastructural volumetric electron microscopy context.",JournalArticle,21,True,False,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_0278bad00a302fb7,72873f1a9faedf9f8825b30298d62d42ae2b0e64,core_audit,1,72873f1a9faedf9f8825b30298d62d42ae2b0e64,Cognitive synaptopathy: synaptic and dendritic spine dysfunction in age-related cognitive disorders,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,62806270de51952c311e7081a75f98ee486a52813016c861f1ff9bed3233a2e6,batch_000,adjacent_relevant,"['biological_application', 'health_translation']",0.68,synaptic and dendritic spine dysfunction; abnormal connectomics at the level of local neuronal circuits,"Review of synaptic/spine dysfunction in cognitive disorders—related synaptic biology, not EM connectomics core.",[],True,low_confidence,Francisco J. Barrantes,2024.0,Frontiers in Aging Neuroscience,10.3389/fnagi.2024.1476909,"Cognitive impairment is a leading component of several neurodegenerative and neurodevelopmental diseases, profoundly impacting on the individual, the family, and society at large. Cognitive pathologies are driven by a multiplicity of factors, from genetic mutations and genetic risk factors, neurotransmitter-associated dysfunction, abnormal connectomics at the level of local neuronal circuits and broader brain networks, to environmental influences able to modulate some of the endogenous factors. Otherwise healthy older adults can be expected to experience some degree of mild cognitive impairment, some of which fall into the category of subjective cognitive deficits in clinical practice, while many neurodevelopmental and neurodegenerative diseases course with more profound alterations of cognition, particularly within the spectrum of the dementias. Our knowledge of the underlying neuropathological mechanisms at the root of this ample palette of clinical entities is far from complete. This review looks at current knowledge on synaptic modifications in the context of cognitive function along healthy ageing and cognitive dysfunction in disease, providing insight into differential diagnostic elements in the wide range of synapse alterations, from those associated with the mild cognitive changes of physiological senescence to the more profound abnormalities occurring at advanced clinical stages of dementia. I propose the term “cognitive synaptopathy” to encompass the wide spectrum of synaptic pathologies associated with higher brain function disorders.",Review;JournalArticle,22,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_029643354bb1e658,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,core_audit,1,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,be19261ece4a3fa604ed13b1489eb6c53a3ab3f0ba5324fa983aad9fcaa4c0ca,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,synaptic connectivity in cortico-thalamo-cortical loops; cell type-specific synaptic connections,Review of CTC synaptic circuit organization—circuit neuroscience adjacent to but not nanoscale connectome mapping.,[],True,low_confidence,G. Shepherd; Naoki Yamawaki,2021.0,Nature Reviews Neuroscience,10.1038/s41583-021-00459-3,"Functions of the neocortex depend on its bidirectional communication with the thalamus, via cortico-thalamo-cortical (CTC) loops. Recent work dissecting the synaptic connectivity in these loops is generating a clearer picture of their cellular organization. Here, we review findings across sensory, motor and cognitive areas, focusing on patterns of cell type-specific synaptic connections between the major types of cortical and thalamic neurons. We outline simple and complex CTC loops, and note features of these loops that appear to be general versus specialized. CTC loops are tightly interlinked with local cortical and corticocortical (CC) circuits, forming extended chains of loops that are probably critical for communication across hierarchically organized cerebral networks. Such CTC–CC loop chains appear to constitute a modular unit of organization, serving as scaffolding for area-specific structural and functional modifications. Inhibitory neurons and circuits are embedded throughout CTC loops, shaping the flow of excitation. We consider recent findings in the context of established CTC and CC circuit models, and highlight current efforts to pinpoint cell type-specific mechanisms in CTC loops involved in consciousness and perception. As pieces of the connectivity puzzle fall increasingly into place, this knowledge can guide further efforts to understand structure–function relationships in CTC loops. The neocortex and the thalamus are connected by looping circuits, enabling cortical function. In this Review, Gordon Shepherd and Naoki Yamawaki examine the patterns of connectivity between the major types of cortical and thalamic neurons and how these cortico-thalamo-cortical loops relate to corticocortical circuits.",Review;JournalArticle,180,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_0308d268ca38e94f,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,core_audit,1,9e3f2be4af4e1b9debd458b655bfc40aa2da4ddb,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,eada29d3f8119b7bafd26c5b72228c50277a9ca140c52f18e2b4f1db8d42defb,batch_000,adjacent_relevant,"['biological_application', 'structure_function_modeling']",0.65,spatial transcriptomics and connectomics; Dual-Control Model of circuit assembly; long-range connectivity,PFC developmental circuit assembly with connectomics context—adjacent developmental circuit biology.,[],True,low_confidence,Tetsuo Yamamori; A. Watakabe; Henrik Skibbe,2026.0,Frontiers in Neuroanatomy,10.3389/fnana.2026.1761080,"The evolutionary expansion of the primate prefrontal cortex (PFC) presents a profound biological enigma: how does this region achieve a highly ordered, modular architecture in the absence of direct dense sensory templates that govern primary sensory areas? In this review, we synthesize classical neuroanatomical frameworks with recent advances in spatial transcriptomics and connectomics to delineate a model of intrinsic elaboration. We propose that PFC modularity emerges from a developmental program facilitated by expansion of the outer subventricular zone (OSVZ) and the legacy of whole-genome duplication (2R-WGD). Central to this proposal is a “Dual-Control Model” of circuit assembly, inferred by integrating anatomical tracer data with spatial and spatiotemporal transcriptomic datasets. This framework suggests that long-range connectivity is established through pre-target axon bundling (fasciculation), governed by a high-dimensional navigation code (e.g., ephrin/Eph, PCDH11X, PCDH17, ROBO2), while these bundles are anchored onto vertical columnar scaffolds through synaptic docking mechanisms (e.g., CBLN2, cadherins). By contrasting the PFC with the map-driven visual system, point-driven olfactory system, and layer-driven hippocampus, we argue that PFC uniqueness lies not in novel genes but in a combinatorial logic of a shared molecular toolkit, which can be understood as intrinsic elaboration. This framework may facilitate the emergence of a cognitive scaffold under relatively weak external sensory constraints. These molecular systems are considered to operate in concert with activity-dependent developmental refinement rather than independently of neural activity.",Review;JournalArticle,0,False,True,adjacent_relevant,adjacent,['key_for_students'],key_for_students,1
work_0344c5d0298b1c78,56b7a9559da3a7ae30c53aea73a129dee36cdc8d,unresolved,1,56b7a9559da3a7ae30c53aea73a129dee36cdc8d,Neural Interactome: Interactive Simulation of a Neuronal System,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5f254234109ce1fe94261aef56f0a0893c112a906464940987ca16ab87caceb0,batch_000,core_relevant,"['structure_function_modeling', 'infrastructure', 'network_science']",0.9,visualize and interact with the structure and dynamics; C. elegans nematode ... full connectome and neural dynamics have been resolved,Interactive simulation platform for C. elegans connectome structure and dynamics.,[],False,,Jimin Kim; W. Leahy; Eli Shlizerman,2017.0,bioRxiv,10.3389/fncom.2019.00008,"Both connectivity and biophysical processes determine the functionality of neuronal networks. We, therefore, develop a real-time framework, called Neural Interactome1, to simultaneously visualize and interact with the structure and dynamics of such networks. Neural Interactome is a cross-platform framework, which combines graph visualization with the simulation of neural dynamics, or experimentally recorded multi neural time series, to allow application of stimuli to neurons to examine network responses. In addition, Neural Interactome supports structural changes, such as disconnection of neurons from the network (ablation feature), as typically done in experiments. Neural dynamics can be explored on a single neuron level (using a zoom feature), back in time (using a review feature) and recorded (using presets feature). We implement the framework using a model of the nervous system of Caenorhabditis elegans (C. elegans) nematode, a model organism for which full connectome and neural dynamics have been resolved. We show that Neural Interactome assists in studying neural response patterns associated with locomotion and other stimuli. In particular, we demonstrate how stimulation and ablation help in identifying neurons that shape particular dynamics. We examine scenarios that were experimentally studied, such as touch response circuit, and explore new scenarios that did not undergo elaborate experimental studies. The development of the Neural Interactome was guided by generic concepts to be applicable to neuronal networks with different neural connectivity and dynamics. Author Summary Emerging neuroimaging techniques and novel optical interfaces which record and control neural dynamics enable detailed computational connectivity and dynamics models for neurobiological systems. An open question stemming from these advances is how to validate, simulate and apply these models to predict network functionality. Supervised empirical exploration to identify functional stimulations is an elaborate process, and direct computational approach of sequential stimulation is also formidable since produces large amounts of data without clarity on how it can be used to steer toward meaningful functionalities. We therefore develop a platform to inspect network dynamics in real time while preserving structural connectivity properties, displaying the dynamics on a graph, with possibilities to identify functional sub circuits and review the simulated dynamics. The platform allows for real time interactions with the network such as variation of stimuli and performing connectivity changes as neural ablation. We apply the platform to Caenorhabditis elegans nematode nervous system model. We revisit experimentally known scenarios of stimulations and show how our platform helps to detect associated neural dynamic patterns within seconds through few interactions. In addition, we show how the platform could provide novel hypotheses for scenarios that were not yet explored empirically. By implementing the platform with flexibility for changes in connectivity and dynamic models, this work sets forth a generic methodology applicable to various neurobiological systems.",JournalArticle;Review,27,False,True,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_03c23d6e53a2fa11,e00f9513a07d683917b64f7aa0dee2dc7ebecaa8,core_audit,1,e00f9513a07d683917b64f7aa0dee2dc7ebecaa8,All-optical visualization of specific molecules in the ultrastructural context of brain tissue,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c34fa190fa6869aeebdc3c5ee48e2d2b960fad163c09fbc7fdb5a7334f2f1c06,batch_000,core_relevant,"['acquisition_preparation', 'synapse_inference', 'infrastructure']",0.95,pan-Expansion Microscopy ... EM-like ultrastructural context; synaptic markers; High potential for high throughput connectomics studies,Expansion microscopy with ultrastructural/synaptic context as optical connectomics alternative to CLEM.,[],False,,O. M’Saad; Ravikiran Kasula; I. Kondratiuk; Phylicia Kidd; H. Falahati; Juliana E. Gentile; Robert F. Niescier; Katherine E Watters; R. Sterner; Seong Lee; Xinran Liu; P. De Camilli; J. Rothman; A. Koleske; T. Biederer; J. Bewersdorf,2022.0,bioRxiv,10.1038/s41587-025-02905-4,"Understanding the molecular anatomy and neural connectivity of the brain requires imaging technologies that can map the 3D nanoscale distribution of specific proteins in the context of brain ultrastructure. Light and electron microscopy (EM) enable visualization of either specific labels or anatomical ultrastructure, but combining molecular specificity with anatomical context is challenging. Here, we present pan-Expansion Microscopy of tissue (pan-ExM-t), an all-optical mouse brain imaging method that combines ∼24-fold linear expansion of biological samples with fluorescent pan-staining of protein densities (providing EM-like ultrastructural context), and immunolabeling of protein targets (for molecular imaging). We demonstrate the versatility of this approach by imaging the established synaptic markers Homer1, Bassoon, PSD-95, Synaptophysin, the astrocytic protein GFAP, myelin basic protein (MBP), and anti-GFP antibodies in dissociated neuron cultures and mouse brain tissue sections. pan-ExM-t reveals these markers in the context of ultrastructural features such as pre and postsynaptic densities, 3D nanoarchitecture of neuropil, and the fine structures of cellular organelles. pan-ExM-t is adoptable in any neurobiological laboratory with access to a confocal microscope and has therefore broad applicability in the research community. Highlights pan-ExM-t visualizes proteins in the context of synaptic ultrastructure Lipid labeling in pan-ExM-t reveals organellar and cellular membranes All-optical, easily accessible alternative to correlative light/electron microscopy High potential for high throughput connectomics studies",JournalArticle,41,False,True,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
