work_id,year,cites,route,landmark,last_author,n_authors,title,venue,doi
work_7519484d8a64bfa5,1996,5611,cites≥200,False,J. Mcintosh,3,Computer visualization of three-dimensional image data using IMOD.,Journal of Structural Biology,10.1006/jsbi.1996.0013
work_d26d9182a414bd2a,2012,3781,cites≥200,False,Beth Stevens,10,Microglia Sculpt Postnatal Neural Circuits in an Activity and Complement-Dependent Manner,Neuron,10.1016/j.neuron.2012.03.026
work_86327903c00368f6,2010,3158,cites≥200,False,Stephen T. C. Wong,6,Reconstruction of the neuromuscular junction connectome,Bioinform.,10.1093/bioinformatics/btq179
work_2b4f63e6ecb953d1,1985,1109,cites≥200,False,S. Brenner,6,The neural circuit for touch sensitivity in Caenorhabditis elegans,Journal of Neuroscience,10.1523/jneurosci.05-04-00956.1985
work_bb4463044f5b072c,2012,975,cites≥200,False,R. Douglas,9,TrakEM2 Software for Neural Circuit Reconstruction,PLoS ONE,10.1371/journal.pone.0038011
work_c3af570cd83d4cfb,2009,954,cites≥200,False,D. Chklovskii,5,Structural Properties of the Caenorhabditis elegans Neuronal Network,PLoS Comput. Biol.,10.1371/journal.pcbi.1001066
work_8cba212f6e7b83ad,2017,911,cites≥200,False,D. Bock,23,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,bioRxiv,10.1016/j.cell.2018.06.019
work_7773a3cd24b3497d,2020,900,cites≥200,False,Stephen M. Plaza,115,A connectome and analysis of the adult Drosophila central brain,bioRxiv,10.7554/elife.57443
work_7afda5ab9166c6fb,2011,889,cites≥200,False,R. Clay Reid,10,Network anatomy and in vivo physiology of visual cortical neurons,Nature,10.1038/nature09802
work_cfa0e3eb48787eff,2019,806,cites≥200,False,Scott W. Emmons,14,Whole-animal connectomes of both Caenorhabditis elegans sexes,Nature,10.1038/s41586-019-1352-7
work_087e18b9051261d3,2013,695,cites≥200,False,D. Chklovskii,24,A visual motion detection circuit suggested by Drosophila connectomics,Nature,10.1038/nature12450
work_ab693beb93fb50a7,2020,580,cites≥200,False,David M. Miller,23,Molecular topography of an entire nervous system,bioRxiv,10.1101/2020.12.15.422897
work_02c7b46148a6c4a5,1998,515,cites≥200,False,KM Harris,2,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,Journal of Neuroscience,10.1523/jneurosci.18-20-08300.1998
work_7ee1f288ebd5d281,2016,486,cites≥200,False,R. Clay Reid,7,Anatomy and function of an excitatory network in the visual cortex,Nature,10.1038/nature17192
work_06a819921125fd5b,2017,480,cites≥200,True,Albert Cardona,20,The complete connectome of a learning and memory centre in an insect brain,Nature,10.1101/141762
work_0902ad628efcc7dd,2016,423,cites≥200,False,Henry Markram,10,Cliques of Neurons Bound into Cavities Provide a Missing Link between Structure and Function,Frontiers in Computational Neuroscience,10.3389/fncom.2017.00048
work_925c3e324896606e,2016,423,cites≥200,False,E. Jokitalo,5,Microscopy Image Browser: A Platform for Segmentation and Analysis of Multidimensional Datasets,PLoS Biology,10.1371/journal.pbio.1002340
work_564cb966947b22a2,2021,395,cites≥200,False,Mei Zhen,16,Connectomes across development reveal principles of brain maturation,Nature,10.1038/s41586-021-03778-8
