author_norm,person_id,person_display_name,name_variants,component_size,is_reconciled_merge
(田中涼介)|rt,person:ryosuke tanaka,Ryosuke Tanaka (田中涼介),Ryosuke Tanaka (田中涼介),1,False
aakhte|m,person:mostafa aakhte,Mostafa Aakhte,Mostafa Aakhte,1,False
abbasi-asl|r,person:reza abbasi asl,Reza Abbasi-Asl,R. Abbasi-Asl; Reza Abbasi-Asl,1,False
abbasi|n,person:n abbasi,N. Abbasi,N. Abbasi,1,False
abbott|l,person:l abbott,L. F. Abbott,L. Abbott; L. F. Abbott,2,True
abbott|lf,person:l abbott,L. F. Abbott,L. Abbott; L. F. Abbott,2,True
abdellah|m,person:m abdellah,M. Abdellah,M. Abdellah,1,False
abdin|m,person:marah abdin,Marah Abdin,Marah Abdin,1,False
abdollahzadeh|a,person:ali abdollahzadeh,Ali Abdollahzadeh,Ali Abdollahzadeh,1,False
abdulkadir|a,person:a abdulkadir,A. Abdulkadir,A. Abdulkadir,1,False
abe|e,person:e abe,E. Abe,E. Abe,1,False
abe|h,person:hiroshi abe,Hiroshi Abe,Hiroshi Abe,1,False
abikenari|m,person:m abikenari,M. Abikenari,M. Abikenari,1,False
abir|ar,person:abrar rahman abir,Abrar Rahman Abir,Abrar Rahman Abir,1,False
abraham|w,person:w abraham,W. Abraham,W. Abraham,1,False
abrams|a,person:alexander abrams,Alexander Abrams,Alexander Abrams,1,False
abusaif|a,person:amanda abusaif,Amanda Abusaif,Amanda Abusaif,1,False
abért|m,person:m abert,M. Abért,M. Abért,1,False
aceituno|pv,person:pau vilimelis aceituno,Pau Vilimelis Aceituno,Pau Vilimelis Aceituno,1,False
ackerman|d,person:david ackerman,David Ackerman,David Ackerman,1,False
ackerman|ds,person:daniel ackerman,Daniel S Ackerman,Daniel S Ackerman,1,False
acton|p,person:p acton,P. Acton,P. Acton,1,False
adachi|a,person:atsuko adachi,Atsuko Adachi,Atsuko Adachi,1,False
adalat|r,person:reza adalat,Reza Adalat,Reza Adalat,1,False
adalsteinsson|e,person:e adalsteinsson,E. Adalsteinsson,E. Adalsteinsson,1,False
adamson|c,person:christopher adamson,Christopher Adamson,Christopher Adamson,1,False
adams|a,person:amy adams,Amy Adams,Amy Adams,1,False
adams|sr,person:stephen adams,Stephen R Adams,Stephen R Adams,1,False
adams|t,person:terrence adams,Terrence Adams,Terrence Adams,1,False
adam|ma,person:manal adam,Manal A. Adam,Manal A. Adam,1,False
adhinarta|j,person:jason adhinarta,Jason K. Adhinarta,Jason Adhinarta; Jason K. Adhinarta,2,True
adhinarta|jk,person:jason adhinarta,Jason K. Adhinarta,Jason Adhinarta; Jason K. Adhinarta,2,True
adjavon|d,person:diane adjavon,Diane Adjavon,Diane Adjavon,1,False
adjeroh|d,person:d adjeroh,D. Adjeroh,D. Adjeroh,1,False
aelterman|j,person:j aelterman,J. Aelterman,J. Aelterman,1,False
aerts|s,person:s aerts,S. Aerts,S. Aerts,1,False
afonso|b,person:bruno afonso,Bruno Afonso,Bruno Afonso,1,False
aganov|av,person:albert aganov,Albert V. Aganov,Albert V. Aganov,1,False
agard|ma,person:marishia agard,Marishia A. Agard,Marishia A. Agard,1,False
agarwala|s,person:s agarwala,S. Agarwala,S. Agarwala,1,False
agarwal|s,person:sumeet agarwal,Sumeet Agarwal,Sumeet Agarwal,1,False
aggarwal|s,person:s aggarwal,S. Aggarwal,S. Aggarwal,1,False
aghayeva|u,person:u aghayeva,U. Aghayeva,U. Aghayeva,1,False
agnati|l,person:l agnati,L. Agnati,L. Agnati,1,False
agrawal|s,person:s agrawal,S. Agrawal,S. Agrawal,1,False
agterberg|j,person:joshua agterberg,Joshua Agterberg,Joshua Agterberg,1,False
aguado|c,person:c aguado,C. Aguado,C. Aguado,1,False
agudelo|n,person:n agudelo,N. Agudelo,N. Agudelo,1,False
aguiar|p,person:paulo aguiar,Paulo Aguiar,Paulo Aguiar,1,False
aguirre|jd,person:j aguirre,J. D. Aguirre,J. D. Aguirre,1,False
agus|m,person:marco agus,Marco Agus,Marco Agus,1,False
aher|v,person:vasudha aher,Vasudha Aher,Vasudha Aher,1,False
ahlsen|g,person:g ahlsen,G. Ahlsen,G. Ahlsen,1,False
ahluwalia|a,person:a ahluwalia,A. Ahluwalia,A. Ahluwalia,1,False
ahmadinia|l,person:l ahmadinia,L. Ahmadinia,L. Ahmadinia,1,False
ahmad|h,person:hashir ahmad,Hashir Ahmad,Hashir Ahmad,1,False
ahmed|i,person:istiaque ahmed,Istiaque Ahmed,Istiaque Ahmed,1,False
ahmed|om,person:osama ahmed,Osama M. Ahmed,Osama M. Ahmed,1,False
ahmed|r,person:ruweida ahmed,Ruweida Ahmed,Ruweida Ahmed,1,False
ahmed|s,person:sahabuddin ahmed,Sahabuddin Ahmed,Sahabuddin Ahmed,1,False
ahmed|z,person:zergham ahmed,Zergham Ahmed,Zergham Ahmed,1,False
ahnert|s,person:s ahnert,S. Ahnert,S. Ahnert,1,False
ahn|s,person:soungyub ahn,Soungyub Ahn,Soungyub Ahn,1,False
ahn|y,person:yong yeol ahn,Yong-Yeol Ahn,Yong-Yeol Ahn,1,False
ahrens|m,person:m ahrens,M. Ahrens,M. Ahrens,1,False
ahtam|b,person:banu ahtam,Banu Ahtam,Banu Ahtam,1,False
aichler|m,person:m aichler,M. Aichler,M. Aichler,1,False
aiken|t,person:t aiken,T. Aiken,T. Aiken,1,False
aimone|j,person:james aimone,James Aimone,J. Aimone; James Aimone,1,False
ai|h,person:h ai,H. Ai,H. Ai,1,False
ajabi|z,person:zaki ajabi,Zaki Ajabi,Zaki Ajabi,1,False
ajilore|o,person:olusola ajilore,Olusola Ajilore,O. Ajilore; Olusola Ajilore,1,False
akamatsu|y,person:yosuke akamatsu,Yosuke Akamatsu,Yosuke Akamatsu,1,False
akarca|d,person:danyal akarca,Danyal Akarca,Danyal Akarca,1,False
akay|r,person:raffi akay,Raffi Akay,Raffi Akay,1,False
akbarian|s,person:s akbarian,S. Akbarian,S. Akbarian,1,False
akhtar|n,person:n akhtar,N. Akhtar,N. Akhtar,1,False
akiatan|dj,person:darrel jay akiatan,Darrel Jay Akiatan,Darrel Jay Akiatan,1,False
akil|h,person:h akil,H. Akil,H. Akil,1,False
akin|o,person:orkun akin,Orkun Akin,Orkun Akin,1,False
akram|ma,person:masood akram,Masood A. Akram,Masood A. Akram,1,False
aksay|erf,person:emre aksay,Emre R. F. Aksay,Emre R. F. Aksay,1,False
al-awami|ak,person:ali al awami,Ali K. Al-Awami,Ali K. Al-Awami,1,False
alam|d,person:d alam,D. Alam,D. Alam,1,False
albada|sjv,person:sacha jennifer van albada,Sacha Jennifer van Albada,Sacha Jennifer van Albada,1,False
albaugh|md,person:matthew albaugh,Matthew D. Albaugh,Matthew D. Albaugh,1,False
albero|m,person:miguel albero,Miguel Albero,Miguel Albero,1,False
albrecht|jp,person:j albrecht,J. P. Albrecht,J. P. Albrecht,1,False
alcantara|aa,person:a alcantara,A. A. Alcantara,A. A. Alcantara,1,False
alejandro-garcía|a,person:adrian alejandro garcia,Adrián Alejandro-García,Adrián Alejandro-García,1,False
aleogho|bm,person:b aleogho,B. M. Aleogho,B. M. Aleogho,1,False
aley|d,person:david aley,David Aley,David Aley,1,False
alford|w,person:wesley alford,Wesley Alford,Wesley Alford,1,False
alghailani|s,person:shada alghailani,Shada Alghailani,Shada Alghailani,1,False
alicea|b,person:bradly alicea,Bradly Alicea,Bradly Alicea,1,False
alizadeh|k,person:kimia alizadeh,Kimia Alizadeh,Kimia Alizadeh,1,False
ali|f,person:fez ali,Fez Ali,Fez Ali,1,False
ali|i,person:i ali,I. Ali,I. Ali,1,False
ali|ij,person:iqbal ali,Iqbal J. Ali,Iqbal J. Ali,1,False
ali|s,person:saba ali,Saba Ali,Saba Ali,1,False
aljadeff|j,person:johnatan aljadeff,Johnatan Aljadeff,Johnatan Aljadeff,1,False
alkema|mj,person:mark alkema,Mark J Alkema,Mark J Alkema,1,False
allen|a,person:andrew allen,Andrew Allen,A. Allen; Andrew Allen,1,False
allen|j,person:j allen,J. Allen,J. Allen,1,False
allen|nj,person:n allen,N. J. Allen,N. J. Allen,1,False
allen|rf,person:raven allen,Raven F. Allen,Raven F. Allen,1,False
allen|wj,person:william allen,William J. Allen,William J. Allen,1,False
alle|h,person:h alle,H. Alle,H. Alle,1,False
allis|c,person:c allis,C. Allis,C. Allis,1,False
alonso-martínez|c,person:carmen alonso martinez,Carmen Alonso-Martínez,Carmen Alonso-Martínez,1,False
alonso-nanclares|l,person:l alonso nanclares,L. Alonso-Nanclares,L. Alonso-Nanclares,1,False
alonso|c,person:c alonso,C. Alonso,C. Alonso,1,False
alonso|jb,person:jorge blanco alonso,Jorge Blanco Alonso,Jorge Blanco Alonso,1,False
alonso|m,person:mariana alonso,Mariana Alonso,Mariana Alonso,1,False
alonso|o,person:omar alonso,Omar Alonso,Omar Alonso,1,False
alon|s,person:shahar alon,Shahar Alon,Shahar Alon,1,False
alon|u,person:u alon,U. Alon,U. Alon,1,False
althelaya|ka,person:khaled althelaya,Khaled A. Althelaya,Khaled A. Althelaya,1,False
altingövde|o,person:okan altingovde,Okan Altingövde,Okan Altingövde,1,False
