author_norm_a,author_norm_b,block_key,classification,merged,shared_coauthor_blocks,coauthor_jaccard
ramirez|a,ramírez|a,a ramirez,block_middle_initial_insensitive,True,,
tolias|a,tolias|as,a tolias,block_middle_initial_insensitive,True,,
cetin|a,cetin|ah,ali cetin,block_middle_initial_insensitive,True,,
samuel|a,samuel|adt,aravinthan samuel,block_middle_initial_insensitive,True,,
hellevik|a,hellevik|am,ayana hellevik,block_middle_initial_insensitive,True,,
jones|bm,jones|bw,b jones,block_middle_initial_insensitive,True,,
helfrich-forster|c,helfrich-förster|c,charlotte helfrich forster,block_middle_initial_insensitive,True,,
anderson|d,anderson|dj,d anderson,block_middle_initial_insensitive,True,,
brody|d,brody|dl,d brody,block_middle_initial_insensitive,True,,
essen|d,essen|dc,d essen,block_middle_initial_insensitive,True,,
han|d,han|ds,daniel han,block_middle_initial_insensitive,True,,
earl|e,earl|er,e earl,block_middle_initial_insensitive,True,,
muller|e,muller|eb,eilif muller,block_middle_initial_insensitive,True,,
szilágyi|g,szilágyi|gs,gabor szilagyi,block_middle_initial_insensitive,True,,
bader|g,bader|gd,gary bader,block_middle_initial_insensitive,True,,
wildenberg|g,wildenberg|ga,gregg wildenberg,block_middle_initial_insensitive,True,,
cheong|h,cheong|hs,h cheong,block_middle_initial_insensitive,True,,
seung|h,seung|hs,h seung,block_middle_initial_insensitive,True,,
choi|h,choi|hl,hannah choi,block_middle_initial_insensitive,True,,
hess|h,hess|hf,harald hess,block_middle_initial_insensitive,True,,
armstrong|j,armstrong|jd,j armstrong,block_middle_initial_insensitive,True,,
elam|j,elam|js,j elam,block_middle_initial_insensitive,True,,
lauritzen|j,lauritzen|js,j lauritzen,block_middle_initial_insensitive,True,,
tapia|j,tapia|jc,j tapia,block_middle_initial_insensitive,True,,
morra|j,morra|jj,jacob morra,block_middle_initial_insensitive,True,,
carson|j,carson|jp,james carson,block_middle_initial_insensitive,True,,
mitchell|j,mitchell|jk,james mitchell,block_middle_initial_insensitive,True,,
adhinarta|j,adhinarta|jk,jason adhinarta,block_middle_initial_insensitive,True,,
brown|j,brown|jb,jeff brown,block_middle_initial_insensitive,True,,
matelsky|j,matelsky|jk,jordan matelsky,block_middle_initial_insensitive,True,,
rodrigo-rodríguez|j,rodríguez|j,jose rodrigo rodriguez,block_middle_initial_insensitive,True,,
lee|k,lee|kj,kea joo lee,block_middle_initial_insensitive,True,,
abbott|l,abbott|lf,l abbott,block_middle_initial_insensitive,True,,
zhang|l,zhang|li,li zhang,block_middle_initial_insensitive,True,,
kitchell|l,kitchell|lm,lindsey kitchell,block_middle_initial_insensitive,True,,
castro|m,castro|mc,m castro,block_middle_initial_insensitive,True,,
he|m,heß|m,m he,block_middle_initial_insensitive,True,,
mazri|m,mazri|mf,m mazri,block_middle_initial_insensitive,True,,
shaw|m,shaw|mv,m shaw,block_middle_initial_insensitive,True,,
schröter|m,schröter|ms,manuel schroter,block_middle_initial_insensitive,True,,
hughes|m,hughes|mj,marisa hughes,block_middle_initial_insensitive,True,,
brown|mp,brown|mtc,matthew brown,block_middle_initial_insensitive,True,,
neubarth|nl,neubarth|nn,nicole neubarth,block_middle_initial_insensitive,True,,
magistretti|p,magistretti|pj,pierre magistretti,block_middle_initial_insensitive,True,,
fetter|r,fetter|rd,r fetter,block_middle_initial_insensitive,True,,
marc|r,marc|re,r marc,block_middle_initial_insensitive,True,,
romero-garcia|r,romero‐garcia|r,r romero garcia,block_middle_initial_insensitive,True,,
brown|s,brown|sp,s brown,block_middle_initial_insensitive,True,,
plaza|sk,plaza|sm,stephen plaza,block_middle_initial_insensitive,True,,
smith|s,smith|sj,stephen smith,block_middle_initial_insensitive,True,,
smith|s,smith|sm,stephen smith,block_middle_initial_insensitive,True,,
smith|sj,smith|sm,stephen smith,block_middle_initial_insensitive,True,,
nguyen|t,nguyen|tm,tri nguyen,block_middle_initial_insensitive,True,,
katz|w,katz|wm,w katz,block_middle_initial_insensitive,True,,
gray-roncal|w,gray-roncal|wr,william gray roncal,block_middle_initial_insensitive,True,,
gray-roncal|w,roncal|wg,william gray roncal,block_middle_initial_insensitive,True,,
gray-roncal|w,roncal|wrg,william gray roncal,block_middle_initial_insensitive,True,,
gray-roncal|wr,roncal|wg,william gray roncal,block_middle_initial_insensitive,True,,
gray-roncal|wr,roncal|wrg,william gray roncal,block_middle_initial_insensitive,True,,
roncal|wg,roncal|wrg,william gray roncal,block_middle_initial_insensitive,True,,
smith|w,smith|wv,william smith,block_middle_initial_insensitive,True,,
yang|x,yang|xw,x yang,block_middle_initial_insensitive,True,,
park|y,park|yj,y park,block_middle_initial_insensitive,True,,
colón-ramos|da,colόn-ramos|d,daniel|ramos,probable_same_person,True,7.0,0.225806
reid|r,reid|rc,r|reid,probable_same_person,True,49.0,0.20082
costa|nd,costa|ndd,n|costa,probable_same_person,True,45.0,0.294118
maitin-shepard|jb,maitlin-shepard|j,jeremy|shepard,probable_same_person,True,102.0,0.73913
tate|m,tate|mkk,m|tate,probable_same_person,True,5.0,1.0
newman-smith|e,smith|e,e|smith,probable_same_person,True,5.0,0.714286
