work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,1,8f5905570bdf6035df2344ecb4b3486088afbfaa,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c97ed81e35c26211b877990dc3a110443609f0eb1cd4cf7f9d77e241aed27bbd,batch_000,core_relevant,"['synapse_inference', 'acquisition_preparation']",0.93,"FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses",Volume EM synapse counting calibrated against genetic synaptic labels.,[],False,,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,10.1038/s41598-020-70859-5,"Determining the number of synapses that are present in different brain regions is crucial to understand brain connectivity as a whole. Membrane-associated guanylate kinases (MAGUKs) are a family of scaffolding proteins that are expressed in excitatory glutamatergic synapses. We used genetic labeling of two of these proteins (PSD95 and SAP102), and Spinning Disc confocal Microscopy (SDM), to estimate the number of fluorescent puncta in the CA1 area of the hippocampus. We also used FIB-SEM, a three-dimensional electron microscopy technique, to calculate the actual numbers of synapses in the same area. We then estimated the ratio between the three-dimensional densities obtained with FIB-SEM (synapses/µm3) and the bi-dimensional densities obtained with SDM (puncta/100 µm2). Given that it is impractical to use FIB-SEM brain-wide, we used previously available SDM data from other brain regions and we applied this ratio as a conversion factor to estimate the minimum density of synapses in those regions. We found the highest densities of synapses in the isocortex, olfactory areas, hippocampal formation and cortical subplate. Low densities were found in the pallidum, hypothalamus, brainstem and cerebellum. Finally, the striatum and thalamus showed a wide range of synapse densities.",JournalArticle,53,True,False,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00c9ebcec8853471,b52e2799275380196737cada3c71960588a747ea,core_audit,1,b52e2799275380196737cada3c71960588a747ea,Physical contact reveals a hidden layer of cortical architecture,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b4c6195f1d23373d4dd14f768e3453c8df65359763de6fe4fa5678c96e8081c3,batch_000,core_relevant,"['reconstruction_segmentation', 'network_science', 'biological_application']",0.96,extract contactomes from two large mouse visual cortex volumes at nanoscale resolution; relationship between contact and synaptic connectivity,Nanoscale contactome analysis of EM cortex volumes beyond synaptic graphs.,[],False,,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,10.64898/2026.05.08.723866,"Neurons interact at synapses, but they also communicate through physical contact and proximity, including diffusion, glia-mediated interactions, and ephaptic coupling. Standard connectomes map synapses, but cannot capture the full set of cell-cell contacts that can support these pathways. Here we extract contactomes from two large mouse visual cortex volumes at nanoscale resolution and quantify every cell-cell contact, the shared surface area of each contact, and the relationship between contact and synaptic connectivity. We find that contactomes are 5 − 10× denser than synaptic graphs, revealing that neurons physically contact a much larger set of potential neighbors than they synaptically connect to. We further find that most nearby potential neighbors are already in physical contact, indicating that local structural change would add few new candidate synaptic partners. Finally, we find that astrocytes form a single large syncytium-like network that spans the tissue and directly contacts nearly all neurons, and that glial processes lie within a micron or two of almost every synapse, indicating that synapses reside within a pervasive glia-shaped microenvironment. Together, these results show that physical contact forms a distinct layer of brain architecture that extends far beyond the synaptic connectome.",JournalArticle,0,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00d72fd3c4223cd5,be364e55460008d9584e163bff599784f242e851,core_audit,1,be364e55460008d9584e163bff599784f242e851,Distributed control circuits across a brain-and-cord connectome.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,608d0764419b1c041fc943fa3a2d41fa81794a816c97673e1c3cb9c7b6b88793,batch_000,core_relevant,"['reconstruction_segmentation', 'biological_application', 'network_science']",0.97,first densely-reconstructed adult fly connectome that unites the brain and ventral nerve cord; maps of neurons and synapses,Dense reconstructed fly brain–cord synaptic connectome.,[],False,,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,10.1038/s41586-026-10735-w,"Just as genomes revolutionized molecular genetics, connectomes (maps of neurons and synapses) are transforming neuroscience. To date, the only organisms with complete connectomes are worms1-3, sea squirts4, and comb jellies5 (103-104 synapses). By contrast, the fruit fly is more complex (108 synaptic connections), with a brain that supports learning and spatial memory6,7 and an intricate ventral nerve cord analogous to the vertebrate spinal cord8-12. Here we report the first densely-reconstructed adult fly connectome that unites the brain and ventral nerve cord, and we leverage this resource to investigate principles of neural control. We show that effector neurons (motor neurons, endocrine cells, and efferent neurons targeting the viscera) are primarily influenced by sensory neurons in the same body part, forming local feedback loops. These local loops are linked by long-range circuits involving ascending and descending neurons organized into behavior-centric modules. Single ascending and descending neurons are often positioned to influence the voluntary movements of multiple body parts, together with the endocrine cells or visceral organs that support those movements. Brain regions involved in learning and navigation supervise these circuits. These results reveal an architecture that is distributed, parallelized, and embodied, reminiscent of distributed control architectures in engineered systems13,14.",JournalArticle,3,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_00f9b510d0a91b47,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,core_audit,1,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c01b90fa89567cb7487f68eb589ee44dbfc170ab98f5552861fdfad89c8d812e,batch_000,core_relevant,"['synapse_inference', 'reconstruction_segmentation']",0.95,Synaptic connectivity detection ... neural reconstruction from Electron Microscopy (EM) data,EM synapse location/direction detection with deep nets.,[],False,,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,10.1007/978-3-030-11024-6_25,"Synaptic connectivity detection is a critical task for neural reconstruction from Electron Microscopy (EM) data. Most of the existing algorithms for synapse detection do not identify the cleft location and direction of connectivity simultaneously. The few methods that computes direction along with contact location have only been demonstrated to work on either dyadic (most common in vertebrate brain) or polyadic (found in fruit fly brain) synapses, but not on both types. In this paper, we present an algorithm to automatically predict the location as well as the direction of both dyadic and polyadic synapses. The proposed algorithm first generates candidate synaptic connections from voxelwise predictions of signed proximity generated by a 3D U-net. A second 3D CNN then prunes the set of candidates to produce the final detection of cleft and connectivity orientation. Experimental results demonstrate that the proposed method outperforms the existing methods for determining synapses in both rodent and fruit fly brain. (Code at: https://github.com/paragt/EMSynConn).",JournalArticle,14,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
work_01c85c45ede98837,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,role_bridge,1,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,VICE: Visual Identification and Correction of Neural Circuit Errors,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5204060d9d7e0380ff1e70c46ea5472f0ec87e0ee3c97e14ec1c5a8f4f327251,batch_000,core_relevant,"['proofreading_qc', 'infrastructure']",0.94,electron microscopy (EM) datasets ... reconstructions of neurons possible at the nanometer scale; proofreading ... connectivity-related errors; synapse clustering,Interactive proofreading tool for EM neural circuit segmentation/connectivity errors.,[],False,,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),10.1111/cgf.14320,"A connectivity graph of neurons at the resolution of single synapses provides scientists with a tool for understanding the nervous system in health and disease. Recent advances in automatic image segmentation and synapse prediction in electron microscopy (EM) datasets of the brain have made reconstructions of neurons possible at the nanometer scale. However, automatic segmentation sometimes struggles to segment large neurons correctly, requiring human effort to proofread its output. General proofreading involves inspecting large volumes to correct segmentation errors at the pixel level, a visually intensive and time‐consuming process. This paper presents the design and implementation of an analytics framework that streamlines proofreading, focusing on connectivity‐related errors. We accomplish this with automated likely‐error detection and synapse clustering that drives the proofreading effort with highly interactive 3D visualizations. In particular, our strategy centers on proofreading the local circuit of a single cell to ensure a basic level of completeness. We demonstrate our framework's utility with a user study and report quantitative and subjective feedback from our users. Overall, users find the framework more efficient for proofreading, understanding evolving graphs, and sharing error correction strategies.",JournalArticle,14,True,False,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_01fc48c8442aa598,97bfc5a1af7a415bcce280e926eecdf6e6142e04,core_audit,1,97bfc5a1af7a415bcce280e926eecdf6e6142e04,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,34300dc1bda9b87ab29da079c9fc01f1d521855d002fcba3a34e12ac3bc1ff51,batch_000,core_relevant,"['biological_application', 'network_science']",0.9,entire brain connectome for eight Caenorhabditis elegans; synapse changes shape the connectome topology,Commentary on developmental EM C. elegans brain connectomes.,[],False,,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,10.1016/j.tics.2021.10.001,A recent study by Witvliet et al. reconstructed the entire brain connectome for eight Caenorhabditis elegans spanning from birth to adulthood and described how synapse changes shape the connectome topology during development. Their data suggest some convergent developmental principles in connectome maturation between C. elegans and humans.,JournalArticle,3,False,True,core_relevant,core_high_confidence,[],,0
work_020893805fee7188,37aaa75946613d5c6e0674c244566965315f19ca,core_audit,1,37aaa75946613d5c6e0674c244566965315f19ca,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,0290edd84135a82a3a8ccd62a1429470e1d00284c9bd65c258964d6d09743cd9,batch_000,core_relevant,"['biological_application', 'structure_function_modeling', 'synapse_inference']",0.92,dense electron-microscopy connectomes; EOS connectome and synaptome datasets,Review of Drosophila early olfactory EM connectome/synaptome functional logic.,[],False,,A. Lazar; Yiyin Zhou,2026.0,,,"In recent decades, the early olfactory system (EOS) of the fruit fly has become a leading model for studying olfactory processing and associative memory, owing in part to a well-characterized feedforward pathway that feeds the processes underlying associative memory and by examining the role played by a handful of neurons and synapses. The recent completion of dense electron-microscopy connectomes provides high quality visualizations of every cell type, neuron, and synapse along the early olfactory pathway. Yet a wiring diagram, however complete, does not by itself reveal the functional logic of a neural circuit. Reviewing the EOS connectome and synaptome datasets of the past fifteen years, we note that the feedforward pathway is embedded in dense local feedback circuits of large scale multi-input multi-output neurons. A systematic understanding of feedback loop abstractions, and their capacity to govern the input/output transformations at each neuropil stage, is the underlying foundation of the functional logic of the early olfactory circuits. In addition, we argue that a quantitative account of the functional logic requires an explicit model of the odorants present in the natural environment. Consisting of odorant objects, such a model defines the semantics and syntax of olfactory information processing, and calls for new distance measures for classifying the odorant semantics in support of associative memory operations. Furthermore, odor information processing must abide by causality, treating the circuit as a real-time, stage-by-stage cascade of giant local feedback loops.",Review,0,False,True,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_022f4537397531be,dbdd12988bc177a269e23265f3026c878f8bafbc,role_bridge,1,dbdd12988bc177a269e23265f3026c878f8bafbc,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,d705b320d4cfeab952f100abc5f9a9e3a9fdfda3c25914990929ac8e0576fbe3,batch_000,core_relevant,"['acquisition_preparation', 'infrastructure']",0.93,ultrathin sections onto silicon wafers; volumetric correlative light and electron microscopy; ultrastructural volumetric electron microscopy context,Magnetic collection of ultrathin sections enabling volumetric CLEM for EM connectomics workflows.,[],False,,Thomas Templier,2019.0,bioRxiv,10.7554/elife.45696,"The non-destructive collection of ultrathin sections onto silicon wafers for post-embedding staining and volumetric correlative light and electron microscopy traditionally requires exquisite manual skills and is tedious and unreliable. In MagC introduced here, sample blocks are augmented with a magnetic resin enabling remote actuation and collection of hundreds of sections on wafer. MagC allowed the correlative visualization of neuroanatomical tracers within their ultrastructural volumetric electron microscopy context.",JournalArticle,21,True,False,core_relevant,core_high_confidence,"['core_methods', 'key_for_students']",core_methods,2
work_02c20c311fe2787b,12b2608644ea83fa61c55574edbf036bcd124548,core_audit,1,12b2608644ea83fa61c55574edbf036bcd124548,Deep Reinforcement Learning for Neural Control,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,39319074fb1adafe8cb63678aab08e09e56059a674d88891198b662443e790a0,batch_000,core_relevant,"['structure_function_modeling', 'biological_application']",0.86,maps neural circuits and their connectome; model of C. elegans which simulates the full somatic nervous system; connectome control,RL control using modeled C. elegans somatic nervous-system connectome—downstream modeling of an established synaptic connectome.,[],False,,Jimin Kim; Eli Shlizerman,2020.0,arXiv.org,,"We present a novel methodology for control of neural circuits based on deep reinforcement learning. Our approach achieves aimed behavior by generating external continuous stimulation of existing neural circuits (neuromodulation control) or modulations of neural circuits architecture (connectome control). Both forms of control are challenging due to nonlinear and recurrent complexity of neural activity. To infer candidate control policies, our approach maps neural circuits and their connectome into a grid-world like setting and infers the actions needed to achieve aimed behavior. The actions are inferred by adaptation of deep Q-learning methods known for their robust performance in navigating grid-worlds. We apply our approach to the model of \textit{C. elegans} which simulates the full somatic nervous system with muscles and body. Our framework successfully infers neuropeptidic currents and synaptic architectures for control of chemotaxis. Our findings are consistent with in vivo measurements and provide additional insights into neural control of chemotaxis. We further demonstrate the generality and scalability of our methods by inferring chemotactic neural circuits from scratch.",JournalArticle,6,False,True,core_relevant,core_high_confidence,[],,0
work_02c77af0d554feec,4f029821acf2c106e34304005adcba24577b2118,core_audit,1,4f029821acf2c106e34304005adcba24577b2118,A Context-Aware Delayed Agglomeration Framework for Electron Microscopy Segmentation,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,65daba242ed0487aab51b8c1c17f3fa8d56e83fe8f3aef05f3bdc3e4e421c37c,batch_000,core_relevant,['reconstruction_segmentation'],0.94,Electron Microscopy (EM) image ... segmentation ... instrument for connectomics; agglomerative framework for EM segmentation,Context-aware agglomeration for EM connectomics segmentation.,[],False,,T. Parag; Anirban Chakraborty; Stephen M. Plaza; Louis K. Scheffer,2014.0,PLoS ONE,10.1371/journal.pone.0125825,"Electron Microscopy (EM) image (or volume) segmentation has become significantly important in recent years as an instrument for connectomics. This paper proposes a novel agglomerative framework for EM segmentation. In particular, given an over-segmented image or volume, we propose a novel framework for accurately clustering regions of the same neuron. Unlike existing agglomerative methods, the proposed context-aware algorithm divides superpixels (over-segmented regions) of different biological entities into different subsets and agglomerates them separately. In addition, this paper describes a “delayed” scheme for agglomerative clustering that postpones some of the merge decisions, pertaining to newly formed bodies, in order to generate a more confident boundary prediction. We report significant improvements attained by the proposed approach in segmentation accuracy over existing standard methods on 2D and 3D datasets.",JournalArticle,35,False,True,core_relevant,core_high_confidence,['core_methods'],core_methods,1
