work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_11bd92b465e2aaf3,8bf53c1adb85dd0d9bf07bc041b9cc664ca849e4,unresolved,1,8bf53c1adb85dd0d9bf07bc041b9cc664ca849e4,Rocket-crane algorithm for the Feedback Arc Set problem,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7fddd5b12dd6ccc3d6649dcad4d3a3f5fc01e246b245a05b48dc28fd5287b919,batch_002,core_relevant,['network_science'],0.84,arranging neurons in the fly connectome to form a maximally feedforward structure,Graph algorithm applied to fly connectome wiring.,[],True,low_confidence,David A. Bader; Justin Ellis-Joyce; Gert-Jan Both; Srinivas C. Turaga; Harinarayan Asoori Sriram; Srijith Chinthalapudi; Zhihui Du,2025.0,Social Network Analysis and Mining,10.1007/s13278-025-01491-2,"Understanding information flow in the brain can be facilitated by arranging neurons in the fly connectome to form a maximally “feedforward” structure. This task is naturally formulated as the Minimum Feedback Arc Set (MFAS)—a well-known NP-hard problem, especially for large-scale graphs. To address this, we propose the Rocket-Crane algorithm, an efficient two-phase method for solving MFAS. In the first phase, we develop a continuous-space optimization method that rapidly generates excellent solutions. In the second phase, we refine these solutions through advanced exploration techniques that integrate randomized and heuristic strategies to effectively escape local minima. Extensive experiments demonstrate that Rocket-Crane outperforms state-of-the-art methods in terms of solution quality, scalability, and computational efficiency. On the primary benchmark—the fly connectom—our method achieved a feedforward arc set with a total forward weight of 35,459,266 (about 85%\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\%$$\end{document}), the highest among all competing methods. The algorithm is open-source and available on GitHub.",JournalArticle,1,False,True,core_relevant,core_review,[],,0
work_15637f799663d649,dc349548605d07cd2d5a62b4bcfbb0cd91356c04,unresolved,1,dc349548605d07cd2d5a62b4bcfbb0cd91356c04,A Geometric Chung Lu model and the Drosophila Medulla connectome,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4e5d6b038adaf297c144a698ad36a2a7c142adfef8b67a5cb7d6df4e10dfca5a,batch_003,core_relevant,['network_science'],0.84,graphical representation of the Drosophila medulla connectome,Graph model validated on Drosophila medulla connectome.,[],True,low_confidence,S. Agarwala; Franklin Kenter,2021.0,J. Complex Networks,10.1093/comnet/cnad010,"
 Many real-world graphs have edges correlated to the distance between them, but in an inhomogeneous manner. While the Chung–Lu model and the geometric random graph models both are elegant in their simplicity, they are insufficient to capture the complexity of these networks. In this article, we develop a generalized geometric random graph model that preserves many graph theoretic aspects of these real-world networks. We test the validity of this model on a graphical representation of the Drosophila medulla connectome.",JournalArticle,1,False,True,core_relevant,core_review,[],,0
work_40d5af324ef3fb9a,4eeb0a51ceec1c9df7ec679cbf0130feab72617c,core_audit,1,4eeb0a51ceec1c9df7ec679cbf0130feab72617c,Neuropeptide signalling shapes feeding and reproductive behaviours in male Caenorhabditis elegans,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f3f21e252a5cb8e6380558954a5f394d2ebeaeae4c2e99b4cc21ab287c3abe53,batch_010,core_relevant,['biological_application'],0.84,complete neuroanatomy has been solved... sexually dimorphic... synaptic connectivity,C. elegans synaptic connectivity and neuropeptide signaling.,[],True,low_confidence,Matthew J Gadenne; I. Hardege; Ev Yemini; Djordji Suleski; Paris Jaggers; Isabel Beets; W. Schafer; Yee Lian Chew,2022.0,Life Science Alliance,10.26508/lsa.202201420,"LURY-1 peptides are expressed in distinct cells in different sexes and have sex-specific effects on feeding and mating, providing further evidence for the role of neuromodulators in sexual dimorphism. Sexual dimorphism occurs where different sexes of the same species display differences in characteristics not limited to reproduction. For the nematode Caenorhabditis elegans, in which the complete neuroanatomy has been solved for both hermaphrodites and males, sexually dimorphic features have been observed both in terms of the number of neurons and in synaptic connectivity. In addition, male behaviours, such as food-leaving to prioritise searching for mates, have been attributed to neuropeptides released from sex-shared or sex-specific neurons. In this study, we show that the lury-1 neuropeptide gene shows a sexually dimorphic expression pattern; being expressed in pharyngeal neurons in both sexes but displaying additional expression in tail neurons only in the male. We also show that lury-1 mutant animals show sex differences in feeding behaviours, with pharyngeal pumping elevated in hermaphrodites but reduced in males. LURY-1 also modulates male mating efficiency, influencing motor events during contact with a hermaphrodite. Our findings indicate sex-specific roles of this peptide in feeding and reproduction in C. elegans, providing further insight into neuromodulatory control of sexually dimorphic behaviours.",JournalArticle,12,False,True,core_relevant,core_review,[],,0
work_452c63f080d3a726,b0f81fd9f4c57ddfd4311e56b34eaf90c1f3bca8,core_audit,1,b0f81fd9f4c57ddfd4311e56b34eaf90c1f3bca8,Connectomics: The dense reconstruction of neuronal circuits using volume electron microscopy,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3b14fa31358782e0573e5bb64dd8195517924fb20777769ea3f2997a28342b9c,batch_010,core_relevant,['acquisition_preparation'],0.8,Connectomics: The dense reconstruction of neuronal circuits using volume electron microscopy,Conference abstract on volume EM dense circuit reconstruction for connectomics.,[],True,low_confidence,M. Helmstaedter,2013.0,Microscopy and Microanalysis,10.1017/s1431927613003991,"Extended abstract of a paper presented at Microscopy and Microanalysis 2013 in Indianapolis, Indiana, USA, August 4 – August 8, 2013.",,1,False,True,core_relevant,core_review,['core_methods'],core_methods,1
work_48cfa5f3aa4b5d20,4db7954d384bf42c35dcd50e1887166e38bbf9b1,role_bridge,1,4db7954d384bf42c35dcd50e1887166e38bbf9b1,Sex-specific topology of the nociceptive circuit shapes dimorphic behavior in C. elegans,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,28574075f0d8a8a6c8d88767c5637252d66bffb4a0aca63b26e785bc4691b4b5,batch_011,core_relevant,['biological_application'],0.84,Sex-specific topology of the nociceptive circuit... C. elegans,C. elegans circuit sex differences.,[],True,low_confidence,Vladyslava Pechuk; Gal Goldman; Yehuda Salzberg; Aditi H. Chaubey; R. A. Bola; Jonathon Hoffman; Morgan L Endreson; Renee M. Miller; Noah Reger; Douglas S. Portman; D. M. Ferkey; Elad Schneidman; Meital Oren-Suissa,2021.0,bioRxiv,10.1101/2021.12.14.472335,"How sexually dimorphic behavior is encoded in the nervous system is poorly understood. Here, we characterize the dimorphic nociceptive behavior in C. elegans and study the underlying circuits, which are composed of the same neurons but are wired differently. We show that while sensory transduction is similar in the two sexes, the downstream network topology markedly shapes behavior. We fit a network model that replicates the observed dimorphic behavior in response to external stimuli, and use it to predict simple network rewirings that would switch the behavior between the sexes. We then show experimentally that these subtle synaptic rewirings indeed flip behavior. Strikingly, when presented with aversive cues, rewired males were compromised in finding mating partners, suggesting that network topologies that enable efficient avoidance of noxious cues have a reproductive “cost”. Our results present a deconstruction of the design of a neural circuit that controls sexual behavior, and how to reprogram it.",,2,True,False,core_relevant,core_review,[],,0
work_490d95f737042676,fd0045586ca4491f445047de904ccaa89f65c2d7,core_audit,1,fd0045586ca4491f445047de904ccaa89f65c2d7,Integrating programmable plasticity in experiment descriptions for analog neuromorphic hardware,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c1c58db31e3a5003068ac0ff4b92c0d44f5eff1f15c42f21648a8b9d5db02b32,batch_011,core_relevant,"['infrastructure', 'structure_function_modeling']",0.82,programmable plasticity in experiment descriptions for analog neuromorphic hardware,Neuromorphic connectome-inspired hardware.,[],True,low_confidence,Philipp Spilger; Eric Müller; J. Schemmel,2024.0,Neuro Inspired Computational Elements Workshop,10.1109/nice65350.2025.11065886,"The study of plasticity in spiking neural networks is an active area of research. However, simulations that involve complex plasticity rules, dense connectivity/high synapse counts, complex neuron morphologies, or extended simulation times can be computationally demanding. The BrainScaleS-2 neuromorphic architecture has been designed to address this challenge by supporting ""hybrid"" plasticity, which combines the concepts of programmability and inherently parallel emulation. In particular, observables that are expensive in numerical simulation, such as per-synapse correlation measurements, are implemented directly in the synapse circuits. The evaluation of the observables, the decision to perform an update, and the magnitude of an update, are all conducted in a conventional program that runs simultaneously with the analog neural network. Consequently, these systems can offer a scalable and flexible solution in such cases. While previous work on the platform has already reported on the use of different kinds of plasticity, the descriptions for the spiking neural network experiment topology and protocol, and the plasticity algorithm have not been connected. In this work, we introduce an integrated framework for describing spiking neural network experiments and plasticity rules in a unified high-level experiment description language for the BrainScaleS-2 platform and demonstrate its use.",JournalArticle,0,False,True,core_relevant,core_review,['core_methods'],core_methods,1
work_4a0e8435e3699a88,c9ac00e60c49e275da8de38e9584066529fdd7d3,core_audit,1,c9ac00e60c49e275da8de38e9584066529fdd7d3,Sleep benefits different stages of memory in Drosophila,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,820cf911f44678811b58a297dded7b6bcfc95568c24cd4db3a8f004a6b376d5f,batch_011,core_relevant,['biological_application'],0.82,"mapped connectome, and an existing framework... memory and sleep in Drosophila",Fly memory/sleep review referencing connectome.,[],True,low_confidence,Katherine Marquand; Camilla Roselli; Isaac Cervantes-Sandoval; Tamara Boto,2023.0,Frontiers in Physiology,10.3389/fphys.2023.1087025,"Understanding the physiological mechanisms that modulate memory acquisition and consolidation remains among the most ambitious questions in neuroscience. Massive efforts have been dedicated to deciphering how experience affects behavior, and how different physiological and sensory phenomena modulate memory. Our ability to encode, consolidate and retrieve memories depends on internal drives, and sleep stands out among the physiological processes that affect memory: one of the most relatable benefits of sleep is the aiding of memory that occurs in order to both prepare the brain to learn new information, and after a learning task, to consolidate those new memories. Drosophila lends itself to the study of the interactions between memory and sleep. The fruit fly provides incomparable genetic resources, a mapped connectome, and an existing framework of knowledge on the molecular, cellular, and circuit mechanisms of memory and sleep, making the fruit fly a remarkable model to decipher the sophisticated regulation of learning and memory by the quantity and quality of sleep. Research in Drosophila has stablished not only that sleep facilitates learning in wild-type and memory-impaired animals, but that sleep deprivation interferes with the acquisition of new memories. In addition, it is well-accepted that sleep is paramount in memory consolidation processes. Finally, studies in Drosophila have shown that that learning itself can promote sleep drive. Nevertheless, the molecular and network mechanisms underlying this intertwined relationship are still evasive. Recent remarkable work has shed light on the neural substrates that mediate sleep-dependent memory consolidation. In a similar way, the mechanistic insights of the neural switch control between sleep-dependent and sleep-independent consolidation strategies were recently described. This review will discuss the regulation of memory by sleep in Drosophila, focusing on the most recent advances in the field and pointing out questions awaiting to be investigated.",Review;JournalArticle,8,False,True,core_relevant,core_review,['key_for_students'],key_for_students,1
work_4a82596aff271554,e623c26f32faefceaf7dec0037dec54ab14ed5f8,core_audit,1,e623c26f32faefceaf7dec0037dec54ab14ed5f8,Complex topological features of reservoirs shape learning performances in bio-inspired recurrent neural networks,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,fa6fab24fe1971554b2dff1f4880bf46c4e2012dc3bda193537fc9ff4d9e953c,batch_011,core_relevant,"['network_science', 'structure_function_modeling']",0.84,45 empirical connectomes... build the reservoir,Reservoir computing using empirical brain connectomes.,[],True,low_confidence,Valeria d'Andrea; M. Puppin; M. Kessler; 14 ViaSommarive; 38123 Povo; Italy; D. Galilei'; U. Padova; 8. viaMarzolo; 35131 Padova,2022.0,,,"Recurrent networks are a special class of artiﬁcial neural systems that use their internal states to perform computing tasks for machine learning. One of its state-of-the-art developments, i.e. reservoir computing (RC), uses the internal structure – usually a static network with random structure – to map an input signal into a nonlinear dynamical system deﬁned in a higher dimensional space. Reservoirs are characterized by nonlinear interactions among their units and their ability to store information through recurrent loops, allowing to train artiﬁcial systems to learn task-speciﬁc dynamics. However, it is fundamentally unknown how the random topology of the reservoir aﬀects the learning performance. Here, we ﬁll this gap by considering a battery of synthetic networks – characterized by diﬀerent topological features – and 45 empirical connectomes – sampled from brain regions of organisms belonging to 8 diﬀerent species – to build the reservoir and testing the learning performance against a prediction task with a variety of complex input signals. We ﬁnd nontrivial correlations between RC performances and both the number of nodes and rank of the covariance matrix of activation states, with performance depending on the nature – stochastic or deterministic – of input signals. Remarkably, the modularity and the link density of the reservoir are found to aﬀect RC performances: these results cannot be predicted by models only accounting for simple topological features of the reservoir. Overall, our ﬁndings highlight that the complex topological features characterizing biophysical computing systems such as connectomes can be used to design eﬃcient bio-inspired artiﬁcial neural networks.",,2,False,True,core_relevant,core_review,[],,0
work_4b8e24bb37ad66d1,304befa67a33c545de8b884af3df29282ab8d07e,core_audit,1,304befa67a33c545de8b884af3df29282ab8d07e,UNSOLVED RETINAL QUESTIONS.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,ce7dfb2c3537fe0b5eacfdf3baf6bad5b47c795ce9f8b8a1dafcf77fdd4ddf0c,batch_011,core_relevant,['biological_application'],0.82,connectomic methods have been used to study the ultrastructural cellular and synaptic connectivity,Retinal connectomics methods review.,[],True,low_confidence,John E. Dowling; Frank Werblin; Samuel M. Wu,2026.0,Progress in retinal and eye research,10.1016/j.preteyeres.2026.101450,"The era of modern retinal studies began over 60 years ago when it became possible to record and stain intracellularly individual neurons in each of the five retinal cell classes (MacNichol and Svaetichin, 1958; Tomita et al., 1967; Werblin and Dowling, 1969; Kaneko, 1970). Other technological advances over the past half century have also greatly facilitated research on molecular and cellular mechanisms underlying retinal function and synaptic circuitry. At the anatomical level, cellular mechanisms and classification has advanced with antibody labeling (Ghosh et al., 2004) and the use of genetic markers (Sanes and Masland, 2015). The ultrastructure of retinal synapses and their arrangements has been revealed with electron microscopic analysis (Dowling and Boycott, 1966). and more recently, connectomic methods have been used to study the ultrastructural cellular and synaptic connectivity in a given retinal volume (Marc et al., 2013; Kim et al, 2026). At the physiological level, light responses from all classes of retinal neurons were first recorded with sharp micropipettes, and then with patch clamping techniques (Werblin and Dowling, 1969; Wu et al., 2000). Further, living retinal slices and flat-mounted retinal preparations were developed that allow for the recording of pharmacologically identifiable excitatory and inhibitory currents in single or multiple retinal cells under visual control (Werblin, 1978; Gao et al., 2000; Pang et al., 2024), Finally, the use of mutant animals to uncover aspects of visual function and behavior has come to the fore as well (Emran et al, 2007). Three senior scientists, either retired lor close to retirement, whose laboratories participated in a number of these studies review this progress and suggest directions for future investigations.",Review;JournalArticle,0,False,True,core_relevant,core_review,['key_for_students'],key_for_students,1
work_5e8c3be0c96f3f97,bf99081b04b77e8bd5ea72ffb323544e14278fbd,core_audit,1,bf99081b04b77e8bd5ea72ffb323544e14278fbd,A Physics-Inspired Neural Network Framework for Nanoscale Biological Slice Thickness Measurement,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,e71daf7da33ef92ecf560afec3aede74c25a7ba4147da498e4d83b7d3bab8be9,batch_014,core_relevant,['acquisition_preparation'],0.84,Accurate measurement of biological slice thickness is essential for the precise reconstruction of neuronal connections in microscale connectomics,Slice thickness metrology for microscale connectomics.,[],True,low_confidence,Zhuangzhuang Zhao; Hongtu Ma; Xiaohui Dong; Bohao Chen; MingGang Wang; Qiwei Xie; Xi Chen; Hua Han,2026.0,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2026.3693404,"Accurate measurement of biological slice thickness is essential for the precise reconstruction of neuronal connections in microscale connectomics. Conventional metrology often faces performance bottlenecks, struggling to balance measurement accuracy with system complexity and operational efficiency. This study proposes a novel, low-cost, and high-precision method for biological slice thickness measurement. The proposed data-driven approach eliminates the need for high-precision physical modeling and complex instrumentation. By utilizing a simple optical setup based on a standard RGB camera, the proposed method achieves a mean absolute error (MAE) of 0.77 nm over a wide measurement range of 30–1000 nm. To address the limited generalization capability of conventional deep learning (Conv. DL) methods under sparse training data conditions, a physics-inspired three-wavelength interferometric neural network (TWI-NN) framework is proposed. The architecture incorporates physics-based structural constraints, including task decoupling and input–output inversion, enabling the network to learn accurate mappings from limited data. Experimental results indicate that, under sparse training data conditions, the prediction accuracy of the TWI-NN is significantly better than that of Conv. DL models. Uncertainty analysis confirms that the total expanded uncertainty (k = 2) is less than 0.947 nm. Furthermore, compared with existing interferometric color measurement methods, the proposed method eliminates the need for repeated calibration and features a simpler implementation. Thickness distribution measurement at an effective resolution of $200\times 200$ pixels can be completed in 0.73 s. Overall, the proposed method provides a scalable, cost-effective, and high-precision solution, demonstrating strong potential for high-throughput thickness measurement.",JournalArticle,0,False,True,core_relevant,core_review,['core_methods'],core_methods,1
