work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,authors,year,venue,doi,abstract,publication_types,citation_count_work,has_recovered_bridge_version,has_retained_version,survey_tier,analysis_tier,curriculum_labels,curriculum_label_primary,curriculum_label_count
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3ddafd2871b000296d7380b10d4afab09e8035b9f12f80969d0af2f80b91b7c9,batch_000,role_bridge,['infrastructure'],0.75,Brain Architecture Knowledge Management System (BAMS); constructing interrelated connectomes; large-scale connection matrices,"Neuroinformatics/annotation infrastructure for mammalian macroconnectomes—role bridge, not nanoscale core.",['mesoscale_only'],True,low_confidence,M. Bota; H. Dong; L. Swanson,2012.0,Front. Neuroinform.,10.3389/fninf.2012.00002,"Many different independently published neuroanatomical parcellation schemes (brain maps, nomenclatures, or atlases) can exist for a particular species, although one scheme (a standard scheme) is typically chosen for mapping neuroanatomical data in a particular study. This is problematic for building connection matrices (connectomes) because the terms used to name structures in different parcellation schemes differ widely and interrelationships are seldom defined. Therefore, data sets cannot be compared across studies that have been mapped on different neuroanatomical atlases without a reliable translation method. Because resliceable 3D brain models for relating systematically and topographically different parcellation schemes are still in the first phases of development, it is necessary to rely on qualitative comparisons between regions and tracts that are either inserted directly by neuroanatomists or trained annotators, or are extracted or inferred by collators from the available literature. To address these challenges, we developed a publicly available neuroinformatics system, the Brain Architecture Knowledge Management System (BAMS; http://brancusi.usc.edu/bkms). The structure and functionality of BAMS is briefly reviewed here, as an exemplar for constructing interrelated connectomes at different levels of the mammalian central nervous system organization. Next, the latest version of BAMS rat macroconnectome is presented because it is significantly more populated with the number of inserted connectivity reports exceeding a benchmark value (50,000), and because it is based on a different classification scheme. Finally, we discuss a general methodology and strategy for producing global connection matrices, starting with rigorous mapping of data, then inserting and annotating it, and ending with online generation of large-scale connection matrices.",JournalArticle;Review,46,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_08619b07a36cc83e,e28c047787fcef9f64fe515b05f8126cc2dc0454,core_audit,1,e28c047787fcef9f64fe515b05f8126cc2dc0454,A split-GAL4 driver line resource for Drosophila neuron types,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c7f84d7fd497b3452abbce7245c112bf08f8c0b89442b5fd75835614125972a0,batch_001,role_bridge,"['infrastructure', 'biological_application']",0.8,split-GAL4 driver lines; targeting of cell types in Drosophila; fly central nervous system,Genetic driver-line resource enabling cell-type targeting for fly circuit/connectome work.,[],True,low_confidence,G. Meissner; Allison Vannan; Jennifer Jeter; Kari Close; Gina M. Depasquale; Zachary Dorman; Kaitlyn Forster; Jaye Anne Beringer; Theresa V Gibney; Joanna H Hausenfluck; Yisheng He; Kristin Henderson; Lauren Johnson; Rebecca M Johnston; Gudrun Ihrke; N. Iyer; Rachel Lazarus; Kelley Lee; Hsing-Hsi Li; Hua-Peng Liaw; Brian Melton; Scott Miller; Reeham Motaher; Alexandra Novak; Omotara Ogundeyi; A. Petruncio; J. Price; Sophia Protopapas; Susana Tae; Jennifer Taylor; Rebecca Vorimo; B. Yarbrough; K. Zeng; Christopher T. Zugates; Heather Dionne; Claire Angstadt; Kelly Ashley; Amanda Cavallaro; Tam Dang; Guillermo A. González; Karen L. Hibbard; Cuizhen Huang; Jui-Chun Kao; T. Laverty; Monti Mercer; Brenda Perez; Scarlett Pitts; Danielle Ruiz; Viruthika Vallanadu; Grace Zhiyu Zheng; Cristian Goina; H. Otsuna; Konrad Rokicki; Rob Svirskas; H. S. Cheong; Michael-John Dolan; Erica Ehrhardt; Kai Feng; Basel El Galfi; Jens Goldammer; Stephen J Huston; Nan Hu; Masayoshi Ito; Claire E. McKellar; Ryo Minegishi; S. Namiki; Aljoscha Nern; Catherine E. Schretter; Gabriella R. Sterne; L. Venkatasubramanian; Kaiyu Wang; Tanya Wolff; Ming Wu; R. George; Oz Malkesman; Yoshinori Aso; G. Card; B. Dickson; Wyatt L. Korff; Kei Ito; Jim Truman; M. Zlatic; G. Rubin,2024.0,bioRxiv,10.1101/2024.01.09.574419,"Techniques that enable precise manipulations of subsets of neurons in the fly central nervous system have greatly facilitated our understanding of the neural basis of behavior. Split-GAL4 driver lines allow specific targeting of cell types in Drosophila melanogaster and other species. We describe here a collection of 3060 lines targeting a range of cell types in the adult Drosophila central nervous system and 1373 lines characterized in third-instar larvae. These tools enable functional, transcriptomic, and proteomic studies based on precise anatomical targeting. NeuronBridge and other search tools relate light microscopy images of these split-GAL4 lines to connectomes reconstructed from electron microscopy images. The collections are the result of screening over 77,000 split hemidriver combinations. Previously published and new lines are included, all validated for driver expression and curated for optimal cell type specificity across diverse cell types. In addition to images and fly stocks for these well-characterized lines, we make available 300,000 new 3D images of other split-GAL4 lines.",JournalArticle,28,False,True,role_bridge,role_bridge,[],,0
work_09c0fa76b2cfac78,3755be77133f0a4ccefb97acc9a2609f09e3b174,role_bridge,1,3755be77133f0a4ccefb97acc9a2609f09e3b174,A Unified Framework for Neuroscience Morphological Data Visualization,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bb0e6d0c633a1cfc8263f331afc26d36b4bad88251f8a95c1a2ab71aacd96816,batch_001,role_bridge,['infrastructure'],0.7,neuroscience morphological data visualization; unified framework,Visualization framework for neuroscience morphology data—infrastructure role bridge.,[],True,low_confidence,L. Pastor; S. Bayona; Juan P. Brito; María Cuevas; I. Fernaud; S. Galindo; J. J. Garcia-Cantero; F. Quevedo; S. Mata; O. D. Robles; Angel Rodríguez; Pablo Toharia; Ana Zdravković,2021.0,Applied Sciences,10.3390/app11104652,"The complexity of the human brain makes its understanding one of the biggest challenges that science is currently confronting. Due to its complexity, the brain has been studied at many different levels and from many disciplines and points of view, using a diversity of techniques for getting meaningful data at each specific level and perspective, producing sometimes data that are difficult to integrate. In order to advance understanding of the brain, scientists need new tools that can speed up this analysis process and that can facilitate integrating research results from different disciplines and techniques. Visualization has proved to be useful in the analysis of complex data, and this paper focuses on the design of visualization solutions adapted to the specific problems posed by brain research. In this paper, we propose a unified framework that allows the integration of specific tools to work together in a coordinated manner in a multiview environment, displaying information at different levels of abstraction and combining schematic and realistic representations. The two use cases presented here illustrate the capability of this approach for providing a visual environment that supports the exploration of the brain at all its organizational levels.",,7,True,False,role_bridge,role_bridge,[],,0
work_0d8d0f74d4acd55d,9c5c187d82b62a2bcb62d7a9d76316ba04b22002,core_audit,1,9c5c187d82b62a2bcb62d7a9d76316ba04b22002,A theory of learning with constrained weight-distribution,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8268c8fa6161c7f3f091bed5b94d9f6112ed9e0e01da3f85ac70f8af432d9ea4,batch_002,role_bridge,"['network_science', 'structure_function_modeling']",0.82,high-quality large-scale connectomic datasets... distribution of synaptic weights,Theoretical ML/neuroscience inspired by connectomic weight structure.,[],True,low_confidence,Weishun Zhong; Ben Sorscher; Daniel D. Lee; H. Sompolinsky,2022.0,arXiv.org,10.48550/arxiv.2206.08933,"A central question in computational neuroscience is how structure determines function in neural networks. The emerging high-quality large-scale connectomic datasets raise the question of what general functional principles can be gleaned from structural information such as the distribution of excitatory/inhibitory synapse types and the distribution of synaptic weights. Motivated by this question, we developed a statistical mechanical theory of learning in neural networks that incorporates structural information as constraints. We derived an analytical solution for the memory capacity of the perceptron, a basic feedforward model of supervised learning, with constraint on the distribution of its weights. Our theory predicts that the reduction in capacity due to the constrained weight-distribution is related to the Wasserstein distance between the imposed distribution and that of the standard normal distribution. To test the theoretical predictions, we use optimal transport theory and information geometry to develop an SGD-based algorithm to find weights that simultaneously learn the input-output task and satisfy the distribution constraint. We show that training in our algorithm can be interpreted as geodesic flows in the Wasserstein space of probability distributions. We further developed a statistical mechanical theory for teacher-student perceptron rule learning and ask for the best way for the student to incorporate prior knowledge of the rule. Our theory shows that it is beneficial for the learner to adopt different prior weight distributions during learning, and shows that distribution-constrained learning outperforms unconstrained and sign-constrained learning. Our theory and algorithm provide novel strategies for incorporating prior knowledge about weights into learning, and reveal a powerful connection between structure and function in neural networks.",JournalArticle,4,False,True,role_bridge,role_bridge,[],,0
work_0e4e42b0cb08974f,5ebd33d685c506f571928df3a8f6c79135cc3b56,core_audit,1,5ebd33d685c506f571928df3a8f6c79135cc3b56,The evolution of Big Data in neuroscience and neurology,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3f6392fec5467e70f4691fd48d56db5292a828a0e8dfbd38169d712235c3f012,batch_002,role_bridge,"['infrastructure', 'health_translation']",0.7,"Big Data... including Connectomics, Alzheimer’s Disease",Survey mentioning connectomics among broader neuro Big Data topics.,['generic_health_context'],True,low_confidence,L. Dipietro; P. Gonzalez-Mego; C. Ramos-Estebanez; L. H. Zukowski; Rahul Mikkilineni; R. Rushmore; Timothy Wagner,2023.0,Journal of Big Data,10.1186/s40537-023-00751-2,"Neurological diseases are on the rise worldwide, leading to increased healthcare costs and diminished quality of life in patients. In recent years, Big Data has started to transform the fields of Neuroscience and Neurology. Scientists and clinicians are collaborating in global alliances, combining diverse datasets on a massive scale, and solving complex computational problems that demand the utilization of increasingly powerful computational resources. This Big Data revolution is opening new avenues for developing innovative treatments for neurological diseases. Our paper surveys Big Data’s impact on neurological patient care, as exemplified through work done in a comprehensive selection of areas, including Connectomics, Alzheimer’s Disease, Stroke, Depression, Parkinson’s Disease, Pain, and Addiction (e.g., Opioid Use Disorder). We present an overview of research and the methodologies utilizing Big Data in each area, as well as their current limitations and technical challenges. Despite the potential benefits, the full potential of Big Data in these fields currently remains unrealized. We close with recommendations for future research aimed at optimizing the use of Big Data in Neuroscience and Neurology for improved patient outcomes.",JournalArticle;Review,30,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_10625a8cbeb96224,26da2f0eaf6a66dab66d7b27d174cc0a2e3fd984,role_bridge,1,26da2f0eaf6a66dab66d7b27d174cc0a2e3fd984,Visualization in Connectomics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,77297cbb9c9e64707969d39364c8bce4525da9af62977a08ccb4bf3590fbf67f,batch_002,role_bridge,['infrastructure'],0.85,Connectomics is a branch of neuroscience that attempts to create a connectome,Visualization review for connectomics field.,[],False,,H. Pfister; V. Kaynig; C. Botha; S. Bruckner; V. J. Dercksen; H. Hege; J. Roerdink,2012.0,Scientific Visualization,10.1007/978-1-4471-6497-5_21,"Connectomics is a branch of neuroscience that attempts to create a connectome, i.e., a complete map of the neuronal system and all connections between neuronal structures. This representation can be used to understand how functional brain states emerge from their underlying anatomical structures and how dysfunction and neuronal diseases arise. We review the current state-of-the-art of visualization and image processing techniques in the field of connectomics and describe a number of challenges. After a brief summary of the biological background and an overview of relevant imaging modalities, we review current techniques to extract connectivity information from image data at macro-, meso- and microscales. We also discuss data integration and neural network modeling, as well as the visualization, analysis and comparison of brain networks.",JournalArticle;Review,36,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_121114411163d845,88295bee8c77510cc9afd119c4a6505bd41c1144,role_bridge,1,88295bee8c77510cc9afd119c4a6505bd41c1144,Three-Dimensional Reconstruction of Serial Mouse Brain Sections: Solution for Flattening High-Resolution Large-Scale Mosaics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,12c56fce80a5312858e3d2d8338cbdec433f63e8bf5cc36fbead94a1bf888bca,batch_002,role_bridge,"['infrastructure', 'acquisition_preparation']",0.78,large-scale mosaic volumes using light microscopy... serial mouse brain sections,Light microscopy volume reconstruction supporting atlas/connectome work.,[],True,low_confidence,M. Berlanga; S. Phan; E. Bushong; Stephanie Wu; O. Kwon; B. S. Phung; S. Lamont; M. Terada; T. Tasdizen; M. Martone; Mark Ellisman,2011.0,Frontiers in Neuroanatomy,10.3389/fnana.2011.00017,"Recent advances in high-throughput technology facilitate massive data collection and sharing, enabling neuroscientists to explore the brain across a large range of spatial scales. One such form of high-throughput data collection is the construction of large-scale mosaic volumes using light microscopy (Chow et al., 2006; Price et al., 2006). With this technology, researchers can collect and analyze high-resolution digitized volumes of whole brain sections down to 0.2 μm. However, until recently, scientists lacked the tools to easily handle these large high-resolution datasets. Furthermore, artifacts resulting from specimen preparation limited volume reconstruction using this technique to only a single tissue section. In this paper, we carefully describe the steps we used to digitally reconstruct a series of consecutive mouse brain sections labeled with three stains, a stain for blood vessels (DiI), a nuclear stain (TO-PRO-3), and a myelin stain (FluoroMyelin). These stains label important neuroanatomical landmarks that are used for stacking the serial sections during reconstruction. In addition, we show that the use of two software applications, ir-Tweak and Mogrifier, in conjunction with a volume flattening procedure enable scientists to adeptly work with digitized volumes despite tears and thickness variations within tissue sections. These applications make processing large-scale brain mosaics more efficient. When used in combination with new database resources, these brain maps should allow researchers to extend the lifetime of their specimens indefinitely by preserving them in digital form, making them available for future analyses as our knowledge in the field of neuroscience continues to expand.",JournalArticle,42,True,False,role_bridge,role_bridge,[],,0
work_13f62a94dae5975b,88410357cd891048ad1453cb7b0851ebe7818d54,role_bridge,1,88410357cd891048ad1453cb7b0851ebe7818d54,Fast parallel image registration on CPU and GPU for diagnostic classification of Alzheimer's disease,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5889d1f7d9ae400113bca79f894fde51950a7d4f10fdd8fcda7cf9c3427bfbf8,batch_003,role_bridge,['infrastructure'],0.72,nonrigid image registration... Alzheimer's disease,Medical image registration tool; not connectomics-specific.,['generic_health_context'],True,low_confidence,D. Shamonin; E. Bron; B. Lelieveldt; M. Smits; S. Klein; M. Staring,2013.0,Front. Neuroinform.,10.3389/fninf.2013.00050,"Nonrigid image registration is an important, but time-consuming task in medical image analysis. In typical neuroimaging studies, multiple image registrations are performed, i.e., for atlas-based segmentation or template construction. Faster image registration routines would therefore be beneficial. In this paper we explore acceleration of the image registration package elastix by a combination of several techniques: (i) parallelization on the CPU, to speed up the cost function derivative calculation; (ii) parallelization on the GPU building on and extending the OpenCL framework from ITKv4, to speed up the Gaussian pyramid computation and the image resampling step; (iii) exploitation of certain properties of the B-spline transformation model; (iv) further software optimizations. The accelerated registration tool is employed in a study on diagnostic classification of Alzheimer's disease and cognitively normal controls based on T1-weighted MRI. We selected 299 participants from the publicly available Alzheimer's Disease Neuroimaging Initiative database. Classification is performed with a support vector machine based on gray matter volumes as a marker for atrophy. We evaluated two types of strategies (voxel-wise and region-wise) that heavily rely on nonrigid image registration. Parallelization and optimization resulted in an acceleration factor of 4–5x on an 8-core machine. Using OpenCL a speedup factor of 2 was realized for computation of the Gaussian pyramids, and 15–60 for the resampling step, for larger images. The voxel-wise and the region-wise classification methods had an area under the receiver operator characteristic curve of 88 and 90%, respectively, both for standard and accelerated registration. We conclude that the image registration package elastix was substantially accelerated, with nearly identical results to the non-optimized version. The new functionality will become available in the next release of elastix as open source under the BSD license.",JournalArticle,616,True,False,role_bridge,role_bridge,[],,0
work_14777efdec1861e5,052931634527183f741abe7204419677400711ba,unresolved,1,052931634527183f741abe7204419677400711ba,Quantitative skills in undergraduate neuroscience education in the age of big data.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,eb96a1d34b40b0912192c182c004551cd56ecc37dcede760fe4ff37d1e37d50e,batch_003,role_bridge,['training_outreach'],0.88,connectomics have emerged... graph theory... undergraduate neuroscience education,Training/outreach on connectomics quantitative skills.,[],False,,R. Hoy,2021.0,Neuroscience Letters,10.1016/j.neulet.2021.136074,"For over a half-Century, the mathematics requirement for graduation at most undergraduate colleges and universities has been one year of calculus and a semester of statistics. Many universities and colleges offer a neuroscience major that may or may not add additional mathematics, statistics, or data science requirements. Today in the age of Big Data and Systems Neuroscience, many students are ill-equipped for the future without the tools of computational competency that are necessary to tackle the large data sets generated by contemporary neuroscience research. Required courses in statistics still focus on parametric statistics based on the normal distribution and do not provide the computational tools required to analyze big data sets. Undergraduates in STEM fields including neuroscience need to enroll in the Data Science courses that are required in the social sciences (e.g., economics, political science and psychology). Contemporary systems neuroscience is routinely done by interdisciplinary research teams of statisticians, engineers, and physical scientists. Emerging ""NeuroX-omics"" such as connectomics have emerged along with genomics, proteomics, and transcriptomics, all of which deploy systems analysis techniques based on mathematical graph theory. Connectomics is the 21st Century's functional neuroanatomy. Whole brain connectome research appears almost monthly in the Drosphila, zebra fish, and mouse literature, and human brain connectomics is not far behind. The techniques for connectomics rely on the tools of data science. Undergraduate neuroscience students are already squeezed for credit hours given the high-prescribed science curriculum for biology majors and premedical students, in addition to required courses in social sciences and humanities. However, additional training in mathematics, statistics, computer science, and/or data science is urgently needed for undergraduate neuroscience majors just to understand the contemporary research literature. Undoubtedly, the faculty who teach neuroscience courses are acutely aware of the problem and most of them freely acknowledge the importance of quantitative analytical skills for their students. However, some faculty members may feel that their own math and statistics knowledge or other analytical skills have atrophied beyond recall or were never fulfilled in the first place. In this commentary I suggest that this problem can be ameliorated, though not solved, through organizing workshops, journal clubs, or independent studies courses in which the students and the instructors learn and teach each other in short-course format. In addition, web-available teaching materials such as targeted video clips are plentifully available on the internet. To attract and maintain student interest, qauntitative instruction and learning should occur in neuroscience context.",JournalArticle,17,False,True,role_bridge,role_bridge,['key_for_students'],key_for_students,1
work_1494588f60af3042,7a62cfd15f977b9d04bddc02dfefde5591d9a14a,role_bridge,1,7a62cfd15f977b9d04bddc02dfefde5591d9a14a,"Learning brains: educational neuroscience, neurotechnology and neuropedagogy",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bf340293169a73fdf828797da31d1c3ffbce3e6128adf6c6aa7a0bb92fdf3cdc,batch_003,role_bridge,"['training_outreach', 'health_translation']",0.8,educational neuroscience... neuropedagogy,Educational neuroscience/neuropedagogy; not nanoscale connectomics science.,[],True,low_confidence,Ben Williamson; J. Pykett; Dimitra Kotouza,2025.0,"Pedagogy, Culture &amp; Society",10.1080/14681366.2025.2521458,"ABSTRACT Educational neuroscience seeks to conceptualise the neural underpinings of learning and other educational outcomes, as a route to proposing brain-based pedagogic interventions. As educational neuroscience has begun deploying new neurotechnologies, it has generated diverse data-driven conceptualisations of the ‘learning brain’. The data-intensive technological and methodological apparatuses used in educational neuroscience support the configuration of multiple ‘learning brains’ as the basis for neuropedagogic interventions: (1) a ‘plastic’ brain, (2) a ‘synchronized’ brain, (3) an ‘engaged’ brain, and (4) a ‘computational’ brain. Various sociotechnical arrangements of instrumentation, information, incubation, imagination and implementation that constitute contemporary neurotechnological instantiations of educational neuroscience are analysed. The core argument is that the neuro-informational malleability of the datafied learning brain is being mobilised to strengthen educational neuroscience as a source of expertise in brain-based pedagogies. This has novel implications for determining what education scientifically is and normatively should be, and for proposed ‘neurogovernance’ interventions.",JournalArticle,13,True,False,role_bridge,role_bridge,['key_for_students'],key_for_students,1
