last_author,person_id,ultra_core_papers
D. Chklovskii,person:d chklovskii,4
M. Helmstaedter,person:m helmstaedter,4
Albert Cardona,person:albert cardona,3
D. Bock,person:d bock,2
R. Clay Reid,person:r clay reid,2
H. Sebastian Seung,person:h sebastian seung,2
J. Lichtman,person:j lichtman,2
J. Mcintosh,person:j mcintosh,1
Beth Stevens,person:beth stevens,1
Stephen T. C. Wong,person:stephen wong,1
S. Brenner,person:s brenner,1
R. Douglas,person:r douglas,1
Stephen M. Plaza,person:stephen plaza,1
Scott W. Emmons,person:scott emmons,1
David M. Miller,person:david miller,1
KM Harris,person:km harris,1
Henry Markram,person:henry markram,1
E. Jokitalo,person:e jokitalo,1
Mei Zhen,person:mei zhen,1
Szi-chieh Yu,person:szi chieh yu,1
S. Hestrin,person:s hestrin,1
Harald F. Hess,person:harald hess,1
Marta Zlatic,person:marta zlatic,1
L. Luo,person:l luo,1
Louis K. Scheffer,person:louis scheffer,1
V. Jayaraman,person:v jayaraman,1
E. Bullmore,person:e bullmore,1
Oliver Hobert,person:oliver hobert,1
B. Sakmann,person:b sakmann,1
Winfried Denk,person:winfried denk,1
G. Jefferis,person:g jefferis,1
Olaf Sporns,person:olaf sporns,1
H. Horvitz,person:h horvitz,1
G. Rubin,person:g rubin,1
TJ Sejnowski,person:tj sejnowski,1
J. Magee,person:j magee,1
Won-Ki Jeong,person:won ki jeong,1
L. Looger,person:l looger,1
Hong-Wei Dong,person:hong wei dong,1
N. Shavit,person:n shavit,1
I. Meinertzhagen,person:i meinertzhagen,1
Takeshi Imai,person:takeshi imai,1
S. Waddell,person:s waddell,1
M. Murthy,person:m murthy,1
Herwig Baier,person:herwig baier,1
W. Lee,person:w lee,1
WR Schafer,person:wr schafer,1
P. Scheiffele,person:p scheiffele,1
A. Saykin,person:a saykin,1
Srinivas C. Turaga,person:srinivas turaga,1
G. L. Henry,person:g henry,1
K. Briggman,person:k briggman,1
N. D. da Costa,person:n da costa,1
