normalized_name_block,exact_normalized_name_match,author_id_a,author_id_b,name_a,name_b,retained_papers_a,retained_papers_b,same_name_direct_coauthor,shared_coauthor_names,coauthor_jaccard,axis_jaccard,year_overlap,classification,recommended_action
kei ito,True,144088358,2111419911,Kei Ito,Kei Ito,2,1,True,107,0.972727,1.0,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
a quattrone,True,2321981,49664270,A. Quattrone,A. Quattrone,6,1,True,49,0.371212,0.5,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
r gur,True,2406788,144762538,R. Gur,R. Gur,4,3,True,32,0.864865,1.0,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
albert cardona,True,145844120,2122284027,Albert Cardona,Albert Cardona,20,12,True,29,0.235772,0.571429,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
r gur,True,2288515084,2256419511,R. Gur,R. Gur,2,1,True,11,0.6875,0.5,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
f castellanos,True,2274994535,2361004201,F. X. Castellanos,F. X. Castellanos,2,3,True,8,0.363636,0.5,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
j wegiel,True,34565535,1877495,J. Wegiel,J. Wegiel,1,1,True,6,1.0,1.0,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
p sorrentino,True,4540646,2270498412,P. Sorrentino,P. Sorrentino,10,1,True,6,0.153846,1.0,True,same_name_coauthor_collision,verify_source_metadata_keep_separate
h seung,False,144924970,2250498183,H. Seung,H. S. Seung,23,17,False,107,0.332298,0.666667,True,probable_same_person,manual_verify_then_merge_alias
jan funke,True,1890094,2314918509,Jan Funke,Jan Funke,14,4,False,106,0.333333,0.333333,True,probable_same_person,manual_verify_then_merge_alias
g rubin,True,34660241,2256195127,G. Rubin,G. Rubin,17,7,False,77,0.209809,0.428571,True,probable_same_person,manual_verify_then_merge_alias
r reid,True,46567235,2254043701,R. Reid,R. Reid,15,7,False,70,0.346535,0.428571,True,probable_same_person,manual_verify_then_merge_alias
t brien,True,2057855350,2125515064,T. O’Brien,T. O'Brien,1,2,False,66,0.694737,1.0,True,probable_same_person,manual_verify_then_merge_alias
zhiyuan lu,True,2193886,2253000636,Zhiyuan Lu,Zhiyuan Lu,12,4,False,66,0.276151,0.285714,True,probable_same_person,manual_verify_then_merge_alias
harald hess,False,2303648921,2313246488,Harald F. Hess,Harald Hess,3,2,False,62,0.446043,0.333333,True,probable_same_person,manual_verify_then_merge_alias
brandon mark,True,27155198,2308462568,Brandon Mark,Brandon Mark,5,3,False,57,0.686747,0.5,True,probable_same_person,manual_verify_then_merge_alias
lindsey kitchell,False,52007649,2261746045,Lindsey Kitchell,Lindsey M. Kitchell,3,3,False,56,0.56,0.25,True,probable_same_person,manual_verify_then_merge_alias
fabian sinz,True,50095217,2268495239,Fabian H Sinz,Fabian H. Sinz,5,1,False,54,0.5,0.2,True,probable_same_person,manual_verify_then_merge_alias
anan li,True,2141519647,2336593507,Anan Li,Anan Li,2,3,False,48,0.457143,1.0,True,probable_same_person,manual_verify_then_merge_alias
j buchanan,True,49345106,2053444469,J. Buchanan,J. Buchanan,16,1,False,44,0.305556,0.0,True,probable_same_person,manual_verify_then_merge_alias
qingming luo,True,2300339225,2074296452,Qingming Luo,Qingming Luo,1,7,False,35,0.220126,0.5,True,probable_same_person,manual_verify_then_merge_alias
jinseop kim,True,2252993630,2117157318,Jinseop S. Kim,Jinseop S. Kim,4,6,False,34,0.5,0.333333,True,probable_same_person,manual_verify_then_merge_alias
anthony azevedo,True,2308462121,38987729,Anthony W. Azevedo,Anthony W. Azevedo,6,2,False,32,0.20915,0.333333,True,probable_same_person,manual_verify_then_merge_alias
ellen lesser,True,3986207,2366069682,Ellen Lesser,Ellen Lesser,2,3,False,30,0.243902,0.5,True,probable_same_person,manual_verify_then_merge_alias
qi dong,True,2017455076,2291340994,Qi Dong,Qi Dong,6,2,False,28,0.518519,1.0,True,probable_same_person,manual_verify_then_merge_alias
a edwards,True,2112879490,2248171763,A. Edwards,A. Edwards,5,2,False,26,0.247619,0.5,True,probable_same_person,manual_verify_then_merge_alias
s ourselin,True,2285602088,143951081,S. Ourselin,S. Ourselin,1,2,False,19,0.452381,0.75,True,probable_same_person,manual_verify_then_merge_alias
minjeong kim,True,2357327656,1763122,Minjeong Kim,Minjeong Kim,2,3,False,19,0.431818,1.0,True,probable_same_person,manual_verify_then_merge_alias
robert smith,True,2115488282,2354638452,Robert G. Smith,Robert G. Smith,3,2,False,18,0.5,0.0,True,probable_same_person,manual_verify_then_merge_alias
tri nguyen,False,2116108808,2387879053,Tri M. Nguyen,Tri Nguyen,4,2,False,18,0.418605,0.0,True,probable_same_person,manual_verify_then_merge_alias
yong he,True,2238392863,2239415360,Yong He,Yong He,3,3,False,17,0.361702,1.0,True,probable_same_person,manual_verify_then_merge_alias
paul martin,True,2256780972,2256781036,Paul R. Martin,Paul R. Martin,2,1,False,16,0.8,0.0,True,probable_same_person,manual_verify_then_merge_alias
harry behjat,True,2412724322,2345817465,Harry H. Behjat,Harry H. Behjat,5,2,False,16,0.390244,0.75,True,probable_same_person,manual_verify_then_merge_alias
lijun an,True,2398766456,1879808968,Lijun An,Lijun An,1,2,False,15,0.535714,0.5,True,probable_same_person,manual_verify_then_merge_alias
jacob vogel,True,2276217291,2220002518,Jacob W Vogel,Jacob W. Vogel,1,2,False,15,0.5,1.0,True,probable_same_person,manual_verify_then_merge_alias
william gray roncal,False,1384052997,2125890321,William Gray-Roncal,William R. Gray-Roncal,8,1,False,13,0.361111,0.142857,True,probable_same_person,manual_verify_then_merge_alias
tom hindmarsh sten,True,150324555,10693730,Tom Hindmarsh Sten,Tom Hindmarsh Sten,1,1,False,12,1.0,1.0,True,probable_same_person,manual_verify_then_merge_alias
angel garcia de la garza,True,37610162,34074820,Angel Garcia de la Garza,Angel Garcia de La Garza,1,1,False,12,0.521739,1.0,True,probable_same_person,manual_verify_then_merge_alias
h hioki,True,5065615,2085090613,H. Hioki,H. Hioki,1,1,False,11,0.846154,0.0,True,probable_same_person,manual_verify_then_merge_alias
s bonavita,True,2270498332,5233292,S. Bonavita,S. Bonavita,2,3,False,11,0.423077,1.0,True,probable_same_person,manual_verify_then_merge_alias
dani bassett,True,2190757065,2293381120,Dani S. Bassett,Dani S. Bassett,4,1,False,11,0.354839,0.25,True,probable_same_person,manual_verify_then_merge_alias
bennett landman,True,2345543890,2239208043,Bennett A. Landman,Bennett A. Landman,4,3,False,11,0.25,0.666667,True,probable_same_person,manual_verify_then_merge_alias
f lopera,True,143755490,2074955465,F. Lopera,F. Lopera,1,1,False,10,0.833333,1.0,True,probable_same_person,manual_verify_then_merge_alias
yongbin wei,True,2258940010,50530359,Yongbin Wei,Yongbin Wei,1,3,False,10,0.4,1.0,True,probable_same_person,manual_verify_then_merge_alias
jie yang,True,32577277,2302866330,Jie Yang,Jie Yang,7,7,False,10,0.263158,1.0,True,probable_same_person,manual_verify_then_merge_alias
r schulz,True,47551580,2293153614,R. Schulz,R. Schulz,7,2,False,10,0.25,1.0,True,probable_same_person,manual_verify_then_merge_alias
r marc,False,122975537,2489794,R. E. Marc,R. Marc,2,14,False,10,0.212766,0.142857,True,probable_same_person,manual_verify_then_merge_alias
g anastasi,True,1744945,2185258415,G. Anastasi,G. Anastasi,14,3,False,10,0.2,0.5,True,probable_same_person,manual_verify_then_merge_alias
sara patterson,True,143702625,153021482,Sara S. Patterson,Sara S. Patterson,4,2,False,9,0.310345,0.666667,True,probable_same_person,manual_verify_then_merge_alias
gregg wildenberg,False,1970495370,2365642054,Gregg A. Wildenberg,Gregg Wildenberg,8,1,False,9,0.204545,0.25,True,probable_same_person,manual_verify_then_merge_alias
p sorrentino,True,4540646,2268852455,P. Sorrentino,P. Sorrentino,10,2,False,9,0.204545,1.0,True,probable_same_person,manual_verify_then_merge_alias
qiyong gong,True,2332556775,2274334154,Qiyong Gong,Qiyong Gong,1,1,False,8,0.888889,1.0,True,probable_same_person,manual_verify_then_merge_alias
e mayer,True,2435449956,2315247227,E. Mayer,E. Mayer,1,1,False,8,0.615385,1.0,True,probable_same_person,manual_verify_then_merge_alias
jun yang,True,2339221862,2146158125,Jun Yang,Jun Yang,5,1,False,8,0.380952,1.0,True,probable_same_person,manual_verify_then_merge_alias
h kennedy,True,143649681,2249900287,H. Kennedy,H. Kennedy,6,1,False,8,0.285714,1.0,True,probable_same_person,manual_verify_then_merge_alias
g johnson,False,2113448828,144593034,G. A. Johnson,G. Johnson,2,4,False,8,0.210526,1.0,True,probable_same_person,manual_verify_then_merge_alias
f castellanos,False,2106833012,66851526,F. Castellanos,F. X. Castellanos,3,1,False,7,0.368421,1.0,True,probable_same_person,manual_verify_then_merge_alias
kurt schilling,False,2318038740,2364565778,Kurt Schilling,Kurt G. Schilling,3,1,False,7,0.333333,1.0,True,probable_same_person,manual_verify_then_merge_alias
qiyong gong,True,2252895667,2250128181,Qiyong Gong,Qiyong Gong,1,1,False,7,0.333333,0.5,True,probable_same_person,manual_verify_then_merge_alias
pat gunn,True,2243280173,65921441,Pat Gunn,Pat Gunn,2,1,False,7,0.269231,0.0,True,probable_same_person,manual_verify_then_merge_alias
daniel col ramos,False,2168336347,2316858142,Daniel A. Colón-Ramos,Daniel Colόn-Ramos,4,1,False,7,0.225806,0.0,True,probable_same_person,manual_verify_then_merge_alias
carl yang,True,1390553618,2695365,Carl Yang,Carl Yang,2,1,False,6,0.545455,0.333333,True,probable_same_person,manual_verify_then_merge_alias
r whitaker,True,2067204085,1790727,R. Whitaker,R. Whitaker,1,3,False,6,0.285714,0.0,True,probable_same_person,manual_verify_then_merge_alias
