work_id,source,identifier,error
work_6de7a23e22856f8d,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6de7a23e22856f8d,datacite,10.1007/978-3-642-31208-3_6,<HTTPError 404: 'Not Found'>
work_bc30ed97160e9e40,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_bc30ed97160e9e40,semantic_scholar,10.1111/ejn.14988/v1/review1,<HTTPError 429: ''>
work_bc30ed97160e9e40,semantic_scholar,title,<HTTPError 429: ''>
work_bc30ed97160e9e40,datacite,10.1111/ejn.14988/v1/review1,<HTTPError 404: 'Not Found'>
work_ad2245ba02976b6a,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_4ff57c8e5c8f500e,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_4ff57c8e5c8f500e,semantic_scholar,title,<HTTPError 429: ''>
work_b053626fbc21b334,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_9906649d49324506,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6ab7a357b4798918,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6ab7a357b4798918,semantic_scholar,title,<HTTPError 429: ''>
work_6ab7a357b4798918,datacite,10.1016/j.plgene.2017.09.002,<HTTPError 404: 'Not Found'>
work_6e83906bbd05541c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6e83906bbd05541c,semantic_scholar,10.1007/978-1-0716-0691-9_14,<HTTPError 429: ''>
work_6e83906bbd05541c,semantic_scholar,title,<HTTPError 429: ''>
work_6e83906bbd05541c,datacite,10.1007/978-1-0716-0691-9_14,<HTTPError 404: 'Not Found'>
work_30c6328fb5c37345,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_951fb77dafd531c1,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_951fb77dafd531c1,semantic_scholar,10.1007/s13295-016-0029-z,<HTTPError 429: ''>
work_951fb77dafd531c1,semantic_scholar,title,<HTTPError 429: ''>
work_951fb77dafd531c1,datacite,10.1007/s13295-016-0029-z,<HTTPError 404: 'Not Found'>
work_633c537471d43a43,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_af05a96a7b98a578,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_af05a96a7b98a578,semantic_scholar,10.1016/b978-0-12-396460-1.00018-4,<HTTPError 429: ''>
work_af05a96a7b98a578,semantic_scholar,title,<HTTPError 429: ''>
work_af05a96a7b98a578,datacite,10.1016/b978-0-12-396460-1.00018-4,<HTTPError 404: 'Not Found'>
work_a23d14dc6d3353f4,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_d85375e37eebccc4,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_d85375e37eebccc4,datacite,10.1016/b978-0-12-821861-7.00019-1,<HTTPError 404: 'Not Found'>
work_69fc20e5a79a0fb9,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_69fc20e5a79a0fb9,semantic_scholar,10.1016/s0925-2312(02)00454-x,<HTTPError 429: ''>
work_69fc20e5a79a0fb9,semantic_scholar,title,<HTTPError 429: ''>
work_69fc20e5a79a0fb9,datacite,10.1016/s0925-2312(02)00454-x,<HTTPError 404: 'Not Found'>
work_f63b8b7b7d092e9f,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6197cb0a19e134a2,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6197cb0a19e134a2,semantic_scholar,title,<HTTPError 429: ''>
work_323495406f39c0b9,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_323495406f39c0b9,semantic_scholar,title,<HTTPError 429: ''>
work_db5006897fc18923,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_db5006897fc18923,semantic_scholar,title,<HTTPError 429: ''>
work_c921958d205463c4,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_2571e4f07b07fe14,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_2571e4f07b07fe14,semantic_scholar,10.1166/jnsne.2013.1046,<HTTPError 429: ''>
work_2571e4f07b07fe14,semantic_scholar,title,<HTTPError 429: ''>
work_2571e4f07b07fe14,datacite,10.1166/jnsne.2013.1046,<HTTPError 404: 'Not Found'>
work_d4adb6b78aefd6e0,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_d4adb6b78aefd6e0,datacite,10.1016/b978-0-12-816633-8.00021-1,<HTTPError 404: 'Not Found'>
work_189e64868871c682,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_189e64868871c682,semantic_scholar,title,<HTTPError 429: ''>
work_5784e0fb41b66242,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_5784e0fb41b66242,datacite,10.1038/s41592-018-0166-0,<HTTPError 404: 'Not Found'>
work_c6efde88fad32fc4,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_c6efde88fad32fc4,semantic_scholar,10.1007/978-3-031-43895-0_73,<HTTPError 429: ''>
work_c6efde88fad32fc4,semantic_scholar,title,<HTTPError 429: ''>
work_c6efde88fad32fc4,datacite,10.1007/978-3-031-43895-0_73,<HTTPError 404: 'Not Found'>
work_b7c5c00e96df714c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_b7c5c00e96df714c,semantic_scholar,10.1016/0378-8733(78)90021-7,<HTTPError 429: ''>
work_b7c5c00e96df714c,semantic_scholar,title,<HTTPError 429: ''>
work_b7c5c00e96df714c,datacite,10.1016/0378-8733(78)90021-7,<HTTPError 404: 'Not Found'>
work_5aa5cbcf3f678396,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_5aa5cbcf3f678396,semantic_scholar,10.1007/978-3-031-26390-3_1,<HTTPError 429: ''>
work_5aa5cbcf3f678396,semantic_scholar,title,<HTTPError 429: ''>
work_5aa5cbcf3f678396,datacite,10.1007/978-3-031-26390-3_1,<HTTPError 404: 'Not Found'>
work_ed733afc84891fc7,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ed733afc84891fc7,semantic_scholar,title,<HTTPError 429: ''>
work_a96fe36903088e18,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_4d5ee35a5b45078b,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_e75bb913a1bb3e89,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_e75bb913a1bb3e89,semantic_scholar,10.1038/s41592-025-02988-6,<HTTPError 429: ''>
work_e75bb913a1bb3e89,datacite,10.1038/s41592-025-02988-6,<HTTPError 404: 'Not Found'>
work_67618dfebaf7bb42,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_8663fe0ff3a1e60e,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_8663fe0ff3a1e60e,semantic_scholar,10.1038/s41592-026-03052-7,<HTTPError 429: ''>
work_8663fe0ff3a1e60e,datacite,10.1038/s41592-026-03052-7,<HTTPError 404: 'Not Found'>
work_c797299f5f6bfb8b,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_c797299f5f6bfb8b,semantic_scholar,10.1007/978-1-4614-2356-0_55,<HTTPError 429: ''>
work_c797299f5f6bfb8b,semantic_scholar,title,<HTTPError 429: ''>
work_c797299f5f6bfb8b,datacite,10.1007/978-1-4614-2356-0_55,<HTTPError 404: 'Not Found'>
work_d68614e9234e908d,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_d68614e9234e908d,semantic_scholar,10.1038/s41583-024-00879-x,<HTTPError 429: ''>
work_d68614e9234e908d,datacite,10.1038/s41583-024-00879-x,<HTTPError 404: 'Not Found'>
work_8556a02cf489d2d5,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_8556a02cf489d2d5,semantic_scholar,title,<HTTPError 429: ''>
work_a8224c2e80828d9a,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_058739ee82382c88,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_058739ee82382c88,semantic_scholar,10.1002/cne.24932/v1/review2,<HTTPError 429: ''>
work_058739ee82382c88,semantic_scholar,title,<HTTPError 429: ''>
work_058739ee82382c88,datacite,10.1002/cne.24932/v1/review2,<HTTPError 404: 'Not Found'>
work_464ca7457c3d0c83,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_464ca7457c3d0c83,semantic_scholar,10.7912/c2vh24,<HTTPError 429: ''>
work_5d1a82db0c714b0e,openalex,title,<HTTPError 429: 'Too Many Requests'>
