work_id,record_type,title,year,doi,pmid,authors,venue
work_6de7a23e22856f8d,research_paper,From Diffusion MRI to Brain Connectomics,2013.0,10.1007/978-3-642-31208-3_6,,A. Ghosh; R. Deriche,
work_bc30ed97160e9e40,peer_review_report,"Review for ""Statistical analysis of unidirectional and reciprocal chemical connections in the C. elegans connectome""",2020.0,10.1111/ejn.14988/v1/review1,,Jagan Srinivasan,
work_4ff57c8e5c8f500e,research_paper,A Variational Bayesian Approach to Network Modularity Applied to the Structural Connectome of the Human Brain,2012.0,,,J. Owen; Yi-Ou Li; E. Friedman; P. Mukherjee,
work_b053626fbc21b334,research_paper,Bayesian inference for synaptic connectivity rules in anatomically realistic cortical connectomes,2019.0,,,Jan Boelts; Philipp Harth; F. Yanez; H. Hege; M. Oberlaender; J. Macke,
work_6ab7a357b4798918,research_paper,"De novo assembly of leaf transcriptome, functional annotation and genomic resources development in Prosopis cineraria, a multipurpose tree of Indian Thar Desert",2017.0,10.1016/j.plgene.2017.09.002,,M. Rai; Jatan K. Shekhawat; V. Kataria; N. S. Shekhawat,
work_6e83906bbd05541c,research_paper,Forget About Electron Micrographs: A Novel Guide for Using for Quantitative Analysis of Dense Reconstructions,2020.0,10.1007/978-1-0716-0691-9_14,,Daniya Boges; Marco Agus; P. Magistretti; C. Calì,
work_30c6328fb5c37345,research_paper,Registration of Histological Sections with Clinical Imaging : A Survey,2018.0,,,Jonas Pichat; J. E. Iglesias; T. Yousry; S. Ourselin; M. Modat,
work_951fb77dafd531c1,research_paper,Computational connectomics,2016.0,10.1007/s13295-016-0029-z,,J. Triesch; C. Hilgetag,e-Neuroforum
work_633c537471d43a43,research_paper,CONVERGENT BRAIN CONNECTOME ANALYSIS WITH BRAIN GRAPH TRANSFORMERS,,,,Keqi Han; Xuan Kan; Carl Yang,
work_af05a96a7b98a578,book_or_chapter,Chapter 18 – The Human Connectome: Linking Structure and Function in the Human Brain,2014.0,10.1016/b978-0-12-396460-1.00018-4,,O. Sporns,
work_a23d14dc6d3353f4,research_paper,Connectome++: Microtubule Reconstruction and Neurotransmitter Prediction from Large Scale Electron Microscopy Volumes,2021.0,10.3929/ethz-b-000513728,,N. Eckstein,
work_d85375e37eebccc4,research_paper,High-resolution resources and histological mesh tractography,2022.0,10.1016/b978-0-12-821861-7.00019-1,,E. Alho; E. Fonoff; H. Heinsen,Connectomic Deep Brain Stimulation
work_69fc20e5a79a0fb9,research_paper,Information storage capacity of synaptic connectivity patterns,2002.0,10.1016/s0925-2312(02)00454-x,,A. Stepanyants; P. Hof; D. Chklovskii,Neurocomputing
work_f63b8b7b7d092e9f,research_paper,Automatically Improving 3 D Neuron Segmentations for Expansion Microscopy Connectomics,,,,Albert Gerovitch,
work_6197cb0a19e134a2,research_paper,"Characterization of Nibea albiflora transcriptome: sequencing, de novo assembly, annotation and comparative genomics.",2016.0,,,Zhan Wei; Chen Ruiyi; M. Y. Laghari; D. Xu; Guomin Mao; Huilai Shi; Lou Bao,
work_323495406f39c0b9,research_paper,TUTORIAL: BRAIN CONNECTOME ANALYSIS WITH GRAPH NEURAL NETWORKS,,,,Hejie Cui; Xuan Kan; Carl Yang,
work_db5006897fc18923,research_paper,EC NEUROLOGY Mini Review Seizure Suppression Using Low-Frequency Stimulation to Connectomics: New Directions to Epilepsy Therapy,2016.0,,,G. Ullal,
work_2571e4f07b07fe14,research_paper,Mapping Brain Connectomics from Brownian Motion: A Technical Review for Diffusion MRI,2013.0,10.1166/jnsne.2013.1046,,Kuan-Hung Cho; L. Kuo; Ching-Po Lin,
work_d4adb6b78aefd6e0,research_paper,Connectome and graph analysis of the developing brain,2021.0,10.1016/b978-0-12-816633-8.00021-1,,M. Cao; Yong He,Advances in Magnetic Resonance Technology and Applications
work_189e64868871c682,research_paper,The effect of tractography algorithm on human cortical connectome reconstruction by diffusion weighted MRI,2011.0,,,M. Bastiani; R. Goebel; A. Roebroeck,
work_5784e0fb41b66242,research_paper,Coloring electron microscopy connectomes,2018.0,10.1038/s41592-018-0166-0,30275588,A. Yee,Nature Methods
work_c6efde88fad32fc4,research_paper,Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis,2023.0,10.1007/978-3-031-43895-0_73,,Hyuna Cho; Guorong Wu; Won Hwa Kim,International Conference on Medical Image Computing and Computer-Assisted Intervention
work_b7c5c00e96df714c,research_paper,Centrality in social networks conceptual clarification,1978.0,10.1016/0378-8733(78)90021-7,,L. Freeman,
work_5aa5cbcf3f678396,research_paper,Algorithmic Tools for Understanding the Motif Structure of Networks,2022.0,10.1007/978-3-031-26390-3_1,,Tianyi Chen; Brian Matejek; M. Mitzenmacher; Charalampos E. Tsourakakis,ECML/PKDD
work_ed733afc84891fc7,research_paper,Special Issue: The Connectome - Feature Review,2013.0,,,M. P. Heuvel; O. Sporns,
work_a96fe36903088e18,research_paper,Olfactory Bulb Granule Cells Date of Birth biases their Synaptic Connectivity with Mitral and Tufted Cells,2018.0,,,Marta Pallotto; S. Stanley; K. Briggman,
work_4d5ee35a5b45078b,research_paper,Connectivity inference for petascale neural circuit reconstruction,2022.0,,,N. Turner,
work_e75bb913a1bb3e89,editorial_commentary,Method of the Year 2025: electron microscopy-based connectomics,2025.0,10.1038/s41592-025-02988-6,41360956,,Nature Methods
work_67618dfebaf7bb42,research_paper,Steady-state learning and synaptic connectivity in local cortical networks of excitatory and inhibitory neuronsa,2014.0,,,Julio I. Chapeton,
work_8663fe0ff3a1e60e,research_paper,Synaptic connectomics by sequencing.,2026.0,10.1038/s41592-026-03052-7,41922569,G. L. Henry; Anthony M. Zador,Nature Methods
work_c797299f5f6bfb8b,research_paper,High-Throughput Functional Annotation and Data Mining of Fungal Genomes to Identify Therapeutic Targets,2013.0,10.1007/978-1-4614-2356-0_55,,Gagan Garg; S. Ranganathan,
work_d68614e9234e908d,research_paper,Fly connectome over the wire,2024.0,10.1038/s41583-024-00879-x,39468373,J. Rogers,Nature Reviews Neuroscience
work_8556a02cf489d2d5,research_paper,Synaptic connectivity for a starburst amacrine cell in the macaque monkey retina,2020.0,,,Y. Kim; Orin Packer; Ursula Bertram; D. Dacey,
work_a8224c2e80828d9a,erratum_correction,"Erratum: Three-dimensional structure and composition of CA3→CA1 axons in rat hippocampal slices: Implications for presynaptic connectivity and compartmentalization (Journal of Neuroscience (October 15, 1998) (8300- 8310))",1999.0,,,G. Sheperd; K. Harris,
work_058739ee82382c88,peer_review_report,"Review for ""The connectome of the Caenorhabditis elegans pharynx""",2020.0,10.1002/cne.24932/v1/review2,,G. Jékely,
work_464ca7457c3d0c83,research_paper,Using brain connectomics to detect functional connectivity differences in Alzheimer's disease,2017.0,10.7912/c2vh24,,Joey A. Contreras,
work_5d1a82db0c714b0e,research_paper,"Transforming Connectomes to ""Any"" Parcellation via Graph Matching",2022.0,10.1007/978-3-031-21083-9_12,,Qinghao Liang; Javid Dadashkarimi; Wei Dai; Amin Karbasi; Joseph Chang; Harrison H. Zhou; D. Scheinost,ISGIE/GRAIL@MICCAI
work_0c5cdd3de8680ee3,research_paper,"Genome sequence, phylogenetic analysis, and structure-based annotation reveal metabolic potential of Chlorella sp. SLA-04",2022.0,10.1016/j.algal.2022.102943,,Calvin L.C. Goemann; R. Wilkinson; William S. Henriques; H. Bui; Hannah M. Goemann; R. Carlson; S. Viamajala; R. Gerlach; B. Wiedenheft,Algal Research
work_ae79040e025d26fb,research_paper,"Network building and analysis in connectomics studies: a review of algorithms, databases and technologies",2019.0,10.1007/s13721-019-0192-6,,Marianna Milano; P. Guzzi; M. Cannataro,Network Modeling Analysis in Health Informatics and Bioinformatics
work_4383cd87e4a9f214,research_paper,Supplemental Information: Bisected graph matching improves automated 2 pairing of bilaterally homologous neurons from connectomes,2022.0,,,B. Pedigo; Michael Winding; Carey E. Priebe; J. Vogelstein,
work_b7671bc4976f1fe5,research_paper,Plugging invisible gaps in the synaptic connectome,2023.0,10.53053/qfxt1842,,Elissa Welle,The Transmitter
work_5cda401253232b55,research_paper,Symmetric Dual Adversarial Connectomic Domain Alignment for Predicting Isomorphic Brain Graph from a Baseline Graph,2019.0,10.1007/978-3-030-32251-9_51,,Alaa Bessadok; M. Mahjoub; I. Rekik,International Conference on Medical Image Computing and Computer-Assisted Intervention
work_c35bc9b5d9a82cfe,research_paper,The role of gap junctions in the C. elegans connectome.,2017.0,10.1016/j.neulet.2017.09.002,28886984,D. Hall,Neuroscience Letters
work_3eeadd4ace5b5f2e,research_paper,Summer School Connectomics 2014,2014.0,,,Y. p,
work_6e7cfb821a1c3304,research_paper,Modularity and neural coding from a brainstem synaptic 1 wiring diagram,2020.0,,,Ashwin Vishwanathan; A. Ramirez; Jingpeng Wu; A. Sood; Runzhe Yang; N. Kemnitz; Dodam Ih; N. Turner; Kisuk Lee; Ignacio Tartavull; W. Silversmith; C. Jordan; Celia David; Doug Bland; M. Goldman; Emre ,
work_d71641fa0893683c,research_paper,Abnormal synaptic connectivity in schizophrenia,1998.0,10.1016/s0920-9964(97)88513-1,,M. Stefan; P. Falkai; E. Bullmore; M. Royston,
work_a9f4291de842d4c9,book_or_chapter,"Connectomics in NeuroImaging: Third International Workshop, CNI 2019, Held in Conjunction with MICCAI 2019, Shenzhen, China, October 13, 2019, Proceedings",2019.0,10.1007/978-3-030-32391-2,,Archana Venkataraman; I. Rekik; Minjeong Kim; Ai Wern Chung,CNI@MICCAI
work_3ec2672b886ad260,research_paper,High-Resolution Synaptic Connectomics,2015.0,10.1007/978-3-319-12913-6_1,,R. Marc; Bryan William Jones; C. Sigulinsky; James R. Anderson; J. S. Lauritzen,
work_e3d43c22f15e17a3,research_paper,Curriculum learning as a tool to uncover learning principles in the brain,2022.0,,,Daniel R. Kepple; Rainer Engelken; Kanaka Rajan,International Conference on Learning Representations
