record_id,author_group,year,title,venue,branch,verification,doi,source_url,source_note,core_status,role_tags,absolute_core_attestation,screener_tag_status,first_discovery_event,importance_note,status
NC001,Denk & Horstmann,2004,Serial block-face scanning electron microscopy to reconstruct three-dimensional tissue nanostructure,PLoS Biology,Foundations / acquisition,A,10.1371/journal.pbio.0020329,https://doi.org/10.1371/journal.pbio.0020329,fresh primary bibliographic record,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Foundational serial block-face SEM that automated destructive 3D imaging.,included
NC002,Briggman & Denk,2006,Towards neural circuit reconstruction with volume electron microscopy techniques,Current Opinion in Neurobiology,Foundations / review,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 6,field_defining_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Early field roadmap linking volume EM to dense neural-circuit reconstruction.,included
NC003,Lichtman & Denk,2011,The big and the small: challenges of imaging the brain’s circuits,Science,Foundations / review,B,10.1126/science.1209168,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 4,field_defining_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Canonical framing of the scale problem in connectomics.,included
NC004,Briggman & Bock,2012,Volume electron microscopy for neuronal circuit reconstruction,Current Opinion in Neurobiology,Foundations / review,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 47,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Methods synthesis of vEM tradeoffs for circuit reconstruction.,included
NC005,Helmstaedter,2013,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,Nature Methods,Foundations / review,A,10.1038/nmeth.2476,https://doi.org/10.1038/nmeth.2476,fresh Nature record,field_defining_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Canonical quantitative treatment of reconstruction and analysis bottlenecks.,included
NC006,Kornfeld & Denk,2018,Progress and remaining challenges in high-throughput volume electron microscopy,Current Opinion in Neurobiology,Foundations / review,A,10.1016/j.conb.2018.04.030,https://doi.org/10.1016/j.conb.2018.04.030,fresh publisher/PubMed record,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Important scale-up review of high-throughput vEM.,included
NC007,Bock,2025,Synaptic connectomics: status and prospects,Nature Reviews Neuroscience,Foundations / review,A,10.1038/s41583-025-00957-8,https://doi.org/10.1038/s41583-025-00957-8,fresh independent current field perspective,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Independent contemporary perspective used to cross-check the frontier.,included
NC008,Helmstaedter,2026,Synaptic-resolution connectomics: towards large brains and connectomic screening,Nature Reviews Neuroscience,Foundations / review,A,10.1038/s41583-025-00998-z,https://doi.org/10.1038/s41583-025-00998-z,fresh generic-review discovery; primary Nature/PubMed verified,field_defining_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,"Contemporary field synthesis spanning preparation, acquisition, AI analysis and biological frontier.",included
NC009,Pallotto et al.,2015,Extracellular space preservation aids the connectomic analysis of neural circuits,eLife,Preparation,B,10.7554/eLife.08206,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 54,not_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Connectomics-specific tissue preservation refinement.,included
NC010,Korogod et al.,2015,Ultrastructural analysis of adult mouse neocortex comparing aldehyde perfusion with cryo fixation,eLife,Preparation,B,10.7554/eLife.05793,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 55,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Important validation of fixation effects on ultrastructure.,included
NC011,Tamada et al.,2020,Ultrastructural comparison of dendritic spine morphology preserved with cryo and chemical fixation,eLife,Preparation,B,10.7554/eLife.56384,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 56,not_core,specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Quantifies preparation-induced morphology differences.,included
NC012,"Hua, Laserstein & Helmstaedter",2015,Large-volume en-bloc staining for electron microscopy-based connectomics,Nature Communications,Preparation,B,10.1038/ncomms8923,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 63,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Major scalable en-bloc staining advance.,included
NC013,"Mikula, Binding & Denk",2012,Staining and embedding the whole mouse brain for electron microscopy,Nature Methods,Preparation,B,10.1038/nmeth.2213,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 64,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Whole-mouse-brain preparation feasibility milestone.,included
NC014,Mikula & Denk,2015,High-resolution whole-brain staining for electron microscopic circuit reconstruction,Nature Methods,Preparation,B,10.1038/nmeth.3361,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 65,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Improved whole-brain staining for circuit reconstruction.,included
NC015,"Song, Feng & Helmstaedter",2023,High-contrast en bloc staining of mouse whole-brain and human brain samples for EM-based connectomics,Nature Methods,Preparation,A,10.1038/s41592-023-01866-3,https://doi.org/10.1038/s41592-023-01866-3,fresh primary record,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,High-contrast scalable preparation for mouse and human tissue.,included
NC016,Karlupia et al.,2023,Immersion fixation and staining of multicubic millimeter volumes for electron microscopy-based connectomics of human brain biopsies,Biological Psychiatry,Preparation,B,10.1016/j.biopsych.2023.01.025,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 67,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Human-biopsy preparation at connectomic scale.,included
NC017,Tegethoff & Briggman,2024,Quantitative evaluation of embedding resins for volume electron microscopy,Frontiers in Neuroscience,Preparation,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 69,not_core,specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Practical quantitative resin evaluation for vEM.,included
NC018,"Fulton, Watkins & Briggman",2024,"GAUSS-EM, guided accumulation of ultrathin serial sections with a static magnetic field for volume electron microscopy",Cell Reports Methods,Section collection,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 71,not_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Magnetic serial-section collection approach.,included
NC019,Medina et al.,2026,DRIFT-EM enables direct wafer retrieval of ultrathin serial sections for large-volume electron microscopy,Cell Reports Methods,Section collection,A,10.1016/j.crmeth.2026.101429,https://doi.org/10.1016/j.crmeth.2026.101429,fresh 2026 safeguard; PubMed/publisher verified,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0005,Low-cost modular wafer collection that broadens access to large-volume serial EM.,included
NC020,Knott et al.,2008,Serial section scanning electron microscopy of adult brain tissue using focused ion beam milling,Journal of Neuroscience,Acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 80,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Foundational FIB-SEM implementation for neural tissue.,included
NC021,Xu et al.,2017,Enhanced FIB–SEM systems for large-volume 3D imaging,eLife,Acquisition,B,10.7554/eLife.25916,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 81,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Large-volume FIB-SEM scaling advance.,included
NC022,Schalek et al.,2011,"Development of high-throughput, high-resolution 3D reconstruction of large-volume biological tissue using automated tape collection ultramicrotomy and scanning electron microscopy",Microscopy and Microanalysis,Section collection / acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 82,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Foundational automated tape collection ultramicrotomy lineage.,included
NC023,Hayworth et al.,2006,Automating the collection of ultrathin serial sections for large volume TEM reconstructions,Microscopy and Microanalysis,Section collection / acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 83,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Early scalable serial-section collection technology.,included
NC024,Yin et al.,2020,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,Nature Communications,Acquisition,A,10.1038/s41467-020-18659-3,https://doi.org/10.1038/s41467-020-18659-3,fresh primary record,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Petascale automated TEM acquisition pipeline.,included
NC025,Templier,2019,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy",eLife,Section collection,B,10.7554/eLife.45696,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 87,not_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Magnetic ultrathin-section collection and correlative workflow.,included
NC026,Eberle et al.,2015,"High-resolution, high-throughput imaging with a multibeam scanning electron microscope",Journal of Microscopy,Acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 91,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Multibeam SEM throughput milestone.,included
NC027,Hayworth et al.,2015,Ultrastructurally smooth thick partitioning and volume stitching for large-scale connectomics,Nature Methods,Acquisition / partitioning,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 96,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Partition-and-stitch strategy for scaling tissue volumes.,included
NC028,Hayworth et al.,2020,Gas cluster ion beam SEM for imaging of large tissue samples with 10 nm isotropic resolution,Nature Methods,Acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 97,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Large-sample isotropic GCIB-SEM.,included
NC029,Kievits et al.,2024,FAST-EM array tomography: a workflow for multibeam volume electron microscopy,Methods in Microscopy,Acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 147,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Modern multibeam array-tomography workflow.,included
NC030,Bosch et al.,2025,Non-destructive X-ray tomography of brain tissue ultrastructure,Nature Methods,Acquisition / X-ray,A,10.1038/s41592-025-02891-0,https://doi.org/10.1038/s41592-025-02891-0,fresh primary record,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Non-destructive ultrastructural X-ray imaging with connectomic relevance.,included
