work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason
work_0001c442a520339a,d2dddce8d2119de2f515efa9921dc7c01a985d2d,unresolved,1,d2dddce8d2119de2f515efa9921dc7c01a985d2d,Baseline biomarkers of connectome disruption and atrophy predict future processing speed in early multiple sclerosis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bb19684dc7e28ac0f3103c0db0ed940fc7849bf6f95d626573873d0f88518d92,batch_000,out_of_scope,['network_science'],0.92,connectome disruption due to T2-FLAIR lesions; white matter abnormalities; Network Modification Tool,"MRI lesion disconnectome / macroscale network metrics in MS, not nanoscale/synaptic connectomics.",['generic_network_neuroscience'],True,random_high_confidence_exclusion_audit
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,1,a9711483c91489ffd7cebb5cd9370694ed92544a,Role of neural activity during synaptogenesis in Drosophila,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8f3fd3b1844fd78e92fb74c03a7d38a20610c56b413a1d6a9e9c1a52aaced7d6,batch_000,uncertain,['biological_application'],0.55,regulation of synaptic connectivity in Drosophila; foreign neuromuscular synapses,Activity-dependent NMJ synaptogenesis; synaptic biology but not clearly connectome mapping—defer rather than exclude.,[],True,core_noise_audit
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,1,c61c2773d3519d785b2e0476fa3521a2179d30fd,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,12d4b5c64904b37b438fda33e419cc56df9ce2190c35a811e5d045969ded1c81,batch_000,adjacent_relevant,"['structure_function_modeling', 'biological_application']",0.72,Recent electron microscopy reveals that weak synaptic connectivity predominates in the human cerebral cortex,Commentary linking EM synaptic connectivity findings to vertebrate cognition; related but not core pipeline work.,[],True,low_confidence
work_0061e496fde63c76,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,unresolved,1,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES: FROM FOCAL LESIONS TO MACROSCALE NETWORKS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f3fdbf7526eb4ab1a799e654d5eb6f0b984174c435365a282dc97498ff319006,batch_000,out_of_scope,"['network_science', 'health_translation']",0.9,MRI techniques can probe structural and functional connectivity; macroscale network anomalies,MRI neuroimaging/connectomics review of epilepsy at macroscale.,"['resting_state_or_functional_connectivity', 'generic_network_neuroscience']",True,random_high_confidence_exclusion_audit
work_007a21bf306095ee,d0ce113a8440bf125349e51542005fbc46c20ccd,role_bridge,1,d0ce113a8440bf125349e51542005fbc46c20ccd,Genome Annotation and Analysis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],True,uncertain_or_missing_abstract
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,1,529dced83d9366301577eec26503d894116c54f5,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4eec9a769f3666ca298c0497ebddc92911d1c85955a2cc0020642eb1245f2580,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,functional inhibitory connectome; synaptic conductance inference ... whole-cell recordings; synaptic interactions,"Electrophysiological synaptic circuit mapping in preBötC—synaptic-resolution physiology, not EM reconstruction.",[],True,low_confidence
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3ddafd2871b000296d7380b10d4afab09e8035b9f12f80969d0af2f80b91b7c9,batch_000,role_bridge,['infrastructure'],0.75,Brain Architecture Knowledge Management System (BAMS); constructing interrelated connectomes; large-scale connection matrices,"Neuroinformatics/annotation infrastructure for mammalian macroconnectomes—role bridge, not nanoscale core.",['mesoscale_only'],True,low_confidence
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,05f01efad07a18fa192e9506d76c21ddebfcb5581b11424f00be7f6b27693af1,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality', 'infrastructure']",0.78,whole-brain connectome in consistent single-neuron resolution; optical imaging ... tracing and surveying,Optical brainsmatics for single-neuron-resolution whole-brain connectivity—adjacent modality to EM core.,[],True,low_confidence
work_01a98f721c115b3c,22ade92dc3207e51a9c47dbb3530c8977599500f,core_audit,1,22ade92dc3207e51a9c47dbb3530c8977599500f,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,841305ca62f83f1fccd94fb7a4acdf01b53d69b015241d355d1be96e8a213e41,batch_000,uncertain,"['structure_function_modeling', 'network_science']",0.5,cortical circuit; recurrent network mechanisms; sparse neural recordings of grid cells,Theoretical/perturbation strategy for cortical microcircuit mechanism—not clearly nanoscale connectomics.,[],True,core_noise_audit
work_020e3982c01153ed,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,unresolved,1,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7b7687adfd1fbc0e39ee9850bcaace09fb17f6e08b2e0825eba15ca09a7606ec,batch_000,adjacent_relevant,"['reconstruction_segmentation', 'alternative_modality']",0.72,3D morphology ... myelinated axons; mouse brain connectome; high-resolution X-ray microtomography,"Automated axon reconstruction for mouse connectomics via X-ray—related infrastructure/method, not synaptic EM core.",[],True,low_confidence
work_02580fc06dfe3e98,d27e3c0284b261d251c881155e780f1c939302c8,role_bridge,1,d27e3c0284b261d251c881155e780f1c939302c8,BigDataViewer: visualization and processing for large image data sets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],True,uncertain_or_missing_abstract
work_025c5ef05489ba3c,c25bf596a3fb4466384c620e1d47b80a7447f517,core_audit,1,c25bf596a3fb4466384c620e1d47b80a7447f517,Diffusion MRI Connections in the Octopus Brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8ba95e4a2a80dcfe358ae33c79a6c5fa7cd27029541b29c1da92c479436a8974,batch_000,out_of_scope,"['network_science', 'alternative_modality']",0.9,HARDI with fiber tractography; meso-scale connectome of the Octopus bimaculoides brain,"Mesoscale dMRI tractography octopus connectome, not nanoscale synaptic EM.","['diffusion_mri_or_tractography', 'mesoscale_only']",True,core_noise_audit
work_0278bad00a302fb7,72873f1a9faedf9f8825b30298d62d42ae2b0e64,core_audit,1,72873f1a9faedf9f8825b30298d62d42ae2b0e64,Cognitive synaptopathy: synaptic and dendritic spine dysfunction in age-related cognitive disorders,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,62806270de51952c311e7081a75f98ee486a52813016c861f1ff9bed3233a2e6,batch_000,adjacent_relevant,"['biological_application', 'health_translation']",0.68,synaptic and dendritic spine dysfunction; abnormal connectomics at the level of local neuronal circuits,"Review of synaptic/spine dysfunction in cognitive disorders—related synaptic biology, not EM connectomics core.",[],True,low_confidence
work_029643354bb1e658,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,core_audit,1,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,be19261ece4a3fa604ed13b1489eb6c53a3ab3f0ba5324fa983aad9fcaa4c0ca,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,synaptic connectivity in cortico-thalamo-cortical loops; cell type-specific synaptic connections,Review of CTC synaptic circuit organization—circuit neuroscience adjacent to but not nanoscale connectome mapping.,[],True,low_confidence
