work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason,abstract,citation_count_work,year,venue,pilot_stratum,v3_decision,v3_confidence,v3_scale_relationship,v3_core_gate,v3_reason,changed
work_d26d9182a414bd2a,4a4c722dcbce64ef7af28d1871c153d9356ff7ac,core_audit,1,4a4c722dcbce64ef7af28d1871c153d9356ff7ac,Microglia Sculpt Postnatal Neural Circuits in an Activity and Complement-Dependent Manner,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8fb88eb007d5d7dbe889b5e5552426020cb498069549fb7a94b9eb4a254c2b18,batch_032,core_relevant,['biological_application'],0.86,microglia engulf presynaptic inputs during peak retinogeniculate pruning and engulfment is dependent upon neural activity,Microglia synaptic pruning in postnatal retinogeniculate circuit.,[],False,,"SUMMARY Microglia are the resident CNS immune cells and active surveyors of the extracellular environment. While past work has focused on the role of these cells during disease, recent imaging studies reveal dynamic interactions between microglia and synaptic elements in the healthy brain. Despite these intriguing observations, the precise function of microglia at remodeling synapses and the mechanisms that underlie microglia-synapse interactions remain elusive. In the current study, we demonstrate a role for microglia in activity-dependent synaptic pruning in the postnatal retinogeniculate system. We show that microglia engulf presynaptic inputs during peak retinogeniculate pruning and engulfment is dependent upon neural activity and the microglia-specific phagocytic signaling pathway, complement receptor 3(CR3)/C3. Furthermore, disrupting microglia-specific CR3/C3 signaling resulted in sustained deficits in synaptic connectivity. These results define a role for microglia during postnatal development and identify underlying mechanisms by which microglia engulf and remodel developing synapses.",3781,2012.0,Neuron,golden,out_of_scope,0.92,macro_only,not_applicable,Complement/microglia circuit sculpting; no wiring reconstruction or EM connectome,True
work_6e195ba01e83af37,1e7179bfc28439e85e7a0f5089ecb779c200f103,core_audit,1,1e7179bfc28439e85e7a0f5089ecb779c200f103,The Caenorhabditis elegans Gene unc-25Encodes Glutamic Acid Decarboxylase and Is Required for Synaptic Transmission But Not Synaptic Development,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,2067fe84c664ee6c6bd6c95028ea6ce29e28428f022dbe9ade4cb3b24a98a0d2,batch_017,core_relevant,"['biological_application', 'synapse_inference']",0.9,"Null mutations in unc-25 eliminate the UNC-25 protein... result in a complete lack of GABA, and cause defects in all GABA-mediated behaviors",C. elegans GAD gene required for synaptic transmission but not synapse development.,[],False,,"The neurotransmitter GABA has been proposed to play a role during nervous system development. We show that theCaenorhabditis elegans gene unc-25encodes glutamic acid decarboxylase (GAD), the GABA biosynthetic enzyme. unc-25 is expressed specifically in GABAergic neurons. Null mutations in unc-25 eliminate the UNC-25 protein or alter amino acids conserved in all known GADs, result in a complete lack of GABA, and cause defects in all GABA-mediated behaviors. In unc-25 mutants the GABAergic neurons have normal axonal trajectories and synaptic connectivity, and the size and shape of synaptic vesicles are normal. The number of synaptic vesicles at GABAergic neuromuscular junctions is slightly increased. Cholinergic ventral nerve cord neurons, which innervate the same muscles as GABAergic ventral cord neurons, have normal morphology, connectivity, and synaptic vesicles. We conclude that GAD activity and GABA are not necessary for the development or maintenance of neuromuscular junctions in C. elegans.",289,1999.0,Journal of Neuroscience,golden,out_of_scope,0.9,unclear,not_applicable,GABA synthesis gene genetics; not wiring-map or connectomics science,True
work_7519484d8a64bfa5,306d4932b20a5ef616a2d6fec6fc60d2f37aa757,role_bridge,1,306d4932b20a5ef616a2d6fec6fc60d2f37aa757,Computer visualization of three-dimensional image data using IMOD.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b4a41dab1af3b2e28ce41683c1c9df083a490057d2d14679e4d42cf4e748a9a3,batch_018,core_relevant,['infrastructure'],0.96,"computer software package, IMOD, as a tool for analyzing and viewing three-dimensional biological image data",IMOD 3D visualization tool used in connectomics and serial-section reconstructions.,[],False,,"We have developed a computer software package, IMOD, as a tool for analyzing and viewing three-dimensional biological image data. IMOD is useful for studying and modeling data from tomographic, serial section, and optical section reconstructions. The software allows image data to be visualized by several different methods. Models of the image data can be visualized by volume or contour surface rendering and can yield quantitative information.",5611,1996.0,Journal of Structural Biology,golden,adjacent_relevant,0.88,nanoscale_only,not_applicable,General 3D EM visualization tool widely used by field; not connectomics-specific pipeline,True
work_5fce6ceceeaa09c7,b87947e34aa05f24714d7e4d3135d5a951e17917,unresolved,1,b87947e34aa05f24714d7e4d3135d5a951e17917,Comparative Connectomics.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5da6d4f30b4f65d14555513cc3e7da045591a87621deb3175dbc65e01737b4d8,batch_015,core_relevant,['network_science'],0.86,"comparative connectomics, the quantitative study of cross-species commonalities and variations in brain network topology",Comparative connectomics framework across species wiring.,[],False,,"We introduce comparative connectomics, the quantitative study of cross-species commonalities and variations in brain network topology that aims to discover general principles of network architecture of nervous systems and the identification of species-specific features of brain connectivity. By comparing connectomes derived from simple to more advanced species, we identify two conserved themes of wiring: the tendency to organize network topology into communities that serve specialized functionality and the general drive to enable high topological integration by means of investment of neural resources in short communication paths, hubs, and rich clubs. Within the space of wiring possibilities that conform to these common principles, we argue that differences in connectome organization between closely related species support adaptations in cognition and behavior.",290,2016.0,Trends in Cognitive Sciences,golden,adjacent_relevant,0.9,multi_scale_bridging,not_applicable,Comparative connectomics / network-science framing across connectomes,True
work_925c3e324896606e,aaacf4ad414d1800f4325cce6312081afc63895f,role_bridge,1,aaacf4ad414d1800f4325cce6312081afc63895f,Microscopy Image Browser: A Platform for Segmentation and Analysis of Multidimensional Datasets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3b86f0e51388a91343d0031b5f9f1904850ef3163494d6c98e0c32b87ff91407,batch_022,core_relevant,"['infrastructure', 'reconstruction_segmentation']",0.88,Microscopy Image Browser: A Platform for Segmentation and Analysis,MIB platform for connectomics segmentation/analysis.,[],False,,"Understanding the structure–function relationship of cells and organelles in their natural context requires multidimensional imaging. As techniques for multimodal 3-D imaging have become more accessible, effective processing, visualization, and analysis of large datasets are posing a bottleneck for the workflow. Here, we present a new software package for high-performance segmentation and image processing of multidimensional datasets that improves and facilitates the full utilization and quantitative analysis of acquired data, which is freely available from a dedicated website. The open-source environment enables modification and insertion of new plug-ins to customize the program for specific needs. We provide practical examples of program features used for processing, segmentation and analysis of light and electron microscopy datasets, and detailed tutorials to enable users to rapidly and thoroughly learn how to use the program.",423,2016.0,PLoS Biology,golden,core_relevant,0.82,nanoscale_only,connectomics_pipeline_tool,EM segmentation/analysis platform used for connectomics volumes; pipeline-adjacent tool,False
work_7773a3cd24b3497d,485fe26cdf8b1ad829b8601986fe4295ac360a52,core_audit,1,485fe26cdf8b1ad829b8601986fe4295ac360a52,A connectome and analysis of the adult Drosophila central brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,60c03053490771429e27e72425767f7d70af0119349477576cc20a0c347df70c,batch_018,core_relevant,"['reconstruction_segmentation', 'biological_application', 'infrastructure']",0.98,circuitry of a large fraction of the brain of the fruit fly Drosophila melanogaster,Landmark adult Drosophila central brain EM connectome atlas.,[],False,,"The neural circuits responsible for animal behavior remain largely unknown. We summarize new methods and present the circuitry of a large fraction of the brain of the fruit fly Drosophila melanogaster. Improved methods include new procedures to prepare, image, align, segment, find synapses in, and proofread such large data sets. We define cell types, refine computational compartments, and provide an exhaustive atlas of cell examples and types, many of them novel. We provide detailed circuits consisting of neurons and their chemical synapses for most of the central brain. We make the data public and simplify access, reducing the effort needed to answer circuit questions, and provide procedures linking the neurons defined by our analysis with genetic reagents. Biologically, we examine distributions of connection strengths, neural motifs on different scales, electrical consequences of compartmentalization, and evidence that maximizing packing density is an important criterion in the evolution of the fly’s brain.",900,2020.0,bioRxiv,golden,core_relevant,0.97,nanoscale_only,analysis_on_wiring_graph,Hemibrain adult fly central brain connectome release and analysis,False
work_241b54c819ff405b,3149671f907078eac6835a05a99da756c493a15b,core_audit,1,3149671f907078eac6835a05a99da756c493a15b,FlyWire: Online community for whole-brain connectomics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4c77d5ab47e5fcb07f34aaf626540d8da8588f268374abb357b96b4748dc8740,batch_005,core_relevant,"['proofreading_qc', 'infrastructure']",0.97,"FlyWire, an online community for proofreading neural circuits in a Drosophila melanogaster brain",Community proofreading platform for whole-brain fly connectome.,[],False,,"Due to advances in automated image acquisition and analysis, whole-brain connectomes with 100,000 or more neurons are on the horizon. Proofreading of whole-brain automated reconstructions will require many person-years of effort, due to the huge volumes of data involved. Here we present FlyWire, an online community for proofreading neural circuits in a Drosophila melanogaster brain and explain how its computational and social structures are organized to scale up to whole-brain connectomics. Browser-based three-dimensional interactive segmentation by collaborative editing of a spatially chunked supervoxel graph makes it possible to distribute proofreading to individuals located virtually anywhere in the world. Information in the edit history is programmatically accessible for a variety of uses such as estimating proofreading accuracy or building incentive systems. An open community accelerates proofreading by recruiting more participants and accelerates scientific discovery by requiring information sharing. We demonstrate how FlyWire enables circuit analysis by reconstructing and analyzing the connectome of mechanosensory neurons. FlyWire is an online community and a platform for proofreading electron microscopy-based connectome data of the Drosophila brain.",242,2020.0,Nature Methods,golden,core_relevant,0.95,nanoscale_only,connectomics_pipeline_tool,FlyWire whole-brain connectomics community proofreading platform,False
work_bb4463044f5b072c,327b33d038e3422d89e6ee64e841a6bc70308ca9,core_audit,1,327b33d038e3422d89e6ee64e841a6bc70308ca9,TrakEM2 Software for Neural Circuit Reconstruction,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,bd42e165b829cceb324e41295a19a41fe1c038a5e4a0907d485f27070a761c0d,batch_029,core_relevant,"['infrastructure', 'reconstruction_segmentation']",0.96,"TrakEM2, that addresses the systematic reconstruction of neuronal circuits from large electron microscopical and optical image volumes",TrakEM2 software for EM neural circuit reconstruction.,[],False,,"A key challenge in neuroscience is the expeditious reconstruction of neuronal circuits. For model systems such as Drosophila and C. elegans, the limiting step is no longer the acquisition of imagery but the extraction of the circuit from images. For this purpose, we designed a software application, TrakEM2, that addresses the systematic reconstruction of neuronal circuits from large electron microscopical and optical image volumes. We address the challenges of image volume composition from individual, deformed images; of the reconstruction of neuronal arbors and annotation of synapses with fast manual and semi-automatic methods; and the management of large collections of both images and annotations. The output is a neural circuit of 3d arbors and synapses, encoded in NeuroML and other formats, ready for analysis.",975,2012.0,PLoS ONE,golden,core_relevant,0.96,nanoscale_only,connectomics_pipeline_tool,TrakEM2 neural circuit reconstruction software,False
work_000e65dd7ca70fca,61edbfd4025d239f16470e59260ce11d650dd76e,unresolved,1,61edbfd4025d239f16470e59260ce11d650dd76e,"Harmonizing 10,000 connectomes: site-invariant representation learning for multi-site analysis of network connectivity and cognitive impairment",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b6e43332bfb40bf1d2b5db4752216c5810b1199127104b5c5a11bfc6a0aa6898,batch_000,out_of_scope,['network_science'],0.95,diffusion magnetic resonance imaging; structural connectivity; diffusion-weighted imaging sessions,Multi-site dMRI structural-connectivity harmonization.,['diffusion_mri_or_tractography'],False,,"Abstract. Purpose Data-driven harmonization can mitigate systematic confounding signals across imaging cohorts caused by variance in scanners and acquisition protocols. As diffusion magnetic resonance imaging data are often acquired with different hardware and software, harmonization is essential for integrating these scattered datasets into a cohesive analysis for improved statistical power. Large-scale, multi-site studies for Alzheimer’s disease (AD), a neurodegenerative condition characterized by high data variability and complex pathology, pose the challenge of both site-based and biological variation. Approach We learn lower-dimensional representations of structural connectivity invariant to imaging cohort, geographical location, scanner, and acquisition factors. We design a conditional variational autoencoder that creates latent representations with minimal information about imaging factors and maximal information related to patient cognitive status. With this model, we consolidate 9 cohorts and 35 unique imaging acquisitions (for a total of 38 imaging “sites”) into a cohesive dataset of 6956 persons (16.4% with mild cognitive impairment and 10.7% with AD) imaged for 1 to 16 sessions for a total of 11,927 diffusion-weighted imaging sessions. Results These site-invariant representations successfully remove significant (p<0.05) site effects in 12 network connectivity measures of interest and enhance the prediction of cognitive diagnosis (from 68% accuracy to 73% accuracy). Conclusions The proposed model yields reproducible precision across 15 data configurations. This approach demonstrates the effectiveness of representation learning in enhancing biological signals by mitigating acquisition-specific confounding factors in neuroimaging studies.",1,2025.0,Journal of Medical Imaging,golden,out_of_scope,0.94,macro_only,not_applicable,Multi-site DTI/MRI structural connectivity harmonization; macro imaging connectome,False
work_00089fd941984712,1189a587d37f99a2bba69e15f4cb8110aabc4149,unresolved,1,1189a587d37f99a2bba69e15f4cb8110aabc4149,Semi-Metric Topology of the Human Connectome: Sensitivity and Specificity to Autism and Major Depressive Disorder,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5f12c5543ef9826f94cb314339f7b9bbb7a7ef7cedf1907053070a63bb9c9791,batch_000,out_of_scope,['network_science'],0.95,human functional connectome; BOLD time-series measured by MRI,BOLD functional connectome topology in psychiatric cohorts.,['resting_state_or_functional_connectivity'],False,,"Introduction The human functional connectome is a graphical representation, consisting of nodes connected by edges, of the inter-relationships of blood oxygenation-level dependent (BOLD) time-series measured by MRI from regions encompassing the cerebral cortices and, often, the cerebellum. Semi-metric analysis of the weighted, undirected connectome distinguishes an edge as either direct (metric), such that there is no alternative path that is accumulatively stronger, or indirect (semi-metric), where one or more alternative paths exist that have greater strength than the direct edge. The sensitivity and specificity of this method of analysis is illustrated by two case-control analyses with independent, matched groups of adolescents with autism spectrum conditions (ASC) and major depressive disorder (MDD). Results Significance differences in the global percentage of semi-metric edges was observed in both groups, with increases in ASC and decreases in MDD relative to controls. Furthermore, MDD was associated with regional differences in left frontal and temporal lobes, the right limbic system and cerebellum. In contrast, ASC had a broadly increased percentage of semi-metric edges with a more generalised distribution of effects and some areas of reduction. In summary, MDD was characterised by localised, large reductions in the percentage of semi-metric edges, whilst ASC is characterised by more generalised, subtle increases. These differences were corroborated in greater detail by inspection of the semi-metric backbone for each group; that is, the sub-graph of semi-metric edges present in >90% of participants, and by nodal degree differences in the semi-metric connectome. Conclusion These encouraging results, in what we believe is the first application of semi-metric analysis to neuroimaging data, raise confidence in the methodology as potentially capable of detection and characterisation of a range of neurodevelopmental and psychiatric disorders.",21,2015.0,PLoS ONE,golden,out_of_scope,0.93,macro_only,not_applicable,fMRI BOLD functional connectome semi-metric analysis; not synaptic wiring,False
work_f3856b91236f8482,c3459331f2e58d853fe73a2de876c8d34dba75db,unresolved,1,c3459331f2e58d853fe73a2de876c8d34dba75db,The human connectome in Alzheimer disease — relationship to biomarkers and genetics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,adc30ee8ed57bfebe0b2081ee7f9dc526d410c0d970f635853a6ebe2b74dcda0,batch_037,core_relevant,['network_science'],0.79,biological neuronal networks are characterized by scale-free degree distributions,4Ward DAG neural network from connectome topology.,[],True,low_confidence,"The pathology of Alzheimer disease (AD) damages structural and functional brain networks, resulting in cognitive impairment. The results of recent connectomics studies have now linked changes in structural and functional network organization in AD to the patterns of amyloid-β and tau accumulation and spread, providing insights into the neurobiological mechanisms of the disease. In addition, the detection of gene-related connectome changes might aid in the early diagnosis of AD and facilitate the development of personalized therapeutic strategies that are effective at earlier stages of the disease spectrum. In this article, we review studies of the associations between connectome changes and amyloid-β and tau pathologies as well as molecular genetics in different subtypes and stages of AD. We also highlight the utility of connectome-derived computational models for replicating empirical findings and for tracking and predicting the progression of biomarker-indicated AD pathophysiology. In this Review, the authors discuss the alterations to structural and functional brain networks that occur in Alzheimer disease, with a particular focus on the influence of amyloid and tau pathology and genetic factors. Amyloid-β (Aβ) pathology is associated with decreased hub connectivity in the default-mode network (DMN) during the preclinical stage of Alzheimer disease (AD) and the association extends to other brain networks as the disease progresses. Selective hub vulnerability might explain the preferential accumulation of Aβ in the medial hubs of the DMN, and of tau in medial temporal lobe hubs, in preclinical AD. Tau pathology spreads from the medial temporal lobe hubs — along structural connections — to other brain regions, supporting the pathogenic spread hypothesis. Aβ pathology has a common role in driving DMN hypo-connectivity in late-onset AD, autosomal-dominant AD and early-onset AD; however, the association between Aβ pathology and DMN hypoconnectivity is regulated by different genetic variants across AD subtypes. Spatial gene expression profiles might contribute to the relationships between the patterns of Aβ and tau accumulation and patterns of structural and functional connectome changes in AD. Computational modelling studies will be important for understanding the role of the connectome in relation to progression of Aβ, tau and other pathogenic features of AD. Amyloid-β (Aβ) pathology is associated with decreased hub connectivity in the default-mode network (DMN) during the preclinical stage of Alzheimer disease (AD) and the association extends to other brain networks as the disease progresses. Selective hub vulnerability might explain the preferential accumulation of Aβ in the medial hubs of the DMN, and of tau in medial temporal lobe hubs, in preclinical AD. Tau pathology spreads from the medial temporal lobe hubs — along structural connections — to other brain regions, supporting the pathogenic spread hypothesis. Aβ pathology has a common role in driving DMN hypo-connectivity in late-onset AD, autosomal-dominant AD and early-onset AD; however, the association between Aβ pathology and DMN hypoconnectivity is regulated by different genetic variants across AD subtypes. Spatial gene expression profiles might contribute to the relationships between the patterns of Aβ and tau accumulation and patterns of structural and functional connectome changes in AD. Computational modelling studies will be important for understanding the role of the connectome in relation to progression of Aβ, tau and other pathogenic features of AD.",227,2021.0,Nature Reviews Neurology,golden,out_of_scope,0.88,macro_only,not_applicable,Clinical macro human connectome in Alzheimer disease; no EM wiring link,True
work_047e0665d50b50ba,e07e61de05d30a348cb7b4cb38aede541f80941c,role_bridge,1,e07e61de05d30a348cb7b4cb38aede541f80941c,Crowdsourcing the creation of image segmentation algorithms for connectomics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,a7925f2725be7a560f6bb922187b713fdc803a7cb24b41c335b7a4fadf42ead5,batch_000,core_relevant,"['reconstruction_segmentation', 'infrastructure', 'training_outreach']",0.95,2D segmentation of electron microscopic (EM) images of the brain; reconstruction of neural circuits; challenge on connectomics,Crowdsourced EM segmentation challenge foundational for connectomics reconstruction.,[],False,,"To stimulate progress in automating the reconstruction of neural circuits, we organized the first international challenge on 2D segmentation of electron microscopic (EM) images of the brain. Participants submitted boundary maps predicted for a test set of images, and were scored based on their agreement with a consensus of human expert annotations. The winning team had no prior experience with EM images, and employed a convolutional network. This “deep learning” approach has since become accepted as a standard for segmentation of EM images. The challenge has continued to accept submissions, and the best so far has resulted from cooperation between two teams. The challenge has probably saturated, as algorithms cannot progress beyond limits set by ambiguities inherent in 2D scoring and the size of the test dataset. Retrospective evaluation of the challenge scoring system reveals that it was not sufficiently robust to variations in the widths of neurite borders. We propose a solution to this problem, which should be useful for a future 3D segmentation challenge.",370,2015.0,Frontiers in Neuroanatomy,golden,core_relevant,0.91,nanoscale_only,connectomics_pipeline_tool,Crowdsourced segmentation algorithms explicitly for connectomics,False
work_d2df514fdb3df8f0,989ede2d7923c453cb77ecae30fb56d6b53ba16b,core_audit,1,989ede2d7923c453cb77ecae30fb56d6b53ba16b,Volume electron microscopy for neuronal circuit reconstruction.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,a7241a767554426fd88a678467637b72bddf7fbf0ceb8d8faf44e8b238cd30f8,batch_032,core_relevant,"['acquisition_preparation', 'reconstruction_segmentation']",0.92,"reconstructing anatomical connectivity between neurons, considering both the current capabilities and future prospects of the method",Volume EM methods review for neuronal circuit reconstruction.,[],False,,"The last decade has seen a rapid increase in the number of tools to acquire volume electron microscopy (EM) data. Several new scanning EM (SEM) imaging methods have emerged, and classical transmission EM (TEM) methods are being scaled up and automated. Here we summarize the new methods for acquiring large EM volumes, and discuss the tradeoffs in terms of resolution, acquisition speed, and reliability. We then assess each method's applicability to the problem of reconstructing anatomical connectivity between neurons, considering both the current capabilities and future prospects of the method. Finally, we argue that neuronal 'wiring diagrams' are likely necessary, but not sufficient, to understand the operation of most neuronal circuits: volume EM imaging will likely find its best application in combination with other methods in neuroscience, such as molecular biology, optogenetics, and physiology.",359,2012.0,Current Opinion in Neurobiology,golden,adjacent_relevant,0.85,nanoscale_only,not_applicable,Review of volume EM methods for circuit reconstruction; not a primary dataset/method paper,True
work_06a819921125fd5b,9e41cbe6ae16fc554f535fce713a76085ccfbdf5,core_audit,1,9e41cbe6ae16fc554f535fce713a76085ccfbdf5,The complete connectome of a learning and memory centre in an insect brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f3d3687f29544c8820194e4d1b48fc3a28da943bd6cd069d464e119e7581ddd1,batch_001,core_relevant,"['reconstruction_segmentation', 'biological_application', 'synapse_inference']",0.97,"reconstruct one such circuit at synaptic resolution, the Drosophila larval mushroom body; complete connectome of a learning and memory centre",Complete synaptic-resolution Drosophila larval mushroom body connectome.,[],False,,"Associating stimuli with positive or negative reinforcement is essential for survival, but a complete wiring diagram of a higher-order circuit supporting associative memory has not been previously available. Here we reconstruct one such circuit at synaptic resolution, the Drosophila larval mushroom body. We find that most Kenyon cells integrate random combinations of inputs but that a subset receives stereotyped inputs from single projection neurons. This organization maximizes performance of a model output neuron on a stimulus discrimination task. We also report a novel canonical circuit in each mushroom body compartment with previously unidentified connections: reciprocal Kenyon cell to modulatory neuron connections, modulatory neuron to output neuron connections, and a surprisingly high number of recurrent connections between Kenyon cells. Stereotyped connections found between output neurons could enhance the selection of learned behaviours. The complete circuit map of the mushroom body should guide future functional studies of this learning and memory centre.",480,2017.0,Nature,golden,core_relevant,0.96,nanoscale_only,em_or_synaptic_reconstruction,Complete EM connectome of insect learning/memory centre,False
