label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,median_pagerank_percentile,citation_roles,citation_link_strength,weak_links,weak_unlinked,ultra_core,community_id,community_label,core,adjacent,role_bridge
Xiaoyin Chen / Yonggang Wang,359,240,0.0,2.0,2.0,2.0,2.0,0.5066,"{'only_out': 120, 'isolate': 40, 'broker': 64, 'only_in': 15, 'hub': 1}","{'weak_unlinked': 115, 'moderate': 72, 'strong': 35, 'weak': 18}",18,115,3,0,Xiaoyin Chen / Yonggang Wang,106,213,40
J. Lichtman / Hanspeter Pfister,233,184,3.0,5.0,9.0,1.0,8.0,0.8549,"{'broker': 104, 'only_out': 49, 'only_in': 14, 'hub': 9, 'isolate': 8}","{'moderate': 59, 'strong': 90, 'weak_unlinked': 28, 'weak': 7}",7,28,12,1,J. Lichtman / Hanspeter Pfister,147,66,20
Albert Cardona / J. Vogelstein,209,155,1.0,4.0,6.0,2.0,6.0,0.7608,"{'isolate': 14, 'only_out': 43, 'only_in': 10, 'broker': 85, 'hub': 3}","{'weak_unlinked': 30, 'moderate': 59, 'strong': 59, 'weak': 7}",7,30,7,3,Albert Cardona / J. Vogelstein,90,93,26
H. Sebastian Seung / G. Jefferis,159,139,2.0,6.0,9.0,1.646,7.0,0.7799,"{'isolate': 9, 'broker': 78, 'only_out': 36, 'only_in': 8, 'hub': 8}","{'weak_unlinked': 21, 'moderate': 41, 'strong': 69, 'weak': 8}",8,21,8,2,H. Sebastian Seung / G. Jefferis,111,38,10
M. Helmstaedter / Winfried Denk,141,122,1.0,2.0,5.0,1.0,4.0,0.7763,"{'only_out': 24, 'isolate': 16, 'broker': 61, 'only_in': 19, 'hub': 2}","{'weak_unlinked': 27, 'moderate': 48, 'weak': 12, 'strong': 35}",12,27,7,4,M. Helmstaedter / Winfried Denk,69,66,6
Oliver Hobert / Steven J. Cook,101,85,1.0,3.0,6.0,1.111,5.0,0.729,"{'only_out': 22, 'isolate': 10, 'broker': 41, 'hub': 4, 'only_in': 8}","{'weak_unlinked': 19, 'moderate': 30, 'weak': 10, 'strong': 26}",10,19,3,6,Oliver Hobert / Steven J. Cook,35,65,1
Olaf Sporns / B. Mišić,94,42,1.0,4.0,5.0,2.0,4.5,0.723,"{'only_in': 4, 'only_out': 11, 'broker': 21, 'isolate': 6}","{'weak': 4, 'weak_unlinked': 11, 'strong': 15, 'moderate': 12}",4,11,0,5,Olaf Sporns / B. Mišić,12,63,19
James R. Anderson / Bryan William Jones,66,54,1.0,2.0,3.0,1.0,3.0,0.7223,"{'broker': 28, 'only_out': 13, 'isolate': 8, 'only_in': 5}","{'strong': 11, 'weak_unlinked': 16, 'moderate': 23, 'weak': 4}",4,16,0,7,James R. Anderson / Bryan William Jones,35,26,5
Javier DeFelipe / Michael W. Reimann,55,31,1.0,1.0,2.0,1.0,2.0,0.7136,"{'isolate': 6, 'only_in': 6, 'only_out': 8, 'broker': 11}","{'weak_unlinked': 11, 'weak': 5, 'moderate': 12, 'strong': 3}",5,11,0,8,Javier DeFelipe / Michael W. Reimann,16,35,4
Bradly Alicea / Matteo Cantarelli,12,7,1.0,2.0,2.0,1.0,2.0,0.7128,"{'broker': 3, 'only_out': 2, 'only_in': 2}","{'strong': 2, 'weak': 3, 'moderate': 1, 'weak_unlinked': 1}",3,1,0,9,Bradly Alicea / Matteo Cantarelli,1,8,3
Hideyuki Okano / Alexander Woodward,7,5,1.0,1.0,2.0,1.357,2.0,0.8805,"{'only_out': 1, 'isolate': 1, 'only_in': 1, 'broker': 2}","{'weak_unlinked': 2, 'weak': 1, 'strong': 1, 'moderate': 1}",1,2,0,12,Hideyuki Okano / Alexander Woodward,2,4,1
K. Broadie / Nichalas Nelson,7,7,0.0,0.0,0.0,1.0,0.0,0.3517,"{'only_out': 2, 'isolate': 5}",{'weak_unlinked': 7},0,7,0,17,K. Broadie / Nichalas Nelson,0,7,0
Andrew T. McKenzie / John F. Crary,6,6,0.0,2.5,2.5,2.0,2.5,0.4521,"{'only_out': 5, 'broker': 1}","{'moderate': 3, 'weak_unlinked': 3}",0,3,0,10,Andrew T. McKenzie / John F. Crary,1,4,1
H. Duffau / P. Valdes,6,1,0.0,0.0,0.0,,0.0,0.6668,{'isolate': 1},{'weak_unlinked': 1},0,1,0,59,H. Duffau / P. Valdes,0,1,5
