work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_001c0f01391e19c4,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,core_relevant,0.93,False,53,,,,,,,,9,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,rescued_no_graph,False,False,True,True,True
work_0133b141f368655b,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,role_bridge,0.84,False,46,,,,,,,,3,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,M. Bota; H. Dong; L. Swanson,2012.0,Front. Neuroinform.,M. Bota; H. Dong; L. Swanson,2012.0,Front. Neuroinform.,no_graph,False,False,False,False,True
work_01ba46e87d766569,Odor Discrimination as a Marker of Early Alzheimer’s Disease,role_bridge,0.86,False,16,,,,,,,,4,False,0,no_graph,61,Eglė Audronytė / G. Kaubrys,Eglė Audronytė; Gyte Pakulaite-Kazliene; Vaiva Sutnikiene; G. Kaubrys,2023.0,Journal of Alzheimer's Disease,Eglė Audronytė; Gyte Pakulaite-Kazliene; Vaiva Sutnikiene; G. Kaubrys,2023.0,Journal of Alzheimer's Disease,no_graph,False,False,False,False,True
work_01c85c45ede98837,VICE: Visual Identification and Correction of Neural Circuit Errors,core_relevant,0.96,False,14,,,,,,,,6,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),no_graph,False,False,False,False,True
work_020e3982c01153ed,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,adjacent_relevant,0.8,False,0,,,,,,,,4,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Fang Yan; Jieji Ren; Zhifeng Shao; Xiaowei Li,2023.0,BIO Web of Conferences,Fang Yan; Jieji Ren; Zhifeng Shao; Xiaowei Li,2023.0,BIO Web of Conferences,no_graph,False,False,False,False,True
work_022f4537397531be,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy",adjacent_relevant,0.86,False,21,,,,,,,,1,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Thomas Templier,2019.0,bioRxiv,Thomas Templier,2019.0,bioRxiv,no_graph,False,False,False,False,True
work_02bef5f71001dccb,Tau trajectory in Alzheimer's disease: Evidence from the connectome-based computational models.,adjacent_relevant,0.8,False,14,,,,,,,,4,False,0,no_graph,62,V. Bitra / Deepthi Rapaka,V. Bitra; S. Challa; P. C. Adiukwu; Deepthi Rapaka,2023.0,Brain Research Bulletin,V. Bitra; S. Challa; P. C. Adiukwu; Deepthi Rapaka,2023.0,Brain Research Bulletin,no_graph,False,False,False,False,True
work_03006500ac944fb3,Caenorhabditis elegans Connectomes of both Sexes as Image Classifiers,adjacent_relevant,0.78,False,4,,,,,,,,2,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Changjoon Park; Jinseop S. Kim,2023.0,Experimental Neurobiology,Changjoon Park; Jinseop S. Kim,2023.0,Experimental Neurobiology,no_graph,False,False,False,False,True
work_030d659739b83f09,Community detection in networks: A user guide,role_bridge,0.72,False,2082,,,,,,,,2,False,0,no_graph,63,S. Fortunato / Darko Hric,S. Fortunato; Darko Hric,2016.0,arXiv.org,S. Fortunato; Darko Hric,2016.0,arXiv.org,rescued_no_graph,False,False,True,True,True
work_0344c5d0298b1c78,Neural Interactome: Interactive Simulation of a Neuronal System,adjacent_relevant,0.77,False,27,,,,,,,,3,False,0,no_graph,2,H. Sebastian Seung / G. Jefferis,Jimin Kim; W. Leahy; Eli Shlizerman,2017.0,bioRxiv,Jimin Kim; W. Leahy; Eli Shlizerman,2017.0,bioRxiv,no_graph,False,False,False,False,True
