label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
Oliver Hobert / Xiaoyin Chen,347,347,0.0,2.0,3.0,1.167,2.0,"{'only_in': 28, 'only_out': 139, 'isolate': 54, 'broker': 120, 'hub': 6}","{'weak': 34, 'weak_unlinked': 138, 'moderate': 109, 'strong': 66}",34,138,0,11,0,Oliver Hobert / Xiaoyin Chen,148,196,3
Albert Cardona / R. D. Fetter,156,156,1.0,3.0,4.5,1.167,4.0,"{'only_out': 49, 'only_in': 15, 'broker': 74, 'hub': 5, 'isolate': 13}","{'weak_unlinked': 36, 'moderate': 56, 'strong': 53, 'weak': 11}",11,36,0,9,3,Albert Cardona / R. D. Fetter,81,73,2
J. Lichtman / Hanspeter Pfister,139,139,5.0,5.0,11.0,1.0,9.0,"{'broker': 80, 'only_out': 35, 'hub': 7, 'isolate': 6, 'only_in': 11}","{'moderate': 41, 'strong': 74, 'weak_unlinked': 20, 'weak': 4}",4,20,0,7,2,J. Lichtman / Hanspeter Pfister,102,32,5
G. Jefferis / Kea-Joo Lee,130,130,2.0,6.0,9.0,1.775,7.0,"{'isolate': 8, 'only_out': 37, 'broker': 71, 'only_in': 6, 'hub': 8}","{'weak_unlinked': 21, 'moderate': 40, 'strong': 64, 'weak': 5}",5,21,0,8,1,G. Jefferis / Kea-Joo Lee,97,31,2
M. Helmstaedter / K. Briggman,101,101,1.0,2.0,5.0,1.286,4.0,"{'only_in': 17, 'isolate': 14, 'only_out': 18, 'broker': 51, 'hub': 1}","{'weak': 9, 'weak_unlinked': 22, 'moderate': 41, 'strong': 29}",9,22,0,4,4,M. Helmstaedter / K. Briggman,42,57,2
Brock Andrew Wester / Jordan K. Matelsky,55,55,1.0,5.0,6.0,4.0,6.0,"{'isolate': 4, 'broker': 29, 'only_out': 17, 'only_in': 5}","{'weak_unlinked': 7, 'moderate': 22, 'strong': 20, 'weak': 6}",6,7,0,0,5,Brock Andrew Wester / Jordan K. Matelsky,37,11,7
James R. Anderson / Bryan William Jones,50,50,1.0,3.0,5.0,1.5,4.0,"{'only_out': 16, 'broker': 29, 'only_in': 2, 'isolate': 3}","{'strong': 10, 'moderate': 28, 'weak_unlinked': 10, 'weak': 2}",2,10,0,0,6,James R. Anderson / Bryan William Jones,34,14,2
B. Mišić / Caio Seguin,18,18,1.0,3.5,7.0,4.0,4.5,"{'broker': 9, 'only_in': 1, 'isolate': 5, 'only_out': 3}","{'strong': 8, 'moderate': 3, 'weak': 1, 'weak_unlinked': 6}",1,6,0,0,7,B. Mišić / Caio Seguin,6,11,1
Joris de Wit / Franck Polleux,8,8,0.5,1.0,1.0,1.0,1.0,"{'broker': 3, 'isolate': 1, 'only_out': 3, 'only_in': 1}","{'moderate': 3, 'weak_unlinked': 4, 'weak': 1}",1,4,0,0,8,Joris de Wit / Franck Polleux,1,7,0
T. Biederer / Katherine E Watters,8,8,0.0,5.0,5.0,3.0,5.0,"{'broker': 2, 'isolate': 1, 'only_out': 5}","{'strong': 2, 'weak_unlinked': 3, 'moderate': 3}",0,3,0,0,10,T. Biederer / Katherine E Watters,3,5,0
K. Broadie / Nichalas Nelson,7,7,0.0,0.0,0.0,1.0,0.0,"{'only_out': 2, 'isolate': 5}",{'weak_unlinked': 7},0,7,0,0,22,K. Broadie / Nichalas Nelson,0,7,0
Srinivas C. Turaga / Arlo Sheridan,7,7,6.0,3.0,9.0,1.0,8.0,"{'only_out': 3, 'broker': 4}","{'moderate': 3, 'weak_unlinked': 1, 'strong': 3}",0,1,0,1,12,Srinivas C. Turaga / Arlo Sheridan,4,3,0
Manuel Zimmer / Bryant Avila,6,6,1.5,5.0,6.0,1.5,4.5,"{'isolate': 1, 'broker': 4, 'only_out': 1}","{'weak_unlinked': 1, 'moderate': 4, 'strong': 1}",0,1,0,0,13,Manuel Zimmer / Bryant Avila,5,1,0
T. R. Clandinin / Yan Hao,5,5,1.0,8.0,10.0,4.0,9.0,"{'broker': 3, 'only_out': 2}","{'strong': 3, 'weak_unlinked': 1, 'moderate': 1}",0,1,0,0,21,T. R. Clandinin / Yan Hao,3,2,0
Mathias F. Wernet / Emil Kind,5,5,2.0,3.0,3.0,1.0,3.0,"{'broker': 3, 'only_out': 1, 'only_in': 1}","{'strong': 2, 'moderate': 2, 'weak': 1}",1,0,0,0,20,Mathias F. Wernet / Emil Kind,3,2,0
N. Chuhma / S. Rayport,5,5,0.0,0.0,0.0,1.0,0.0,"{'broker': 2, 'isolate': 3}","{'weak': 2, 'weak_unlinked': 3}",2,3,0,0,39,N. Chuhma / S. Rayport,0,5,0
