work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_001454df91336514,Role of neural activity during synaptogenesis in Drosophila,adjacent_relevant,0.82,False,91,1.0,0.0,1.0,0.0,weak,1.0,0.7249800902574993,10,False,0,only_in,0,Oliver Hobert / Xiaoyin Chen,Jill Jareckil; H. Keshishian; Hugo Bellen; Barry Ganetzky; C. Goodman; Marc S. Halfon; William M. Leiserson; G. Lnenicka; Robert J. Wyman; J. Jarecki,1995.0,Journal of Neuroscience,Jill Jareckil; H. Keshishian; Hugo Bellen; Barry Ganetzky; C. Goodman; Marc S. Halfon; William M. Leiserson; G. Lnenicka; Robert J. Wyman; J. Jarecki,1995.0,Journal of Neuroscience,integrated,True,True,False,True,True
work_0016f2020218fbe5,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,adjacent_relevant,0.8,False,1,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.5229625696840987,2,False,0,only_out,42,R. Fields / PhD R. Douglas Fields,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,weak_unlinked,True,False,False,False,False
work_00c9ebcec8853471,Physical contact reveals a hidden layer of cortical architecture,core_relevant,0.96,False,0,0.0,0.0,0.0,,weak_unlinked,0.0,0.4794265994159808,15,False,0,isolate,5,Brock Andrew Wester / Jordan K. Matelsky,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_00d72fd3c4223cd5,Distributed control circuits across a brain-and-cord connectome.,core_relevant,0.97,False,3,0.0,0.0,0.0,,weak_unlinked,0.0,0.5038492168834616,100,True,98,isolate,1,G. Jefferis / Kea-Joo Lee,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,weak_unlinked,True,False,False,False,False
work_00f9b510d0a91b47,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,core_relevant,0.95,False,14,3.0,5.0,8.0,1.667,moderate,8.0,0.8550570745951686,8,False,0,broker,2,J. Lichtman / Hanspeter Pfister,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,integrated,True,True,False,True,True
work_0128137052dec3e0,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,adjacent_relevant,0.81,False,0,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.2243164321741438,3,False,0,only_out,0,Oliver Hobert / Xiaoyin Chen,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_01a371d322fa7848,Optical Imaging in Brainsmatics,adjacent_relevant,0.78,False,4,0.0,4.0,4.0,4.0,moderate,4.0,0.0390230953013007,4,False,0,only_out,0,Oliver Hobert / Xiaoyin Chen,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,integrated,True,True,False,True,True
work_01a98f721c115b3c,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,adjacent_relevant,0.79,False,6,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.0868064773028935,2,False,0,only_out,3,Albert Cardona / R. D. Fetter,John Widloski; I. Fiete,2015.0,bioRxiv,John Widloski; I. Fiete,2015.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_01fc48c8442aa598,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,adjacent_relevant,0.83,False,3,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.4027077249800903,3,False,0,only_out,1,G. Jefferis / Kea-Joo Lee,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,weak_unlinked,True,False,False,False,False
work_020893805fee7188,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,adjacent_relevant,0.85,False,0,0.0,13.0,13.0,13.0,strong,9.0,0.144411998938147,2,False,0,only_out,6,James R. Anderson / Bryan William Jones,A. Lazar; Yiyin Zhou,2026.0,,A. Lazar; Yiyin Zhou,2026.0,,integrated,True,True,False,True,True
