label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
J. Lichtman / Hanspeter Pfister,227,227,1.0,5.0,7.0,2.0,6.0,"{'broker': 129, 'only_out': 64, 'only_in': 29, 'hub': 5}","{'moderate': 112, 'strong': 87, 'weak': 28}",28,0,0,8,0,J. Lichtman / Hanspeter Pfister,142,79,6
Albert Cardona / R. D. Fetter,112,112,2.0,4.0,9.0,1.167,7.0,"{'only_in': 16, 'broker': 68, 'only_out': 23, 'hub': 5}","{'weak': 11, 'moderate': 52, 'strong': 49}",11,0,0,9,2,Albert Cardona / R. D. Fetter,70,40,2
G. Jefferis / Sven Dorkenwald,110,110,7.0,7.0,13.0,1.08,10.0,"{'broker': 82, 'only_out': 14, 'hub': 8, 'only_in': 6}","{'strong': 72, 'moderate': 37, 'weak': 1}",1,0,0,8,1,G. Jefferis / Sven Dorkenwald,81,25,4
Oliver Hobert / Steven J. Cook,73,73,2.0,5.0,7.0,1.5,6.0,"{'broker': 48, 'only_out': 13, 'hub': 4, 'only_in': 8}","{'moderate': 36, 'weak': 11, 'strong': 26}",11,0,0,4,4,Oliver Hobert / Steven J. Cook,34,39,0
H. Sebastian Seung / Kea-Joo Lee,62,62,3.0,7.5,10.0,1.9,8.0,"{'broker': 40, 'only_out': 13, 'hub': 4, 'only_in': 5}","{'moderate': 22, 'strong': 36, 'weak': 4}",4,0,0,5,3,H. Sebastian Seung / Kea-Joo Lee,51,10,1
M. Helmstaedter / D. Chklovskii,46,46,2.0,2.5,7.5,1.044,5.5,"{'only_in': 12, 'broker': 28, 'only_out': 5, 'hub': 1}","{'weak': 5, 'moderate': 25, 'strong': 16}",5,0,0,5,5,M. Helmstaedter / D. Chklovskii,23,23,0
James R. Anderson / Bryan William Jones,35,35,2.0,3.0,6.0,1.25,5.0,"{'only_out': 6, 'broker': 27, 'only_in': 2}","{'strong': 10, 'moderate': 23, 'weak': 2}",2,0,0,0,6,James R. Anderson / Bryan William Jones,24,10,1
Brock Andrew Wester / Jordan K. Matelsky,24,24,2.0,7.5,9.5,4.0,7.0,"{'broker': 17, 'only_out': 6, 'only_in': 1}","{'strong': 12, 'moderate': 11, 'weak': 1}",1,0,0,0,7,Brock Andrew Wester / Jordan K. Matelsky,15,3,6
Caio Seguin / B. Mišić,10,10,2.5,14.5,16.5,4.7,10.0,"{'broker': 7, 'only_in': 1, 'only_out': 2}","{'strong': 7, 'moderate': 3}",0,0,0,0,13,Caio Seguin / B. Mišić,6,4,0
Jongmin Lee / Jaeseung Jeong,7,7,1.0,6.0,8.0,1.333,7.0,"{'broker': 4, 'only_out': 3}","{'strong': 3, 'moderate': 3, 'weak': 1}",1,0,0,0,11,Jongmin Lee / Jaeseung Jeong,5,2,0
S. Zipursky / Parmis S. Mirshahidi,6,6,2.0,6.5,9.0,2.833,6.0,"{'broker': 4, 'only_out': 1, 'only_in': 1}","{'moderate': 2, 'strong': 3, 'weak': 1}",1,0,0,0,10,S. Zipursky / Parmis S. Mirshahidi,2,4,0
Srinivas C. Turaga / Fabian Tschopp,6,6,6.5,3.5,13.5,1.143,9.0,"{'only_out': 2, 'broker': 4}","{'moderate': 3, 'strong': 3}",0,0,0,1,12,Srinivas C. Turaga / Fabian Tschopp,4,2,0
Guojia Wan / Minghui Liao,5,5,0.0,8.0,8.0,4.0,8.0,"{'broker': 2, 'only_out': 3}","{'strong': 2, 'moderate': 3}",0,0,0,0,14,Guojia Wan / Minghui Liao,4,1,0
Mathias F. Wernet / Emil Kind,5,5,2.0,3.0,3.0,1.0,3.0,"{'broker': 3, 'only_out': 1, 'only_in': 1}","{'strong': 2, 'moderate': 2, 'weak': 1}",1,0,0,0,16,Mathias F. Wernet / Emil Kind,3,2,0
Yongbin Wei / K. M. Sabrin,4,4,4.5,6.5,10.5,2.412,6.0,"{'broker': 3, 'only_out': 1}","{'strong': 2, 'moderate': 2}",0,0,0,0,17,Yongbin Wei / K. M. Sabrin,2,2,0
Philipp Hövel / Jorge Ruiz,4,4,4.5,4.0,6.5,1.275,5.5,{'broker': 4},"{'moderate': 3, 'strong': 1}",0,0,0,0,18,Philipp Hövel / Jorge Ruiz,3,1,0
T. R. Clandinin / Maxwell H. Turner,4,4,1.5,11.0,15.5,5.0,10.0,"{'broker': 3, 'only_out': 1}","{'strong': 3, 'moderate': 1}",0,0,0,0,26,T. R. Clandinin / Maxwell H. Turner,3,1,0
Rembrandt Bakker / P. Tiesinga,4,4,1.0,3.5,4.5,2.058,4.5,"{'only_out': 1, 'only_in': 1, 'broker': 2}","{'moderate': 2, 'weak': 1, 'strong': 1}",1,0,0,0,20,Rembrandt Bakker / P. Tiesinga,0,2,2
Masato Koike / T. Furuta,3,3,1.0,5.0,6.0,5.0,6.0,"{'only_out': 1, 'broker': 2}","{'moderate': 2, 'strong': 1}",0,0,0,0,9,Masato Koike / T. Furuta,1,2,0
D. V. Van Essen / Shin Ishii,3,3,2.0,2.0,3.0,1.714,2.0,"{'only_in': 1, 'broker': 2}","{'weak': 1, 'strong': 1, 'moderate': 1}",1,0,0,0,21,D. V. Van Essen / Shin Ishii,1,2,0
C. Clopath / N. A. Cayco-Gajic,3,3,1.0,0.0,1.0,0.0,1.0,"{'broker': 1, 'only_in': 2}",{'weak': 3},3,0,0,0,27,C. Clopath / N. A. Cayco-Gajic,0,3,0
Julia Lyudchik / Alban Cenameri,3,3,6.0,2.0,8.0,0.722,7.0,{'broker': 3},"{'moderate': 2, 'strong': 1}",0,0,0,0,8,Julia Lyudchik / Alban Cenameri,1,2,0
Oliver Schmitt / Peter Eipert,3,3,1.0,4.0,5.0,4.0,5.0,"{'broker': 2, 'only_out': 1}","{'moderate': 2, 'strong': 1}",0,0,0,0,19,Oliver Schmitt / Peter Eipert,0,2,1
P. Yadav / Aradhana Singh,2,2,1.5,16.0,17.5,9.334,10.0,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,82,P. Yadav / Aradhana Singh,2,0,0
N. Chuhma / Daniel Eskenazi,2,2,1.0,1.0,2.0,1.0,2.0,{'broker': 2},{'weak': 2},2,0,0,0,64,N. Chuhma / Daniel Eskenazi,0,2,0
E. Marder / Cori Bargmann,2,2,27.5,1.0,28.5,0.025,10.5,"{'broker': 1, 'only_in': 1}",{'strong': 2},0,0,0,0,49,E. Marder / Cori Bargmann,0,2,0
J. Karbowski / F. Rakowski,2,2,4.0,4.5,8.5,2.312,5.5,"{'only_out': 1, 'broker': 1}","{'moderate': 1, 'strong': 1}",0,0,0,0,116,J. Karbowski / F. Rakowski,1,1,0
A. Arnatkevic̆iūtė / Ben D. Fulcher,2,2,15.0,13.0,28.0,1.857,7.0,{'broker': 2},"{'strong': 1, 'moderate': 1}",0,0,0,0,32,A. Arnatkevic̆iūtė / Ben D. Fulcher,1,1,0
Bradly Alicea / Jayadratha Gayen,2,2,1.0,7.5,8.5,4.75,6.5,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'moderate': 1}",0,0,0,0,110,Bradly Alicea / Jayadratha Gayen,1,1,0
S. Flavell / A. Gordus,2,2,1.0,8.5,9.5,8.5,8.5,{'broker': 2},"{'moderate': 1, 'strong': 1}",0,0,0,0,35,S. Flavell / A. Gordus,1,1,0
C. Eroglu / W. C. Risher,2,2,1.0,0.0,1.0,0.0,1.0,{'only_in': 2},{'weak': 2},2,0,0,0,34,C. Eroglu / W. C. Risher,0,2,0
Katrin Amunts / T. Lippert,2,2,5.5,2.0,7.5,0.65,3.0,{'broker': 2},"{'weak': 1, 'strong': 1}",1,0,0,0,33,Katrin Amunts / T. Lippert,0,2,0
Jaison J. Omoto / Ivo G. Ros,2,2,1.0,5.0,6.0,3.5,5.5,"{'only_out': 1, 'broker': 1}",{'moderate': 2},0,0,0,0,36,Jaison J. Omoto / Ivo G. Ros,0,2,0
Habib Benali / El-kaioum M. Moutuou,2,2,0.5,14.5,15.0,14.5,10.0,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,31,Habib Benali / El-kaioum M. Moutuou,1,1,0
Bowen Dempsey / Sheng Le,2,2,5.0,9.5,14.5,1.945,5.5,{'broker': 2},"{'moderate': 1, 'strong': 1}",0,0,0,0,25,Bowen Dempsey / Sheng Le,0,2,0
Elizabeth M. DiLoreto / Christopher Chute,2,2,1.0,5.5,6.5,5.0,4.5,"{'broker': 1, 'only_out': 1}",{'moderate': 2},0,0,0,0,30,Elizabeth M. DiLoreto / Christopher Chute,0,2,0
Daichi Yamada / Makoto Someya,2,2,0.0,5.0,5.0,5.0,5.0,{'only_out': 2},{'moderate': 2},0,0,0,0,24,Daichi Yamada / Makoto Someya,2,0,0
