label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
Oliver Hobert / Steven J. Cook,195,175,1.0,5.0,6.0,2.0,5.0,"{'only_in': 24, 'only_out': 50, 'broker': 95, 'hub': 6}","{'weak': 30, 'moderate': 92, 'strong': 53}",30,0,20,12,0,Oliver Hobert / Steven J. Cook,93,94,8
J. Lichtman / Hanspeter Pfister,160,145,5.0,6.0,13.0,1.0,10.0,"{'broker': 96, 'only_out': 30, 'only_in': 12, 'hub': 7}","{'moderate': 54, 'strong': 86, 'weak': 5}",5,0,15,12,1,J. Lichtman / Hanspeter Pfister,115,35,10
Albert Cardona / Brock Andrew Wester,124,116,2.0,5.0,9.0,2.0,7.0,"{'only_in': 11, 'broker': 73, 'only_out': 28, 'hub': 4}","{'moderate': 55, 'strong': 55, 'weak': 6}",6,0,8,8,3,Albert Cardona / Brock Andrew Wester,80,34,10
M. Helmstaedter / Winfried Denk,105,87,2.0,4.0,6.0,1.5,5.0,"{'only_in': 18, 'broker': 56, 'only_out': 12, 'hub': 1}","{'weak': 10, 'moderate': 46, 'strong': 31}",10,0,18,8,4,M. Helmstaedter / Winfried Denk,46,53,6
G. Jefferis / Sven Dorkenwald,97,95,2.0,6.0,10.0,1.5,8.0,"{'broker': 64, 'only_in': 5, 'only_out': 19, 'hub': 7}","{'moderate': 36, 'strong': 50, 'weak': 9}",9,0,2,7,2,G. Jefferis / Sven Dorkenwald,65,29,3
H. Sebastian Seung / Kea-Joo Lee,64,61,3.0,6.0,10.0,2.0,8.0,"{'broker': 41, 'only_out': 12, 'only_in': 6, 'hub': 2}","{'moderate': 25, 'strong': 33, 'weak': 3}",3,0,3,4,5,H. Sebastian Seung / Kea-Joo Lee,54,10,0
James R. Anderson / Bryan William Jones,42,39,2.0,3.0,7.0,1.0,5.0,"{'only_out': 6, 'broker': 30, 'only_in': 3}","{'strong': 13, 'moderate': 23, 'weak': 3}",3,0,3,2,6,James R. Anderson / Bryan William Jones,31,10,1
Olaf Sporns / Caio Seguin,14,10,2.5,14.5,16.5,4.7,10.0,"{'broker': 7, 'only_in': 1, 'only_out': 2}","{'strong': 7, 'moderate': 3}",0,0,4,0,10,Olaf Sporns / Caio Seguin,6,8,0
G. Knott / Christoph Sommer,7,4,5.5,2.0,7.5,0.561,6.0,{'broker': 4},"{'moderate': 3, 'strong': 1}",0,0,3,0,7,G. Knott / Christoph Sommer,5,2,0
S. Zipursky / Parmis S. Mirshahidi,7,7,2.0,2.0,4.0,2.0,4.0,"{'broker': 4, 'only_out': 1, 'only_in': 2}","{'moderate': 3, 'strong': 3, 'weak': 1}",1,0,0,0,9,S. Zipursky / Parmis S. Mirshahidi,3,4,0
Manuel Zimmer / Bryant Avila,5,5,2.0,7.0,7.0,1.5,6.0,"{'broker': 4, 'only_out': 1}","{'moderate': 4, 'strong': 1}",0,0,0,0,11,Manuel Zimmer / Bryant Avila,4,1,0
A. Fornito / Andrew Zalesky,5,3,11.0,17.0,28.0,1.545,7.0,{'broker': 3},"{'strong': 2, 'moderate': 1}",0,0,2,0,16,A. Fornito / Andrew Zalesky,1,3,1
Junyang Wang / D. V. Van Essen,4,3,2.0,2.0,3.0,1.714,2.0,"{'only_in': 1, 'broker': 2}","{'weak': 1, 'strong': 1, 'moderate': 1}",1,0,1,0,14,Junyang Wang / D. V. Van Essen,1,2,1
