work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_001454df91336514,Role of neural activity during synaptogenesis in Drosophila,adjacent_relevant,0.82,False,91,1.0,0.0,1.0,0.0,weak,1.0,0.7249800902574993,10,False,0,only_in,2,Albert Cardona / R. D. Fetter,Jill Jareckil; H. Keshishian; Hugo Bellen; Barry Ganetzky; C. Goodman; Marc S. Halfon; William M. Leiserson; G. Lnenicka; Robert J. Wyman; J. Jarecki,1995.0,Journal of Neuroscience,Jill Jareckil; H. Keshishian; Hugo Bellen; Barry Ganetzky; C. Goodman; Marc S. Halfon; William M. Leiserson; G. Lnenicka; Robert J. Wyman; J. Jarecki,1995.0,Journal of Neuroscience,integrated,True,True,False,True,True
work_00f9b510d0a91b47,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,core_relevant,0.95,False,14,3.0,5.0,8.0,1.667,moderate,8.0,0.8550570745951686,8,False,0,broker,0,J. Lichtman / Hanspeter Pfister,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,2018.0,ECCV Workshops,integrated,True,True,False,True,True
work_01a371d322fa7848,Optical Imaging in Brainsmatics,adjacent_relevant,0.78,False,4,0.0,4.0,4.0,4.0,moderate,4.0,0.0390230953013007,4,False,0,only_out,0,J. Lichtman / Hanspeter Pfister,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,2019.0,Photonics,integrated,True,True,False,True,True
work_020893805fee7188,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,adjacent_relevant,0.85,False,0,0.0,13.0,13.0,13.0,strong,9.0,0.144411998938147,2,False,0,only_out,6,James R. Anderson / Bryan William Jones,A. Lazar; Yiyin Zhou,2026.0,,A. Lazar; Yiyin Zhou,2026.0,,integrated,True,True,False,True,True
work_025c5ef05489ba3c,Diffusion MRI Connections in the Octopus Brain,adjacent_relevant,0.82,False,5,0.0,7.0,7.0,7.0,moderate,3.0,0.5126095035837537,1,False,0,only_out,157,R. Jacobs,R. Jacobs,2022.0,Experimental Neurobiology,R. Jacobs,2022.0,Experimental Neurobiology,integrated,True,True,False,True,True
work_02c77af0d554feec,A Context-Aware Delayed Agglomeration Framework for Electron Microscopy Segmentation,core_relevant,0.94,False,35,16.0,7.0,23.0,0.438,strong,11.0,0.9819485001327316,4,False,0,broker,1,G. Jefferis / Sven Dorkenwald,T. Parag; Anirban Chakraborty; Stephen M. Plaza; Louis K. Scheffer,2014.0,PLoS ONE,T. Parag; Anirban Chakraborty; Stephen M. Plaza; Louis K. Scheffer,2014.0,PLoS ONE,integrated,True,True,False,True,True
work_02c7b46148a6c4a5,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,core_relevant,0.93,True,515,4.0,0.0,4.0,0.0,moderate,4.0,0.9923015662330767,2,False,0,only_in,2,Albert Cardona / R. D. Fetter,G. Shepherd; K. Harris,1998.0,Journal of Neuroscience,G. Shepherd; K. Harris,1998.0,Journal of Neuroscience,integrated,True,True,False,True,True
work_03c23d6e53a2fa11,All-optical visualization of specific molecules in the ultrastructural context of brain tissue,adjacent_relevant,0.83,False,41,8.0,8.0,16.0,1.0,strong,11.0,0.9463764268648792,16,False,0,broker,14,Guojia Wan / Minghui Liao,O. M’Saad; Ravikiran Kasula; I. Kondratiuk; Phylicia Kidd; H. Falahati; Juliana E. Gentile; Robert F. Niescier; Katherine E Watters; R. Sterner; Seong Lee; Xinran Liu; P. De Camilli; J. Rothman; A. Koleske; T. Biederer; J. Bewersdorf,2022.0,bioRxiv,O. M’Saad; Ravikiran Kasula; I. Kondratiuk; Phylicia Kidd; H. Falahati; Juliana E. Gentile; Robert F. Niescier; Katherine E Watters; R. Sterner; Seong Lee; Xinran Liu; P. De Camilli; J. Rothman; A. Koleske; T. Biederer; J. Bewersdorf,2022.0,bioRxiv,integrated,True,True,False,True,True
work_043907deaaf11bc4,A Color Vision Circuit for Non-Image-Forming Vision in the Primate Retina,adjacent_relevant,0.79,False,58,4.0,6.0,10.0,1.5,strong,5.0,0.8685956994956199,4,False,0,broker,6,James R. Anderson / Bryan William Jones,Sara S. Patterson; J. Kuchenbecker; James R. Anderson; J. Neitz,2020.0,Current Biology,Sara S. Patterson; J. Kuchenbecker; James R. Anderson; J. Neitz,2020.0,Current Biology,integrated,True,True,False,True,True
work_04bc672be1766531,Neurodevelopment: Comparative connectomics and the study of circuit assembly.,adjacent_relevant,0.84,False,0,0.0,5.0,5.0,5.0,moderate,5.0,0.5134058932837802,2,False,0,only_out,1,G. Jefferis / Sven Dorkenwald,E. Donà; G. Jefferis,2021.0,Current Biology,E. Donà; G. Jefferis,2021.0,Current Biology,integrated,True,True,False,True,True
