label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
Yonggang Wang / Yuanyuan Li,310,181,1.0,5.0,6.0,3.0,5.0,"{'only_out': 54, 'broker': 98, 'only_in': 24, 'hub': 5}","{'moderate': 95, 'strong': 58, 'weak': 28}",28,0,129,9,0,Yonggang Wang / Yuanyuan Li,109,162,39
J. Lichtman / Hanspeter Pfister,208,154,5.0,6.0,12.0,0.955,9.5,"{'broker': 103, 'only_out': 30, 'only_in': 13, 'hub': 8}","{'moderate': 59, 'strong': 90, 'weak': 5}",5,0,54,15,1,J. Lichtman / Hanspeter Pfister,133,56,19
M. Helmstaedter / Winfried Denk,182,120,2.0,3.0,6.0,1.0,5.0,"{'only_in': 26, 'broker': 74, 'only_out': 17, 'hub': 3}","{'moderate': 62, 'weak': 18, 'strong': 40}",18,0,62,14,2,M. Helmstaedter / Winfried Denk,76,87,19
Albert Cardona / J. Vogelstein,131,95,2.0,6.0,10.0,2.5,7.0,"{'broker': 65, 'only_out': 23, 'only_in': 5, 'hub': 2}","{'strong': 49, 'moderate': 44, 'weak': 2}",2,0,36,4,4,Albert Cardona / J. Vogelstein,67,48,16
H. Sebastian Seung / G. Jefferis,109,94,2.0,6.0,10.0,1.5,8.0,"{'broker': 60, 'only_out': 20, 'only_in': 6, 'hub': 8}","{'moderate': 36, 'strong': 50, 'weak': 8}",8,0,15,9,3,H. Sebastian Seung / G. Jefferis,67,35,7
Kea-Joo Lee / Rongwen Lu,58,50,3.0,7.0,10.0,2.0,8.0,"{'broker': 37, 'only_out': 8, 'only_in': 4, 'hub': 1}","{'moderate': 20, 'strong': 28, 'weak': 2}",2,0,8,2,5,Kea-Joo Lee / Rongwen Lu,46,10,2
Olaf Sporns / B. Mišić,50,19,2.0,7.0,10.0,4.0,6.0,"{'only_in': 2, 'broker': 13, 'only_out': 4}","{'weak': 1, 'strong': 10, 'moderate': 8}",1,0,31,0,6,Olaf Sporns / B. Mišić,8,29,13
James R. Anderson / Bryan William Jones,41,28,3.0,3.0,8.5,1.0,5.0,"{'broker': 23, 'only_out': 2, 'only_in': 3}","{'strong': 9, 'moderate': 16, 'weak': 3}",3,0,13,0,7,James R. Anderson / Bryan William Jones,20,19,2
Rembrandt Bakker / Nestor Timonidis,16,7,1.0,3.0,5.0,1.0,4.0,"{'only_out': 1, 'broker': 5, 'only_in': 1}","{'moderate': 2, 'strong': 3, 'weak': 2}",2,0,9,0,8,Rembrandt Bakker / Nestor Timonidis,0,11,5
Bradly Alicea / Matteo Cantarelli,10,5,1.0,1.0,2.0,1.0,2.0,"{'broker': 2, 'only_out': 1, 'only_in': 2}","{'strong': 1, 'weak': 3, 'moderate': 1}",3,0,5,0,9,Bradly Alicea / Matteo Cantarelli,1,8,1
Manuel Zimmer / Bryant Avila,8,5,2.0,7.0,7.0,1.5,6.0,"{'broker': 4, 'only_out': 1}","{'moderate': 4, 'strong': 1}",0,0,3,0,11,Manuel Zimmer / Bryant Avila,4,4,0
Aindrila Saha / Abrar Rahman Abir,5,5,0.0,5.0,6.0,5.0,5.0,"{'broker': 2, 'only_out': 3}","{'moderate': 3, 'weak': 1, 'strong': 1}",1,0,0,0,20,Aindrila Saha / Abrar Rahman Abir,4,1,0
S. Zipursky / Parmis S. Mirshahidi,5,5,3.0,2.0,3.0,2.0,3.0,"{'broker': 3, 'only_in': 2}","{'moderate': 2, 'strong': 2, 'weak': 1}",1,0,0,0,12,S. Zipursky / Parmis S. Mirshahidi,2,3,0
H. Duffau / P. Valdes,5,0,,,,,,{},{},0,0,5,0,45,H. Duffau / P. Valdes,0,1,4
Philipp Hövel / Jorge Ruiz,5,4,4.5,4.0,6.5,1.275,5.5,{'broker': 4},"{'moderate': 3, 'strong': 1}",0,0,1,0,16,Philipp Hövel / Jorge Ruiz,3,2,0
S. Schreiber / Damon A. Clark,4,4,1.5,10.5,12.5,5.25,9.0,"{'broker': 3, 'only_in': 1}","{'strong': 3, 'weak': 1}",1,0,0,0,14,S. Schreiber / Damon A. Clark,3,1,0
Jaeseung Jeong / Jerald D. Kralik,3,2,0.0,7.5,7.5,7.5,6.5,{'only_out': 2},{'moderate': 2},0,0,1,0,25,Jaeseung Jeong / Jerald D. Kralik,2,1,0
Jacob J. Morra / M. Daley,3,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,2,0,43,Jacob J. Morra / M. Daley,0,2,1
Aradhana Singh / P. Yadav,3,2,1.5,16.0,17.5,9.334,10.0,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,1,0,27,Aradhana Singh / P. Yadav,2,0,1
Dongming Cai / Logan A. Walker,3,1,7.0,6.0,13.0,0.857,11.0,{'broker': 1},{'strong': 1},0,0,2,0,23,Dongming Cai / Logan A. Walker,0,1,2
Nobuhiko Ohno / Mitsuhiko Katoh,3,2,1.5,4.0,5.5,3.75,4.0,{'broker': 2},{'moderate': 2},0,0,1,0,18,Nobuhiko Ohno / Mitsuhiko Katoh,0,3,0
Pavan Ramdya / P. G. Özdil,3,1,0.0,8.0,8.0,8.0,7.0,{'only_out': 1},{'moderate': 1},0,0,2,0,19,Pavan Ramdya / P. G. Özdil,1,2,0
