work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_0016f2020218fbe5,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,adjacent_relevant,0.8,False,1,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.5229625696840987,2,False,0,only_out,0,Xiaoyin Chen / Yonggang Wang,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,R. Fields; PhD R. Douglas Fields,2025.0,The Neuroscientist,weak_unlinked,True,False,False,False,False
work_00c9ebcec8853471,Physical contact reveals a hidden layer of cortical architecture,core_relevant,0.96,False,0,0.0,0.0,0.0,,weak_unlinked,0.0,0.4794265994159808,15,False,0,isolate,3,Albert Cardona / J. Vogelstein,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_00d72fd3c4223cd5,Distributed control circuits across a brain-and-cord connectome.,core_relevant,0.97,False,3,0.0,0.0,0.0,,weak_unlinked,0.0,0.5038492168834616,100,True,98,isolate,2,H. Sebastian Seung / G. Jefferis,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,weak_unlinked,True,False,False,False,False
work_0128137052dec3e0,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,adjacent_relevant,0.81,False,0,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.2243164321741438,3,False,0,only_out,0,Xiaoyin Chen / Yonggang Wang,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,2026.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_01a98f721c115b3c,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,adjacent_relevant,0.79,False,6,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.0868064773028935,2,False,0,only_out,3,Albert Cardona / J. Vogelstein,John Widloski; I. Fiete,2015.0,bioRxiv,John Widloski; I. Fiete,2015.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_01fc48c8442aa598,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,adjacent_relevant,0.83,False,3,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.4027077249800903,3,False,0,only_out,0,Xiaoyin Chen / Yonggang Wang,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,Jinbo Zhang; Longzhou Xu; Zaixu Cui,2021.0,Trends in Cognitive Sciences,weak_unlinked,True,False,False,False,False
work_029643354bb1e658,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,adjacent_relevant,0.81,False,180,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.3899654897796655,2,False,0,only_out,3,Albert Cardona / J. Vogelstein,G. Shepherd; Naoki Yamawaki,2021.0,Nature Reviews Neuroscience,G. Shepherd; Naoki Yamawaki,2021.0,Nature Reviews Neuroscience,weak_unlinked,True,False,False,False,False
work_02c20c311fe2787b,Deep Reinforcement Learning for Neural Control,adjacent_relevant,0.82,False,6,0.0,0.0,0.0,,weak_unlinked,0.0,0.0517653305017255,2,False,0,isolate,2,H. Sebastian Seung / G. Jefferis,Jimin Kim; Eli Shlizerman,2020.0,arXiv.org,Jimin Kim; Eli Shlizerman,2020.0,arXiv.org,weak_unlinked,True,False,False,False,False
work_02da51be986693aa,PTEN Activity Defines an Axis for Plasticity at Cortico-Amygdala Synapses and Influences Social Behavior.,adjacent_relevant,0.8,False,22,0.0,0.0,0.0,,weak_unlinked,0.0,0.5497743562516592,16,False,0,isolate,8,Javier DeFelipe / Michael W. Reimann,Cristina Sánchez-Puelles; Maria Calleja-Felipe; Alberto Ouro; Ghassen Bougamra; Ana Arroyo; I. Díez; A. Erramuzpe; J. Cortes; J. Martinez-Hernandez; R. Luján; M. Navarrete; C. Venero; A. Chan; M. Morales; J. Esteban; S. Knafo,2019.0,Cerebral Cortex,Cristina Sánchez-Puelles; Maria Calleja-Felipe; Alberto Ouro; Ghassen Bougamra; Ana Arroyo; I. Díez; A. Erramuzpe; J. Cortes; J. Martinez-Hernandez; R. Luján; M. Navarrete; C. Venero; A. Chan; M. Morales; J. Esteban; S. Knafo,2019.0,Cerebral Cortex,weak_unlinked,True,False,False,False,False
work_0308d268ca38e94f,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking,adjacent_relevant,0.79,False,0,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.419962835147332,3,False,0,only_out,12,Hideyuki Okano / Alexander Woodward,Tetsuo Yamamori; A. Watakabe; Henrik Skibbe,2026.0,Frontiers in Neuroanatomy,Tetsuo Yamamori; A. Watakabe; Henrik Skibbe,2026.0,Frontiers in Neuroanatomy,weak_unlinked,True,False,False,False,False
