work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_001c0f01391e19c4,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,core_relevant,0.93,False,53,,,,,,,,9,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,2020.0,Scientific Reports,rescued_no_graph,False,False,True,True,True
work_030d659739b83f09,Community detection in networks: A user guide,role_bridge,0.72,False,2082,,,,,,,,2,False,0,no_graph,63,S. Fortunato / Darko Hric,S. Fortunato; Darko Hric,2016.0,arXiv.org,S. Fortunato; Darko Hric,2016.0,arXiv.org,rescued_no_graph,False,False,True,True,True
work_047e0665d50b50ba,Crowdsourcing the creation of image segmentation algorithms for connectomics,core_relevant,0.97,True,370,,,,,,,,24,True,22,no_graph,1,J. Lichtman / Hanspeter Pfister,Ignacio Arganda-Carreras; Srinivas C. Turaga; D. Berger; D. Ciresan; A. Giusti; L. Gambardella; J. Schmidhuber; D. Laptev; Sarvesh Dwivedi; J. Buhmann; Ting Liu; Mojtaba Seyedhosseini; T. Tasdizen; L. Kamentsky; Radim Burget; Václav Uher; Xiao Tan; Changming Sun; T. Pham; Erhan Bas; M. Uzunbas; Albert Cardona; J. Schindelin; H. Seung,2015.0,Frontiers in Neuroanatomy,Ignacio Arganda-Carreras; Srinivas C. Turaga; D. Berger; D. Ciresan; A. Giusti; L. Gambardella; J. Schmidhuber; D. Laptev; Sarvesh Dwivedi; J. Buhmann; Ting Liu; Mojtaba Seyedhosseini; T. Tasdizen; L. Kamentsky; Radim Burget; Václav Uher; Xiao Tan; Changming Sun; T. Pham; Erhan Bas; M. Uzunbas; Albert Cardona; J. Schindelin; H. Seung,2015.0,Frontiers in Neuroanatomy,rescued_no_graph,False,False,True,True,True
work_071108fd660498ef,Fast Approximate Quadratic Programming for Graph Matching,role_bridge,0.74,False,190,,,,,,,,9,False,0,no_graph,3,Albert Cardona / J. Vogelstein,J. Vogelstein; John M. Conroy; V. Lyzinski; L. J. Podrazik; S. Kratzer; Eric T. Harley; D. E. Fishkind; R. J. Vogelstein; C. Priebe,2015.0,PLoS ONE,J. Vogelstein; John M. Conroy; V. Lyzinski; L. J. Podrazik; S. Kratzer; Eric T. Harley; D. E. Fishkind; R. J. Vogelstein; C. Priebe,2015.0,PLoS ONE,rescued_no_graph,False,False,True,True,True
work_0a6f89f17fb7c4a5,"Graph analysis of the human connectome: Promise, progress, and pitfalls",adjacent_relevant,0.83,False,752,,,,,,,,3,False,0,no_graph,5,Olaf Sporns / B. Mišić,A. Fornito; A. Zalesky; M. Breakspear,2013.0,NeuroImage,A. Fornito; A. Zalesky; M. Breakspear,2013.0,NeuroImage,rescued_no_graph,False,False,True,True,True
work_0b58677ca30e94c9,Statistical Inference on Random Dot Product Graphs: a Survey,role_bridge,0.71,False,292,,,,,,,,10,False,0,no_graph,3,Albert Cardona / J. Vogelstein,A. Athreya; D. E. Fishkind; M. Tang; C. Priebe; Youngser Park; J. Vogelstein; Keith D. Levin; V. Lyzinski; Yichen Qin; D. Sussman,2017.0,Journal of machine learning research,A. Athreya; D. E. Fishkind; M. Tang; C. Priebe; Youngser Park; J. Vogelstein; Keith D. Levin; V. Lyzinski; Yichen Qin; D. Sussman,2017.0,Journal of machine learning research,rescued_no_graph,False,False,True,True,True
work_0c53b6e2719558ce,Visualizing the human connectome,adjacent_relevant,0.82,False,106,,,,,,,,4,False,0,no_graph,5,Olaf Sporns / B. Mišić,D. Margulies; Joachim Böttger; Aimi Watanabe; Krzysztof J. Gorgolewski,2013.0,NeuroImage,D. Margulies; Joachim Böttger; Aimi Watanabe; Krzysztof J. Gorgolewski,2013.0,NeuroImage,rescued_no_graph,False,False,True,True,True
work_0d0f6db3af67525b,Neural Mechanisms of Motion Processing in the Mammalian Retina.,adjacent_relevant,0.8,False,102,,,,,,,,1,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Wei Wei,2018.0,Annual Review of Vision Science,Wei Wei,2018.0,Annual Review of Vision Science,rescued_no_graph,False,False,True,True,True
work_11d1cfcde84e9410,A tutorial in connectome analysis: Topological and spatial features of brain networks,adjacent_relevant,0.84,False,362,,,,,,,,1,False,0,no_graph,198,Marcus Kaiser / Sreedevi Varier,Marcus Kaiser,2011.0,NeuroImage,Marcus Kaiser,2011.0,NeuroImage,rescued_no_graph,False,False,True,True,True
work_13df857c596640ee,A functionally ordered visual feature map in the Drosophila brain.,core_relevant,0.94,False,81,,,,,,,,6,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Nathan C. Klapoetke; Aljoscha Nern; E. M. Rogers; G. Rubin; Michael B. Reiser; G. Card,2022.0,Neuron,Nathan C. Klapoetke; Aljoscha Nern; E. M. Rogers; G. Rubin; Michael B. Reiser; G. Card,2022.0,Neuron,rescued_no_graph,False,False,True,True,True
work_161efa6714c403ba,ConnectomeDB – Sharing Human Brain Connectivity Data,role_bridge,0.86,False,104,,,,,,,,20,True,18,no_graph,3,Albert Cardona / J. Vogelstein,M. Hodge; William Horton; Timothy Brown; Rick Herrick; Timothy R. Olsen; Michael Hileman; Michael McKay; K. A. Archie; Eileen Cler; M. P. Harms; G. C. Burgess; M. Glasser; J. Elam; Sandra W. Curtiss; D. Barch; R. Oostenveld; L. Larson-Prior; K. Uğurbil; D. C. Essen; D. Marcus,2015.0,NeuroImage,M. Hodge; William Horton; Timothy Brown; Rick Herrick; Timothy R. Olsen; Michael Hileman; Michael McKay; K. A. Archie; Eileen Cler; M. P. Harms; G. C. Burgess; M. Glasser; J. Elam; Sandra W. Curtiss; D. Barch; R. Oostenveld; L. Larson-Prior; K. Uğurbil; D. C. Essen; D. Marcus,2015.0,NeuroImage,rescued_no_graph,False,False,True,True,True
work_186acb8763d28840,The Human Connectome: A Structural Description of the Human Brain,adjacent_relevant,0.79,False,3307,,,,,,,,3,False,0,no_graph,5,Olaf Sporns / B. Mišić,O. Sporns; G. Tononi; R. Kötter,2005.0,PLoS Comput. Biol.,O. Sporns; G. Tononi; R. Kötter,2005.0,PLoS Comput. Biol.,rescued_no_graph,False,False,True,True,True
work_1b719c6ba34d2ed3,Teneurin-3 controls topographic circuit assembly in the hippocampus,adjacent_relevant,0.83,False,147,,,,,,,,4,False,0,no_graph,3,Albert Cardona / J. Vogelstein,Dominic S. Berns; Laura A. DeNardo; Daniel T. Pederick; L. Luo,2018.0,Nature,Dominic S. Berns; Laura A. DeNardo; Daniel T. Pederick; L. Luo,2018.0,Nature,rescued_no_graph,False,False,True,True,True
work_1e6634edd433800d,Olfactory dysfunction in Alzheimer’s disease,role_bridge,0.87,False,174,,,,,,,,5,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Y. Zou; Da Lu; Li-Ping Liu; Hui-hong Zhang; Yu-ying Zhou,2016.0,Neuropsychiatric Disease and Treatment,Y. Zou; Da Lu; Li-Ping Liu; Hui-hong Zhang; Yu-ying Zhou,2016.0,Neuropsychiatric Disease and Treatment,rescued_no_graph,False,False,True,True,True
work_27fb2a0d9d1c342f,CATMAID: collaborative annotation toolkit for massive amounts of image data,role_bridge,0.88,False,356,,,,,,,,4,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,S. Saalfeld; Albert Cardona; V. Hartenstein; P. Tomančák,2009.0,Bioinform.,S. Saalfeld; Albert Cardona; V. Hartenstein; P. Tomančák,2009.0,Bioinform.,rescued_no_graph,False,False,True,True,True
work_299eb90aaf78a3aa,"A Genetically Encoded Tag for Correlated Light and Electron Microscopy of Intact Cells, Tissues, and Organisms",role_bridge,0.83,False,809,,,,,,,,9,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,X. Shu; V. Lev-Ram; T. Deerinck; Y. Qi; Ericka B. Ramko; M. Davidson; Yishi Jin; Mark Ellisman; R. Tsien,2011.0,PLoS Biology,X. Shu; V. Lev-Ram; T. Deerinck; Y. Qi; Ericka B. Ramko; M. Davidson; Yishi Jin; Mark Ellisman; R. Tsien,2011.0,PLoS Biology,rescued_no_graph,False,False,True,True,True
work_2b4f63e6ecb953d1,The neural circuit for touch sensitivity in Caenorhabditis elegans,core_relevant,0.9,True,1109,,,,,,,,6,False,0,no_graph,6,Oliver Hobert / Steven J. Cook,M. Chalfie; J. Sulston; J. White; E. Southgate; J. Thomson; S. Brenner,1985.0,Journal of Neuroscience,M. Chalfie; J. Sulston; J. White; E. Southgate; J. Thomson; S. Brenner,1985.0,Journal of Neuroscience,rescued_no_graph,False,False,True,True,True
work_2b60bd560e430bed,OpenWorm: overview and recent advances in integrative biological simulation of Caenorhabditis elegans,adjacent_relevant,0.8,False,101,,,,,,,,19,False,0,no_graph,9,Bradly Alicea / Matteo Cantarelli,G. Sarma; Chee Wai Lee; Thomas E. Portegys; Vahid Ghayoomie; Travis W. Jacobs; Bradly Alicea; Matteo Cantarelli; M. Currie; R. C. Gerkin; Shane Gingell; P. Gleeson; R. Gordon; Ramin M. Hasani; Giovanni Idili; S. Khayrulin; David Lung; A. Palyanov; Mark Watts; S. Larson,2018.0,Philosophical Transactions of the Royal Society of London. Biological Sciences,G. Sarma; Chee Wai Lee; Thomas E. Portegys; Vahid Ghayoomie; Travis W. Jacobs; Bradly Alicea; Matteo Cantarelli; M. Currie; R. C. Gerkin; Shane Gingell; P. Gleeson; R. Gordon; Ramin M. Hasani; Giovanni Idili; S. Khayrulin; David Lung; A. Palyanov; Mark Watts; S. Larson,2018.0,Philosophical Transactions of the Royal Society of London. Biological Sciences,rescued_no_graph,False,False,True,True,True
work_2b7b16a895c2f46c,Statistical mechanics of community detection.,role_bridge,0.74,False,2013,,,,,,,,2,False,0,no_graph,95,J. Reichardt / S. Bornholdt,J. Reichardt; S. Bornholdt,2006.0,"Physical review. E, Statistical, nonlinear, and soft matter physics",J. Reichardt; S. Bornholdt,2006.0,"Physical review. E, Statistical, nonlinear, and soft matter physics",rescued_no_graph,False,False,True,True,True
work_2c6fe44c1be1c300,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,adjacent_relevant,0.88,False,305,,,,,,,,1,False,0,no_graph,4,M. Helmstaedter / Winfried Denk,M. Helmstaedter,2013.0,Nature Methods,M. Helmstaedter,2013.0,Nature Methods,rescued_no_graph,False,False,True,True,True
work_2d5170d4591ffa30,Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain,role_bridge,0.8,False,1221,,,,,,,,10,False,0,no_graph,96,H. Dodt / K. Becker,H. Dodt; U. Leischner; A. Schierloh; N. Jährling; C. P. Mauch; K. Deininger; J. Deussing; M. Eder; W. Zieglgänsberger; K. Becker,2007.0,Nature Methods,H. Dodt; U. Leischner; A. Schierloh; N. Jährling; C. P. Mauch; K. Deininger; J. Deussing; M. Eder; W. Zieglgänsberger; K. Becker,2007.0,Nature Methods,rescued_no_graph,False,False,True,True,True
work_2df062ae66c16e94,Community Detection and Classification in Hierarchical Stochastic Blockmodels,adjacent_relevant,0.81,False,162,,,,,,,,5,False,0,no_graph,3,Albert Cardona / J. Vogelstein,V. Lyzinski; M. Tang; A. Athreya; Youngser Park; C. Priebe,2015.0,IEEE Transactions on Network Science and Engineering,V. Lyzinski; M. Tang; A. Athreya; Youngser Park; C. Priebe,2015.0,IEEE Transactions on Network Science and Engineering,rescued_no_graph,False,False,True,True,True
work_2e135d4ee49a93d1,From the Connectome to the Synaptome: An Epic Love Story,adjacent_relevant,0.76,False,171,,,,,,,,1,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,J. DeFelipe,2010.0,Science,J. DeFelipe,2010.0,Science,rescued_no_graph,False,False,True,True,True
