person_id,author_raw,work_id,author_order,n_authors,position
person:h keshishian,H. Keshishian,work_001454df91336514,2,10,middle
person:ganetzky|b,Barry Ganetzky,work_001454df91336514,4,10,middle
person:c goodman,C. Goodman,work_001454df91336514,5,10,middle
person:halfon|ms,Marc S. Halfon,work_001454df91336514,6,10,middle
person:leiserson|wm,William M. Leiserson,work_001454df91336514,7,10,middle
person:lnenicka|g,G. Lnenicka,work_001454df91336514,8,10,middle
person:wyman|rj,Robert J. Wyman,work_001454df91336514,9,10,middle
person:l tomas roca,L. Tomas-Roca,work_001c0f01391e19c4,2,9,middle
person:j gonzalez soriano,J. González-Soriano,work_001c0f01391e19c4,4,9,middle
person:benjamin clark,Benjamin Clark,work_00c9ebcec8853471,9,15,middle
person:zaki ajabi,Zaki Ajabi,work_00d72fd3c4223cd5,6,100,middle
person:kevin delgado,Kevin M. Delgado,work_00d72fd3c4223cd5,8,100,middle
person:mohammed abdal monium osman,Mohammed Abdal Monium Osman,work_00d72fd3c4223cd5,9,100,middle
person:sophia renauld,Sophia Renauld,work_00d72fd3c4223cd5,13,100,middle
person:janki patel,Janki Patel,work_00d72fd3c4223cd5,15,100,middle
person:jingxuan fan,Jingxuan Fan,work_00d72fd3c4223cd5,17,100,middle
person:h langley,H. Langley,work_00d72fd3c4223cd5,25,100,middle
person:borja moya llamas,Borja Moya-Llamas,work_00d72fd3c4223cd5,26,100,middle
person:ryan maloney,Ryan T Maloney,work_00d72fd3c4223cd5,28,100,middle
person:sara pierce lundgren,Sara E Pierce-Lundgren,work_00d72fd3c4223cd5,39,100,middle
person:emily kophs,Emily C Kophs,work_00d72fd3c4223cd5,48,100,middle
person:tjalda falt,Tjalda Falt,work_00d72fd3c4223cd5,49,100,middle
person:alexa negron morales,Alexa M Negron-Morales,work_00d72fd3c4223cd5,50,100,middle
person:emil behnke,Emil Behnke,work_00d72fd3c4223cd5,65,100,middle
person:kevin daly,Kevin C. Daly,work_00d72fd3c4223cd5,73,100,middle
person:marie suver,Marie P. Suver,work_00d72fd3c4223cd5,76,100,middle
person:lisa fenk,Lisa M. Fenk,work_00d72fd3c4223cd5,77,100,middle
person:jan drugowitsch,Jan Drugowitsch,work_00d72fd3c4223cd5,98,100,middle
person:pakulaite-kazliene|g,Gyte Pakulaite-Kazliene,work_01ba46e87d766569,2,4,middle
