rank,work_id,title,year,venue,last_author,citation_count_work,cites_per_year,ultra_core,citation_link_strength,citation_role,corpus_in_degree,corpus_out_degree,citation_total_degree,k_core,pagerank_percentile,primary_community_label,confidence,n_authors,is_consortium
54,work_4f923dc785f0b321,Structure and function of a neocortical synapse,2019.0,Nature,K. Stratford,188,23.5,False,strong,broker,30.0,7.0,37.0,11.0,0.9777010883992568,J. Lichtman / Hanspeter Pfister,0.95,5,False
55,work_b0ddf4ae8c7faf63,Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster,2020.0,bioRxiv,Jan Funke,185,26.43,False,strong,hub,86.0,43.0,129.0,11.0,0.9859304486328644,H. Sebastian Seung / G. Jefferis,0.94,23,True
56,work_872019d711145384,The comprehensive connectome of a neural substrate for ‘ON’ motion detection in Drosophila,2017.0,eLife,I. Meinertzhagen,184,18.4,False,strong,broker,14.0,3.0,17.0,11.0,0.9617732943987258,J. Lichtman / Hanspeter Pfister,0.97,6,False
57,work_ad7b99d70c070146,Exploring the retinal connectome,2011.0,Molecular Vision,R. Marc,184,11.5,False,strong,broker,40.0,4.0,44.0,9.0,0.9946907353331564,James R. Anderson / Bryan William Jones,0.94,15,False
58,work_7c9431dcfcc3ff31,webKnossos: efficient online 3D data annotation for connectomics,2017.0,Nature Methods,M. Helmstaedter,180,18.0,False,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,0.97,14,False
59,work_0c32ed27e86551f0,A Connectome of the Adult Drosophila Central Brain,2020.0,bioRxiv,Stephen M. Plaza,178,25.43,False,strong,broker,16.0,12.0,28.0,11.0,0.9556676400318556,J. Lichtman / Hanspeter Pfister,0.97,105,True
60,work_9e3d9326ebd1b0f4,Complete Connectomic Reconstruction of Olfactory Projection Neurons in the Fly Brain,2020.0,bioRxiv,G. Jefferis,168,24.0,False,strong,broker,20.0,4.0,24.0,11.0,0.9638970002654632,H. Sebastian Seung / G. Jefferis,0.97,18,False
61,work_6e526e10c76c2156,Deconstructing Complexity: Serial Block-Face Electron Microscopic Analysis of the Hippocampal Mossy Fiber Synapse,2013.0,Journal of Neuroscience,Anirvan Ghosh,163,11.64,False,moderate,broker,3.0,1.0,4.0,3.0,0.8468277143615609,Xiaoyin Chen / Yonggang Wang,0.97,9,False
62,work_96ef255db3db218e,Deep Contextual Networks for Neuronal Structure Segmentation,2016.0,AAAI Conference on Artificial Intelligence,P. Heng,162,14.73,False,strong,broker,6.0,6.0,12.0,6.0,0.9291213166976374,Xiaoyin Chen / Yonggang Wang,0.89,4,False
63,work_5b3cc3d12b85117b,A Computational Framework for Ultrastructural Mapping of Neural Circuitry,2009.0,PLoS Biology,R. Marc,162,9.0,False,moderate,only_in,9.0,0.0,9.0,6.0,0.9957525882665252,James R. Anderson / Bryan William Jones,0.92,13,False
