work_id,title,year_n,citation_count_work,cites_per_year,cites_pct_in_year,citation_link_strength,corpus_in_degree,k_core,primary_community_label,confidence,graph_status,in_integrated_plus_rescue
work_11a1d7d7074f9adc,Connectome simulations identify a central pattern generator circuit for fly walking,2026.0,12,24.0,1.0,strong,2.0,8.0,Xiaoyin Chen / Yonggang Wang,0.96,integrated,True
work_8627e5369ab9b3fe,Connectomic Analysis of Mitochondria in the Central Brain of Drosophila,2026.0,6,12.0,0.9866666666666667,strong,4.0,11.0,J. Lichtman / Hanspeter Pfister,0.96,integrated,True
work_2ac6946a28922c27,"Deep-learning-assisted simulation of a cortical circuit: integrating anatomy, physiology and function",2026.0,4,8.0,0.9733333333333334,weak_unlinked,0.0,0.0,Xiaoyin Chen / Yonggang Wang,0.95,weak_unlinked,False
work_00d72fd3c4223cd5,Distributed control circuits across a brain-and-cord connectome.,2026.0,3,6.0,0.94,weak_unlinked,0.0,0.0,H. Sebastian Seung / G. Jefferis,0.97,weak_unlinked,False
work_954de58c49ad957a,A central somatotopic map of the fly leg supports spatially targeted grooming,2026.0,3,6.0,0.94,moderate,0.0,5.0,H. Sebastian Seung / G. Jefferis,0.88,integrated,True
work_a02235773a32ebeb,Whole-Brain Connectomic Graph Model Enables Whole-Body Locomotion Control in Fruit Fly,2026.0,3,6.0,0.94,moderate,0.0,4.0,Xiaoyin Chen / Yonggang Wang,0.94,integrated,True
work_e83e978ac3897c2f,NTAC: Neuronal type assignment from connectivity,2026.0,3,6.0,0.94,moderate,1.0,7.0,H. Sebastian Seung / G. Jefferis,0.95,integrated,True
work_d83cba345d7415bb,Functional connectomics reveals general wiring rule in mouse visual cortex,2025.0,81,81.0,1.0,strong,8.0,9.0,H. Sebastian Seung / G. Jefferis,0.96,integrated,True
work_9d8ce18df11df9cc,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,2025.0,62,62.0,0.9896907216494846,strong,18.0,11.0,Javier DeFelipe / Michael W. Reimann,0.97,integrated,True
work_0fec0014dc0379d0,Inhibitory specificity from a connectomic census of mouse visual cortex,2025.0,61,61.0,0.979381443298969,strong,19.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
