rank,work_id,title,year,venue,last_author,citation_count_work,cites_per_year,ultra_core,citation_link_strength,citation_role,corpus_in_degree,corpus_out_degree,citation_total_degree,k_core,pagerank_percentile,primary_community_label,confidence,n_authors,is_consortium
1,work_ee57126ff2ea8212,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,2016.0,International Conference on Medical Image Computing and Computer-Assisted Intervention,O. Ronneberger,8324,756.73,False,,no_graph,,,,,,Özgün Çiçek / O. Ronneberger,0.78,5,False
2,work_39c260e37ed45039,The structure of the nervous system of the nematode Caenorhabditis elegans,1986.0,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",S. Brenner,5857,142.85,True,,no_graph,,,,,,Oliver Hobert / Steven J. Cook,1.0,4,False
3,work_7519484d8a64bfa5,Computer visualization of three-dimensional image data using IMOD.,1996.0,Journal of Structural Biology,J. Mcintosh,5611,181.0,False,,no_graph,,,,,,James R. Anderson / Bryan William Jones,0.86,3,False
4,work_b394d6859daf9fc2,BrainNet Viewer: A Network Visualization Tool for Human Brain Connectomics,2013.0,PLoS ONE,Yong He,4094,292.43,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.87,3,False
5,work_186acb8763d28840,The Human Connectome: A Structural Description of the Human Brain,2005.0,PLoS Comput. Biol.,R. Kötter,3307,150.32,False,,no_graph,,,,,,Olaf Sporns / B. Mišić,0.79,3,False
6,work_86327903c00368f6,Reconstruction of the neuromuscular junction connectome,2010.0,Bioinform.,Stephen T. C. Wong,3158,185.76,True,moderate,broker,2.0,2.0,4.0,2.0,0.9015131404300504,J. Lichtman / Hanspeter Pfister,0.88,6,False
7,work_e88643373ef8c2b8,UpSetR: an R package for the visualization of intersecting sets and their properties,2017.0,bioRxiv,Nils Gehlenborg,3028,302.8,False,,no_graph,,,,,,James R. Anderson / Bryan William Jones,0.65,3,False
8,work_9487955aca364a01,A mesoscale connectome of the mouse brain,2014.0,Nature,Hongkui Zeng,2480,190.77,False,strong,hub,276.0,8.0,284.0,11.0,0.9997345367666578,Xiaoyin Chen / Yonggang Wang,0.82,34,True
9,work_fc8b4c576ab75783,Molecular Architecture of the Mouse Nervous System,2018.0,bioRxiv,S. Linnarsson,2368,263.11,False,weak,only_in,1.0,0.0,1.0,1.0,0.756570215025219,Javier DeFelipe / Michael W. Reimann,0.7,20,True
10,work_030d659739b83f09,Community detection in networks: A user guide,2016.0,arXiv.org,Darko Hric,2082,189.27,False,,no_graph,,,,,,S. Fortunato / Darko Hric,0.72,2,False
11,work_2b7b16a895c2f46c,Statistical mechanics of community detection.,2006.0,"Physical review. E, Statistical, nonlinear, and soft matter physics",S. Bornholdt,2013,95.86,False,,no_graph,,,,,,J. Reichardt / S. Bornholdt,0.74,2,False
12,work_d2abedfe2fe8e9a8,The connectomics of brain disorders,2015.0,Nature Reviews Neuroscience,M. Breakspear,1632,136.0,False,,no_graph,,,,,,Olaf Sporns / B. Mišić,0.78,3,False
13,work_21c10d8f3b695a0c,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004.0,PLoS Biology,H. Horstmann,1627,70.74,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,2,False
14,work_fd6353a8d1e9547e,Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,2005.0,PLoS Biology,D. Chklovskii,1605,72.95,False,strong,only_in,17.0,0.0,17.0,10.0,0.9968144411998938,Xiaoyin Chen / Yonggang Wang,0.75,5,False
15,work_2d5170d4591ffa30,Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain,2007.0,Nature Methods,K. Becker,1221,61.05,False,,no_graph,,,,,,H. Dodt / K. Becker,0.8,10,False
16,work_2b4f63e6ecb953d1,The neural circuit for touch sensitivity in Caenorhabditis elegans,1985.0,Journal of Neuroscience,S. Brenner,1109,26.4,True,,no_graph,,,,,,Oliver Hobert / Steven J. Cook,0.9,6,False
17,work_ab4936e9fe95de49,Saturated Reconstruction of a Volume of Neocortex,2015.0,Cell,J. Lichtman,1031,85.92,True,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,1.0,21,True
18,work_5c2378945eccb27f,Connectomic reconstruction of the inner plexiform layer in the mouse retina,2013.0,Nature,W. Denk,988,70.57,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,6,False
19,work_bb4463044f5b072c,TrakEM2 Software for Neural Circuit Reconstruction,2012.0,PLoS ONE,R. Douglas,975,65.0,True,strong,only_in,45.0,0.0,45.0,11.0,0.9989381470666312,Albert Cardona / J. Vogelstein,0.96,9,False
20,work_c3af570cd83d4cfb,Structural Properties of the Caenorhabditis elegans Neuronal Network,2009.0,PLoS Comput. Biol.,D. Chklovskii,954,53.0,True,strong,hub,80.0,0.0,80.0,11.0,0.9992036102999734,M. Helmstaedter / Winfried Denk,0.93,5,False
21,work_8cba212f6e7b83ad,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,2017.0,bioRxiv,D. Bock,911,91.1,True,strong,hub,92.0,10.0,102.0,11.0,0.9891160074329706,J. Lichtman / Hanspeter Pfister,0.95,23,True
22,work_7773a3cd24b3497d,A connectome and analysis of the adult Drosophila central brain,2020.0,bioRxiv,Stephen M. Plaza,900,128.57,True,strong,hub,102.0,17.0,119.0,11.0,0.9880541544996018,J. Lichtman / Hanspeter Pfister,0.98,115,True
23,work_79637f99f0c0390e,NEUROMODULATION OF NEURONAL CIRCUITS: BACK TO THE FUTURE,2012.0,Neuron,E. Marder,899,59.93,False,strong,only_in,16.0,0.0,16.0,10.0,0.9731882134324396,E. Marder / Cori Bargmann,0.81,1,False
24,work_7afda5ab9166c6fb,Network anatomy and in vivo physiology of visual cortical neurons,2011.0,Nature,R. Reid,889,55.56,True,strong,hub,57.0,1.0,58.0,11.0,0.9986726838332892,H. Sebastian Seung / G. Jefferis,0.95,10,False
25,work_8b8134900025d035,Cell biology of astrocyte-synapse interactions,2017.0,Neuron,C. Eroglu,869,86.9,False,weak,only_in,1.0,0.0,1.0,1.0,0.7509954871250332,C. Eroglu / W. C. Risher,0.83,2,False
26,work_31e342d0d3149cd8,Functional specificity of local synaptic connections in neocortical networks,2011.0,Nature,T. Mrsic-Flogel,868,54.25,False,moderate,only_in,5.0,0.0,5.0,5.0,0.9771701619325724,M. Helmstaedter / Winfried Denk,0.83,6,False
27,work_4d5f8126d96042c6,Resting-state functional connectivity in major depressive disorder: A review.,2015.0,Neuroscience and Biobehavioral Reviews,I. Tendolkar,840,70.0,False,,no_graph,,,,,,P. Mulders / I. Tendolkar,0.85,5,False
28,work_2a2fe8f95bb73f03,Principles of connectivity among morphologically defined cell types in adult neocortex,2015.0,Science,A. Tolias,838,69.83,False,moderate,only_in,9.0,0.0,9.0,7.0,0.944518184231484,M. Helmstaedter / Winfried Denk,0.84,8,False
29,work_3cf844f488b27a48,Wiring specificity in the direction-selectivity circuit of the retina,2011.0,Nature,W. Denk,833,52.06,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,3,False
30,work_299eb90aaf78a3aa,"A Genetically Encoded Tag for Correlated Light and Electron Microscopy of Intact Cells, Tissues, and Organisms",2011.0,PLoS Biology,R. Tsien,809,50.56,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.83,9,False
31,work_cfa0e3eb48787eff,Whole-animal connectomes of both Caenorhabditis elegans sexes,2019.0,Nature,S. W. Emmons,806,100.75,True,strong,hub,161.0,11.0,172.0,11.0,0.9962835147332094,Oliver Hobert / Steven J. Cook,0.98,14,False
32,work_ad46a1f8c544946f,FANMOD: a tool for fast network motif detection,2006.0,Bioinform.,Florian Rasche,791,37.67,False,,no_graph,,,,,,S. Wernicke / Florian Rasche,0.85,2,False
33,work_0a6f89f17fb7c4a5,"Graph analysis of the human connectome: Promise, progress, and pitfalls",2013.0,NeuroImage,M. Breakspear,752,53.71,False,,no_graph,,,,,,Olaf Sporns / B. Mišić,0.83,3,False
34,work_e2cb4f4ec9b85555,V3D enables real-time 3D visualization and quantitative analysis of large-scale biological image data sets,2010.0,Nature Biotechnology,Eugene W. Myers,727,42.76,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.82,5,False
35,work_aa67a7c25f2f435b,Lead-DBS v2: Towards a comprehensive pipeline for deep brain stimulation imaging,2018.0,bioRxiv,A. Kühn,698,77.56,False,,no_graph,,,,,,Albert Cardona / J. Vogelstein,0.86,19,False
36,work_087e18b9051261d3,A visual motion detection circuit suggested by Drosophila connectomics,2013.0,Nature,D. Chklovskii,695,49.64,True,strong,hub,158.0,3.0,161.0,11.0,0.9994690735333156,J. Lichtman / Hanspeter Pfister,0.96,24,True
37,work_83fb52fa81473035,JAABA: interactive machine learning for automatic annotation of animal behavior,2013.0,Nature Methods,K. Branson,614,43.86,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.8,5,False
38,work_ab693beb93fb50a7,Molecular topography of an entire nervous system,2020.0,bioRxiv,David M. Miller,580,82.86,False,strong,broker,15.0,8.0,23.0,11.0,0.9044332359968144,Oliver Hobert / Steven J. Cook,0.84,23,True
39,work_1afd0f5b17737035,From the connectome to brain function,2013.0,Nature Methods,E. Marder,567,40.5,False,strong,broker,39.0,2.0,41.0,11.0,0.992567029466419,E. Marder / Cori Bargmann,0.8,2,False
40,work_e0e948e508cda1e4,Suggestive Annotation: A Deep Active Learning Framework for Biomedical Image Segmentation,2017.0,International Conference on Medical Image Computing and Computer-Assisted Intervention,D. Chen,565,56.5,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.78,5,False
41,work_32b0dddba5ca9668,A high-level 3D visualization API for Java and ImageJ,2010.0,BMC Bioinformatics,M. Heisenberg,550,32.35,False,,no_graph,,,,,,Albert Cardona / J. Vogelstein,0.78,5,False
42,work_fb288126909ecad7,Mitochondria at the neuronal presynapse in health and disease,2018.0,Nature Reviews Neuroscience,J. Kittler,522,58.0,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.65,2,False
43,work_02c7b46148a6c4a5,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,1998.0,Journal of Neuroscience,K. Harris,515,17.76,True,moderate,only_in,4.0,0.0,4.0,4.0,0.9923015662330767,Albert Cardona / J. Vogelstein,0.93,2,False
44,work_fe96a7e42abafd4b,"Dense, Unspecific Connectivity of Neocortical Parvalbumin-Positive Interneurons: A Canonical Microcircuit for Inhibition?",2011.0,Journal of Neuroscience,R. Yuste,512,32.0,False,moderate,only_in,3.0,0.0,3.0,3.0,0.8218741704273959,Xiaoyin Chen / Yonggang Wang,0.74,2,False
45,work_a83752a657d4ec4e,Space-time wiring specificity supports direction selectivity in the retina,2014.0,Nature,H. Seung,494,38.0,True,,no_graph,,,,,,H. Sebastian Seung / G. Jefferis,1.0,13,False
46,work_7ee1f288ebd5d281,Anatomy and function of an excitatory network in the visual cortex,2016.0,Nature,R. Reid,486,44.18,True,strong,hub,108.0,9.0,117.0,11.0,0.997079904433236,H. Sebastian Seung / G. Jefferis,0.97,7,False
47,work_06a819921125fd5b,The complete connectome of a learning and memory centre in an insect brain,2017.0,Nature,Albert Cardona,480,48.0,True,strong,broker,37.0,3.0,40.0,11.0,0.9832758162994424,Albert Cardona / J. Vogelstein,0.97,20,True
48,work_a7ac590f096a331d,"Reconstruction of 1,000 projection neurons reveals new cell types and organization of long-range connectivity in the mouse brain",2019.0,bioRxiv,J. Chandrashekar,460,57.5,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.74,30,True
49,work_403be6bf6a79f219,"Human Connectome Project Informatics: quality control, database services, and data visualization",2013.0,NeuroImage,D. Essen,459,32.79,False,,no_graph,,,,,,Albert Cardona / J. Vogelstein,0.82,24,True
50,work_0a7ba8ffe545833c,Diverse coupling of neurons to populations in sensory cortex,2015.0,Nature,K. Harris,451,37.58,False,weak,only_in,1.0,0.0,1.0,1.0,0.7632067958587736,M. Helmstaedter / Winfried Denk,0.76,11,False
