work_id,title,citation_count_work,decision,confidence
work_39c260e37ed45039,The structure of the nervous system of the nematode Caenorhabditis elegans,5857,core_relevant,1.0
work_86327903c00368f6,Reconstruction of the neuromuscular junction connectome,3158,core_relevant,0.88
work_21c10d8f3b695a0c,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,1627,core_relevant,1.0
work_2b4f63e6ecb953d1,The neural circuit for touch sensitivity in Caenorhabditis elegans,1109,core_relevant,0.9
work_ab4936e9fe95de49,Saturated Reconstruction of a Volume of Neocortex,1031,core_relevant,1.0
work_5c2378945eccb27f,Connectomic reconstruction of the inner plexiform layer in the mouse retina,988,core_relevant,1.0
work_bb4463044f5b072c,TrakEM2 Software for Neural Circuit Reconstruction,975,core_relevant,0.96
work_c3af570cd83d4cfb,Structural Properties of the Caenorhabditis elegans Neuronal Network,954,core_relevant,0.93
work_8cba212f6e7b83ad,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,911,core_relevant,0.95
work_7773a3cd24b3497d,A connectome and analysis of the adult Drosophila central brain,900,core_relevant,0.98
work_7afda5ab9166c6fb,Network anatomy and in vivo physiology of visual cortical neurons,889,core_relevant,0.95
work_3cf844f488b27a48,Wiring specificity in the direction-selectivity circuit of the retina,833,core_relevant,1.0
work_cfa0e3eb48787eff,Whole-animal connectomes of both Caenorhabditis elegans sexes,806,core_relevant,0.98
work_087e18b9051261d3,A visual motion detection circuit suggested by Drosophila connectomics,695,core_relevant,0.96
work_02c7b46148a6c4a5,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,515,core_relevant,0.93
work_a83752a657d4ec4e,Space-time wiring specificity supports direction selectivity in the retina,494,core_relevant,1.0
work_7ee1f288ebd5d281,Anatomy and function of an excitatory network in the visual cortex,486,core_relevant,0.97
work_06a819921125fd5b,The complete connectome of a learning and memory centre in an insect brain,480,core_relevant,0.97
work_925c3e324896606e,Microscopy Image Browser: A Platform for Segmentation and Analysis of Multidimensional Datasets,423,core_relevant,0.88
work_e55d932cde0c77af,Connectomes across development reveal principles of brain maturation,395,core_relevant,0.96
work_ee5b7f908c56d881,Functional connectomics spanning multiple areas of mouse visual cortex,394,core_relevant,0.97
work_7b437ce3ba4d27c5,High-precision automated reconstruction of neurons with flood-filling networks,382,core_relevant,1.0
work_047e0665d50b50ba,Crowdsourcing the creation of image segmentation algorithms for connectomics,370,core_relevant,0.97
work_1d87c152cf48058c,Enhanced FIB-SEM systems for large-volume 3D imaging,364,core_relevant,0.97
work_2f968b5df6b0dd3d,The connectome of an insect brain,359,core_relevant,0.97
work_434673087d1709d7,A connectome of a learning and memory center in the adult Drosophila brain,353,core_relevant,0.98
work_4514cd847994dcc7,A connectome of the Drosophila central complex reveals network motifs suitable for flexible navigation and context-dependent action selection,332,core_relevant,0.98
work_233d52315fe236ff,The Rich Club of the C. elegans Neuronal Connectome,330,core_relevant,0.94
work_c6b4755fa98e0894,Dense connectomic reconstruction in layer 4 of the somatosensory cortex,307,core_relevant,0.98
work_b8f2f5617e12eb28,Quantitative neuroanatomy for connectomics in Drosophila,307,core_relevant,0.95
work_5b4312b985894934,Ultrastructural analysis of hippocampal neuropil from the connectomics perspective,303,core_relevant,0.91
work_1f5bc11fd70f625f,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,295,core_relevant,0.98
