rank,work_id,title,year,venue,last_author,citation_count_work,cites_per_year,ultra_core,citation_link_strength,citation_role,corpus_in_degree,corpus_out_degree,citation_total_degree,k_core,pagerank_percentile,primary_community_label,confidence,n_authors,is_consortium
1,work_39c260e37ed45039,The structure of the nervous system of the nematode Caenorhabditis elegans,1986.0,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",S. Brenner,5857,142.85,True,,no_graph,,,,,,Oliver Hobert / Steven J. Cook,1.0,4,False
2,work_86327903c00368f6,Reconstruction of the neuromuscular junction connectome,2010.0,Bioinform.,Stephen T. C. Wong,3158,185.76,True,moderate,broker,2.0,2.0,4.0,2.0,0.9015131404300504,J. Lichtman / Hanspeter Pfister,0.88,6,False
3,work_21c10d8f3b695a0c,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004.0,PLoS Biology,H. Horstmann,1627,70.74,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,2,False
4,work_2b4f63e6ecb953d1,The neural circuit for touch sensitivity in Caenorhabditis elegans,1985.0,Journal of Neuroscience,S. Brenner,1109,26.4,True,,no_graph,,,,,,Oliver Hobert / Steven J. Cook,0.9,6,False
5,work_ab4936e9fe95de49,Saturated Reconstruction of a Volume of Neocortex,2015.0,Cell,J. Lichtman,1031,85.92,True,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,1.0,21,True
6,work_5c2378945eccb27f,Connectomic reconstruction of the inner plexiform layer in the mouse retina,2013.0,Nature,W. Denk,988,70.57,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,6,False
7,work_bb4463044f5b072c,TrakEM2 Software for Neural Circuit Reconstruction,2012.0,PLoS ONE,R. Douglas,975,65.0,True,strong,only_in,45.0,0.0,45.0,11.0,0.9989381470666312,Albert Cardona / J. Vogelstein,0.96,9,False
8,work_c3af570cd83d4cfb,Structural Properties of the Caenorhabditis elegans Neuronal Network,2009.0,PLoS Comput. Biol.,D. Chklovskii,954,53.0,True,strong,hub,80.0,0.0,80.0,11.0,0.9992036102999734,M. Helmstaedter / Winfried Denk,0.93,5,False
9,work_8cba212f6e7b83ad,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,2017.0,bioRxiv,D. Bock,911,91.1,True,strong,hub,92.0,10.0,102.0,11.0,0.9891160074329706,J. Lichtman / Hanspeter Pfister,0.95,23,True
10,work_7773a3cd24b3497d,A connectome and analysis of the adult Drosophila central brain,2020.0,bioRxiv,Stephen M. Plaza,900,128.57,True,strong,hub,102.0,17.0,119.0,11.0,0.9880541544996018,J. Lichtman / Hanspeter Pfister,0.98,115,True
11,work_7afda5ab9166c6fb,Network anatomy and in vivo physiology of visual cortical neurons,2011.0,Nature,R. Reid,889,55.56,True,strong,hub,57.0,1.0,58.0,11.0,0.9986726838332892,H. Sebastian Seung / G. Jefferis,0.95,10,False
12,work_3cf844f488b27a48,Wiring specificity in the direction-selectivity circuit of the retina,2011.0,Nature,W. Denk,833,52.06,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,3,False
13,work_cfa0e3eb48787eff,Whole-animal connectomes of both Caenorhabditis elegans sexes,2019.0,Nature,S. W. Emmons,806,100.75,True,strong,hub,161.0,11.0,172.0,11.0,0.9962835147332094,Oliver Hobert / Steven J. Cook,0.98,14,False
14,work_087e18b9051261d3,A visual motion detection circuit suggested by Drosophila connectomics,2013.0,Nature,D. Chklovskii,695,49.64,True,strong,hub,158.0,3.0,161.0,11.0,0.9994690735333156,J. Lichtman / Hanspeter Pfister,0.96,24,True
15,work_02c7b46148a6c4a5,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,1998.0,Journal of Neuroscience,K. Harris,515,17.76,True,moderate,only_in,4.0,0.0,4.0,4.0,0.9923015662330767,Albert Cardona / J. Vogelstein,0.93,2,False
16,work_a83752a657d4ec4e,Space-time wiring specificity supports direction selectivity in the retina,2014.0,Nature,H. Seung,494,38.0,True,,no_graph,,,,,,H. Sebastian Seung / G. Jefferis,1.0,13,False
17,work_7ee1f288ebd5d281,Anatomy and function of an excitatory network in the visual cortex,2016.0,Nature,R. Reid,486,44.18,True,strong,hub,108.0,9.0,117.0,11.0,0.997079904433236,H. Sebastian Seung / G. Jefferis,0.97,7,False
18,work_06a819921125fd5b,The complete connectome of a learning and memory centre in an insect brain,2017.0,Nature,Albert Cardona,480,48.0,True,strong,broker,37.0,3.0,40.0,11.0,0.9832758162994424,Albert Cardona / J. Vogelstein,0.97,20,True
19,work_925c3e324896606e,Microscopy Image Browser: A Platform for Segmentation and Analysis of Multidimensional Datasets,2016.0,PLoS Biology,E. Jokitalo,423,38.45,True,,no_graph,,,,,,I. Belevich / E. Jokitalo,0.88,5,False
20,work_e55d932cde0c77af,Connectomes across development reveal principles of brain maturation,2021.0,Nature,Mei Zhen,395,65.83,True,strong,hub,120.0,18.0,138.0,11.0,0.99150517653305,J. Lichtman / Hanspeter Pfister,0.96,16,False
21,work_ee5b7f908c56d881,Functional connectomics spanning multiple areas of mouse visual cortex,2021.0,bioRxiv,Szi-chieh Yu,394,65.67,True,strong,hub,120.0,29.0,149.0,11.0,0.9917706397663923,H. Sebastian Seung / G. Jefferis,0.97,75,True
