work_id,title,year_n,cites,decision,proposed_layer,contextual_sublabel,quality,quality_reason,is_ultra,is_emergent,max_io,in_deg,out_deg,citation_role,graph_status,venue,authors
work_ee57126ff2ea8212,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,2016.0,8324,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,International Conference on Medical Image Computing and Computer-Assisted Intervention,Özgün Çiçek; A. Abdulkadir; S. Lienkamp; T. Brox; O. Ronneberger
work_7519484d8a64bfa5,Computer visualization of three-dimensional image data using IMOD.,1996.0,5611,adjacent_relevant,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,Journal of Structural Biology,J. Kremer; D. Mastronarde; J. Mcintosh
work_b394d6859daf9fc2,BrainNet Viewer: A Network Visualization Tool for Human Brain Connectomics,2013.0,4094,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,PLoS ONE,Mingrui Xia; Jinhui Wang; Yong He
work_186acb8763d28840,The Human Connectome: A Structural Description of the Human Brain,2005.0,3307,adjacent_relevant,contextual,complementary,pass,ok,False,False,,,,no_graph,rescued_no_graph,PLoS Comput. Biol.,O. Sporns; G. Tononi; R. Kötter
work_e88643373ef8c2b8,UpSetR: an R package for the visualization of intersecting sets and their properties,2017.0,3028,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,bioRxiv,J. R. Conway; A. Lex; Nils Gehlenborg
work_9487955aca364a01,A mesoscale connectome of the mouse brain,2014.0,2480,adjacent_relevant,contextual,complementary,pass,ok,False,False,276.0,276.0,8.0,hub,integrated,Nature,S. W. Oh; Julie A. Harris; L. Ng; B. Winslow; Nicholas Cain; Stefan Mihalas; Quanxin Wang; C. Lau; L. Kuan; A. Henry; M. Mortrud; Benjamin Ouellette; T. Nguyen; S. Sorensen; C. Slaughterbeck; Wayne Wakeman; Yang Li; David Feng; Anh Ho; Eric Nicholas; Karla E. Hirokawa; Phillip Bohn; Kevin Joines; Hanchuan Peng; M. Hawrylycz; John W. Phillips; J. Hohmann; Paul E. Wohnoutka; C. Gerfen; C. Koch; Amy Bernard; Chinh Dang; Allan R. Jones; Hongkui Zeng
work_fc8b4c576ab75783,Molecular Architecture of the Mouse Nervous System,2018.0,2368,adjacent_relevant,contextual,complementary,pass,ok,False,False,1.0,1.0,0.0,only_in,integrated,bioRxiv,Amit Zeisel; Hannah Hochgerner; P. Lönnerberg; A. Johnsson; Fatima Memic; J. van der Zwan; Martin Häring; Emelie Braun; Lars E. Borm; Gioele La Manno; Simone Codeluppi; Alessandro Furlan; Kawai Lee; N. Skene; K. Harris; J. Hjerling-Leffler; E. Arenas; P. Ernfors; Ulrika Marklund; S. Linnarsson
work_030d659739b83f09,Community detection in networks: A user guide,2016.0,2082,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,arXiv.org,S. Fortunato; Darko Hric
work_2b7b16a895c2f46c,Statistical mechanics of community detection.,2006.0,2013,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,"Physical review. E, Statistical, nonlinear, and soft matter physics",J. Reichardt; S. Bornholdt
work_d2abedfe2fe8e9a8,The connectomics of brain disorders,2015.0,1632,role_bridge,contextual,translation,pass,ok,False,False,,,,no_graph,rescued_no_graph,Nature Reviews Neuroscience,A. Fornito; A. Zalesky; M. Breakspear
work_fd6353a8d1e9547e,Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,2005.0,1605,adjacent_relevant,contextual,complementary,pass,ok,False,False,17.0,17.0,0.0,only_in,integrated,PLoS Biology,Sen Song; P. J. Sjöström; Markus Reigl; S. Nelson; D. Chklovskii
work_2d5170d4591ffa30,Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain,2007.0,1221,role_bridge,contextual,bridge,pass,ok,False,False,,,,no_graph,rescued_no_graph,Nature Methods,H. Dodt; U. Leischner; A. Schierloh; N. Jährling; C. P. Mauch; K. Deininger; J. Deussing; M. Eder; W. Zieglgänsberger; K. Becker
work_79637f99f0c0390e,NEUROMODULATION OF NEURONAL CIRCUITS: BACK TO THE FUTURE,2012.0,899,adjacent_relevant,contextual,complementary,pass,ok,False,False,16.0,16.0,0.0,only_in,integrated,Neuron,E. Marder
work_8b8134900025d035,Cell biology of astrocyte-synapse interactions,2017.0,869,adjacent_relevant,contextual,complementary,pass,ok,False,False,1.0,1.0,0.0,only_in,integrated,Neuron,N. J. Allen; C. Eroglu
work_31e342d0d3149cd8,Functional specificity of local synaptic connections in neocortical networks,2011.0,868,adjacent_relevant,contextual,complementary,pass,ok,False,False,5.0,5.0,0.0,only_in,integrated,Nature,H. Ko; S. Hofer; Bruno Pichler; K. Buchanan; P. J. Sjöström; T. Mrsic-Flogel
