work_id,title,year_n,cites,decision,proposed_layer,contextual_sublabel,quality,quality_reason,is_ultra,is_emergent,max_io,in_deg,out_deg,citation_role,graph_status,venue,authors
work_452c63f080d3a726,Connectomics: The dense reconstruction of neuronal circuits using volume electron microscopy,2013.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Microscopy and Microanalysis,M. Helmstaedter
work_308f5478abdb4fa4,Two-sample Hypothesis Testing for Random Dot Product Graphs via Adjacency Spectral Embedding,2014.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,,Minh Tang; A. Athreya; D. Sussman; V. Lyzinski; C. Priebe
work_8e8573ac5d1bbfd7,Common Connectome Constraints: From C. elegans and Drosophila to Homo sapiens,2014.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,,Marcus Kaiser
work_740d0cb24a85d1c1,Optimization Algorithms in Reconstructions of Neuron Morphology: An Overview,2019.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,"2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",Chao Liu; Nenggan Zheng; Ting Zhao
work_ba33cffaec20fe30,Dopamine neuron synaptic connectivity defines physiological striatal domains,2020.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,bioRxiv,N. Chuhma; Soo Jung Oh; S. Rayport
work_dbf620e436498336,Mesoscopic architecture enhances communication across the macaque connectome revealing structure-function correspondence in the brain.,2020.0,1,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,Physical Review E,Anand Pathak; Shakti N. Menon; S. Sinha
work_b01bce564ce2e416,X-ray microscopy for neural circuit reconstruction,2009.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,,Haruo Mizutani; Yoshihiro Takeda; Atsushi Momose; Akihisa Takeuchi; Toshihisa Takagi
work_ca8ca78f7057ee3b,Modelling human connectome development: precursors to neural circuits,2011.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,BMC Neuroscience,Sreedevi Varier; Marcus Kaiser
work_6a4062cfbeae56d4,Investigating dynamical properties of the Caenorhabditis elegans connectome through full-network simulations,2013.0,0,core_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,BMC Neuroscience,James Kunert; Eli Shlizerman; J. Kutz
work_f3534e571d79cff0,Self-organization of microcircuits in networks of neurons with plastic synapses,2014.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,,G. Ocker; Ashok Litwin-Kumar; B. Doiron
