work_id,title,year_n,cites,decision,proposed_layer,contextual_sublabel,quality,quality_reason,is_ultra,is_emergent,max_io,in_deg,out_deg,citation_role,graph_status,venue,authors
work_4d7d498bf3d21669,Connecting connectomes,2013.0,4,adjacent_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Neuroinformatics,M. Martone; G. Ascoli
work_a5ffdcdb193e952c,CoCoTools: Open-source Software for Building Connectomes Using the CoCoMac Anatomical Database,2014.0,4,adjacent_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,Journal of Cognitive Neuroscience,R. Blumenfeld; Daniel P. Bliss; Fernando Pérez; M. D’Esposito
work_b7d729a2df85acdd,Commentary: Developmental connectomics to advance our understanding of typical and atypical brain development – Commentary on,2015.0,4,role_bridge,hidden_gem,translation,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Journal of Child Psychology and Psychiatry and Allied Disciplines,A. Graham; D. Fair
work_325cae202b91894a,TrakEM 2 software for neural circuit reconstructions,2016.0,4,adjacent_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,,Albert Cardona; S. Saalfeld; J. Schindelin; Ignacio Arganda-Carreras; S. Preibisch; M. Longair; P. Tomančák; V. Hartenstein; R. Douglas
work_8772a05028b4521d,NeuroNLP: a natural language portal for aggregated fruit fly brain data,2016.0,4,role_bridge,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,bioRxiv,Nikul H. Ukani; A. Tomkins; Chung-Heng Yeh; Wesley Bruning; Allison L. Fenichel; Yiyin Zhou; Yu-Chi Huang; Dorian Florescu; Carlos Luna Ortiz; P. Richmond; C. Lo; D. Coca; A. Chiang; A. Lazar
work_b0604b15b1df15d9,Network Analysis and Visualization of Mouse Retina Connectivity Data,2016.0,4,adjacent_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,PLoS ONE,B. Pailthorpe
work_46bdc3971bd8649f,Electron Microscopy Sample Preparation Protocol Enabling Nano-to-mesoscopic Mapping of Cellular Connectomes and Their Habitats in Human Tissues and Organs.,2019.0,4,core_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Bio-protocol,Lucy Ngo; Anton D. Nathanson; T. Garbowski; U. Knothe; D. Zeidler; M. K. Knothe Tate
work_5068984fac4abafd,DNA sequencing in high-throughput neuroanatomy.,2019.0,4,adjacent_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,1.0,0.0,1.0,only_out,weak_unlinked,Journal of Chemical Neuroanatomy,Justus M. Kebschull
work_aaf9287e58c3106d,A Topological Nomenclature for 3D Shape Analysis in Connectomics,2019.0,4,core_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,1.0,1.0,0.0,only_in,integrated,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),Abhimanyu Talwar; Zudi Lin; D. Wei; Yuesong Wu; Bowen Zheng; Jinglin Zhao; Won-Dong Jang; Xueying Wang; J. Lichtman; H. Pfister
work_e839761dc3958429,Cognitive and non-cognitive outcomes associated with student engagement in a novel brain mapping and connectomics course-based undergraduate research experience,2019.0,4,role_bridge,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,bioRxiv,Christina E. D’Arcy; Anais Martinez; Arshad M. Khan; Jeffrey T. Olimpo
work_82ff9898cca049ee,Persistence of hierarchical network organization and emergent topologies in models of functional connectivity,2020.0,4,adjacent_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Neurocomputing,A. Safari; P. Moretti; I. Díez; J. Cortes; M. A. Muñoz
work_8a6ce05393695c68,Latent Feature Representation via Unsupervised Learning for Pattern Discovery in Massive Electron Microscopy Image Volumes,2020.0,4,role_bridge,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,arXiv.org,Gary B. Huang; Huei-Fang Yang; Shin-ya Takemura; P. Rivlin; Stephen M. Plaza
work_cee2e0b54cf36ce9,Spike distributions of a population based hierarchical network of the rat amygdaloid complex,2011.0,3,adjacent_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,BMC Neuroscience,O. Schmitt; Peter Eipert; A. Wree; K. Schmitz
work_fbb0bef8a2519be4,An open architecture for the massively parallel emulation of the Drosophila brain on multiple GPUs,2012.0,3,adjacent_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,BMC Neuroscience,Lev E. Givon; A. Lazar
work_c359e0f8d709c787,What Properties are Desirable from an Electron Microscopy Segmentation Algorithm,2015.0,3,role_bridge,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,arXiv.org,T. Parag
work_1658132c7599e2bd,Nano-Resolution Connectomics Using Large-Volume Electron Microscopy,2016.0,3,core_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,0.0,0.0,0.0,isolate,weak_unlinked,,Gyu Hyun Kim; Jawon Gim; Kea-Joo Lee
work_209d8965d2e80500,NeuroGFX: a graphical functional explorer for fruit fly brain circuits,2016.0,3,core_relevant,hidden_gem,bridge,hidden_gem,old_cite_band_2_to_4,False,False,,,,no_graph,no_graph,bioRxiv,Chung-Heng Yeh; Yiyin Zhou; Nikul H. Ukani; A. Lazar
work_e582425de06520de,Exclusive functional subnetworks of intracortical projections neurons in primary visual cortex,2017.0,3,adjacent_relevant,hidden_gem,complementary,hidden_gem,old_cite_band_2_to_4,False,False,1.0,0.0,1.0,only_out,weak_unlinked,bioRxiv,Mean-Hwan Kim; Petr Znamenskiy; M. Iacaruso; T. Mrsic-Flogel
