person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:j lichtman,J. Lichtman,75,3,21,51,55,14,6,6,full
person:hanspeter pfister,Hanspeter Pfister,55,1,22,32,44,7,4,3,full
person:h sebastian seung,H. Sebastian Seung,46,3,15,28,40,5,1,9,full
person:g jefferis,G. Jefferis,41,0,15,27,32,7,2,5,full
person:albert cardona,Albert Cardona,38,2,9,28,32,5,1,6,full
person:kea joo lee,Kea-Joo Lee,38,3,3,34,35,3,0,5,full
person:sven dorkenwald,Sven Dorkenwald,37,5,0,32,35,2,0,6,full
person:philipp schlegel,Philipp Schlegel,34,5,0,29,30,3,1,4,full
person:stephen plaza,Stephen M. Plaza,31,6,10,15,29,1,1,3,full
person:marta costa,Marta Costa,30,0,1,29,24,4,2,4,full
person:donglai wei,Donglai Wei,29,1,8,20,22,4,3,2,full
person:viren jain,Viren Jain,29,2,6,21,23,4,2,5,full
person:jingpeng wu,Jingpeng Wu,29,2,2,26,27,1,1,4,full
person:szi chieh yu,Szi-chieh Yu,29,2,1,30,27,2,0,4,full
person:rongwen lu,Rongwen Lu,29,2,0,27,28,1,0,4,full
person:j vogelstein,J. Vogelstein,28,4,7,17,10,14,4,2,full
person:louis scheffer,Louis K. Scheffer,28,6,4,18,24,4,0,4,full
person:chuanyun xu,Chuanyun Xu,28,5,1,22,16,11,1,3,full
person:r schalek,R. Schalek,28,1,0,27,22,5,1,4,full
person:r clay reid,R. Clay Reid,27,1,6,20,18,8,1,4,full
person:xiaoyin chen,Xiaoyin Chen,27,1,4,22,19,6,2,0,full
person:f collman,F. Collman,27,0,4,23,25,2,0,5,full
person:y meirovitch,Y. Meirovitch,26,5,5,16,22,3,1,1,full
person:cm schneider mizell,CM Schneider-Mizell,26,4,1,21,26,0,0,5,full
person:micha januszewski,Michał Januszewski,26,4,0,22,26,0,0,4,full
person:xiao jing wang,Xiao-jing Wang,25,7,6,13,7,15,3,0,full
person:k eichler,K. Eichler,25,2,2,22,23,2,0,3,full
person:yonggang wang,Yonggang Wang,25,6,0,20,9,11,5,1,full
person:m helmstaedter,M. Helmstaedter,24,7,12,5,16,8,0,6,full
person:narayan kasthuri,Narayan Kasthuri,24,1,5,18,16,6,2,1,full
person:a bates,A. S. Bates,24,5,0,20,19,4,1,4,full
person:t macrina,T. Macrina,24,1,0,23,24,0,0,4,full
person:n kemnitz,N. Kemnitz,24,0,0,24,23,0,1,4,full
person:c priebe,C. Priebe,23,3,10,10,6,15,2,2,full
person:g rubin,G. Rubin,23,0,5,18,20,3,0,5,full
person:yuanyuan li,Yuanyuan Li,23,6,0,17,9,11,3,0,full
person:yunming wu,Yunming Wu,23,1,0,22,17,4,2,3,full
person:oliver hobert,Oliver Hobert,22,0,16,6,5,17,0,1,full
person:harald hess,Harald F. Hess,22,0,9,13,18,3,1,3,full
person:brock andrew wester,Brock Andrew Wester,22,0,6,16,15,1,6,0,full
person:jan funke,Jan Funke,22,2,5,15,18,4,0,4,full
person:mark ellisman,Mark Ellisman,22,0,4,19,15,3,4,0,full
person:aljoscha nern,Aljoscha Nern,22,1,0,21,16,6,0,3,full
person:j bae,J. Bae,22,0,0,22,21,0,1,3,full
person:hongqing han,Hongqing Han,21,0,14,7,14,6,1,0,full
person:william gray roncal,William R. Gray-Roncal,21,3,10,8,13,3,5,1,full
person:junkyung kim,Junkyung Kim,21,5,9,8,4,16,1,2,full
person:s saalfeld,S. Saalfeld,21,2,4,15,17,3,1,5,full
person:jordan matelsky,Jordan K. Matelsky,21,7,0,14,14,1,6,0,full
person:shin ya takemura,Shin-ya Takemura,21,5,0,23,17,3,1,5,full
person:c jordan,C. Jordan,21,0,0,21,21,0,0,4,full
person:bryan william jones,Bryan William Jones,20,1,5,14,14,6,0,0,full
person:james anderson,James R. Anderson,20,3,1,16,15,5,0,0,full
person:fu ning li,Fu-Ning Li,20,2,0,18,19,0,1,7,full
person:w silversmith,W. Silversmith,20,0,0,20,19,0,1,4,full
person:a sterling,A. Sterling,20,0,0,20,19,1,0,3,full
person:d chklovskii,D. Chklovskii,19,1,13,5,10,9,0,4,full
person:yu xian zhang,Yu-Xian Zhang,19,2,1,17,10,6,3,0,full
person:zhi hang lin,Zhi-Hang Lin,19,5,0,14,12,6,1,2,full
person:s popovych,S. Popovych,19,1,0,18,19,0,0,4,full
person:d brittain,D. Brittain,19,0,0,19,19,0,0,5,full
person:akhilesh halageri,Akhilesh Halageri,19,0,0,19,19,0,0,4,full
person:m murthy,M. Murthy,18,0,6,12,16,1,1,3,full
person:d bock,D. Bock,18,1,4,13,14,3,1,4,full
person:w lee,W. Lee,18,1,4,13,14,4,0,4,full
person:arie matsliah,Arie Matsliah,18,1,2,15,17,1,0,2,full
person:zhiyuan lu,Zhiyuan Lu,18,2,0,18,18,0,0,5,full
person:r fetter,R. D. Fetter,18,0,0,18,18,0,0,6,full
person:d bumbarger,D. Bumbarger,18,0,0,18,17,1,0,2,full
person:marta zlatic,Marta Zlatic,17,0,9,9,15,2,0,2,full
person:i meinertzhagen,I. Meinertzhagen,17,3,8,8,11,5,1,3,full
person:n da costa,N. D. da Costa,17,0,6,11,17,0,0,2,full
person:s berg,S. Berg,17,1,4,12,17,0,0,2,full
person:tengda zhao,Tengda Zhao,17,4,1,12,12,4,1,4,full
person:yi shiuan liu,Yi-Shiuan Liu,17,4,0,13,3,11,3,1,full
person:n turner,N. Turner,17,1,0,16,17,0,0,1,full
person:m castro,M. C. Castro,17,0,0,17,17,0,0,4,full
person:n shavit,N. Shavit,16,1,10,5,13,3,0,1,full
person:yuh tarng chen,Yuh-tarng Chen,16,1,2,14,6,7,3,0,full
person:p rivlin,P. Rivlin,16,0,1,15,13,0,3,3,full
person:j buchanan,J. Buchanan,16,2,0,14,15,1,0,1,full
person:r torres,R. Torres,16,1,0,15,16,0,0,2,full
person:wenjie yin,Wenjie Yin,16,1,0,15,14,0,2,2,full
person:shang mu,Shang Mu,16,0,0,16,15,1,0,4,full
person:zhi ming jia,Zhi-Ming Jia,16,0,0,16,15,1,0,4,full
person:marc takeno,Marc M. Takeno,16,0,0,16,16,0,0,1,full
person:john tuthill,John C. Tuthill,15,0,8,7,13,2,0,1,full
person:r marc,R. E. Marc,15,4,5,6,11,4,0,0,full
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,full
person:hongkui zeng,Hongkui Zeng,15,1,4,10,5,10,0,0,full
person:ashok litwin kumar,Ashok Litwin-Kumar,15,2,3,10,11,4,0,2,full
person:d berger,D. Berger,15,1,0,14,14,0,1,5,full
person:barak nehoran,Barak Nehoran,15,0,0,15,15,0,0,4,full
person:eric mitchell,Eric Mitchell,15,0,0,15,15,0,0,4,full
person:a bodor,A. Bodor,15,0,0,15,15,0,0,1,full
person:km harris,KM Harris,14,1,7,6,6,4,4,3,full
person:g card,G. Card,14,0,5,9,10,3,1,0,full
person:xiao ming li,Xiao-Ming Li,14,0,3,11,2,10,2,0,full
person:jiazheng liu,Jiazheng Liu,14,3,2,11,10,3,1,0,full
person:peter li,Peter H. Li,14,0,1,13,12,2,0,4,full
person:aravinthan samuel,Aravinthan D. T. Samuel,14,0,1,13,9,4,1,2,full
person:steven cook,Steven J. Cook,14,4,0,10,9,5,0,1,full
person:l elabbady,L. Elabbady,14,3,0,11,14,0,0,1,full
person:kenneth hayworth,Kenneth Hayworth,14,2,0,12,14,0,0,3,full
person:g mahalingam,G. Mahalingam,14,2,0,12,14,0,0,1,full
person:claire mckellar,Claire E. McKellar,14,0,0,14,12,2,0,3,full
person:kai li,Kai Li,14,0,0,14,14,0,0,1,full
person:gaspar jekely,Gáspár Jékely,13,0,12,1,11,2,0,0,full
person:k briggman,K. Briggman,13,3,4,6,9,4,0,4,full
person:scott emmons,Scott W. Emmons,13,6,2,5,10,3,0,1,full
person:v lyzinski,V. Lyzinski,13,2,2,9,2,9,2,0,full
person:johanna beyer,Johanna Beyer,13,4,1,8,8,2,3,0,full
person:gary huang,Gary B. Huang,13,4,0,9,11,0,2,2,full
person:dodam ih,Dodam Ih,13,0,0,13,13,0,0,3,full
person:d kapner,D. Kapner,13,0,0,13,13,0,0,2,full
person:srinivas turaga,Srinivas C. Turaga,12,0,7,5,8,4,0,4,full
person:t tasdizen,T. Tasdizen,12,0,7,6,10,1,1,1,full
person:olaf sporns,Olaf Sporns,12,6,3,3,2,9,1,1,full
person:a tolias,A. S. Tolias,12,0,3,9,9,3,0,1,full
person:w katz,W. M. Katz,12,1,1,10,12,0,0,3,full
person:e marin,E. Marin,12,2,0,10,11,1,0,1,full
person:c sigulinsky,C. Sigulinsky,12,2,0,10,7,5,0,0,full
person:jim truman,Jim Truman,12,0,0,12,11,1,0,2,full
person:a champion,A. Champion,12,0,0,12,10,2,0,2,full
