person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:hanspeter pfister,Hanspeter Pfister,55,1,22,32,44,7,4,3,full
person:j lichtman,J. Lichtman,75,3,21,51,55,14,6,6,full
person:oliver hobert,Oliver Hobert,22,0,16,6,5,17,0,1,full
person:h sebastian seung,H. Sebastian Seung,46,3,15,28,40,5,1,9,full
person:g jefferis,G. Jefferis,41,0,15,27,32,7,2,5,full
person:hongqing han,Hongqing Han,21,0,14,7,14,6,1,0,full
person:d chklovskii,D. Chklovskii,19,1,13,5,10,9,0,4,full
person:m helmstaedter,M. Helmstaedter,24,7,12,5,16,8,0,6,full
person:gaspar jekely,Gáspár Jékely,13,0,12,1,11,2,0,0,full
person:stephen plaza,Stephen M. Plaza,31,6,10,15,29,1,1,3,full
person:c priebe,C. Priebe,23,3,10,10,6,15,2,2,full
person:william gray roncal,William R. Gray-Roncal,21,3,10,8,13,3,5,1,full
person:n shavit,N. Shavit,16,1,10,5,13,3,0,1,full
person:albert cardona,Albert Cardona,38,2,9,28,32,5,1,6,full
person:harald hess,Harald F. Hess,22,0,9,13,18,3,1,3,full
person:junkyung kim,Junkyung Kim,21,5,9,8,4,16,1,2,full
person:marta zlatic,Marta Zlatic,17,0,9,9,15,2,0,2,full
person:eli shlizerman,Eli Shlizerman,10,0,9,1,2,8,0,0,full
person:donglai wei,Donglai Wei,29,1,8,20,22,4,3,2,full
person:i meinertzhagen,I. Meinertzhagen,17,3,8,8,11,5,1,3,full
person:john tuthill,John C. Tuthill,15,0,8,7,13,2,0,1,full
person:r friedrich,R. Friedrich,11,2,8,1,6,5,0,0,full
person:j vogelstein,J. Vogelstein,28,4,7,17,10,14,4,2,full
person:km harris,KM Harris,14,1,7,6,6,4,4,3,full
person:srinivas turaga,Srinivas C. Turaga,12,0,7,5,8,4,0,4,full
person:t tasdizen,T. Tasdizen,12,0,7,6,10,1,1,1,full
person:wr schafer,WR Schafer,11,1,7,3,4,7,0,2,full
person:g ascoli,G. Ascoli,8,0,7,1,2,6,0,0,full
person:k broadie,K. Broadie,7,0,7,0,0,7,0,0,full
person:viren jain,Viren Jain,29,2,6,21,23,4,2,5,full
person:r clay reid,R. Clay Reid,27,1,6,20,18,8,1,4,full
person:xiao jing wang,Xiao-jing Wang,25,7,6,13,7,15,3,0,full
person:brock andrew wester,Brock Andrew Wester,22,0,6,16,15,1,6,0,full
person:m murthy,M. Murthy,18,0,6,12,16,1,1,3,full
person:n da costa,N. D. da Costa,17,0,6,11,17,0,0,2,full
person:e bullmore,E. Bullmore,8,0,6,2,3,5,0,3,full
person:d dacey,D. Dacey,7,0,6,1,7,0,0,0,full
person:jaeseung jeong,Jaeseung Jeong,6,0,6,0,5,1,0,0,full
person:y meirovitch,Y. Meirovitch,26,5,5,16,22,3,1,1,full
person:narayan kasthuri,Narayan Kasthuri,24,1,5,18,16,6,2,1,full
person:g rubin,G. Rubin,23,0,5,18,20,3,0,5,full
person:jan funke,Jan Funke,22,2,5,15,18,4,0,4,full
person:bryan william jones,Bryan William Jones,20,1,5,14,14,6,0,0,full
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,full
person:r marc,R. E. Marc,15,4,5,6,11,4,0,0,full
person:g card,G. Card,14,0,5,9,10,3,1,0,full
person:ann shyn chiang,Ann-Shyn Chiang,11,0,5,6,0,10,1,0,full
person:b misic,B. Mišić,10,0,5,5,3,5,2,0,full
person:kristin scott,Kristin Scott,6,0,5,1,6,0,0,1,full
person:a dacks,A. Dacks,5,0,5,0,4,1,0,0,full
person:albert laszlo barabasi,Albert-László Barabási,5,0,5,0,2,3,0,0,full
person:louis scheffer,Louis K. Scheffer,28,6,4,18,24,4,0,4,full
person:f collman,F. Collman,27,0,4,23,25,2,0,5,full
person:xiaoyin chen,Xiaoyin Chen,27,1,4,22,19,6,2,0,full
person:mark ellisman,Mark Ellisman,22,0,4,19,15,3,4,0,full
person:s saalfeld,S. Saalfeld,21,2,4,15,17,3,1,5,full
person:d bock,D. Bock,18,1,4,13,14,3,1,4,full
person:w lee,W. Lee,18,1,4,13,14,4,0,4,full
person:s berg,S. Berg,17,1,4,12,17,0,0,2,full
person:hongkui zeng,Hongkui Zeng,15,1,4,10,5,10,0,0,full
person:k briggman,K. Briggman,13,3,4,6,9,4,0,4,full
person:jinseop kim,Jinseop S. Kim,11,2,4,5,8,3,0,2,full
person:hanchuan peng,Hanchuan Peng,11,2,4,5,4,6,1,1,full
person:ed boyden,Ed Boyden,10,0,4,6,4,3,3,0,full
person:michael reimann,Michael W. Reimann,9,5,4,0,1,8,0,0,full
person:henry markram,Henry Markram,9,0,4,5,0,9,0,0,full
person:m van den heuvel,M. P. van den heuvel,8,3,4,1,1,7,0,1,full
person:won ki jeong,Won-Ki Jeong,8,2,4,2,7,0,1,1,full
person:s zipursky,S. Zipursky,7,0,4,3,3,4,0,0,full
person:s sorensen,S. Sorensen,7,0,4,3,2,5,0,0,full
person:a merchan perez,Á. Merchán-Pérez,6,0,4,2,4,2,0,0,full
person:yu ying zhou,Yu-ying Zhou,6,0,4,2,2,1,3,0,full
person:elad schneidman,Elad Schneidman,6,0,4,2,1,5,0,0,full
person:ashish raj,Ashish Raj,6,0,4,2,0,6,0,0,full
person:c doe,C. Doe,5,0,4,1,4,1,0,0,full
person:d bassett,D. Bassett,5,0,4,1,2,2,1,0,full
person:i fiete,I. Fiete,5,0,4,1,1,4,0,0,full
person:m diesmann,M. Diesmann,5,0,4,1,0,2,3,0,full
person:m pankratz,M. Pankratz,4,0,4,0,4,0,0,0,full
person:bo du,Bo Du,4,0,4,0,3,0,1,0,full
person:satchidananda panda,Satchidananda Panda,4,0,4,1,3,0,1,0,full
person:gianluca lazzi,Gianluca Lazzi,4,0,4,0,2,2,0,0,full
person:p tiesinga,P. Tiesinga,4,0,4,0,0,4,0,0,full
person:t margrie,T. Margrie,4,0,4,0,0,4,0,0,full
person:kea joo lee,Kea-Joo Lee,38,3,3,34,35,3,0,5,full
person:ashok litwin kumar,Ashok Litwin-Kumar,15,2,3,10,11,4,0,2,full
person:xiao ming li,Xiao-Ming Li,14,0,3,11,2,10,2,0,full
person:olaf sporns,Olaf Sporns,12,6,3,3,2,9,1,1,full
person:a tolias,A. S. Tolias,12,0,3,9,9,3,0,1,full
person:joergen kornfeld,Joergen Kornfeld,10,2,3,5,10,0,0,1,full
person:hesheng liu,Hesheng Liu,10,3,3,4,3,6,1,0,full
person:markus hadwiger,Markus Hadwiger,10,1,3,6,7,1,2,0,full
person:zhiwei xiong,Zhiwei Xiong,9,0,3,6,5,3,1,0,full
person:michael reiser,Michael B. Reiser,8,0,3,5,8,0,0,2,full
person:alexander borst,Alexander Borst,8,4,3,1,6,2,0,1,full
person:b gerber,B. Gerber,8,0,3,5,3,3,2,1,full
