person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:j lichtman,J. Lichtman,62,1,16,45,46,11,5,4,graph_matched
person:hanspeter pfister,Hanspeter Pfister,43,0,17,26,37,5,1,2,graph_matched
person:g jefferis,G. Jefferis,40,0,14,27,31,7,2,4,graph_matched
person:h sebastian seung,H. Sebastian Seung,37,3,10,24,32,5,0,3,graph_matched
person:kea joo lee,Kea-Joo Lee,36,3,3,32,33,3,0,3,graph_matched
person:albert cardona,Albert Cardona,35,2,9,25,31,4,0,5,graph_matched
person:sven dorkenwald,Sven Dorkenwald,35,4,0,31,33,2,0,5,graph_matched
person:philipp schlegel,Philipp Schlegel,33,4,0,29,29,3,1,3,graph_matched
person:stephen plaza,Stephen M. Plaza,30,6,9,15,29,1,0,3,graph_matched
person:marta costa,Marta Costa,29,0,1,28,23,4,2,3,graph_matched
person:louis scheffer,Louis K. Scheffer,28,6,4,18,24,4,0,4,graph_matched
person:szi chieh yu,Szi-chieh Yu,28,2,1,27,26,2,0,3,graph_matched
person:rongwen lu,Rongwen Lu,27,1,0,26,26,1,0,3,graph_matched
person:jingpeng wu,Jingpeng Wu,26,2,2,23,26,0,0,3,graph_matched
person:donglai wei,Donglai Wei,25,1,6,18,21,3,1,2,graph_matched
person:r clay reid,R. Clay Reid,25,0,5,20,18,6,1,4,graph_matched
person:f collman,F. Collman,25,0,4,21,23,2,0,4,graph_matched
person:viren jain,Viren Jain,24,2,4,18,18,4,2,3,graph_matched
person:k eichler,K. Eichler,24,2,2,21,22,2,0,2,graph_matched
person:cm schneider mizell,CM Schneider-Mizell,24,4,1,19,24,0,0,4,graph_matched
person:r schalek,R. Schalek,24,1,0,23,19,5,0,3,graph_matched
person:y meirovitch,Y. Meirovitch,23,5,4,14,20,3,0,1,graph_matched
person:a bates,A. S. Bates,23,5,0,18,18,4,1,3,graph_matched
person:micha januszewski,Michał Januszewski,23,3,0,20,23,0,0,3,graph_matched
