person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:hanspeter pfister,Hanspeter Pfister,43,0,17,26,37,5,1,2,graph_matched
person:j lichtman,J. Lichtman,62,1,16,45,46,11,5,4,graph_matched
person:oliver hobert,Oliver Hobert,21,0,15,6,5,16,0,1,graph_matched
person:g jefferis,G. Jefferis,40,0,14,27,31,7,2,4,graph_matched
person:hongqing han,Hongqing Han,16,0,13,3,11,4,1,0,graph_matched
person:d chklovskii,D. Chklovskii,18,1,12,5,9,9,0,4,graph_matched
person:gaspar jekely,Gáspár Jékely,13,0,12,1,11,2,0,0,graph_matched
person:h sebastian seung,H. Sebastian Seung,37,3,10,24,32,5,0,3,graph_matched
person:william gray roncal,William R. Gray-Roncal,19,3,10,6,12,2,5,0,graph_matched
person:m helmstaedter,M. Helmstaedter,17,3,10,4,11,6,0,3,graph_matched
person:n shavit,N. Shavit,16,1,10,5,13,3,0,1,graph_matched
person:albert cardona,Albert Cardona,35,2,9,25,31,4,0,5,graph_matched
person:stephen plaza,Stephen M. Plaza,30,6,9,15,29,1,0,3,graph_matched
person:marta zlatic,Marta Zlatic,17,0,9,9,15,2,0,2,graph_matched
person:harald hess,Harald F. Hess,20,0,8,12,18,2,0,3,graph_matched
person:i meinertzhagen,I. Meinertzhagen,17,3,8,8,11,5,1,3,graph_matched
person:junkyung kim,Junkyung Kim,16,4,8,5,3,13,0,1,graph_matched
person:john tuthill,John C. Tuthill,15,0,8,7,13,2,0,1,graph_matched
person:r friedrich,R. Friedrich,10,1,8,1,6,4,0,0,graph_matched
person:wr schafer,WR Schafer,11,1,7,3,4,7,0,2,graph_matched
person:t tasdizen,T. Tasdizen,10,0,7,4,9,1,0,0,graph_matched
person:srinivas turaga,Srinivas C. Turaga,8,0,7,1,5,3,0,1,graph_matched
person:k broadie,K. Broadie,7,0,7,0,0,7,0,0,graph_matched
person:donglai wei,Donglai Wei,25,1,6,18,21,3,1,2,graph_matched
person:brock andrew wester,Brock Andrew Wester,22,0,6,16,15,1,6,0,graph_matched
person:n da costa,N. D. da Costa,15,0,6,9,15,0,0,2,graph_matched
person:d dacey,D. Dacey,7,0,6,1,7,0,0,0,graph_matched
person:r clay reid,R. Clay Reid,25,0,5,20,18,6,1,4,graph_matched
person:g rubin,G. Rubin,22,0,5,17,19,3,0,5,graph_matched
person:bryan william jones,Bryan William Jones,18,1,5,12,14,4,0,0,graph_matched
person:narayan kasthuri,Narayan Kasthuri,18,0,5,13,12,5,1,0,graph_matched
person:m murthy,M. Murthy,16,0,5,11,15,1,0,2,graph_matched
person:r marc,R. E. Marc,13,3,5,5,11,2,0,0,graph_matched
person:km harris,KM Harris,10,1,5,4,6,4,0,3,graph_matched
person:g ascoli,G. Ascoli,6,0,5,1,2,4,0,0,graph_matched
person:kristin scott,Kristin Scott,5,0,5,0,5,0,0,0,graph_matched
person:a dacks,A. Dacks,5,0,5,0,4,1,0,0,graph_matched
person:jaeseung jeong,Jaeseung Jeong,5,0,5,0,4,1,0,0,graph_matched
person:albert laszlo barabasi,Albert-László Barabási,5,0,5,0,2,3,0,0,graph_matched
person:louis scheffer,Louis K. Scheffer,28,6,4,18,24,4,0,4,graph_matched
person:f collman,F. Collman,25,0,4,21,23,2,0,4,graph_matched
person:viren jain,Viren Jain,24,2,4,18,18,4,2,3,graph_matched
person:y meirovitch,Y. Meirovitch,23,5,4,14,20,3,0,1,graph_matched
person:s saalfeld,S. Saalfeld,18,1,4,13,16,2,0,5,graph_matched
person:jan funke,Jan Funke,18,2,4,12,17,1,0,3,graph_matched
person:s berg,S. Berg,17,1,4,12,17,0,0,2,graph_matched
person:w lee,W. Lee,16,1,4,11,13,3,0,3,graph_matched
person:d bock,D. Bock,16,1,4,11,12,3,1,3,graph_matched
person:k briggman,K. Briggman,10,2,4,4,6,4,0,1,graph_matched
person:michael reimann,Michael W. Reimann,9,5,4,0,1,8,0,0,graph_matched
person:b misic,B. Mišić,8,0,4,4,3,4,1,0,graph_matched
person:s zipursky,S. Zipursky,7,0,4,3,3,4,0,0,graph_matched
person:ashish raj,Ashish Raj,6,0,4,2,0,6,0,0,graph_matched
person:e bullmore,E. Bullmore,5,0,4,1,2,3,0,2,graph_matched
person:won ki jeong,Won-Ki Jeong,5,0,4,1,5,0,0,1,graph_matched
person:c doe,C. Doe,5,0,4,1,4,1,0,0,graph_matched
person:i fiete,I. Fiete,5,0,4,1,1,4,0,0,graph_matched
person:m pankratz,M. Pankratz,4,0,4,0,4,0,0,0,graph_matched
person:gianluca lazzi,Gianluca Lazzi,4,0,4,0,2,2,0,0,graph_matched
person:elad schneidman,Elad Schneidman,4,0,4,0,1,3,0,0,graph_matched
person:t margrie,T. Margrie,4,0,4,0,0,4,0,0,graph_matched
person:kea joo lee,Kea-Joo Lee,36,3,3,32,33,3,0,3,graph_matched
person:xiaoyin chen,Xiaoyin Chen,20,1,3,16,16,4,0,0,graph_matched
person:ashok litwin kumar,Ashok Litwin-Kumar,15,2,3,10,11,4,0,2,graph_matched
person:a tolias,A. S. Tolias,12,0,3,9,9,3,0,1,graph_matched
person:g card,G. Card,12,0,3,9,9,3,0,0,graph_matched
person:joergen kornfeld,Joergen Kornfeld,9,2,3,4,9,0,0,0,graph_matched
person:hanchuan peng,Hanchuan Peng,8,0,3,5,3,5,0,1,graph_matched
person:jinseop kim,Jinseop S. Kim,8,1,3,4,6,2,0,0,graph_matched
person:hongkui zeng,Hongkui Zeng,8,1,3,4,3,5,0,0,graph_matched
person:v jayaraman,V. Jayaraman,7,0,3,4,6,1,0,2,graph_matched
person:b gerber,B. Gerber,7,0,3,4,3,3,1,1,graph_matched
person:alexander borst,Alexander Borst,7,4,3,0,5,2,0,0,graph_matched
person:henry markram,Henry Markram,7,0,3,4,0,7,0,0,graph_matched
person:michael reiser,Michael B. Reiser,6,0,3,3,6,0,0,1,graph_matched
person:tao fang,Tao Fang,6,0,3,3,3,3,0,0,graph_matched
person:u grunert,U. Grünert,6,0,3,3,3,3,0,0,graph_matched
person:ann shyn chiang,Ann-Shyn Chiang,6,0,3,3,0,6,0,0,graph_matched
person:a stepanyants,A. Stepanyants,5,2,3,0,1,4,0,0,graph_matched
person:andrew mckenzie,Andrew T. McKenzie,5,2,3,0,0,4,1,0,graph_matched
