person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:j lichtman,J. Lichtman,62,3,16,43,45,13,4,6,integrated_plus_rescue
person:hanspeter pfister,Hanspeter Pfister,48,0,21,27,41,5,2,3,integrated_plus_rescue
person:h sebastian seung,H. Sebastian Seung,42,3,13,26,38,4,0,9,integrated_plus_rescue
person:g jefferis,G. Jefferis,40,0,15,26,31,7,2,5,integrated_plus_rescue
person:philipp schlegel,Philipp Schlegel,34,5,0,29,30,3,1,4,integrated_plus_rescue
person:sven dorkenwald,Sven Dorkenwald,34,4,0,30,33,1,0,6,integrated_plus_rescue
person:albert cardona,Albert Cardona,33,1,9,24,30,2,1,6,integrated_plus_rescue
person:kea joo lee,Kea-Joo Lee,32,3,1,28,30,2,0,5,integrated_plus_rescue
person:marta costa,Marta Costa,30,0,1,29,24,4,2,4,integrated_plus_rescue
person:stephen plaza,Stephen M. Plaza,29,6,9,14,28,1,0,3,integrated_plus_rescue
person:szi chieh yu,Szi-chieh Yu,28,2,1,29,26,2,0,4,integrated_plus_rescue
person:louis scheffer,Louis K. Scheffer,27,5,4,18,23,4,0,4,integrated_plus_rescue
person:rongwen lu,Rongwen Lu,27,1,0,26,26,1,0,4,integrated_plus_rescue
person:jingpeng wu,Jingpeng Wu,26,2,2,22,26,0,0,4,integrated_plus_rescue
person:viren jain,Viren Jain,24,1,5,18,19,4,1,5,integrated_plus_rescue
person:f collman,F. Collman,24,0,4,20,23,1,0,5,integrated_plus_rescue
person:k eichler,K. Eichler,24,2,2,21,22,2,0,3,integrated_plus_rescue
person:cm schneider mizell,CM Schneider-Mizell,24,4,1,19,24,0,0,5,integrated_plus_rescue
person:donglai wei,Donglai Wei,23,1,4,18,19,3,1,2,integrated_plus_rescue
person:r clay reid,R. Clay Reid,23,0,4,19,17,5,1,4,integrated_plus_rescue
person:a bates,A. S. Bates,23,4,0,20,18,4,1,4,integrated_plus_rescue
person:g rubin,G. Rubin,22,0,4,18,19,3,0,5,integrated_plus_rescue
person:micha januszewski,Michał Januszewski,22,4,0,18,22,0,0,4,integrated_plus_rescue
person:t macrina,T. Macrina,22,1,0,21,22,0,0,4,integrated_plus_rescue
person:m helmstaedter,M. Helmstaedter,21,5,11,5,15,6,0,6,integrated_plus_rescue
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,integrated_plus_rescue
person:y meirovitch,Y. Meirovitch,21,4,4,13,18,3,0,1,integrated_plus_rescue
person:c jordan,C. Jordan,21,0,0,21,21,0,0,4,integrated_plus_rescue
person:n kemnitz,N. Kemnitz,21,0,0,21,21,0,0,4,integrated_plus_rescue
person:r schalek,R. Schalek,21,0,0,21,16,5,0,4,integrated_plus_rescue
person:fu ning li,Fu-Ning Li,20,2,0,18,19,0,1,7,integrated_plus_rescue
person:aljoscha nern,Aljoscha Nern,20,1,0,19,15,5,0,3,integrated_plus_rescue
person:william gray roncal,William R. Gray-Roncal,19,3,10,6,12,2,5,1,integrated_plus_rescue
person:narayan kasthuri,Narayan Kasthuri,19,1,5,13,13,5,1,1,integrated_plus_rescue
person:james anderson,James R. Anderson,19,3,1,15,15,4,0,0,integrated_plus_rescue
person:jordan matelsky,Jordan K. Matelsky,19,6,0,13,13,1,5,0,integrated_plus_rescue
person:shin ya takemura,Shin-ya Takemura,19,4,0,22,17,2,0,5,integrated_plus_rescue
person:w silversmith,W. Silversmith,19,0,0,19,19,0,0,4,integrated_plus_rescue
person:j bae,J. Bae,19,0,0,19,19,0,0,3,integrated_plus_rescue
person:a sterling,A. Sterling,19,0,0,19,18,1,0,3,integrated_plus_rescue
person:s saalfeld,S. Saalfeld,18,2,4,12,16,1,1,5,integrated_plus_rescue
person:d bock,D. Bock,18,1,4,13,14,3,1,4,integrated_plus_rescue
person:r fetter,R. D. Fetter,18,0,0,18,18,0,0,6,integrated_plus_rescue
person:d brittain,D. Brittain,18,0,0,18,18,0,0,5,integrated_plus_rescue
person:akhilesh halageri,Akhilesh Halageri,18,0,0,18,18,0,0,4,integrated_plus_rescue
person:harald hess,Harald F. Hess,17,0,7,10,15,1,1,3,integrated_plus_rescue
person:bryan william jones,Bryan William Jones,17,0,5,12,13,4,0,0,integrated_plus_rescue
person:jan funke,Jan Funke,17,2,3,12,17,0,0,4,integrated_plus_rescue
person:yunming wu,Yunming Wu,17,1,0,16,13,4,0,3,integrated_plus_rescue
person:n turner,N. Turner,17,1,0,16,17,0,0,1,integrated_plus_rescue
person:s popovych,S. Popovych,17,0,0,17,17,0,0,4,integrated_plus_rescue
person:oliver hobert,Oliver Hobert,16,0,10,6,5,11,0,1,integrated_plus_rescue
person:m murthy,M. Murthy,16,0,5,11,15,1,0,3,integrated_plus_rescue
person:s berg,S. Berg,16,1,4,11,16,0,0,2,integrated_plus_rescue
person:chuanyun xu,Chuanyun Xu,16,1,1,14,12,3,1,3,integrated_plus_rescue
person:arie matsliah,Arie Matsliah,16,1,1,14,15,1,0,2,integrated_plus_rescue
person:m castro,M. C. Castro,16,0,0,16,16,0,0,4,integrated_plus_rescue
person:d bumbarger,D. Bumbarger,16,0,0,16,15,1,0,2,integrated_plus_rescue
person:d chklovskii,D. Chklovskii,15,1,9,5,10,5,0,4,integrated_plus_rescue
person:i meinertzhagen,I. Meinertzhagen,15,3,7,7,10,4,1,3,integrated_plus_rescue
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,integrated_plus_rescue
person:zhiyuan lu,Zhiyuan Lu,15,1,0,16,15,0,0,5,integrated_plus_rescue
person:r torres,R. Torres,15,1,0,14,15,0,0,2,integrated_plus_rescue
person:n shavit,N. Shavit,14,0,9,5,12,2,0,1,integrated_plus_rescue
person:john tuthill,John C. Tuthill,14,0,8,6,12,2,0,1,integrated_plus_rescue
person:marta zlatic,Marta Zlatic,14,0,6,9,13,1,0,2,integrated_plus_rescue
person:ashok litwin kumar,Ashok Litwin-Kumar,14,2,3,9,11,3,0,2,integrated_plus_rescue
person:j vogelstein,J. Vogelstein,14,2,2,10,8,4,2,2,integrated_plus_rescue
person:p rivlin,P. Rivlin,14,0,1,13,12,0,2,3,integrated_plus_rescue
person:tengda zhao,Tengda Zhao,14,4,0,10,12,1,1,4,integrated_plus_rescue
person:zhi hang lin,Zhi-Hang Lin,14,4,0,10,10,4,0,2,integrated_plus_rescue
person:l elabbady,L. Elabbady,14,3,0,11,14,0,0,1,integrated_plus_rescue
person:d berger,D. Berger,14,1,0,13,13,0,1,5,integrated_plus_rescue
person:barak nehoran,Barak Nehoran,14,0,0,14,14,0,0,4,integrated_plus_rescue
person:eric mitchell,Eric Mitchell,14,0,0,14,14,0,0,4,integrated_plus_rescue
person:shang mu,Shang Mu,14,0,0,14,14,0,0,4,integrated_plus_rescue
person:zhi ming jia,Zhi-Ming Jia,14,0,0,14,14,0,0,4,integrated_plus_rescue
person:claire mckellar,Claire E. McKellar,14,0,0,14,12,2,0,3,integrated_plus_rescue
person:r marc,R. E. Marc,13,3,5,5,11,2,0,0,integrated_plus_rescue
person:k briggman,K. Briggman,13,3,4,6,9,4,0,4,integrated_plus_rescue
person:n da costa,N. D. da Costa,13,0,4,9,13,0,0,2,integrated_plus_rescue
person:scott emmons,Scott W. Emmons,13,6,2,5,10,3,0,1,integrated_plus_rescue
person:mark ellisman,Mark Ellisman,13,0,2,11,11,1,1,0,integrated_plus_rescue
person:steven cook,Steven J. Cook,13,4,0,9,9,4,0,1,integrated_plus_rescue
person:wenjie yin,Wenjie Yin,13,1,0,12,13,0,0,2,integrated_plus_rescue
person:g mahalingam,G. Mahalingam,13,1,0,12,13,0,0,1,integrated_plus_rescue
person:d kapner,D. Kapner,13,0,0,13,13,0,0,2,integrated_plus_rescue
person:j buchanan,J. Buchanan,13,0,0,13,13,0,0,1,integrated_plus_rescue
person:marc takeno,Marc M. Takeno,13,0,0,13,13,0,0,1,integrated_plus_rescue
person:gaspar jekely,Gáspár Jékely,12,0,11,1,10,2,0,0,integrated_plus_rescue
person:g card,G. Card,12,0,4,8,10,2,0,0,integrated_plus_rescue
person:w katz,W. M. Katz,12,1,1,10,12,0,0,3,integrated_plus_rescue
person:gary huang,Gary B. Huang,12,3,0,9,11,0,1,2,integrated_plus_rescue
person:e marin,E. Marin,12,2,0,10,11,1,0,1,integrated_plus_rescue
person:dodam ih,Dodam Ih,12,0,0,12,12,0,0,3,integrated_plus_rescue
person:jim truman,Jim Truman,12,0,0,12,11,1,0,2,integrated_plus_rescue
person:a bodor,A. Bodor,12,0,0,12,12,0,0,1,integrated_plus_rescue
person:kai li,Kai Li,12,0,0,12,12,0,0,1,integrated_plus_rescue
person:s kinn,S. Kinn,12,0,0,12,12,0,0,1,integrated_plus_rescue
person:w wong,W. Wong,12,0,0,12,12,0,0,1,integrated_plus_rescue
person:srinivas turaga,Srinivas C. Turaga,11,0,7,4,8,3,0,4,integrated_plus_rescue
person:w lee,W. Lee,11,0,2,9,10,1,0,4,integrated_plus_rescue
person:xiaoyin chen,Xiaoyin Chen,11,0,2,9,10,1,0,0,integrated_plus_rescue
person:kazunori shinomiya,Kazunori Shinomiya,11,2,0,9,10,1,0,1,integrated_plus_rescue
person:kenneth hayworth,Kenneth Hayworth,11,1,0,10,11,0,0,3,integrated_plus_rescue
person:peter li,Peter H. Li,11,0,0,11,9,2,0,4,integrated_plus_rescue
person:d olbris,D. J. Olbris,11,0,0,11,9,2,0,3,integrated_plus_rescue
person:a champion,A. Champion,11,0,0,11,9,2,0,2,integrated_plus_rescue
person:s mondal,S. Mondal,11,0,0,11,11,0,0,1,integrated_plus_rescue
person:wr schafer,WR Schafer,10,1,6,3,4,6,0,2,integrated_plus_rescue
person:km harris,KM Harris,10,1,5,4,6,4,0,3,integrated_plus_rescue
person:joergen kornfeld,Joergen Kornfeld,10,2,3,5,10,0,0,1,integrated_plus_rescue
person:c priebe,C. Priebe,10,1,3,6,5,3,2,2,integrated_plus_rescue
person:johanna beyer,Johanna Beyer,10,3,1,6,7,1,2,0,integrated_plus_rescue
person:xiao jing wang,Xiao-jing Wang,10,2,1,8,5,4,1,0,integrated_plus_rescue
person:yu xian zhang,Yu-Xian Zhang,10,1,1,9,7,2,1,0,integrated_plus_rescue
person:yonggang wang,Yonggang Wang,10,3,0,8,8,1,1,1,integrated_plus_rescue
person:yuanyuan li,Yuanyuan Li,10,3,0,7,8,2,0,0,integrated_plus_rescue
person:erik johnson,Erik C. Johnson,10,3,0,7,5,1,4,0,integrated_plus_rescue
person:c sigulinsky,C. Sigulinsky,10,2,0,8,7,3,0,0,integrated_plus_rescue
person:l umayam,L. Umayam,10,0,0,10,10,0,0,2,integrated_plus_rescue
person:j bogovic,J. Bogovic,10,0,0,10,8,1,1,2,integrated_plus_rescue
person:michael reimann,Michael W. Reimann,9,5,4,0,1,8,0,0,integrated_plus_rescue
person:hanchuan peng,Hanchuan Peng,9,1,4,4,4,4,1,1,integrated_plus_rescue
person:junkyung kim,Junkyung Kim,9,2,3,4,4,4,1,2,integrated_plus_rescue
person:a tolias,A. S. Tolias,9,0,2,7,8,1,0,1,integrated_plus_rescue
person:yoshinori aso,Yoshinori Aso,9,1,1,7,5,4,0,2,integrated_plus_rescue
person:v hartenstein,V. Hartenstein,9,0,1,8,6,2,1,3,integrated_plus_rescue
person:t parag,T. Parag,9,2,0,7,9,0,0,1,integrated_plus_rescue
person:jody clements,Jody Clements,9,2,0,7,8,1,0,1,integrated_plus_rescue
person:tomke sturner,Tomke Stürner,9,2,0,8,8,1,0,1,integrated_plus_rescue
person:yijie yin,Yijie Yin,9,1,0,8,9,0,0,2,integrated_plus_rescue
person:jay gager,Jay Gager,9,0,0,9,9,0,0,4,integrated_plus_rescue
person:christopher ordish,Christopher Ordish,9,0,0,9,9,0,0,2,integrated_plus_rescue
person:d hall,D. Hall,9,0,0,9,7,2,0,2,integrated_plus_rescue
person:marina gkantia,Marina Gkantia,9,0,0,9,7,2,0,1,integrated_plus_rescue
