person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:hanspeter pfister,Hanspeter Pfister,48,0,21,27,41,5,2,3,integrated_plus_rescue
person:j lichtman,J. Lichtman,62,3,16,43,45,13,4,6,integrated_plus_rescue
person:g jefferis,G. Jefferis,40,0,15,26,31,7,2,5,integrated_plus_rescue
person:h sebastian seung,H. Sebastian Seung,42,3,13,26,38,4,0,9,integrated_plus_rescue
person:m helmstaedter,M. Helmstaedter,21,5,11,5,15,6,0,6,integrated_plus_rescue
person:gaspar jekely,Gáspár Jékely,12,0,11,1,10,2,0,0,integrated_plus_rescue
person:william gray roncal,William R. Gray-Roncal,19,3,10,6,12,2,5,1,integrated_plus_rescue
person:oliver hobert,Oliver Hobert,16,0,10,6,5,11,0,1,integrated_plus_rescue
person:albert cardona,Albert Cardona,33,1,9,24,30,2,1,6,integrated_plus_rescue
person:stephen plaza,Stephen M. Plaza,29,6,9,14,28,1,0,3,integrated_plus_rescue
person:d chklovskii,D. Chklovskii,15,1,9,5,10,5,0,4,integrated_plus_rescue
person:n shavit,N. Shavit,14,0,9,5,12,2,0,1,integrated_plus_rescue
person:john tuthill,John C. Tuthill,14,0,8,6,12,2,0,1,integrated_plus_rescue
person:harald hess,Harald F. Hess,17,0,7,10,15,1,1,3,integrated_plus_rescue
person:i meinertzhagen,I. Meinertzhagen,15,3,7,7,10,4,1,3,integrated_plus_rescue
person:srinivas turaga,Srinivas C. Turaga,11,0,7,4,8,3,0,4,integrated_plus_rescue
person:marta zlatic,Marta Zlatic,14,0,6,9,13,1,0,2,integrated_plus_rescue
person:wr schafer,WR Schafer,10,1,6,3,4,6,0,2,integrated_plus_rescue
person:hongqing han,Hongqing Han,8,0,6,2,6,1,1,0,integrated_plus_rescue
person:d dacey,D. Dacey,7,0,6,1,7,0,0,0,integrated_plus_rescue
person:viren jain,Viren Jain,24,1,5,18,19,4,1,5,integrated_plus_rescue
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,integrated_plus_rescue
person:narayan kasthuri,Narayan Kasthuri,19,1,5,13,13,5,1,1,integrated_plus_rescue
person:bryan william jones,Bryan William Jones,17,0,5,12,13,4,0,0,integrated_plus_rescue
person:m murthy,M. Murthy,16,0,5,11,15,1,0,3,integrated_plus_rescue
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,integrated_plus_rescue
person:r marc,R. E. Marc,13,3,5,5,11,2,0,0,integrated_plus_rescue
person:km harris,KM Harris,10,1,5,4,6,4,0,3,integrated_plus_rescue
person:r friedrich,R. Friedrich,7,1,5,1,5,2,0,0,integrated_plus_rescue
person:a dacks,A. Dacks,5,0,5,0,4,1,0,0,integrated_plus_rescue
person:albert laszlo barabasi,Albert-László Barabási,5,0,5,0,2,3,0,0,integrated_plus_rescue
person:louis scheffer,Louis K. Scheffer,27,5,4,18,23,4,0,4,integrated_plus_rescue
person:f collman,F. Collman,24,0,4,20,23,1,0,5,integrated_plus_rescue
person:r clay reid,R. Clay Reid,23,0,4,19,17,5,1,4,integrated_plus_rescue
person:donglai wei,Donglai Wei,23,1,4,18,19,3,1,2,integrated_plus_rescue
person:g rubin,G. Rubin,22,0,4,18,19,3,0,5,integrated_plus_rescue
person:y meirovitch,Y. Meirovitch,21,4,4,13,18,3,0,1,integrated_plus_rescue
person:s saalfeld,S. Saalfeld,18,2,4,12,16,1,1,5,integrated_plus_rescue
person:d bock,D. Bock,18,1,4,13,14,3,1,4,integrated_plus_rescue
person:s berg,S. Berg,16,1,4,11,16,0,0,2,integrated_plus_rescue
person:k briggman,K. Briggman,13,3,4,6,9,4,0,4,integrated_plus_rescue
person:n da costa,N. D. da Costa,13,0,4,9,13,0,0,2,integrated_plus_rescue
person:g card,G. Card,12,0,4,8,10,2,0,0,integrated_plus_rescue
person:hanchuan peng,Hanchuan Peng,9,1,4,4,4,4,1,1,integrated_plus_rescue
person:michael reimann,Michael W. Reimann,9,5,4,0,1,8,0,0,integrated_plus_rescue
person:t tasdizen,T. Tasdizen,8,0,4,5,8,0,0,1,integrated_plus_rescue
person:e bullmore,E. Bullmore,6,0,4,2,3,3,0,3,integrated_plus_rescue
person:kristin scott,Kristin Scott,5,0,4,1,5,0,0,1,integrated_plus_rescue
person:c doe,C. Doe,5,0,4,1,4,1,0,0,integrated_plus_rescue
person:b misic,B. Mišić,5,0,4,1,3,2,0,0,integrated_plus_rescue
person:g ascoli,G. Ascoli,5,0,4,1,2,3,0,0,integrated_plus_rescue
person:m pankratz,M. Pankratz,4,0,4,0,4,0,0,0,integrated_plus_rescue
person:jaeseung jeong,Jaeseung Jeong,4,0,4,0,3,1,0,0,integrated_plus_rescue
person:gianluca lazzi,Gianluca Lazzi,4,0,4,0,2,2,0,0,integrated_plus_rescue
person:elad schneidman,Elad Schneidman,4,0,4,0,1,3,0,0,integrated_plus_rescue
person:yu ying zhou,Yu-ying Zhou,4,0,4,0,1,1,2,0,integrated_plus_rescue
person:jan funke,Jan Funke,17,2,3,12,17,0,0,4,integrated_plus_rescue
person:ashok litwin kumar,Ashok Litwin-Kumar,14,2,3,9,11,3,0,2,integrated_plus_rescue
person:c priebe,C. Priebe,10,1,3,6,5,3,2,2,integrated_plus_rescue
person:joergen kornfeld,Joergen Kornfeld,10,2,3,5,10,0,0,1,integrated_plus_rescue
person:junkyung kim,Junkyung Kim,9,2,3,4,4,4,1,2,integrated_plus_rescue
person:michael reiser,Michael B. Reiser,8,0,3,5,8,0,0,2,integrated_plus_rescue
person:v jayaraman,V. Jayaraman,7,0,3,4,6,1,0,2,integrated_plus_rescue
person:won ki jeong,Won-Ki Jeong,7,2,3,2,6,0,1,1,integrated_plus_rescue
person:b gerber,B. Gerber,7,0,3,4,3,3,1,1,integrated_plus_rescue
person:ed boyden,Ed Boyden,7,0,3,4,2,3,2,0,integrated_plus_rescue
person:henry markram,Henry Markram,7,0,3,4,0,7,0,0,integrated_plus_rescue
person:tao fang,Tao Fang,6,0,3,3,3,3,0,0,integrated_plus_rescue
person:herwig baier,Herwig Baier,5,0,3,2,1,3,1,0,integrated_plus_rescue
person:d bassett,D. Bassett,4,0,3,1,2,2,0,0,integrated_plus_rescue
person:i fiete,I. Fiete,4,0,3,1,1,3,0,0,integrated_plus_rescue
person:j sanes,J. Sanes,4,0,3,1,1,3,0,0,integrated_plus_rescue
person:bo du,Bo Du,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:d marshak,D. Marshak,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:gregory hager,Gregory Hager,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:md shamsuzzoha bayzid,Md. Shamsuzzoha Bayzid,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:n cohen,N. Cohen,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:t clandinin,T. R. Clandinin,3,0,3,0,3,0,0,0,integrated_plus_rescue
person:james fitzgerald,James E. Fitzgerald,3,0,3,0,1,2,0,0,integrated_plus_rescue
person:r baines,R. Baines,3,0,3,0,1,2,0,0,integrated_plus_rescue
person:jingpeng wu,Jingpeng Wu,26,2,2,22,26,0,0,4,integrated_plus_rescue
person:k eichler,K. Eichler,24,2,2,21,22,2,0,3,integrated_plus_rescue
person:j vogelstein,J. Vogelstein,14,2,2,10,8,4,2,2,integrated_plus_rescue
person:scott emmons,Scott W. Emmons,13,6,2,5,10,3,0,1,integrated_plus_rescue
person:mark ellisman,Mark Ellisman,13,0,2,11,11,1,1,0,integrated_plus_rescue
person:w lee,W. Lee,11,0,2,9,10,1,0,4,integrated_plus_rescue
person:xiaoyin chen,Xiaoyin Chen,11,0,2,9,10,1,0,0,integrated_plus_rescue
person:a tolias,A. S. Tolias,9,0,2,7,8,1,0,1,integrated_plus_rescue
person:xiaotang lu,Xiaotang Lu,8,2,2,4,6,2,0,0,integrated_plus_rescue
person:markus hadwiger,Markus Hadwiger,8,1,2,5,6,1,1,0,integrated_plus_rescue
person:hongkui zeng,Hongkui Zeng,8,1,2,5,4,4,0,0,integrated_plus_rescue
person:s waddell,S. Waddell,7,0,2,5,5,2,0,2,integrated_plus_rescue
person:alexander borst,Alexander Borst,6,3,2,1,4,2,0,1,integrated_plus_rescue
person:b dickson,B. Dickson,6,0,2,4,4,2,0,1,integrated_plus_rescue
person:a seeds,A. Seeds,5,0,2,3,5,0,0,1,integrated_plus_rescue
person:jongmin lee,Jongmin Lee,5,0,2,3,4,1,0,1,integrated_plus_rescue
person:l luo,L. Luo,5,1,2,2,1,4,0,0,integrated_plus_rescue
person:g knott,G. Knott,5,0,2,3,5,0,0,0,integrated_plus_rescue
person:caio seguin,Caio Seguin,5,0,2,3,4,1,0,0,integrated_plus_rescue
person:j neitz,J. Neitz,5,0,2,3,4,1,0,0,integrated_plus_rescue
