person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:j lichtman,J. Lichtman,56,1,14,41,41,11,4,4,integrated
person:hanspeter pfister,Hanspeter Pfister,42,0,17,25,36,5,1,2,integrated
person:g jefferis,G. Jefferis,39,0,14,26,30,7,2,4,integrated
person:h sebastian seung,H. Sebastian Seung,35,3,10,22,31,4,0,3,integrated
person:sven dorkenwald,Sven Dorkenwald,33,4,0,29,32,1,0,5,integrated
person:philipp schlegel,Philipp Schlegel,33,4,0,29,29,3,1,3,integrated
person:albert cardona,Albert Cardona,30,1,9,21,29,1,0,5,integrated
person:kea joo lee,Kea-Joo Lee,30,3,1,26,28,2,0,3,integrated
person:stephen plaza,Stephen M. Plaza,29,6,9,14,28,1,0,3,integrated
person:marta costa,Marta Costa,29,0,1,28,23,4,2,3,integrated
person:louis scheffer,Louis K. Scheffer,27,5,4,18,23,4,0,4,integrated
person:szi chieh yu,Szi-chieh Yu,27,2,1,26,25,2,0,3,integrated
person:rongwen lu,Rongwen Lu,26,1,0,25,25,1,0,3,integrated
person:jingpeng wu,Jingpeng Wu,25,2,2,21,25,0,0,3,integrated
person:donglai wei,Donglai Wei,23,1,4,18,19,3,1,2,integrated
person:f collman,F. Collman,23,0,4,19,22,1,0,4,integrated
person:r clay reid,R. Clay Reid,23,0,4,19,17,5,1,4,integrated
person:k eichler,K. Eichler,23,2,2,20,21,2,0,2,integrated
person:cm schneider mizell,CM Schneider-Mizell,23,4,1,18,23,0,0,4,integrated
person:viren jain,Viren Jain,22,1,4,17,17,4,1,3,integrated
person:a bates,A. S. Bates,22,4,0,18,17,4,1,3,integrated
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,integrated
person:y meirovitch,Y. Meirovitch,21,4,4,13,18,3,0,1,integrated
person:g rubin,G. Rubin,21,0,4,17,18,3,0,5,integrated
person:micha januszewski,Michał Januszewski,21,3,0,18,21,0,0,3,integrated
person:t macrina,T. Macrina,21,1,0,20,21,0,0,3,integrated
person:c jordan,C. Jordan,20,0,0,20,20,0,0,3,integrated
person:n kemnitz,N. Kemnitz,20,0,0,20,20,0,0,3,integrated
person:r schalek,R. Schalek,20,0,0,20,15,5,0,3,integrated
person:james anderson,James R. Anderson,19,3,1,15,15,4,0,0,integrated
person:jordan matelsky,Jordan K. Matelsky,19,6,0,13,13,1,5,0,integrated
person:shin ya takemura,Shin-ya Takemura,19,4,0,22,17,2,0,5,integrated
person:fu ning li,Fu-Ning Li,19,2,0,17,18,0,1,6,integrated
person:aljoscha nern,Aljoscha Nern,19,1,0,18,14,5,0,3,integrated
person:william gray roncal,William R. Gray-Roncal,18,3,10,5,11,2,5,0,integrated
