person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:hanspeter pfister,Hanspeter Pfister,42,0,17,25,36,5,1,2,integrated
person:j lichtman,J. Lichtman,56,1,14,41,41,11,4,4,integrated
person:g jefferis,G. Jefferis,39,0,14,26,30,7,2,4,integrated
person:gaspar jekely,Gáspár Jékely,12,0,11,1,10,2,0,0,integrated
person:h sebastian seung,H. Sebastian Seung,35,3,10,22,31,4,0,3,integrated
person:william gray roncal,William R. Gray-Roncal,18,3,10,5,11,2,5,0,integrated
person:oliver hobert,Oliver Hobert,16,0,10,6,5,11,0,1,integrated
person:albert cardona,Albert Cardona,30,1,9,21,29,1,0,5,integrated
person:stephen plaza,Stephen M. Plaza,29,6,9,14,28,1,0,3,integrated
person:m helmstaedter,M. Helmstaedter,15,2,9,4,10,5,0,3,integrated
person:n shavit,N. Shavit,14,0,9,5,12,2,0,1,integrated
person:d chklovskii,D. Chklovskii,14,1,8,5,9,5,0,4,integrated
person:john tuthill,John C. Tuthill,14,0,8,6,12,2,0,1,integrated
person:i meinertzhagen,I. Meinertzhagen,15,3,7,7,10,4,1,3,integrated
person:srinivas turaga,Srinivas C. Turaga,8,0,7,1,5,3,0,1,integrated
person:harald hess,Harald F. Hess,16,0,6,10,15,1,0,3,integrated
person:marta zlatic,Marta Zlatic,14,0,6,9,13,1,0,2,integrated
person:wr schafer,WR Schafer,10,1,6,3,4,6,0,2,integrated
person:hongqing han,Hongqing Han,8,0,6,2,6,1,1,0,integrated
person:d dacey,D. Dacey,7,0,6,1,7,0,0,0,integrated
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,integrated
person:bryan william jones,Bryan William Jones,17,0,5,12,13,4,0,0,integrated
person:narayan kasthuri,Narayan Kasthuri,17,0,5,12,11,5,1,0,integrated
person:m murthy,M. Murthy,15,0,5,10,14,1,0,2,integrated
person:r marc,R. E. Marc,13,3,5,5,11,2,0,0,integrated
person:km harris,KM Harris,10,1,5,4,6,4,0,3,integrated
person:r friedrich,R. Friedrich,7,1,5,1,5,2,0,0,integrated
person:a dacks,A. Dacks,5,0,5,0,4,1,0,0,integrated
person:albert laszlo barabasi,Albert-László Barabási,5,0,5,0,2,3,0,0,integrated
person:louis scheffer,Louis K. Scheffer,27,5,4,18,23,4,0,4,integrated
person:f collman,F. Collman,23,0,4,19,22,1,0,4,integrated
person:r clay reid,R. Clay Reid,23,0,4,19,17,5,1,4,integrated
person:donglai wei,Donglai Wei,23,1,4,18,19,3,1,2,integrated
person:viren jain,Viren Jain,22,1,4,17,17,4,1,3,integrated
person:g rubin,G. Rubin,21,0,4,17,18,3,0,5,integrated
person:y meirovitch,Y. Meirovitch,21,4,4,13,18,3,0,1,integrated
person:s saalfeld,S. Saalfeld,17,1,4,12,16,1,0,5,integrated
person:d bock,D. Bock,16,1,4,11,12,3,1,3,integrated
person:s berg,S. Berg,16,1,4,11,16,0,0,2,integrated
person:n da costa,N. D. da Costa,13,0,4,9,13,0,0,2,integrated
person:k briggman,K. Briggman,10,2,4,4,6,4,0,1,integrated
person:michael reimann,Michael W. Reimann,9,5,4,0,1,8,0,0,integrated
person:t tasdizen,T. Tasdizen,7,0,4,4,7,0,0,0,integrated
person:e bullmore,E. Bullmore,5,0,4,1,2,3,0,2,integrated
person:c doe,C. Doe,5,0,4,1,4,1,0,0,integrated
person:b misic,B. Mišić,5,0,4,1,3,2,0,0,integrated
person:kristin scott,Kristin Scott,4,0,4,0,4,0,0,0,integrated
person:m pankratz,M. Pankratz,4,0,4,0,4,0,0,0,integrated
person:jaeseung jeong,Jaeseung Jeong,4,0,4,0,3,1,0,0,integrated
person:gianluca lazzi,Gianluca Lazzi,4,0,4,0,2,2,0,0,integrated
person:elad schneidman,Elad Schneidman,4,0,4,0,1,3,0,0,integrated
person:jan funke,Jan Funke,16,2,3,11,16,0,0,3,integrated
person:ashok litwin kumar,Ashok Litwin-Kumar,14,2,3,9,11,3,0,2,integrated
person:g card,G. Card,11,0,3,8,9,2,0,0,integrated
person:joergen kornfeld,Joergen Kornfeld,9,2,3,4,9,0,0,0,integrated
person:v jayaraman,V. Jayaraman,7,0,3,4,6,1,0,2,integrated
person:b gerber,B. Gerber,7,0,3,4,3,3,1,1,integrated
person:hanchuan peng,Hanchuan Peng,7,0,3,4,3,4,0,1,integrated
person:henry markram,Henry Markram,7,0,3,4,0,7,0,0,integrated
person:michael reiser,Michael B. Reiser,6,0,3,3,6,0,0,1,integrated
person:tao fang,Tao Fang,6,0,3,3,3,3,0,0,integrated
person:won ki jeong,Won-Ki Jeong,4,0,3,1,4,0,0,1,integrated
person:g ascoli,G. Ascoli,4,0,3,1,2,2,0,0,integrated
person:herwig baier,Herwig Baier,4,0,3,1,1,3,0,0,integrated
person:i fiete,I. Fiete,4,0,3,1,1,3,0,0,integrated
person:bo du,Bo Du,3,0,3,0,3,0,0,0,integrated
person:d marshak,D. Marshak,3,0,3,0,3,0,0,0,integrated
person:gregory hager,Gregory Hager,3,0,3,0,3,0,0,0,integrated
person:md shamsuzzoha bayzid,Md. Shamsuzzoha Bayzid,3,0,3,0,3,0,0,0,integrated
person:n cohen,N. Cohen,3,0,3,0,3,0,0,0,integrated
person:t clandinin,T. R. Clandinin,3,0,3,0,3,0,0,0,integrated
person:james fitzgerald,James E. Fitzgerald,3,0,3,0,1,2,0,0,integrated
person:r baines,R. Baines,3,0,3,0,1,2,0,0,integrated
person:yu ying zhou,Yu-ying Zhou,3,0,3,0,1,1,1,0,integrated
person:jingpeng wu,Jingpeng Wu,25,2,2,21,25,0,0,3,integrated
person:k eichler,K. Eichler,23,2,2,20,21,2,0,2,integrated
person:scott emmons,Scott W. Emmons,13,6,2,5,10,3,0,1,integrated
person:w lee,W. Lee,10,0,2,8,9,1,0,3,integrated
person:j vogelstein,J. Vogelstein,10,1,2,7,7,3,0,1,integrated
person:xiaoyin chen,Xiaoyin Chen,10,0,2,8,9,1,0,0,integrated
person:a tolias,A. S. Tolias,9,0,2,7,8,1,0,1,integrated
person:winfried denk,Winfried Denk,9,0,2,7,6,3,0,0,integrated
person:xiaotang lu,Xiaotang Lu,8,2,2,4,6,2,0,0,integrated
person:junkyung kim,Junkyung Kim,7,2,2,3,3,4,0,1,integrated
person:s waddell,S. Waddell,6,0,2,4,4,2,0,1,integrated
person:hongkui zeng,Hongkui Zeng,6,1,2,3,3,3,0,0,integrated
person:ed boyden,Ed Boyden,6,0,2,4,2,3,1,0,integrated
person:alexander borst,Alexander Borst,5,3,2,0,3,2,0,0,integrated
person:caio seguin,Caio Seguin,5,0,2,3,4,1,0,0,integrated
person:j neitz,J. Neitz,5,0,2,3,4,1,0,0,integrated
person:manuel zimmer,Manuel Zimmer,5,0,2,4,4,1,0,0,integrated
person:markus hadwiger,Markus Hadwiger,5,0,2,3,4,1,0,0,integrated
person:b dickson,B. Dickson,5,0,2,3,3,2,0,0,integrated
person:u grunert,U. Grünert,5,0,2,3,3,2,0,0,integrated
person:mei zhen,Mei Zhen,4,0,2,2,3,1,0,1,integrated
person:hesheng liu,Hesheng Liu,4,1,2,1,1,3,0,0,integrated
person:a seeds,A. Seeds,4,0,2,2,4,0,0,0,integrated
person:gergely odor,Gergely Ódor,4,0,2,2,3,1,0,0,integrated
person:jongmin lee,Jongmin Lee,4,0,2,2,3,1,0,0,integrated
person:ruobing zhang,Ruobing Zhang,4,0,2,2,3,1,0,0,integrated
