person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:j lichtman,J. Lichtman,69,3,19,47,50,14,5,6,prime
person:hanspeter pfister,Hanspeter Pfister,54,1,22,31,43,7,4,3,prime
person:h sebastian seung,H. Sebastian Seung,44,3,15,26,39,4,1,9,prime
person:g jefferis,G. Jefferis,40,0,15,26,31,7,2,5,prime
person:sven dorkenwald,Sven Dorkenwald,35,5,0,30,34,1,0,6,prime
person:philipp schlegel,Philipp Schlegel,34,5,0,29,30,3,1,4,prime
person:albert cardona,Albert Cardona,33,1,9,24,30,2,1,6,prime
person:kea joo lee,Kea-Joo Lee,32,3,1,28,30,2,0,5,prime
person:stephen plaza,Stephen M. Plaza,30,6,10,14,28,1,1,3,prime
person:marta costa,Marta Costa,30,0,1,29,24,4,2,4,prime
person:jingpeng wu,Jingpeng Wu,28,2,2,24,26,1,1,4,prime
person:szi chieh yu,Szi-chieh Yu,28,2,1,29,26,2,0,4,prime
person:rongwen lu,Rongwen Lu,28,2,0,26,27,1,0,4,prime
person:viren jain,Viren Jain,27,1,6,20,22,4,1,5,prime
person:donglai wei,Donglai Wei,27,1,6,20,20,4,3,2,prime
person:louis scheffer,Louis K. Scheffer,27,5,4,18,23,4,0,4,prime
person:r clay reid,R. Clay Reid,25,1,5,19,17,7,1,4,prime
person:f collman,F. Collman,25,0,4,21,24,1,0,5,prime
person:cm schneider mizell,CM Schneider-Mizell,25,4,1,20,25,0,0,5,prime
person:j vogelstein,J. Vogelstein,24,4,7,13,8,12,4,2,prime
person:y meirovitch,Y. Meirovitch,24,4,5,15,20,3,1,1,prime
person:k eichler,K. Eichler,24,2,2,21,22,2,0,3,prime
person:micha januszewski,Michał Januszewski,24,4,0,20,24,0,0,4,prime
person:r schalek,R. Schalek,24,0,0,24,18,5,1,4,prime
person:narayan kasthuri,Narayan Kasthuri,23,1,5,17,15,6,2,1,prime
person:a bates,A. S. Bates,23,4,0,20,18,4,1,4,prime
person:t macrina,T. Macrina,23,1,0,22,23,0,0,4,prime
person:n kemnitz,N. Kemnitz,23,0,0,23,22,0,1,4,prime
person:m helmstaedter,M. Helmstaedter,22,6,11,5,15,7,0,6,prime
person:xiao jing wang,Xiao-jing Wang,22,6,5,12,6,13,3,0,prime
person:g rubin,G. Rubin,22,0,4,18,19,3,0,5,prime
person:c priebe,C. Priebe,21,2,9,10,5,14,2,2,prime
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,prime
person:shin ya takemura,Shin-ya Takemura,21,5,0,23,17,3,1,5,prime
person:c jordan,C. Jordan,21,0,0,21,21,0,0,4,prime
person:j bae,J. Bae,21,0,0,21,20,0,1,3,prime
person:william gray roncal,William R. Gray-Roncal,20,3,10,7,12,3,5,1,prime
person:s saalfeld,S. Saalfeld,20,2,4,14,17,2,1,5,prime
person:jan funke,Jan Funke,20,2,4,14,17,3,0,4,prime
person:james anderson,James R. Anderson,20,3,1,16,15,5,0,0,prime
person:chuanyun xu,Chuanyun Xu,20,1,1,18,12,7,1,3,prime
person:yonggang wang,Yonggang Wang,20,6,0,15,8,7,5,1,prime
person:jordan matelsky,Jordan K. Matelsky,20,6,0,14,13,1,6,0,prime
person:yuanyuan li,Yuanyuan Li,20,4,0,16,9,8,3,0,prime
person:fu ning li,Fu-Ning Li,20,2,0,18,19,0,1,7,prime
person:aljoscha nern,Aljoscha Nern,20,1,0,19,15,5,0,3,prime
person:yunming wu,Yunming Wu,20,1,0,19,14,4,2,3,prime
person:w silversmith,W. Silversmith,20,0,0,20,19,0,1,4,prime
person:bryan william jones,Bryan William Jones,19,0,5,14,13,6,0,0,prime
person:a sterling,A. Sterling,19,0,0,19,18,1,0,3,prime
person:harald hess,Harald F. Hess,18,0,7,11,15,2,1,3,prime
person:d bock,D. Bock,18,1,4,13,14,3,1,4,prime
person:yu xian zhang,Yu-Xian Zhang,18,2,1,16,10,5,3,0,prime
person:s popovych,S. Popovych,18,1,0,17,18,0,0,4,prime
person:r fetter,R. D. Fetter,18,0,0,18,18,0,0,6,prime
person:d brittain,D. Brittain,18,0,0,18,18,0,0,5,prime
person:akhilesh halageri,Akhilesh Halageri,18,0,0,18,18,0,0,4,prime
person:oliver hobert,Oliver Hobert,17,0,11,6,5,12,0,1,prime
person:m murthy,M. Murthy,17,0,6,11,15,1,1,3,prime
person:xiaoyin chen,Xiaoyin Chen,17,0,3,14,12,3,2,0,prime
person:zhi hang lin,Zhi-Hang Lin,17,4,0,13,11,5,1,2,prime
person:n turner,N. Turner,17,1,0,16,17,0,0,1,prime
person:m castro,M. C. Castro,17,0,0,17,17,0,0,4,prime
person:s berg,S. Berg,16,1,4,11,16,0,0,2,prime
person:mark ellisman,Mark Ellisman,16,0,4,13,11,1,4,0,prime
person:tengda zhao,Tengda Zhao,16,4,1,11,12,3,1,4,prime
person:arie matsliah,Arie Matsliah,16,1,1,14,15,1,0,2,prime
person:zhi ming jia,Zhi-Ming Jia,16,0,0,16,15,1,0,4,prime
person:d bumbarger,D. Bumbarger,16,0,0,16,15,1,0,2,prime
person:d chklovskii,D. Chklovskii,15,1,9,5,10,5,0,4,prime
person:i meinertzhagen,I. Meinertzhagen,15,3,7,7,10,4,1,3,prime
person:r marc,R. E. Marc,15,4,5,6,11,4,0,0,prime
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,prime
person:n da costa,N. D. da Costa,15,0,4,11,15,0,0,2,prime
person:p rivlin,P. Rivlin,15,0,1,14,12,0,3,3,prime
person:yi shiuan liu,Yi-Shiuan Liu,15,4,0,11,2,10,3,1,prime
person:zhiyuan lu,Zhiyuan Lu,15,1,0,16,15,0,0,5,prime
person:d berger,D. Berger,15,1,0,14,14,0,1,5,prime
person:r torres,R. Torres,15,1,0,14,15,0,0,2,prime
person:wenjie yin,Wenjie Yin,15,1,0,14,13,0,2,2,prime
person:barak nehoran,Barak Nehoran,15,0,0,15,15,0,0,4,prime
person:eric mitchell,Eric Mitchell,15,0,0,15,15,0,0,4,prime
person:shang mu,Shang Mu,15,0,0,15,15,0,0,4,prime
person:n shavit,N. Shavit,14,0,9,5,12,2,0,1,prime
person:john tuthill,John C. Tuthill,14,0,8,6,12,2,0,1,prime
person:km harris,KM Harris,14,1,7,6,6,4,4,3,prime
person:marta zlatic,Marta Zlatic,14,0,6,9,13,1,0,2,prime
person:ashok litwin kumar,Ashok Litwin-Kumar,14,2,3,9,11,3,0,2,prime
person:peter li,Peter H. Li,14,0,1,13,12,2,0,4,prime
person:l elabbady,L. Elabbady,14,3,0,11,14,0,0,1,prime
person:claire mckellar,Claire E. McKellar,14,0,0,14,12,2,0,3,prime
person:kai li,Kai Li,14,0,0,14,14,0,0,1,prime
person:marc takeno,Marc M. Takeno,14,0,0,14,14,0,0,1,prime
person:hongqing han,Hongqing Han,13,0,7,6,9,3,1,0,prime
person:g card,G. Card,13,0,5,8,10,2,1,0,prime
person:k briggman,K. Briggman,13,3,4,6,9,4,0,4,prime
person:hongkui zeng,Hongkui Zeng,13,1,3,9,5,8,0,0,prime
person:scott emmons,Scott W. Emmons,13,6,2,5,10,3,0,1,prime
person:johanna beyer,Johanna Beyer,13,4,1,8,8,2,3,0,prime
person:gary huang,Gary B. Huang,13,4,0,9,11,0,2,2,prime
person:steven cook,Steven J. Cook,13,4,0,9,9,4,0,1,prime
person:g mahalingam,G. Mahalingam,13,1,0,12,13,0,0,1,prime
person:d kapner,D. Kapner,13,0,0,13,13,0,0,2,prime
person:a bodor,A. Bodor,13,0,0,13,13,0,0,1,prime
person:j buchanan,J. Buchanan,13,0,0,13,13,0,0,1,prime
person:gaspar jekely,Gáspár Jékely,12,0,11,1,10,2,0,0,prime
person:srinivas turaga,Srinivas C. Turaga,12,0,7,5,8,4,0,4,prime
person:olaf sporns,Olaf Sporns,12,6,3,3,2,9,1,1,prime
person:junkyung kim,Junkyung Kim,12,3,3,6,4,7,1,2,prime
person:jiazheng liu,Jiazheng Liu,12,3,2,8,8,3,1,0,prime
person:v lyzinski,V. Lyzinski,12,2,2,8,1,9,2,0,prime
person:w lee,W. Lee,12,0,2,10,10,2,0,4,prime
person:w katz,W. M. Katz,12,1,1,10,12,0,0,3,prime
person:yuh tarng chen,Yuh-tarng Chen,12,1,1,10,5,4,3,0,prime
person:e marin,E. Marin,12,2,0,10,11,1,0,1,prime
person:c sigulinsky,C. Sigulinsky,12,2,0,10,7,5,0,0,prime
person:dodam ih,Dodam Ih,12,0,0,12,12,0,0,3,prime
person:jim truman,Jim Truman,12,0,0,12,11,1,0,2,prime
person:s kinn,S. Kinn,12,0,0,12,12,0,0,1,prime
person:w wong,W. Wong,12,0,0,12,12,0,0,1,prime
person:xiao ming li,Xiao-Ming Li,11,0,3,8,2,7,2,0,prime
