person_id,display_name,works,first_or_single,last,middle,core_works,adjacent_works,role_bridge_works,ultra_core_works,view
person:hanspeter pfister,Hanspeter Pfister,54,1,22,31,43,7,4,3,prime
person:j lichtman,J. Lichtman,69,3,19,47,50,14,5,6,prime
person:h sebastian seung,H. Sebastian Seung,44,3,15,26,39,4,1,9,prime
person:g jefferis,G. Jefferis,40,0,15,26,31,7,2,5,prime
person:m helmstaedter,M. Helmstaedter,22,6,11,5,15,7,0,6,prime
person:oliver hobert,Oliver Hobert,17,0,11,6,5,12,0,1,prime
person:gaspar jekely,Gáspár Jékely,12,0,11,1,10,2,0,0,prime
person:stephen plaza,Stephen M. Plaza,30,6,10,14,28,1,1,3,prime
person:william gray roncal,William R. Gray-Roncal,20,3,10,7,12,3,5,1,prime
person:albert cardona,Albert Cardona,33,1,9,24,30,2,1,6,prime
person:c priebe,C. Priebe,21,2,9,10,5,14,2,2,prime
person:d chklovskii,D. Chklovskii,15,1,9,5,10,5,0,4,prime
person:n shavit,N. Shavit,14,0,9,5,12,2,0,1,prime
person:john tuthill,John C. Tuthill,14,0,8,6,12,2,0,1,prime
person:j vogelstein,J. Vogelstein,24,4,7,13,8,12,4,2,prime
person:harald hess,Harald F. Hess,18,0,7,11,15,2,1,3,prime
person:i meinertzhagen,I. Meinertzhagen,15,3,7,7,10,4,1,3,prime
person:km harris,KM Harris,14,1,7,6,6,4,4,3,prime
person:hongqing han,Hongqing Han,13,0,7,6,9,3,1,0,prime
person:srinivas turaga,Srinivas C. Turaga,12,0,7,5,8,4,0,4,prime
person:eli shlizerman,Eli Shlizerman,7,0,7,0,0,7,0,0,prime
person:viren jain,Viren Jain,27,1,6,20,22,4,1,5,prime
person:donglai wei,Donglai Wei,27,1,6,20,20,4,3,2,prime
person:m murthy,M. Murthy,17,0,6,11,15,1,1,3,prime
person:marta zlatic,Marta Zlatic,14,0,6,9,13,1,0,2,prime
person:wr schafer,WR Schafer,10,1,6,3,4,6,0,2,prime
person:e bullmore,E. Bullmore,8,0,6,2,3,5,0,3,prime
person:d dacey,D. Dacey,7,0,6,1,7,0,0,0,prime
person:r clay reid,R. Clay Reid,25,1,5,19,17,7,1,4,prime
person:y meirovitch,Y. Meirovitch,24,4,5,15,20,3,1,1,prime
person:narayan kasthuri,Narayan Kasthuri,23,1,5,17,15,6,2,1,prime
person:xiao jing wang,Xiao-jing Wang,22,6,5,12,6,13,3,0,prime
person:brock andrew wester,Brock Andrew Wester,21,0,5,16,14,1,6,0,prime
person:bryan william jones,Bryan William Jones,19,0,5,14,13,6,0,0,prime
person:winfried denk,Winfried Denk,15,1,5,9,12,3,0,6,prime
person:r marc,R. E. Marc,15,4,5,6,11,4,0,0,prime
person:g card,G. Card,13,0,5,8,10,2,1,0,prime
person:r friedrich,R. Friedrich,8,2,5,1,5,3,0,0,prime
person:b misic,B. Mišić,7,0,5,2,3,3,1,0,prime
person:g ascoli,G. Ascoli,6,0,5,1,2,4,0,0,prime
person:a dacks,A. Dacks,5,0,5,0,4,1,0,0,prime
person:jaeseung jeong,Jaeseung Jeong,5,0,5,0,4,1,0,0,prime
person:albert laszlo barabasi,Albert-László Barabási,5,0,5,0,2,3,0,0,prime
