work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_01c85c45ede98837,VICE: Visual Identification and Correction of Neural Circuit Errors,core_relevant,0.96,False,14,,,,,,,,6,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,2021.0,Computer graphics forum (Print),no_graph,False,False,False,False,True
work_07da33548167bb21,3D Electron Microscopy Study of Synaptic Organization of the Normal Human Transentorhinal Cortex and Its Possible Alterations in Alzheimer’s Disease,core_relevant,0.92,False,42,,,,,,,,9,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,M. Domínguez-Álvaro; M. Montero-Crespo; M. Montero-Crespo; L. Blázquez-Llorca; L. Blázquez-Llorca; Javier DeFelipe; Javier DeFelipe; L. Alonso-Nanclares; L. Alonso-Nanclares,2019.0,eNeuro,M. Domínguez-Álvaro; M. Montero-Crespo; M. Montero-Crespo; L. Blázquez-Llorca; L. Blázquez-Llorca; Javier DeFelipe; Javier DeFelipe; L. Alonso-Nanclares; L. Alonso-Nanclares,2019.0,eNeuro,no_graph,False,False,False,False,True
work_0d6070f19ac2ba89,ATUM-Tomo: A multi-scale approach to cellular ultrastructure by combined volume scanning electron microscopy and electron tomography,core_relevant,0.93,False,3,,,,,,,,12,False,0,no_graph,3,Albert Cardona / J. Vogelstein,Georg Kislinger; G. Fabig; A. Wehn; Lucia Rodriguez; Hanyi Jiang; Cornelia Niemann; Andrey S. Klymchenko; N. Plesnila; Thomas Misgeld; Thomas Müller-Reichert; I. Khalin; Martina Schifferer,2024.0,bioRxiv,Georg Kislinger; G. Fabig; A. Wehn; Lucia Rodriguez; Hanyi Jiang; Cornelia Niemann; Andrey S. Klymchenko; N. Plesnila; Thomas Misgeld; Thomas Müller-Reichert; I. Khalin; Martina Schifferer,2024.0,bioRxiv,no_graph,False,False,False,False,True
work_11708302632c43f1,Unveiling and Steering Connectome Organization with Interpretable Latent Variables,core_relevant,0.91,False,0,,,,,,,,3,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Yubin Li; Xingyu Liu; Guozhang Chen,2025.0,arXiv.org,Yubin Li; Xingyu Liu; Guozhang Chen,2025.0,arXiv.org,no_graph,False,False,False,False,True
work_14ac87ba48283ac0,Neuronal Subcompartment Classification and Merge Error Correction,core_relevant,0.95,False,19,,,,,,,,4,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Hanyu Li; M. Januszewski; Viren Jain; Peter H. Li,2020.0,bioRxiv,Hanyu Li; M. Januszewski; Viren Jain; Peter H. Li,2020.0,bioRxiv,no_graph,False,False,False,False,True
work_15637f799663d649,A Geometric Chung Lu model and the Drosophila Medulla connectome,core_relevant,0.88,False,1,,,,,,,,2,False,0,no_graph,76,S. Agarwala / Franklin Kenter,S. Agarwala; Franklin Kenter,2021.0,J. Complex Networks,S. Agarwala; Franklin Kenter,2021.0,J. Complex Networks,no_graph,False,False,False,False,True
work_17515b46569c966d,Volumetric denoising enables high-throughput volume electron microscopy and efficient downstream analysis.,core_relevant,0.9,False,0,,,,,,,,9,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Bohao Chen; Fangfang Wang; Haoyu Wang; Yanchao Zhang; Zhuangzhuang Zhao; Haoran Chen; Hua Han; Xi Chen; Yunfeng Hua,2026.0,Cell Reports Methods,Bohao Chen; Fangfang Wang; Haoyu Wang; Yanchao Zhang; Zhuangzhuang Zhao; Haoran Chen; Hua Han; Xi Chen; Yunfeng Hua,2026.0,Cell Reports Methods,no_graph,False,False,False,False,True
work_209d8965d2e80500,NeuroGFX: a graphical functional explorer for fruit fly brain circuits,core_relevant,0.91,False,3,,,,,,,,4,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Chung-Heng Yeh; Yiyin Zhou; Nikul H. Ukani; A. Lazar,2016.0,bioRxiv,Chung-Heng Yeh; Yiyin Zhou; Nikul H. Ukani; A. Lazar,2016.0,bioRxiv,no_graph,False,False,False,False,True
work_2241814d12e83665,Gossamer: Scaling Image Processing and Reconstruction to Whole Brains,core_relevant,0.93,False,1,,,,,,,,18,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Karl Marrett; Keivan Moradi; C. Park; Ming Yan; Chris Choi; Muye Zhu; Masood A. Akram; S. Nanda; Qing Xue; Hyun-Seung Mun; Adriana E. Gutierrez; Mitchell Rudd; Brian Zingg; Gabrielle Magat; Kathleen Wijaya; Hongwei Dong; X. Yang; Jason Cong,2024.0,bioRxiv,Karl Marrett; Keivan Moradi; C. Park; Ming Yan; Chris Choi; Muye Zhu; Masood A. Akram; S. Nanda; Qing Xue; Hyun-Seung Mun; Adriana E. Gutierrez; Mitchell Rudd; Brian Zingg; Gabrielle Magat; Kathleen Wijaya; Hongwei Dong; X. Yang; Jason Cong,2024.0,bioRxiv,no_graph,False,False,False,False,True
work_2c23ff2f9ed14485,Multi-layered maps of neuropil with segmentation-guided contrastive learning,core_relevant,0.94,False,32,,,,,,,,11,False,0,no_graph,2,H. Sebastian Seung / G. Jefferis,S. Dorkenwald; Peter H. Li; Michał Januszewski; D. Berger; Jeremy B. Maitin-Shepard; A. Bodor; F. Collman; C. Schneider-Mizell; N. D. da Costa; J. Lichtman; Viren Jain,2022.0,bioRxiv,S. Dorkenwald; Peter H. Li; Michał Januszewski; D. Berger; Jeremy B. Maitin-Shepard; A. Bodor; F. Collman; C. Schneider-Mizell; N. D. da Costa; J. Lichtman; Viren Jain,2022.0,bioRxiv,no_graph,False,False,False,False,True
work_333df38005e93b84,A distribution-aware semi-supervised pipeline for cost-effective neuron segmentation,core_relevant,0.96,False,0,,,,,,,,6,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Yanchao Zhang; Hao Zhai; Jinyue Guo; Jing Liu; Qiwei Xie; Hua Han,2025.0,bioRxiv,Yanchao Zhang; Hao Zhai; Jinyue Guo; Jing Liu; Qiwei Xie; Hua Han,2025.0,bioRxiv,no_graph,False,False,False,False,True
work_4520228f7f3302c2,Network Community Detection in Connectomics Data using Graph Theory,core_relevant,0.86,False,2,,,,,,,,3,False,0,no_graph,108,Leandro González-Montesino / Rubén Armañanzas,Leandro González-Montesino; D. H. Grass-Boada; Rubén Armañanzas,2023.0,IEEE International Conference on Bioinformatics and Biomedicine,Leandro González-Montesino; D. H. Grass-Boada; Rubén Armañanzas,2023.0,IEEE International Conference on Bioinformatics and Biomedicine,no_graph,False,False,False,False,True
work_459f1826c547937f,Feedforward Ordering in Neural Connectomes via Feedback Arc Minimization,core_relevant,0.9,False,0,,,,,,,,1,False,0,no_graph,256,Soroush Vahidi,Soroush Vahidi,2025.0,arXiv.org,Soroush Vahidi,2025.0,arXiv.org,no_graph,False,False,False,False,True
work_4ab664454d56c724,Toward an Automated HPC Pipeline for Processing Large Scale Electron Microscopy Data,core_relevant,0.91,False,10,,,,,,,,8,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Rafael Vescovi; Hanyu Li; Jeffery Kinnison; Murat Keçeli; Misha Salim; N. Kasthuri; T. Uram; N. Ferrier,2020.0,Annual Workshop on Large-scale Experiment-in-the-Loop Computing,Rafael Vescovi; Hanyu Li; Jeffery Kinnison; Murat Keçeli; Misha Salim; N. Kasthuri; T. Uram; N. Ferrier,2020.0,Annual Workshop on Large-scale Experiment-in-the-Loop Computing,no_graph,False,False,False,False,True
work_4cd80a02170f62bd,Energy-efficient information processing and eligibility-trace plasticity in the Drosophila optic lobe connectome,core_relevant,0.93,False,0,,,,,,,,2,False,0,no_graph,112,Nalin Dhiman / Siddharth Panwar,Nalin Dhiman; Siddharth Panwar,2026.0,Scientific Reports,Nalin Dhiman; Siddharth Panwar,2026.0,Scientific Reports,no_graph,False,False,False,False,True
work_5ef81a0210f02d50,Tracing nerve fibers with volume electron microscopy to quantitatively analyze brain connectivity,core_relevant,0.92,False,7,,,,,,,,6,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,M. Turégano-Lopez; Félix de las Pozas; Andrea Santuy; José-Rodrigo Rodríguez; Javier DeFelipe; Á. Merchán-Pérez,2024.0,Communications Biology,M. Turégano-Lopez; Félix de las Pozas; Andrea Santuy; José-Rodrigo Rodríguez; Javier DeFelipe; Á. Merchán-Pérez,2024.0,Communications Biology,no_graph,False,False,False,False,True
work_638148a6bb51d092,Proposal-Free Volumetric Instance Segmentation from Latent Single-Instance Masks,core_relevant,0.9,False,8,,,,,,,,5,False,0,no_graph,8,Javier DeFelipe / Michael W. Reimann,Alberto Bailoni; Constantin Pape; Steffen Wolf; A. Kreshuk; F. Hamprecht,2020.0,German Conference on Pattern Recognition,Alberto Bailoni; Constantin Pape; Steffen Wolf; A. Kreshuk; F. Hamprecht,2020.0,German Conference on Pattern Recognition,no_graph,False,False,False,False,True
work_78bb0e063acbccb4,A Complex Network-Based Approach for Detecting and Characterizing Power Neurons in Drosophila,core_relevant,0.93,False,0,,,,,,,,4,False,0,no_graph,41,Enrico Corradini / Federica Parlapiano,Enrico Corradini; Federica Parlapiano; G. Terracina; Domenico Ursino,2026.0,Neuroinformatics,Enrico Corradini; Federica Parlapiano; G. Terracina; Domenico Ursino,2026.0,Neuroinformatics,no_graph,False,False,False,False,True
work_79c1db67453e2c88,A semi-automated approach to dense segmentation of 3D white matter electron microscopy,core_relevant,0.94,False,10,,,,,,,,5,False,0,no_graph,3,Albert Cardona / J. Vogelstein,M. Kleinnijenhuis; Errin Johnson; J. Mollink; S. Jbabdi; K. Miller,2020.0,bioRxiv,M. Kleinnijenhuis; Errin Johnson; J. Mollink; S. Jbabdi; K. Miller,2020.0,bioRxiv,no_graph,False,False,False,False,True
work_7a1fd8b2f1f89a04,Classifying Drosophila olfactory projection neuron boutons by quantitative analysis of electron microscopic reconstruction,core_relevant,0.93,False,6,,,,,,,,16,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Kai Yang; Tong Liu; Ze Wang; Jing Liu; Yu Shen; Xinyi Pan; Ruyi Wen; Haotian Xie; Zhaoxuan Ruan; Zixiao Tan; Yingying Chen; A. Guo; He Liu; Hua Han; Z. Di; Ke Zhang,2022.0,iScience,Kai Yang; Tong Liu; Ze Wang; Jing Liu; Yu Shen; Xinyi Pan; Ruyi Wen; Haotian Xie; Zhaoxuan Ruan; Zixiao Tan; Yingying Chen; A. Guo; He Liu; Hua Han; Z. Di; Ke Zhang,2022.0,iScience,no_graph,False,False,False,False,True
work_7ccfffa27b0f0285,Aggression across sexes from a contextual- and circuit-based perspective.,core_relevant,0.86,False,4,,,,,,,,1,False,0,no_graph,1,J. Lichtman / Hanspeter Pfister,Catherine E. Schretter,2025.0,Current Opinion in Neurobiology,Catherine E. Schretter,2025.0,Current Opinion in Neurobiology,no_graph,False,False,False,False,True
work_863949ff6ec36ab6,A Soma Segmentation Benchmark in Full Adult Fly Brain,core_relevant,0.94,False,7,,,,,,,,6,False,0,no_graph,0,Xiaoyin Chen / Yonggang Wang,Xiaoyu Liu; Bo Hu; Mingxing Li; Wei Huang; Yueyi Zhang; Zhiwei Xiong,2023.0,Computer Vision and Pattern Recognition,Xiaoyu Liu; Bo Hu; Mingxing Li; Wei Huang; Yueyi Zhang; Zhiwei Xiong,2023.0,Computer Vision and Pattern Recognition,no_graph,False,False,False,False,True
