work_id,title,decision,confidence,ultra_core,citation_count_work,corpus_in_degree,corpus_out_degree,citation_total_degree,citation_out_in_ratio,citation_link_strength,k_core,pagerank_percentile,n_authors,is_consortium,consortium_middle_count,citation_role,primary_community_id,primary_community_label,authors,year,venue,authors_enr,year_enr,venue_enr,graph_status,in_graph_matched,in_integrated,in_rescue,in_integrated_plus_rescue,in_prime_legacy
work_00c9ebcec8853471,Physical contact reveals a hidden layer of cortical architecture,core_relevant,0.96,False,0,0.0,0.0,0.0,,weak_unlinked,0.0,0.4794265994159808,15,False,0,isolate,3,Albert Cardona / J. Vogelstein,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,2026.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_00d72fd3c4223cd5,Distributed control circuits across a brain-and-cord connectome.,core_relevant,0.97,False,3,0.0,0.0,0.0,,weak_unlinked,0.0,0.5038492168834616,100,True,98,isolate,2,H. Sebastian Seung / G. Jefferis,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,2026.0,Nature,weak_unlinked,True,False,False,False,False
work_0331df396f545e68,Improving the Neural Segmentation of Blurry Serial SEM Images by Blind Deblurring,core_relevant,0.93,False,1,0.0,0.0,0.0,,weak_unlinked,0.0,0.0676931245022564,5,False,0,isolate,0,Xiaoyin Chen / Yonggang Wang,Ao Cheng; Kai Kang; Zhanpeng Zhu; Ruobing Zhang; Lirong Wang,2023.0,Computational Intelligence and Neuroscience,Ao Cheng; Kai Kang; Zhanpeng Zhu; Ruobing Zhang; Lirong Wang,2023.0,Computational Intelligence and Neuroscience,weak_unlinked,True,False,False,False,False
work_0a33489ddde95484,A distance constrained synaptic plasticity model of C. elegans neuronal network,core_relevant,0.88,False,3,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.3814706663127157,2,False,0,only_out,66,R. Badhwar / Ganesh Bagler,R. Badhwar; Ganesh Bagler,2016.0,,R. Badhwar; Ganesh Bagler,2016.0,,weak_unlinked,True,False,False,False,False
work_0bb92ce5d7d6f573,Analysis of smart imaging runtime,core_relevant,0.9,False,2,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.1258295726041943,10,False,0,only_out,1,J. Lichtman / Hanspeter Pfister,Thomas Athey; Shashata Sawmya; Y. Meirovitch; R. Schalek; P. Potocek; I. Chandok; Maurice Peemen; J. Lichtman; Aravinthan Samuel; N. Shavit,2025.0,Applied Microscopy,Thomas Athey; Shashata Sawmya; Y. Meirovitch; R. Schalek; P. Potocek; I. Chandok; Maurice Peemen; J. Lichtman; Aravinthan Samuel; N. Shavit,2025.0,Applied Microscopy,weak_unlinked,True,False,False,False,False
work_0e66a351d16a93f6,Serial Thick Section Gas Cluster Ion Beam Scanning Electron Microscopy,core_relevant,0.94,False,1,0.0,2.0,2.0,2.0,weak_unlinked,2.0,0.5954340323865145,5,False,0,only_out,1,J. Lichtman / Hanspeter Pfister,K. Hayworth; D. Peale; Zhiyuan Lu; C. Xu; H. Hess,2018.0,Microscopy and Microanalysis,K. Hayworth; D. Peale; Zhiyuan Lu; C. Xu; H. Hess,2018.0,Microscopy and Microanalysis,weak_unlinked,True,False,False,False,False
work_1270a34816664cc4,"IMPACT OF ALZHEIMER’S DISEASE ON SUPRACHIASMATIC NUCLEUS CONNECTIVITY, SLEEP REGULATION, AND CIRCADIAN RHYTHM",core_relevant,0.95,False,0,0.0,0.0,0.0,,weak_unlinked,0.0,0.2062649323068755,8,False,0,isolate,0,Xiaoyin Chen / Yonggang Wang,Yiyi Shen; H. Calligaro; M. Lam; Brian Khov; Keunyoung Kim; Won-Kyu Ju; M. Ellisman; Satchidananda Panda,2024.0,Innovation in aging,Yiyi Shen; H. Calligaro; M. Lam; Brian Khov; Keunyoung Kim; Won-Kyu Ju; M. Ellisman; Satchidananda Panda,2024.0,Innovation in aging,weak_unlinked,True,False,False,False,False
work_128b379bcd5dd487,A distributed dopamine-gated circuit underpins reproductive state-dependent behavior in Drosophila females,core_relevant,0.93,False,0,0.0,1.0,1.0,1.0,weak_unlinked,1.0,0.0252190071675073,10,False,0,only_out,47,K. Siju / Ilona C. Grunwald Kadow,Ariane Boehm; Anja B. Friedrich; P. Bandow; K. Siju; Sydney Hunt; J. Claussen; Marie-Helen Link; Thomas F. Hofmann; Corinna Dawid; Ilona C. Grunwald Kadow,2021.0,,Ariane Boehm; Anja B. Friedrich; P. Bandow; K. Siju; Sydney Hunt; J. Claussen; Marie-Helen Link; Thomas F. Hofmann; Corinna Dawid; Ilona C. Grunwald Kadow,2021.0,,weak_unlinked,True,False,False,False,False
work_138205744e23415e,"Volume Electron Microscopy of Cortical Organoids: Methods for Region Identification, Connectome Reconstruction, and Organelle Segmentation",core_relevant,0.94,False,0,0.0,0.0,0.0,,weak_unlinked,0.0,0.287231218476241,9,False,0,isolate,8,Javier DeFelipe / Michael W. Reimann,Sveva Dallere; A. Mattioni; M. Turégano-Lopez; L. Blázquez-Llorca; Á. Merchán-Pérez; Roberta Schellino; A. Vercelli; Javier DeFelipe; Marina Boido,2025.0,bioRxiv,Sveva Dallere; A. Mattioni; M. Turégano-Lopez; L. Blázquez-Llorca; Á. Merchán-Pérez; Roberta Schellino; A. Vercelli; Javier DeFelipe; Marina Boido,2025.0,bioRxiv,weak_unlinked,True,False,False,False,False
work_1658132c7599e2bd,Nano-Resolution Connectomics Using Large-Volume Electron Microscopy,core_relevant,0.93,False,3,0.0,0.0,0.0,,weak_unlinked,0.0,0.3931510485797717,3,False,0,isolate,0,Xiaoyin Chen / Yonggang Wang,Gyu Hyun Kim; Jawon Gim; Kea-Joo Lee,2016.0,,Gyu Hyun Kim; Jawon Gim; Kea-Joo Lee,2016.0,,weak_unlinked,True,False,False,False,False
