work_id,doi,title,year,pdf_status,filename,stem,source,in_original_96,exploration_bucket,notes
work_001454df91336514,10.1523/jneurosci.15-12-08177.1995,Role of neural activity during synaptogenesis in Drosophila,1995,downloaded,doi_10.1523_jneurosci.15-12-08177.1995.pdf,doi_10.1523_jneurosci.15-12-08177.1995,direct_search,false,,
work_0016f2020218fbe5,10.1177/10738584251337656,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,2025,linked,,doi_10.1177_10738584251337656,,true,exclude,excluded
work_001c0f01391e19c4,10.1038/s41598-020-70859-5,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,2020,downloaded,doi_10.1038_s41598-020-70859-5.pdf,doi_10.1038_s41598-020-70859-5,unpaywall,false,,
work_00c9ebcec8853471,10.64898/2026.05.08.723866,Physical contact reveals a hidden layer of cortical architecture,2026,downloaded,doi_10.64898_2026.05.08.723866.pdf,doi_10.64898_2026.05.08.723866,biorxiv,false,,
work_00d72fd3c4223cd5,10.1038/s41586-026-10735-w,Distributed control circuits across a brain-and-cord connectome.,2026,downloaded,doi_10.1038_s41586-026-10735-w.pdf,doi_10.1038_s41586-026-10735-w,direct_search,false,,
work_00f9b510d0a91b47,10.1007/978-3-030-11024-6_25,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,2018,downloaded,doi_10.1007_978-3-030-11024-6_25.pdf,doi_10.1007_978-3-030-11024-6_25,arxiv,false,,
work_0128137052dec3e0,10.64898/2026.05.23.727419,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,2026,downloaded,doi_10.64898_2026.05.23.727419.pdf,doi_10.64898_2026.05.23.727419,unpaywall,false,,
work_0133b141f368655b,10.3389/fninf.2012.00002,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,2012,downloaded,doi_10.3389_fninf.2012.00002.pdf,doi_10.3389_fninf.2012.00002,unpaywall,false,,
work_01a371d322fa7848,10.3390/photonics6030098,Optical Imaging in Brainsmatics,2019,downloaded,doi_10.3390_photonics6030098.pdf,doi_10.3390_photonics6030098,mdpi_res,false,,
work_01a98f721c115b3c,10.1101/019224,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,2015,downloaded,doi_10.1101_019224.pdf,doi_10.1101_019224,biorxiv,false,,
