venue,n,core,adjacent,bridge,failed,max_cites
Microscopy and Microanalysis,11,7,4,0,0,1
(no journal),9,3,6,0,0,159
Current Opinion in Neurobiology,8,1,6,1,0,92
Current Biology,6,2,4,0,0,17
bioRxiv,5,1,3,1,5,58
IEEE International Symposium on Biomedical Imaging,4,3,1,0,0,15
IEEE Transactions on Medical Imaging,4,3,0,1,0,75
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,3,1,2,0,0,1
Computer Graphics Forum,3,0,2,1,0,121
Journal of Vision,3,3,0,0,0,0
Nature Methods,3,1,2,0,0,163
Neuron,3,1,2,0,0,154
Neuroscience,3,1,2,0,0,3
Trends in Neurosciences,3,0,3,0,0,2
Cell Reports Methods,2,1,1,0,0,0
Computer Vision and Pattern Recognition,2,2,0,0,0,37
European Journal of Neuroscience,2,1,1,0,0,0
IEEE Conference on High Performance Extreme Computing,2,1,1,0,0,4
Journal of Comparative Neurology,2,1,1,0,0,31
Journal of Complex Networks,2,1,1,0,0,5
Journal of Neural Engineering,2,1,1,0,0,15
Journal of Neuroscience Methods,2,1,1,0,0,19
Medical Imaging,2,2,0,0,0,1
Progress in Retinal and Eye Research,2,0,2,0,0,6
2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition - Workshops,1,1,0,0,0,85
"2019 International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",1,0,1,0,0,1
2023 6th International Conference on Information Communication and Signal Processing (ICICSP),1,1,0,0,0,0
2023 IEEE MIT Undergraduate Research Technology Conference (URTC),1,1,0,0,0,0
2024 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),1,1,0,0,0,2
"2026 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",1,1,0,0,0,0
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,1,1,0,0,0,23
ACM Symposium on Parallelism in Algorithms and Architectures,1,0,1,0,0,0
Advanced Technology in Neuroscience,1,0,1,0,0,5
Advances in Experimental Medicine and Biology,1,1,0,0,0,14
Animal Cognition,1,0,1,0,0,3
Annual Review of Vision Science,1,0,1,0,0,6
BIO Web of Conferences,1,0,1,0,0,0
BiOS,1,0,1,0,0,0
Biomedical Signal Processing and Control,1,1,0,0,0,9
Biophotonics Congress 2021,1,0,1,0,0,0
Brain Structure and Function,1,0,1,0,0,68
Clinical Neurology and Neurosurgery,1,0,0,1,0,0
Computer Methods and Programs in Biomedicine,1,1,0,0,0,6
Current Opinion in Behavioral Sciences,1,0,1,0,0,12
Current Topics in Developmental Biology,1,0,1,0,0,18
Cybersecurity and Cyberforensics Conference,1,0,1,0,0,0
Daedalus,1,0,0,1,0,0
Defense + Commercial Sensing,1,0,0,1,1,2
"Design, Automation and Test in Europe",1,0,1,0,0,0
Developmental Biology,1,0,1,0,0,0
"IEEE International Conference on Acoustics, Speech, and Signal Processing",1,0,1,0,0,6
IEEE International Conference on Bioinformatics and Biomedicine,1,1,0,0,0,2
IEEE International Conference on Multimedia and Expo,1,0,0,1,0,5
IEEE Transactions on Instrumentation and Measurement,1,0,1,0,0,0
IEEE Transactions on Visualization and Computer Graphics,1,0,0,1,0,13
IEEE Workshop/Winter Conference on Applications of Computer Vision,1,1,0,0,0,7
IEEE/ACM Transactions on Computational Biology & Bioinformatics,1,0,1,0,0,4
Indian Journal of Neurosurgery,1,0,0,1,0,2
International Conference on Bioinformatics & Computational Biology,1,1,0,0,0,0
"International Journal of Wavelets, Multiresolution and Information Processing",1,1,0,0,0,0
J. Robotics Mechatronics,1,1,0,0,0,0
Journal of Clinical Neuroscience,1,0,0,1,0,2
Journal of Neuroscience,1,0,1,0,0,18
Journal of Visualized Experiments,1,0,1,0,0,0
Metabolism,1,0,1,0,0,2
Methods in Microscopy,1,0,1,0,0,2
Methods in molecular biology,1,1,0,0,0,2
Microscopy Today,1,0,1,0,0,6
Nature Neuroscience,1,0,0,1,0,146
Neuro Inspired Computational Elements Workshop,1,0,0,1,0,0
Neuro-Oncology,1,0,1,0,0,0
NeuroImage,1,0,1,0,0,148
Neurobiology of Disease,1,0,1,0,0,85
Neurocomputing,1,1,0,0,0,16
Neurology,1,0,1,0,0,0
New Medicine,1,0,1,0,0,0
Optical Engineering + Applications,1,0,0,1,0,3
Proceedings of the National Academy of Sciences of the United States of America,1,0,1,0,0,0
The FASEB Journal,1,0,1,0,0,0
The Neuroscientist,1,0,1,0,0,1
Trends in Cognitive Sciences,1,0,0,1,0,0
UNSURE/GRAIL@MICCAI,1,0,0,1,0,6
"Ubiquitous Computing, Electronics & Mobile Communication Conference",1,1,0,0,0,1
Vision,1,1,0,0,0,89
eScience,1,1,0,0,0,0
