work_id,canonical_paper_id,source_group,decision,year,venue,title,doi,pmid,arxiv_id,stem,landing_url,doi_url,pmid_url,arxiv_abs_url,semantic_scholar_url,pdf_url,pdf_source,pdf_status,local_path,bytes,sha256,search_match,match_method,matched_title,matched_doi,title_similarity,search_api,attempts,error,ts
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,adjacent_relevant,1995.0,Journal of Neuroscience,Role of neural activity during synaptogenesis in Drosophila,10.1523/jneurosci.15-12-08177.1995,8613752,,doi_10.1523_jneurosci.15-12-08177.1995,https://doi.org/10.1523/jneurosci.15-12-08177.1995,https://doi.org/10.1523/jneurosci.15-12-08177.1995,https://pubmed.ncbi.nlm.nih.gov/8613752/,,https://www.semanticscholar.org/paper/a9711483c91489ffd7cebb5cd9370694ed92544a,https://europepmc.org/articles/PMC6577928?pdf=render,direct_search,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1523_jneurosci.15-12-08177.1995.pdf,2783123,549b8701a0ad50737fe8aa3610b6a77f7e660982e1ab8e7b0e220e6b98b96d37,true,doi,Role of neural activity during synaptogenesis in Drosophila,10.1523/jneurosci.15-12-08177.1995,1.0,crossref,resume:existing_file,,2026-08-25T02:54:15Z
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,adjacent_relevant,2025.0,The Neuroscientist,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,10.1177/10738584251337656,40448600,,doi_10.1177_10738584251337656,https://doi.org/10.1177/10738584251337656,https://doi.org/10.1177/10738584251337656,https://pubmed.ncbi.nlm.nih.gov/40448600/,,https://www.semanticscholar.org/paper/c61c2773d3519d785b2e0476fa3521a2179d30fd,,,linked,,0,,,,,,,,,,2026-08-25T02:54:15Z
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,core_relevant,2020.0,Scientific Reports,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,10.1038/s41598-020-70859-5,32814795,,doi_10.1038_s41598-020-70859-5,https://doi.org/10.1038/s41598-020-70859-5,https://doi.org/10.1038/s41598-020-70859-5,https://pubmed.ncbi.nlm.nih.gov/32814795/,,https://www.semanticscholar.org/paper/8f5905570bdf6035df2344ecb4b3486088afbfaa,https://www.nature.com/articles/s41598-020-70859-5.pdf,unpaywall,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41598-020-70859-5.pdf,3515381,03edd9b7b8907ef45e863eeaecb296f2adb38692d43ea9de231d4646766a2a9c,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
work_00c9ebcec8853471,b52e2799275380196737cada3c71960588a747ea,core_audit,core_relevant,2026.0,bioRxiv,Physical contact reveals a hidden layer of cortical architecture,10.64898/2026.05.08.723866,42146364,,doi_10.64898_2026.05.08.723866,https://doi.org/10.64898/2026.05.08.723866,https://doi.org/10.64898/2026.05.08.723866,https://pubmed.ncbi.nlm.nih.gov/42146364/,,https://www.semanticscholar.org/paper/b52e2799275380196737cada3c71960588a747ea,https://www.biorxiv.org/content/10.64898/2026.05.08.723866.full.pdf,biorxiv,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.64898_2026.05.08.723866.pdf,26922257,551725feee0d4d479405f12412d0b62056c714b8da02c10796284600bd74fa47,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
work_00d72fd3c4223cd5,be364e55460008d9584e163bff599784f242e851,core_audit,core_relevant,2026.0,Nature,Distributed control circuits across a brain-and-cord connectome.,10.1038/s41586-026-10735-w,42259917,,doi_10.1038_s41586-026-10735-w,https://doi.org/10.1038/s41586-026-10735-w,https://doi.org/10.1038/s41586-026-10735-w,https://pubmed.ncbi.nlm.nih.gov/42259917/,,https://www.semanticscholar.org/paper/be364e55460008d9584e163bff599784f242e851,https://www.nature.com/articles/s41586-026-10735-w.pdf,direct_search,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-026-10735-w.pdf,28191741,90c2d18da388c50a1beaa6850f38e59305367925717fcec1994faa63f7a03fe7,true,doi,Distributed control circuits across a brain-and-cord connectome,10.1038/s41586-026-10735-w,1.0,crossref,resume:existing_file,,2026-08-25T02:54:15Z
work_00f9b510d0a91b47,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,core_audit,core_relevant,2018.0,ECCV Workshops,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,10.1007/978-3-030-11024-6_25,,1807.02739,doi_10.1007_978-3-030-11024-6_25,https://doi.org/10.1007/978-3-030-11024-6_25,https://doi.org/10.1007/978-3-030-11024-6_25,,https://arxiv.org/abs/1807.02739,https://www.semanticscholar.org/paper/21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,https://arxiv.org/pdf/1807.02739.pdf,arxiv,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1007_978-3-030-11024-6_25.pdf,1441722,afa73f46b9cb282b5d55b8c3fbbd9ccb0b75511c9b500716c99ede1bc4b94684,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,adjacent_relevant,2026.0,bioRxiv,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,10.64898/2026.05.23.727419,42239303,,doi_10.64898_2026.05.23.727419,https://doi.org/10.64898/2026.05.23.727419,https://doi.org/10.64898/2026.05.23.727419,https://pubmed.ncbi.nlm.nih.gov/42239303/,,https://www.semanticscholar.org/paper/529dced83d9366301577eec26503d894116c54f5,https://www.biorxiv.org/content/biorxiv/early/2026/05/24/2026.05.23.727419.full.pdf,unpaywall,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.64898_2026.05.23.727419.pdf,3164317,6f3a7083b0c5c98c7dce54a64a47243a782a87f63359bf1eab75caeca55be8ad,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,role_bridge,2012.0,Front. Neuroinform.,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,10.3389/fninf.2012.00002,22403539,,doi_10.3389_fninf.2012.00002,https://doi.org/10.3389/fninf.2012.00002,https://doi.org/10.3389/fninf.2012.00002,https://pubmed.ncbi.nlm.nih.gov/22403539/,,https://www.semanticscholar.org/paper/7d7299ee6cf7269421b72069de3c2c7ba586d4ab,https://www.frontiersin.org/articles/10.3389/fninf.2012.00002/pdf,unpaywall,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.3389_fninf.2012.00002.pdf,2642436,4cee8b0f85f4f3683921d8abba53bce4114910f6b05f85c0f3883070b2ae2611,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,adjacent_relevant,2019.0,Photonics,Optical Imaging in Brainsmatics,10.3390/photonics6030098,,,doi_10.3390_photonics6030098,https://doi.org/10.3390/photonics6030098,https://doi.org/10.3390/photonics6030098,,,https://www.semanticscholar.org/paper/0ca01e9a1670ec8571bbb367df253715093b201f,https://pub.mdpi-res.com/photonics/photonics-06-00098/article_deploy/photonics-06-00098.pdf,mdpi_res,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.3390_photonics6030098.pdf,413588,b6ef98a0a26d51f0048f41497df3b5de73747fae1ccecda8fbcc1142723d734e,true,doi,Optical Imaging in Brainsmatics,10.3390/photonics6030098,,crossref,resume:existing_file,,2026-08-25T02:54:15Z
work_01a98f721c115b3c,22ade92dc3207e51a9c47dbb3530c8977599500f,core_audit,adjacent_relevant,2015.0,bioRxiv,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,10.1101/019224,,,doi_10.1101_019224,https://doi.org/10.1101/019224,https://doi.org/10.1101/019224,,,https://www.semanticscholar.org/paper/22ade92dc3207e51a9c47dbb3530c8977599500f,https://www.biorxiv.org/content/10.1101/019224.full.pdf,biorxiv,downloaded,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1101_019224.pdf,6002637,468272b0a5ee7694898c0c0655fe599dde91ffff695bb3abaa4b99578595c9ca,,,,,,,resume:existing_file,,2026-08-25T02:54:15Z
