work_id,canonical_paper_id,source_group,year,venue,doi,title,publication_types,has_abstract,abstract_chars,record_type,is_research_paper,confidence,signal_count,evidence,title_rule,title_rule_type,title_rule_strength,title_match,publication_type_signal,publication_type_signal_type,publication_type_signal_strength,vetoed_publication_type_signals,research_publication_types,signals_conflict,watchlist_titles,review_queue,review_reasons
work_0232d70eda88c6aa,c796914fb1e2b7b87aaaff7b7e99e7dc3679b1bc,unresolved,2019.0,NeuroImage: Clinical,10.1016/j.nicl.2019.102084,Objective markers for psychiatric decision-making: How to move imaging into clinical practice,Editorial,True,6289,editorial_commentary,False,medium,1,publication_type:Editorial(strong),,,,,Editorial,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence;nonpaper_with_substantial_abstract
work_02580fc06dfe3e98,d27e3c0284b261d251c881155e780f1c939302c8,role_bridge,2015.0,Nature Methods,10.1038/nmeth.3392,BigDataViewer: visualization and processing for large image data sets,LettersAndComments,False,0,research_paper,True,medium,0,weak_publication_type:LettersAndComments,,,,,,,,,,False,,True,weak_nonpaper_signal_kept_as_paper
work_03af12da3a95c029,85201e8f9d6e24d78c70d310ed7e8c244fa007e7,core_audit,2018.0,,10.7554/elife.40247.049,Author response: Convergence of monosynaptic and polysynaptic sensory paths onto common motor outputs in a Drosophila feeding connectome,,False,0,peer_review_report,False,medium,1,title_rule:author_response='Author response:',author_response,peer_review_report,unambiguous,Author response:,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_058739ee82382c88,878e6616ed1e0adc5c8b9aa05e37b850f073dd60,unresolved,2020.0,,10.1002/cne.24932/v1/review2,"Review for ""The connectome of the Caenorhabditis elegans pharynx""",Review,False,0,peer_review_report,False,medium,1,"title_rule:review_for_quoted='Review for ""'; research_publication_type:Review",review_for_quoted,peer_review_report,unambiguous,"Review for """,,,,,Review,True,,True,unconfirmed_nonpaper_medium_confidence;signal_conflict
work_1143d78caa30689f,1c11b051f60e29ad69bdd1769b32940338936c66,core_audit,2021.0,,10.7554/elife.71981.sa2,Author response: Partial connectomes of labeled dopaminergic circuits reveal non-synaptic communication and axonal remodeling after exposure to cocaine,,False,0,peer_review_report,False,medium,1,title_rule:author_response='Author response:',author_response,peer_review_report,unambiguous,Author response:,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_2050557dce9d5249,a1dcbcc849ba9b93b55bc934601f1790505ac035,unresolved,2021.0,Acta Neurologica Scandinavica,10.1111/ane.13494,Mapping a Memory Disorder using Functional Network Analysis,Editorial,True,5144,editorial_commentary,False,medium,1,publication_type:Editorial(strong),,,,,Editorial,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence;nonpaper_with_substantial_abstract
work_20b869fc786c7bbe,3a122386af45af44cbf0738478c0f05f1cd13c3b,unresolved,2024.0,Stroke,10.1161/str.55.suppl_1.70,Abstract 70: Rich-Club Behaviour and Analyses in the Human Brain Connectome as Novel Early Biomarkers of Cognitive Decline,JournalArticle,True,2337,conference_abstract,False,high,1,title_rule:numbered_abstract='Abstract 70:',numbered_abstract,conference_abstract,unambiguous,Abstract 70:,,,,,,False,,True,nonpaper_with_substantial_abstract
work_23451f238867b69a,a933d03f9e497dbfb7ac7b8139caf10a092eb2bc,role_bridge,2024.0,Nature,10.1038/d41586-024-03182-y,Use citizen science to turbocharge big-data projects,News;JournalArticle,False,0,editorial_commentary,False,medium,1,publication_type:News(strong),,,,,News,editorial_commentary,strong,,,False,,True,unconfirmed_nonpaper_medium_confidence
work_23a21e4a9c260de0,7c4752cd9e11384f11532be8aaab6e6a5d182c2b,unresolved,2019.0,Frontiers in Neuroanatomy,10.3389/fnana.2019.00085,Editorial: Organization of the White Matter Anatomy in the Human Brain,Editorial,True,2699,editorial_commentary,False,high,2,title_rule:editorial_prefix='Editorial'; publication_type:Editorial(strong),editorial_prefix,editorial_commentary,unambiguous,Editorial,Editorial,editorial_commentary,strong,,,False,,True,nonpaper_with_substantial_abstract
work_24d17db375924e69,f2f840ce9927a823c6f97ac78c19c5c472e142d3,core_audit,2005.0,PLoS Biology,10.1371/journal.pbio.0030350,Correction: Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,,True,578,erratum_correction,False,medium,1,title_rule:correction_prefix='Correction:',correction_prefix,erratum_correction,unambiguous,Correction:,,,,,,False,,True,unconfirmed_nonpaper_medium_confidence
