work_id,canonical_paper_id,source_group,year,venue,doi,title,publication_types,has_abstract,abstract_chars,record_type,is_research_paper,confidence,signal_count,evidence,title_rule,title_rule_type,title_rule_strength,title_match,publication_type_signal,publication_type_signal_type,publication_type_signal_strength,vetoed_publication_type_signals,research_publication_types,signals_conflict,watchlist_titles,review_queue,review_reasons
work_0001c442a520339a,d2dddce8d2119de2f515efa9921dc7c01a985d2d,unresolved,2018.0,NeuroImage: Clinical,10.1016/j.nicl.2018.05.003,Baseline biomarkers of connectome disruption and atrophy predict future processing speed in early multiple sclerosis,JournalArticle,True,2245,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_00089fd941984712,1189a587d37f99a2bba69e15f4cb8110aabc4149,unresolved,2015.0,PLoS ONE,10.1371/journal.pone.0136388,Semi-Metric Topology of the Human Connectome: Sensitivity and Specificity to Autism and Major Depressive Disorder,JournalArticle;Study,True,1977,research_paper,True,high,0,research_publication_type:Study,,,,,,,,,Study,False,,False,
work_000e65dd7ca70fca,61edbfd4025d239f16470e59260ce11d650dd76e,unresolved,2025.0,Journal of Medical Imaging,10.1117/1.jmi.12.6.064001,"Harmonizing 10,000 connectomes: site-invariant representation learning for multi-site analysis of network connectivity and cognitive impairment",JournalArticle,True,1777,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_001454df91336514,a9711483c91489ffd7cebb5cd9370694ed92544a,core_audit,1995.0,Journal of Neuroscience,10.1523/jneurosci.15-12-08177.1995,Role of neural activity during synaptogenesis in Drosophila,JournalArticle,True,1367,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_0016f2020218fbe5,c61c2773d3519d785b2e0476fa3521a2179d30fd,core_audit,2025.0,The Neuroscientist,10.1177/10738584251337656,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates,JournalArticle,True,434,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_001c0f01391e19c4,8f5905570bdf6035df2344ecb4b3486088afbfaa,role_bridge,2020.0,Scientific Reports,10.1038/s41598-020-70859-5,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,JournalArticle,True,1292,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_0061e496fde63c76,5fd60fb7ae389f8983f500c2124d4da2b9fc8ed3,unresolved,2019.0,Epilepsia,10.1111/epi.14688,NEUROIMAGING AND CONNECTOMICS OF DRUG-RESISTANT EPILEPSY AT MULTIPLE SCALES: FROM FOCAL LESIONS TO MACROSCALE NETWORKS,JournalArticle;Review,True,1262,research_paper,True,high,0,research_publication_type:Review,,,,,,,,,Review,False,,False,
work_006f5173328de364,2245d1e4df82d2f0fd9b6c98e93543dfb6a601e8,unresolved,2017.0,Nature Protocols,10.1038/nprot.2016.178,Using connectome-based predictive modeling to predict individual behavior from brain connectivity,JournalArticle,True,1923,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_007a21bf306095ee,d0ce113a8440bf125349e51542005fbc46c20ccd,role_bridge,2003.0,,10.1007/978-1-4757-3783-7_6,Genome Annotation and Analysis,Review,False,0,research_paper,True,high,0,research_publication_type:Review,,,,,,,,,Review,False,,False,
work_007bc0362b8a3d88,cdcee67b431d106d7083a6730ab5fcd43c3cb51b,unresolved,2021.0,bioRxiv,10.1101/2021.03.13.432212,Structural Covariance Networks in Post-Traumatic Stress Disorder: A Multisite ENIGMA-PGC Study,,True,1812,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
work_00ae585671725ab5,0620d9b5c6267e43fca0b6442ad4abe7c0eab06d,unresolved,2014.0,NeuroImage: Clinical,10.1016/j.nicl.2014.05.018,Assessment of the structural brain network reveals altered connectivity in children with unilateral cerebral palsy due to periventricular white matter lesions,JournalArticle,True,2264,research_paper,True,high,0,no_non_paper_signal,,,,,,,,,,False,,False,
