work_id,title,year,doi,venue,decision,graph_core,ultra_core,emergent_core,citation_count_work,corpus_link_count,is_recent_2024plus,k_core,pagerank_percentile,citation_role,primary_community_label,n_authors,pdf_local_path
work_1f5bc11fd70f625f,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,10.1126/science.adk4858,Science,core_relevant,core,True,False,295,88,True,11.0,0.982479426599416,hub,J. Lichtman / Hanspeter Pfister,31,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1126_science.adk4858.pdf
work_6f86d20c9bf6e84d,Whole-brain annotation and multi-connectome cell typing of Drosophila,2024,10.1038/s41586-024-07686-5,Nature,core_relevant,core,True,False,291,38,True,,,no_graph,H. Sebastian Seung / G. Jefferis,304,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-024-07686-5.pdf
work_86ba4bfd64350171,Neuronal wiring diagram of an adult brain,2024,10.1038/s41586-024-07558-y,Nature,core_relevant,core,True,False,242,107,True,11.0,0.9843376692328112,hub,H. Sebastian Seung / G. Jefferis,46,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-024-07558-y.pdf
work_2f968b5df6b0dd3d,The connectome of an insect brain,2022,10.1126/science.add9330,bioRxiv,core_relevant,core,True,False,359,71,False,11.0,0.9665516325988852,hub,Albert Cardona / J. Vogelstein,20,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1126_science.add9330.pdf
work_f4089e71d372f0e5,Connectomic comparison of mouse and human cortex,2022,10.1126/science.abo0924,Science,core_relevant,core,True,False,205,37,False,11.0,0.9792938677993098,broker,M. Helmstaedter / Winfried Denk,11,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1126_science.abo0924.pdf
work_e55d932cde0c77af,Connectomes across development reveal principles of brain maturation,2021,10.1038/s41586-021-03778-8,Nature,core_relevant,core,True,False,395,138,False,11.0,0.99150517653305,hub,J. Lichtman / Hanspeter Pfister,16,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-021-03778-8.pdf
work_ee5b7f908c56d881,Functional connectomics spanning multiple areas of mouse visual cortex,2021,10.1038/s41586-025-08790-w,bioRxiv,core_relevant,core,True,False,394,149,False,11.0,0.9917706397663923,hub,H. Sebastian Seung / G. Jefferis,75,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-025-08790-w.pdf
work_3cfb4552d0463ce3,A connectomic study of a petascale fragment of human cerebral cortex,2021,10.1101/2021.05.29.446289,bioRxiv,core_relevant,core,True,False,217,80,False,11.0,0.9867268383328908,hub,J. Lichtman / Hanspeter Pfister,29,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1101_2021.05.29.446289.pdf
work_7773a3cd24b3497d,A connectome and analysis of the adult Drosophila central brain,2020,10.7554/elife.57443,bioRxiv,core_relevant,core,True,False,900,119,False,11.0,0.9880541544996018,hub,J. Lichtman / Hanspeter Pfister,115,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.7554_elife.57443.pdf
work_4514cd847994dcc7,A connectome of the Drosophila central complex reveals network motifs suitable for flexible navigation and context-dependent action selection,2020,10.1101/2020.12.08.413955,bioRxiv,core_relevant,core,True,False,332,86,False,11.0,0.9838067427661268,hub,J. Lichtman / Hanspeter Pfister,13,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1101_2020.12.08.413955.pdf
work_31d1fee6f2ffabfe,The connectome of the adult Drosophila mushroom body provides insights into function,2020,10.7554/elife.62576,eLife,core_relevant,core,True,False,289,76,False,11.0,0.9827448898327582,hub,H. Sebastian Seung / G. Jefferis,25,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.7554_elife.62576.pdf
work_241b54c819ff405b,FlyWire: Online community for whole-brain connectomics,2020,10.1038/s41592-021-01330-0,Nature Methods,core_relevant,core,True,False,242,120,False,11.0,0.9899123971329972,hub,H. Sebastian Seung / G. Jefferis,40,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41592-021-01330-0.pdf
work_e323a05fc48f61c0,Reconstruction of motor control circuits in adult Drosophila using automated transmission electron microscopy,2020,10.1101/2020.01.10.902478,bioRxiv,core_relevant,core,True,False,239,36,False,11.0,0.9583222723652774,broker,M. Helmstaedter / Winfried Denk,12,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1101_2020.01.10.902478.pdf
work_cfa0e3eb48787eff,Whole-animal connectomes of both Caenorhabditis elegans sexes,2019,10.1038/s41586-019-1352-7,Nature,core_relevant,core,True,False,806,172,False,11.0,0.9962835147332094,hub,Oliver Hobert / Steven J. Cook,14,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41586-019-1352-7.pdf
work_d552830c86eb491f,Large Scale Image Segmentation with Structured Loss Based Deep Learning for Connectome Reconstruction,2019,10.1109/tpami.2018.2835450,IEEE Transactions on Pattern Analysis and Machine Intelligence,core_relevant,core,True,False,226,32,False,11.0,0.9761083089992036,broker,M. Helmstaedter / Winfried Denk,7,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1109_tpami.2018.2835450.pdf
work_8fd725d2118803e2,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,2019,10.1038/s41467-020-18659-3,Nature Communications,core_relevant,core,True,False,133,25,False,11.0,0.9559331032651978,broker,H. Sebastian Seung / G. Jefferis,20,/Users/wgray13/projects/connectomics-survey/postanalysis/pdfs/files/doi_10.1038_s41467-020-18659-3.pdf
