idx,a,b,decision,reason,a_title,b_title
0,work_415a4588248db885,work_fd10f72811149ab6,link,"preprint/published pair, same team",Photoemission electron microscopy for connectomics,Photoemission electron microscopy for connectomics
1,work_5195056df2e1ac52,work_765885bfc2367645,link,same contribution across venues (v3 dedup rule),High-throughput image alignment for connectomics using frugal snap jud,High-Throughput Image Alignment for Connectomics using Frugal Snap Jud
2,work_8113f64b1f73cab5,work_fbb388f2bf949e98,link,"preprint/published pair, same team",Rapid reconstruction of neural circuits using tissue expansion and lig,Rapid reconstruction of neural circuits using tissue expansion and lat
3,work_1bae2d5ef9d946b4,work_6b02e0bfc896d222,link,"preprint/published pair, same team",Light-microscopy-based connectomic reconstruction of mammalian brain t,Light-microscopy based dense connectomic reconstruction of mammalian b
4,work_067df68ce507c51a,work_beeea6a851b4fed9,link,"preprint/published pair, same team",SEQUIN multiscale imaging of mammalian central synapses reveals loss o,SEQUIN multiscale imaging of mammalian central synapses reveals loss o
5,work_11cea989f9393837,work_f069030f2c4c92b6,link,"preprint/published pair, same team",Electron Microscopy Sample Preparation Protocol Enabling Nano-to-mesos,Sample preparation protocol enabling nano-to-mesoscopic mapping of cel
6,work_288f739dc6052fba,work_71228bbacae77900,link,"preprint/published pair, same team",Mapping brain-wide excitatory projectome of primate prefrontal cortex ,Mapping brain-wide excitatory projectome of primate prefrontal cortex 
7,work_09199ea5f61eb458,work_2485ee1dcda00821,link,"preprint/published pair, same team",Spatial and morphological organization of mitochondria in neurons acro,Spatial and morphological organization of mitochondria across a connec
8,work_cd0b5754cedee65a,work_fc13e114cf7d06ac,link,"preprint/published pair, same team",Comparative connectomics of dauer reveals developmental plasticity,Mind of a dauer: Comparative connectomics reveals developmental plasti
9,work_34fc25940f548ef5,work_c53582f26bc149ef,link,"preprint/published pair, same team",Reconstruction of a connectome of single neurons in mouse brains by cr,Reconstruct a Connectome of Single Neurons in Mouse Brains by Cross-Va
10,work_4e2150beaf4899c9,work_e1c1c0111e3437e4,link,conference-abstract version of same study,"Genetic, Cellular, and Connectomic Characterization of the Adult Human","NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION OF THE AD"
11,work_6922548bd6668b06,work_a91dd32f1e156d6b,link,"preprint/published pair, same team",Symmetries and synchronization from whole-neural activity in the Caeno,Symmetries and synchronization from whole-neural activity in C. elegan
12,work_6a4f0f39d4def518,work_d0d0574327b29c36,link,"preprint/published pair, same team",3D reconstruction of the cerebellar germinal layer reveals tunneling c,3D reconstruction of the cerebellar germinal layer reveals intercytopl
13,work_5b8a9817f078c45d,work_bd2ccf370cd8d95a,link,"preprint/published pair, same team",High-throughput mapping of single-neuron projection and molecular feat,High-throughput mapping of single-neuron projection and molecular feat
14,work_401c89a6385f9a3d,work_b65ed95337b7dc26,link,"preprint/published pair, same team",Cell-type specific innervation of cortical pyramidal cells at their ap,Cell-type specific innervation of cortical pyramidal cells at their ap
15,work_57740b7642ad74b1,work_988afa930dd686a5,link,"preprint/published pair, same team",Center-surround interactions underlie bipolar cell motion sensitivity ,Center-surround interactions underlie bipolar cell motion sensing in t
16,work_40fc999a7afe7d1d,work_e94cc5e67a4cfa4e,link,"preprint/published pair, same team",Prediction of a Cell-Class-Specific Mouse Mesoconnectome Using Gene Ex,Prediction of a cell-type specific mouse mesoconnectome using gene exp
17,work_171372e1aa47365c,work_2fb4d7c6fc7d1a14,link,"preprint/published pair, same team",Asymmetry in synaptic connectivity balances redundancy and reachabilit,Asymmetry in synaptic connectivity balances redundancy and reachabilit
18,work_754bce12dda22d66,work_76f78823e1d94096,link,"preprint/published pair, same team","Hub connectivity, neuronal diversity, and gene expression in the C. el","Hub connectivity, neuronal diversity, and gene expression in the Caeno"
19,work_09cad265abcc12f6,work_57acd5b918a0ef71,link,"preprint/published pair, same team",Circuit analysis of the Drosophila brain using connectivity-based neur,Circuit analysis of the Drosophila brain using connectivity-based neur
20,work_12d8761a63328240,work_f5cd0f9a22de661a,link,"preprint/published pair, same team",Social state alters vision using three circuit mechanisms in Drosophil,Social state gates vision using three circuit mechanisms in Drosophila
21,work_564cb966947b22a2,work_5b81fc91a6acd597,link,"preprint/published pair, same team",Connectomes across development reveal principles of brain maturation,Connectomes across development reveal principles of brain maturation i
22,work_58ffc4aa95b9babd,work_b4123cdf49a2541d,link,"preprint/published pair, same team",Fluorescence-Based Quantitative Synapse Analysis for Cell Type-Specifi,Quantitative synapse analysis for cell-type specific connectomics
23,work_a381ff6a6d065982,work_ccefb6bc5c03ca1e,link,"preprint/published pair, same team",Connectomic reconstruction of a female Drosophila ventral nerve cord,Tools for connectomic reconstruction and analysis of a female Drosophi
24,work_ad0e04ae179235d2,work_f378871fb09fedda,link,"preprint/published pair, same team",A data-driven biology-based network model reproduces C. elegans premot,A data-driven biophysical network model reproduces C. elegans premotor
25,work_74fbfda1e48554b7,work_ba4c840d8621530a,link,"preprint/published pair, same team",Synaptic and peptidergic connectome of a neurosecretory center in the ,Synaptic and peptidergic connectome of a neurosecretory centre in the 
26,work_750e9d67fef153c8,work_8b7e42dd0db5e95b,link,"preprint/published pair, same team",Surface Optimisation Governs the Local Design of Physical Networks,Surface optimization governs the local design of physical networks
27,work_31d4ff5b664b68cf,work_ba06be4ad07d832b,link,"preprint/published pair, same team",Automatic Detection and Neurotransmitter Prediction of Synapses in Ele,Automatic classification and neurotransmitter prediction of synapses i
28,work_552d850b28024e81,work_fe1a48095ec7ebca,link,"preprint/published pair, same team","BAcTrace, a tool for retrograde tracing of neuronal circuits in Drosop",BAcTrace a new tool for retrograde tracing of neuronal circuits
29,work_0f04ae9a977036ef,work_eda8bfb049f64e3d,link,"preprint/published pair, same team","Modular segmentation, spatial analysis and visualization of volume ele","Organelle-specific segmentation, spatial analysis, and visualization o"
30,work_3d9daf3ab214c7e3,work_eae005a0f4080def,link,"preprint/published pair, same team",Generating an Executable Model of the Drosophila Central Complex,Generating Executable Models of the Drosophila Central Complex
31,work_7f98fa53f3d8805d,work_ad2245ba02976b6a,link,redundant metadata record of same article,Synaptic connectivity and neuronal morphology: two sides of the same c,Viewpoint Synaptic Connectivity and Neuronal Morphology: Two Sides of 
32,work_24d17db375924e69,work_fd6353a8d1e9547e,link,correction/erratum record under original,Correction: Highly Nonrandom Features of Synaptic Connectivity in Loca,Highly Nonrandom Features of Synaptic Connectivity in Local Cortical C
33,work_2839d159b329c51e,work_65baa7c7ae74d1b6,link,correction/erratum record under original,Graph Matching Based Connectomic Biomarker with Learning for Brain Dis,Correction to: Graph Matching Based Connectomic Biomarker with Learnin
34,work_5b62afffb6dc9527,work_7bca0fc3690c4307,link,"preprint/published pair, same team",Predicting MEG resting-state functional connectivity from microstructu,Predicting MEG resting-state functional connectivity using microstruct
35,work_29a46ffc83e815f5,work_97d760eb683a3346,link,"preprint/published pair, same team",NeuroSC: Exploring Neurodevelopment via Spatiotemporal Collation of An,Exploring neurodevelopment via spatiotemporal collation of anatomical 
36,work_738c9dabdcec74c6,work_f4a8d1f2134cc6fc,link,"preprint/published pair, same team","Effect of channel density, inverse solutions and connectivity measures","Effect of channel density, inverse solutions and connectivity measures"
37,work_099a7f3c1eee07e6,work_3b9bbf1765187fe9,link,conference-abstract version of same study,Basis profile curve identification to understand electrical stimulatio,19233 Basis profile curve identification to understand electrical stim
38,work_2ed1b4217bd49c80,work_7b51f5706fb6b5eb,link,"preprint/published pair, same team",Sex-dependent effect of amyloidosis on functional network ‘hub’ topolo,Sex-dependent effects of amyloidosis on functional network hub topolog
39,work_02e871c04073db49,work_c94511882440c1fb,link,"preprint/published pair, same team",Analysis of structural network topology alterations in autism and its ,Analysis of Structural Brain Network Topology Alterations in Autism an
40,work_97642d6405e6b9f7,work_9c39732e07985a6f,link,correction/erratum record under original,The Developing Human Connectome Project: typical and disrupted perinat,Erratum to: The Developing Human Connectome Project: typical and disru
41,work_9b19cf10afc82f84,work_c9f11c6df43f6119,link,correction/erratum record under original,Graph neural fields: A framework for spatiotemporal dynamical models o,Correction: Graph neural fields: A framework for spatiotemporal dynami
42,work_44c3f972a4d4f45c,work_beea6d7ff3d97db0,link,"preprint/published pair, same team",Non-Negative Data-Driven Mapping of Structural Connections with Applic,Non-Negative Data-Driven Mapping of Structural Connections in the Neon
43,work_3d0ac282b0b4a220,work_502f3fcda5afe2ef,link,"preprint/published pair, same team",Exercise alters cortico-basal ganglia network metabolic connectivity: ,Exercise alters cortico-basal ganglia network functional connectivity:
44,work_52b580bc3bd18b49,work_ace02ef06d00390d,link,"preprint/published pair, same team",Combinatorial expression of γ-protocadherins regulates synaptic connec,Combinatorial expression of gamma-protocadherins regulates synaptic co
45,work_348b9c594edf6938,work_780f5506d30b365c,link,"preprint/published pair, same team",Latent disconnectome prediction of long-term cognitive symptoms in str,Latent disconnectome prediction of long-term cognitive-behavioural sym
46,work_0da2a144ea2516ee,work_f3534e571d79cff0,link,"preprint/published pair, same team",Self-Organization of Microcircuits in Networks of Spiking Neurons with,Self-organization of microcircuits in networks of neurons with plastic
47,work_49e33bc085bf8886,work_c7040986681b0037,link,supplement record of same article,Optimally controlling the human connectome: the role of network topolo,Supplement to : Optimally controlling the human connectome : the role 
