class,jaccard,preprint_wid,published_wid,preprint_doi,published_doi,cites_a,cites_b,cites_summed,years,title,in_working_view
preprint_published,0.824,work_86cd789b5e2d994e,work_ee62b1ccfb61291e,10.1101/2022.07.26.501544,,3,4,7,2023/2022,Connectome spectrum electromagnetic tomography: a method to reconstruct electrical brain sources at ,neither
preprint_published,0.8,work_fa0086ad5e899c87,work_3ec538b5a1a71a82,10.1101/2021.10.18.464713,10.1038/s41467-022-31730-5,1,97,98,2021/2022,Structural network alterations in focal and generalized epilepsy assessed in a worldwide ENIGMA stud,neither
preprint_published,0.778,work_0776b0d544c24d0d,work_69e7adba45a58243,10.1101/403105,10.1073/pnas.1814785115,5,174,179,2018/2018,Multilayer network switching rate predicts brain performance,neither
preprint_published,0.769,work_3167944ed8876ef1,work_c264471fa138e632,10.1101/649731,10.1038/s41593-020-0607-9,10,134,144,2019/2020,Recurrent architecture for adaptive regulation of learning in the insect brain,both
preprint_published,0.765,work_caded82b4ff6f38b,work_2e89582f1e165cd3,10.1101/368878,10.7554/elife.40247,1,57,58,2018/2018,Convergence of monosynaptic and polysynaptic sensory paths onto common motor outputs in a Drosophila,both
preprint_published,0.75,work_14b6d5aa74ac49e7,work_ba255a04a84e1e9c,10.1101/2025.04.05.647403,10.1073/pnas.2603286123,3,0,3,2025/2026,Approaching a connectome of the human foveal retina,both
preprint_published,0.733,work_ba4c840d8621530a,work_89a1c3d1c130ab2c,10.1101/115204,10.7554/elife.26349.042,13,2,15,2017/2017,Author response: Synaptic and peptidergic connectome of a neurosecretory center in the annelid brain,neither
preprint_published,0.722,work_1abefbc844f53786,work_783a1dd4e73fe636,10.21203/rs.3.rs-3121892/v1,10.1038/s41467-024-50411-z,4,9,13,2023/2024,Multiplexed volumetric CLEM enabled by scFvs provides insights into the cytology of cerebellar corte,both
preprint_published,0.722,work_d2aa9ba75c9f5683,work_4c9179082aa8723a,10.1101/731083,10.1038/s41467-020-18494-6,0,42,42,2019/2020,Surfaceome dynamics reveal proteostasis-independent reorganization of neuronal surface proteins duri,one
preprint_published,0.7,work_2a895c41d7dc42a3,work_f30031f2d37b416e,10.1101/2021.04.02.438164,10.1016/j.isci.2021.103601,2,28,30,2021/2021,Multi-scale light microscopy/electron microscopy neuronal imaging from brain to synapse with a tissu,both
preprint_published,0.7,work_afbb7bf278fca34e,work_76655a3d58be42ad,10.1101/2024.02.21.581243,10.1088/2632-2153/ad6230,1,22,23,2024/2024,Simulation-based inference on virtual brain models of disorders,neither
preprint_published,0.692,work_24c9d58c113a2b86,work_97f80d18931aae82,10.1101/615161,10.1093/gigascience/giaa147,9,4,13,2019/2020,"Toward a scalable framework for reproducible processing of volumetric, nanoscale neuroimaging datase",both
preprint_published,0.688,work_5cacc375519272f8,work_7d109ac5ec7ba974,10.1101/212423,10.1098/rstb.2017.0377,5,22,27,2017/2018,Functional connectomics from neural dynamics: probabilistic graphical models for neuronal network of,both
preprint_published,0.684,work_caded82b4ff6f38b,work_03af12da3a95c029,10.1101/368878,10.7554/elife.40247.049,1,1,2,2018/2018,Author response: Convergence of monosynaptic and polysynaptic sensory paths onto common motor output,one
preprint_published,0.684,work_aace58d8981653c0,work_95f1a1464a053731,10.1101/2020.02.05.935080,10.1002/hbm.25595,2,27,29,2020/2021,"Relating quantitative 7T MRI across cortical depths to cytoarchitectonics, gene expression and conne",one
preprint_published,0.667,work_71e40079f57e9b0b,work_7ea8cdfa5d969915,10.1101/2020.07.15.204263,10.1016/j.celrep.2022.110416,4,78,82,2020/2022,Astrocyte-neuron crosstalk through Hedgehog signaling mediates cortical synapse development,one
preprint_published,0.667,work_24df8696bc3bda1a,work_27afcee75e81515b,10.1101/2020.09.16.300384,10.1016/j.neuroimage.2021.118190,0,25,25,2020/2021,Emergence of canonical functional networks from the structural connectome,neither
preprint_published,0.647,work_d877a14b14e535c5,work_87c076771ae6ecb0,10.21203/rs.3.rs-8687892/v1,10.1002/alz70856_100814,5,0,5,2026/2025,Brain connectivity drives tau presence while regional vulnerability drives tau load in Alzheimer's d,both
preprint_published,0.643,work_990d7d6abfa17e5a,work_324fa11700fbfc52,10.1101/852863,10.1017/s1431927618006621,18,1,19,2019/2018,Breaking Barriers of FIB-SEM for Large Volume Connectomics and Cell Biology,one
