source,signal,doi,year,title
convergence-rescue,5 panel clusters,10.1523/jneurosci.3189-07.2008,2008,Serial Section Scanning Electron Microscopy of Adult Brain Tissue Using Focused Ion Beam Milling
convergence-rescue,5 panel clusters,10.1038/s41592-019-0641-2,2019,Gas cluster ion beam SEM for imaging of large tissue samples with 10 nm isotropic resolution
convergence-rescue,4 panel clusters,10.1038/nature14297,2015,A multilevel multimodal circuit enhances action selection in Drosophila
convergence-rescue,4 panel clusters,10.1111/jmi.12224,2015,"High-resolution, high-throughput imaging with a multibeam scanning electron microscope"
convergence-rescue,4 panel clusters,10.1038/s41592-021-01183-7,2021,Automatic Detection of Synaptic Partners in a Whole-Brain Drosophila EM Dataset
convergence-rescue,3 panel clusters,10.1038/s41592-018-0219-4,2018,Expansion Microscopy: Principles and Uses in Biological Research
convergence-rescue,3 panel clusters,10.1038/s41586-021-03778-8,2021,Connectomes across development reveal principles of brain maturation
convergence-rescue,3 panel clusters,10.1038/nature22356,2017,Whole-brain serial-section electron microscopy in larval zebrafish
convergence-rescue,3 panel clusters,10.1038/nmeth.2072,2012,Elastic volume reconstruction from series of ultra-thin microscopy sections
convergence-rescue,3 panel clusters,10.3389/fncir.2014.00068,2014,Imaging ATUM ultrathin section libraries with WaferMapper: a multi-scale approach to EM reconstruction of neural circuit
convergence-rescue,3 panel clusters,10.1038/s41593-020-0704-9,2020,Dense neuronal reconstruction through X-ray holographic nano-tomography
convergence-rescue,3 panel clusters,10.1038/nature23455,2017,The complete connectome of a learning and memory centre in an insect brain
convergence-rescue,2 panel clusters,10.1023/b:visi.0000029664.99615.94,2004,Distinctive Image Features from Scale-Invariant Keypoints
convergence-rescue,2 panel clusters,10.1126/science.298.5594.824,2002,Network motifs: simple building blocks of complex networks.
convergence-rescue,2 panel clusters,10.1038/s41592-019-0582-9,2019,ilastik: interactive machine learning for (bio)image analysis
convergence-rescue,2 panel clusters,10.1016/j.neuron.2007.06.014,2007,Array tomography: a new tool for imaging the molecular architecture and ultrastructure of neural circuits.
convergence-rescue,2 panel clusters,10.1111/j.1365-2818.2005.01466.x,2005,Reconstruct: a free editor for serial section microscopy
convergence-rescue,2 panel clusters,10.1016/j.cub.2010.11.056,2011,Three-dimensional reconstruction of brain-wide wiring networks in Drosophila at single-cell resolution.
convergence-rescue,2 panel clusters,10.1162/neco.2009.10-08-881,2010,Convolutional Networks Can Learn to Generate Affinity Graphs for Image Segmentation
convergence-rescue,2 panel clusters,10.1126/science.1209168,2011,The Big and the Small: Challenges of Imaging the Brain’s Circuits
convergence-rescue,2 panel clusters,10.7554/elife.05793,2015,Ultrastructural analysis of adult mouse neocortex comparing aldehyde perfusion with cryo fixation
convergence-rescue,2 panel clusters,10.1083/jcb.30.2.424,1966,A NEW STAINING METHOD (OTO) FOR ENHANCING CONTRAST OF LIPID-CONTAINING MEMBRANES AND DROPLETS IN OSMIUM TETROXIDE-FIXED 
convergence-rescue,2 panel clusters,10.1016/j.cub.2010.07.045,2010,Sexual Dimorphism in the Fly Brain
convergence-rescue,2 panel clusters,10.1038/nprot.2011.439,2012,High contrast en bloc staining of neuronal tissue for field emission scanning electron microscopy
convergence-rescue,2 panel clusters,10.1073/pnas.1509820112,2015,Synaptic circuits and their variations within different columns in the visual system of Drosophila
convergence-rescue,2 panel clusters,10.1111/boc.201600024,2016,Volume scanning electron microscopy for imaging biological ultrastructure
convergence-rescue,2 panel clusters,10.1017/s1431927606066268,2006,Automating the Collection of Ultrathin Serial Sections for Large Volume TEM Reconstructions
convergence-rescue,2 panel clusters,10.1038/nmeth.3361,2015,High-resolution whole-brain staining for electron microscopic circuit reconstruction
convergence-rescue,2 panel clusters,10.1371/journal.pone.0071715,2013,Machine Learning of Hierarchical Clustering to Segment 2D and 3D Images
convergence-rescue,2 panel clusters,10.1177/32.4.6323574,1984,The use of osmium-thiocarbohydrazide-osmium (OTO) and ferrocyanide-reduced osmium methods to enhance membrane contrast a
convergence-rescue,2 panel clusters,10.1016/j.cell.2012.12.013,2013,System-wide rewiring underlies behavioral differences in predatory and bacterial-feeding nematodes.
convergence-rescue,2 panel clusters,10.1038/nmeth.2213,2012,Staining and embedding the whole mouse brain for electron microscopy
convergence-rescue,2 panel clusters,10.1016/j.neuron.2015.09.003,2015,SegEM: Efficient Image Analysis for High-Resolution Connectomics.
convergence-rescue,2 panel clusters,10.1038/nature24005,2017,Axonal synapse sorting in medial entorhinal cortex
convergence-rescue,2 panel clusters,10.1016/j.conb.2018.04.030,2018,Progress and remaining challenges in high-throughput volume electron microscopy.
convergence-rescue,2 panel clusters,10.1093/bioinformatics/btx188,2017,DeepEM3D: approaching human‐level performance on 3D anisotropic EM image segmentation
convergence-rescue,2 panel clusters,10.1007/978-3-319-67558-9_29,2017,ssEMnet: Serial-Section Electron Microscopy Image Registration Using a Spatial Transformer Network with Learned Features
convergence-rescue,2 panel clusters,10.3389/fncir.2018.00098,2018,Large Volume Electron Microscopy and Neural Microcircuit Analysis
convergence-rescue,2 panel clusters,10.1101/657346,2019,High-throughput transmission electron microscopy with automated serial sectioning
convergence-rescue,2 panel clusters,10.1038/s41592-025-02891-0,2024,Nondestructive X-ray tomography of brain tissue ultrastructure
convergence-rescue,2 panel clusters,10.3389/fncom.2017.00097,2017,Feasibility of 3D Reconstruction of Neural Morphology Using Expansion Microscopy and Barcode-Guided Agglomeration
convergence-rescue,2 panel clusters,10.1038/s41592-023-01866-3,2023,High-contrast en bloc staining of mouse whole-brain and human brain samples for EM-based connectomics
convergence-rescue,2 panel clusters,,2019,Siamese Encoding and Alignment by Multiscale Learning with Self-Supervision
convergence-rescue,2 panel clusters,10.1101/852863,2019,Enabling FIB-SEM Systems for Large Volume Connectomics and Cell Biology
convergence-rescue,2 panel clusters,10.1101/2021.07.23.453511,2021,PatchPerPixMatch for Automated 3d Search of Neuronal Morphologies in Light Microscopy
convergence-rescue,2 panel clusters,10.1016/j.cell.2019.07.042,2019,"Reconstruction of 1,000 Projection Neurons Reveals New Cell Types and Organization of Long-Range Connectivity in the Mou"
convergence-rescue,2 panel clusters,10.1016/j.cell.2020.12.013,2021,Reconstruction of motor control circuits in adult Drosophila using automated transmission electron microscopy
methods-registry,verified method: SBF-SEM,10.1371/journal.pbio.0020329,2004,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure
methods-registry,verified method: FAST-EM array tomography,10.1515/mim-2024-0005,2024,FAST-EM array tomography: a workflow for multibeam volume electron microscopy
methods-registry,verified method: Flood-filling networks,10.1038/s41592-018-0049-4,2018,High-precision automated reconstruction of neurons with flood-filling networks
methods-registry,verified method: KNOSSOS + RESCOP consensus,10.1038/nn.2868,2011,High-accuracy neurite reconstruction for high-throughput neuroanatomy
methods-registry,verified method: EyeWire crowd proofreading,10.1038/nature13240,2014,Space–time wiring specificity supports direction selectivity in the retina
methods-registry,verified method: BossDB ecosystem,10.1038/s41592-018-0181-1,2018,A community-developed open-source computational ecosystem for big neuro data
