work_id,year,stage_tags,title,adjudication,reason
work_0128137052dec3e0,2026.0,,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,keep-rescued,user-endorsed FP (functional synaptic microcircuit)
work_01a98f721c115b3c,2015.0,graph_analysis,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_02bef5f71001dccb,2023.0,graph_analysis;modeling,Tau trajectory in Alzheimer's disease: Evidence from the connectome-based computational models.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_02da51be986693aa,2019.0,graph_analysis,PTEN Activity Defines an Axis for Plasticity at Cortico-Amygdala Synapses and Influences Social Behavior.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_0308d268ca38e94f,2026.0,graph_analysis;infrastructure,Intrinsic elaboration of prefrontal modularity: a dual-control model of axon bundling and synaptic docking,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_03f019b1ea59c828,2022.0,,The 3D ultrastructure of the chordotonal organs in the antenna of a microwasp remains complex although simplified,keep-rescued,comparative EM ultrastructure
work_03f185e6c6909898,2025.0,graph_analysis;infrastructure,"Integrative analysis of single-neuron projectomes links connectome, transcriptome, and function in the mouse cortex.",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_047847ced0c96ed0,2019.0,graph_analysis,The head direction circuit of two insect species,keep-rescued,"insect CX circuit, connectome-derived"
work_068034b20857f28d,2023.0,,Shallow networks run deep: Peripheral preprocessing facilitates odor classification,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_06fed2e30ee196ac,2013.0,,The connectomics challenge.,keep-rescued,field commentary (connectomics challenge)
work_07aa0164f902c8fb,2019.0,graph_analysis,Cell type composition and circuit organization of neocortical radial clones,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_07cf5b18e1597373,2026.0,modeling,Spine-neck electrical bottlenecks tune temporal precision and inhibitory gating in cortical pyramidal neurons: A connectomics-base,keep-rescued,structure-to-function on spine ultrastructure
work_08f274f7f7744af5,2025.0,graph_analysis,Synaptic loss pattern is constrained by brain connectome and modulated by phosphorylated tau in Alzheimer’s disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_0b3368a59ac0d45c,2016.0,infrastructure,Application of the radial distribution functions for quantitative analysis of neuropil microstructure in stratum radiatum of CA1 r,keep-rescued,EM neuropil quantitative analysis
work_0bb5111744eb309f,2026.0,graph_analysis,Photomapping electrically coupled networks of the mature thalamus and cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_0d8d0f74d4acd55d,2022.0,,A theory of learning with constrained weight-distribution,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_0dc9ade7576f1fda,2016.0,,Connectome Networks: From Cells to Systems,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_0f210c53d8261375,2020.0,graph_analysis;modeling,Multiscale comparative connectomics,keep-rescued,connectome-comparison statistics (used on nanoscale graphs)
work_0f2e576ce4d24d6a,2026.0,graph_analysis,Mapping Connectomic Structure to Function(s) in Cerebellar-like Networks using Kernel Regression,keep-rescued,connectome-constrained modeling
