work_id,year,decision,disposition,title,ref_check,verified_outbound_links,final_disposition
work_00c9ebcec8853471,2026,core_relevant,defer-recent (citation/reference lag),Physical contact reveals a hidden layer of cortical architecture,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_00d72fd3c4223cd5,2026,core_relevant,defer-recent (citation/reference lag),Distributed control circuits across a brain-and-cord connectome.,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_1270a34816664cc4,2024,core_relevant,defer-recent (citation/reference lag),"IMPACT OF ALZHEIMER’S DISEASE ON SUPRACHIASMATIC NUCLEUS CONNECTIVITY, SLEEP REGULATION, AND CIRCADIAN RHYTHM",refs-elided-or-none,,unresolved (refs-elided-or-none)
work_138205744e23415e,2025,core_relevant,defer-recent (citation/reference lag),"Volume Electron Microscopy of Cortical Organoids: Methods for Region Identification, Connectome Reconstruction, and Orga",refs-elided-or-none,,unresolved (refs-elided-or-none)
work_25d6f758bfb64d9f,2026,adjacent_relevant,defer-recent (citation/reference lag),Synchronization properties in C. elegans: Relating behavioral circuits to structural and functional neuronal connectivit,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_2ac6946a28922c27,2026,core_relevant,defer-recent (citation/reference lag),"Deep-learning-assisted simulation of a cortical circuit: integrating anatomy, physiology and function",refs-elided-or-none,,unresolved (refs-elided-or-none)
work_2c3d7740e61c43c2,2025,core_relevant,defer-recent (citation/reference lag),Decoding neuronal wiring by joint inference of cell identity and synaptic connectivity,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_339286588e4c34ee,2025,core_relevant,defer-recent (citation/reference lag),Connectomic analysis of astrocyte-synapse interactions in the cerebral cortex,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_52c3157475b348eb,2024,core_relevant,defer-recent (citation/reference lag),Subcellular pathways through VGluT3-expressing mouse amacrine cells provide locally tuned object-motion-selective signal,verified,3,keep (verified outbound links)
work_5ab2880288b11e04,2025,adjacent_relevant,defer-recent (citation/reference lag),P02.15.B GLIOBLASTOMA IN THE CONNECTOME: NEURAL PHENOTYPES PREDICT TUMOR INTEGRATION AND CONNECTIVITY,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_5ffdfd4866eae431,2026,role_bridge,defer-recent (citation/reference lag),From Pixels to Minds: Mapping & Understanding the Brain with AI,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_76ab8bc031d7769d,2025,core_relevant,defer-recent (citation/reference lag),Neuronal connectomics: Hydra's non-synaptic nerve net.,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_80a6a14187c03885,2026,core_relevant,defer-recent (citation/reference lag),Applying functional MRI analysis techniques to whole-brain calcium-imaging data to investigate structural and functional,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_83525f01067dd39e,2026,core_relevant,defer-recent (citation/reference lag),Combining brain-wide activity imaging with electron microscopy reveals a distributed brain network for processing threat,verified,0,drop (verified zero outbound links)
work_859356168bf1abd8,2024,adjacent_relevant,defer-recent (citation/reference lag),Experience-dependent glial pruning of synaptic glomeruli during the critical period,verified,4,keep (verified outbound links)
work_8baeeb71436bfd26,2026,adjacent_relevant,defer-recent (citation/reference lag),Functional Characterization of Individual Pre- and Postsynaptic Partners In the Drosophila Larval Central Nervous System,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_8dd2b03520aa147e,2026,core_relevant,defer-recent (citation/reference lag),CURVATURE-BASED MACHINE LEARNING METHOD FOR AUTOMATED SEGMENTATION OF DENDRITIC SPINES,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_8fdabecbe4e2c04e,2024,core_relevant,defer-recent (citation/reference lag),UniSPAC: A Unified Segmentation Framework for Proofreading and Annotation in Connectomics,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_a65fd84f5ad30482,2025,core_relevant,defer-recent (citation/reference lag),Synthesis of Ground Truth for Neuronal Segmentation,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_b13274c306e3faaa,2025,core_relevant,defer-recent (citation/reference lag),Population Morphology Implies a Common Developmental Blueprint for Drosophila Motion Detectors,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_c61795d759331bd4,2024,core_relevant,defer-recent (citation/reference lag),Modular organization of synapses within a neuromere for distinct axial locomotion in Drosophila larvae,verified,3,keep (verified outbound links)
work_d650e408871e043e,2026,adjacent_relevant,defer-recent (citation/reference lag),Long-range circuit of the mouse spinal trigeminal nucleus caudalis,verified,0,drop (verified zero outbound links)
work_da68467af4f0e266,2024,adjacent_relevant,defer-recent (citation/reference lag),The vitals for steady nucleation maps of spontaneous spiking coherence in autonomous two-dimensional neuronal networks,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_f1b81ab0f201501a,2025,core_relevant,defer-recent (citation/reference lag),Temporal and Notch identity determine layer targeting and synapse location of medulla neurons,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_f6a724d5a8e21371,2024,adjacent_relevant,defer-recent (citation/reference lag),Do Perineuronal Nets Stabilize the Engram of a Synaptic Circuit?,verified,0,drop (verified zero outbound links)
work_f7bc1bc6224c75c6,2026,core_relevant,defer-recent (citation/reference lag),Deep anatomical and ultrastructural classification of neurons in the zebrafish olfactory bulb,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_faedde5590381df4,2026,core_relevant,defer-recent (citation/reference lag),A Transformer-based Framework for Large-Scale EM Segmentation Stitching,refs-elided-or-none,,unresolved (refs-elided-or-none)
work_fe515cb1dd582648,2025,core_relevant,defer-recent (citation/reference lag),Recurrent connectivity supports carbon dioxide sensitivity in Aedes aegypti mosquitoes,refs-elided-or-none,,unresolved (refs-elided-or-none)
